B L R D' F' R2
B L R F' D' R2
B L R' D' R2 F'
B R L D' F' R2
B R L F' D' R2
B R D' L F' R2
B R D' F' L R2
B R D' F' R2 L
B R F' L D' R2
B R F' D' L R2
B R F' D' R2 L
B R' L D' R2 F'
B R' D' L R2 F'
B R' D' R2 L F'
B R' D' R2 F' L
B' U' R' B U2 B
B L R U' B2 U F'
B L R D F' D2 R2
B L R D' F R2 F2
B L R D' F' R2 D
B L R D' F' R2 D'
B L R D' F' R2 D2
B L R D' F2 R2 F
B L R F' R D' R2
B L R F' R' D' R2
B L R F' R2 D' R2
B L R F' U' B2 U
B L R F' D' R2 D
B L R F' D' R2 D'
B L R F' D' R2 D2
B L R F2 D' R2 F
B L R F2 D' F R2
B L R' D' R2 D F'
B L R' D' R2 D' F'
B L R' D' R2 D2 F'
B L R' D' R2 F' D
B L R' D' R2 F' D'
B L R' D' R2 F' D2
B L R' D' F R2 F'
B L R' D' F' R2 F'
B L R' D' F2 R2 F'
B L R' F D' R2 F'
B L R' F' D' R2 F'
B L R' F2 D' R2 F'
B L R2 D' R' F' R'
B' L U' R' B U2 B
B L U' R B2 U F'
B L U' B2 R U F'
B L D' R D R F'
B L F R D' F' R2
B L F R F' D' R2
B L F R' D' R2 F'
B L F' R D' F' R2
B L F' R F' D' R2
B L F' R' D' R2 F'
B L F2 R D' F' R2
B L F2 R F' D' R2
B L F2 R' D' R2 F'
B L' R F' L2 D' R2
B' L' U' R' B U2 B
D2 L' D' F B L R'
D2 L' D' F B R' L
D2 L' D' B R' F L
D2 L' D' B F L R'
D2 L' D' B F R' L
D2 L' F D' B L R'
D2 L' F D' B R' L
B L2 R D' L' F' R2
B L2 R' D' L' R2 F'
B L2 R' D' R2 L' F'
B' L2 U' R' B U2 B
B L2 D' R2 D' L' F
B L2 D2 L' D R2 F
B L2 D2 L' D F R2
B R L U' B2 U F'
B R L D F' D2 R2
B R L D' F R2 F2
B R L D' F' R2 D
B R L D' F' R2 D'
B R L D' F' R2 D2
B R L D' F2 R2 F
B R L F' R D' R2
B R L F' R' D' R2
B R L F' R2 D' R2
B R L F' U' B2 U
B R L F' D' R2 D
B R L F' D' R2 D'
B R L F' D' R2 D2
B R L F2 D' R2 F
B R L F2 D' F R2
B R L' F' L2 D' R2
B R L2 D' L' F' R2
B' R U F' B2 D2 L2
B' R U B2 D2 L2 F'
B' R U B2 D2 F' L2
B' R U B2 F' D2 L2
B' R U' R2 B U2 B
B R D F' D2 L R2
B R D F' D2 R2 L
B R D' L F R2 F2
B R D' L F' R2 D
B R D' L F' R2 D'
B R D' L F' R2 D2
B R D' L F2 R2 F
B R D' L' F' L2 R2
B R D' L' F' R2 L2
B R D' F L R2 F2
B R D' F L F2 R2
B R D' F R2 L F2
B R D' F R2 F2 L
B R D' F' L R2 D
B R D' F' L R2 D'
B R D' F' L R2 D2
B R D' F' R2 L D
B R D' F' R2 L D'
B R D' F' R2 L D2
B R D' F' R2 D L
B R D' F' R2 D' L
B R D' F' R2 D2 L
B R D' F2 R2 F L
B R D2 L D F' R2
B R F L F2 D' R2
B R F' L R D' R2
B R F' L R' D' R2
B R F' L R2 D' R2
B R F' L U' B2 U
B R F' L D' R2 D
B R F' L D' R2 D'
B R F' L D' R2 D2
B R F' L2 D' L' R2
B R F' L2 D' R2 L'
B R F' R L D' R2
B R F' R D' L R2
B R F' R D' R2 L
B R F' R' L D' R2
B R F' R' D' L R2
B R F' R' D' R2 L
B R F' R2 L D' R2
B R F' R2 D' L R2
B R F' R2 D' R2 L
B R F' D' L R2 D
B R F' D' L R2 D'
B R F' D' L R2 D2
B R F' D' R2 L D
B R F' D' R2 L D'
B R F' D' R2 L D2
B R F' D' R2 D L
B R F' D' R2 D' L
B R F' D' R2 D2 L
B R F' D2 L D R2
B R F2 D' R2 F L
B R F2 D' F L R2
B R F2 D' F R2 L
B2 R B' L D' F' R
B2 R B' D' L F' R
B2 R B' D' F' L R
B2 R B' D' F' R L
B R B2 U F' B2 L
B R B2 U B2 L F'
B R B2 U B2 F' L
B R' L D' R2 D F'
B R' L D' R2 D' F'
B R' L D' R2 D2 F'
B R' L D' R2 F' D
B R' L D' R2 F' D'
B R' L D' R2 F' D2
B R' L D' F R2 F'
B R' L D' F' R2 F'
B R' L D' F2 R2 F'
B R' L F D' R2 F'
B R' L F' D' R2 F'
B R' L F2 D' R2 F'
B R' L2 D' L' R2 F'
B R' L2 D' R2 L' F'
B R' D' L R2 D F'
B R' D' L R2 D' F'
B R' D' L R2 D2 F'
B R' D' L R2 F' D
B R' D' L R2 F' D'
B R' D' L R2 F' D2
B R' D' L F R2 F'
B R' D' L F' R2 F'
B R' D' L F2 R2 F'
B R' D' L' R2 F' L2
B R' D' R2 L D F'
B R' D' R2 L D' F'
B R' D' R2 L D2 F'
B R' D' R2 L F' D
B R' D' R2 L F' D'
B R' D' R2 L F' D2
B R' D' R2 L' F' L2
B R' D' R2 D L F'
B R' D' R2 D F' L
B R' D' R2 D' L F'
B R' D' R2 D' F' L
B R' D' R2 D2 L F'
B R' D' R2 D2 F' L
B R' D' R2 F L F2
B R' D' R2 F' L D
B R' D' R2 F' L D'
B R' D' R2 F' L D2
B R' D' R2 F' D L
B R' D' R2 F' D' L
B R' D' R2 F' D2 L
B R' D' F L R2 F'
B R' D' F R2 L F'
B R' D' F R2 F' L
B R' D' F' L R2 F'
B R' D' F' R2 L F'
B R' D' F' R2 F' L
B R' D' F2 L R2 F'
B R' D' F2 R2 L F'
B R' D' F2 R2 F' L
B R' D2 L D R2 F'
B R' F L D' R2 F'
B R' F D' L R2 F'
B R' F D' R2 L F'
B R' F D' R2 F' L
B R' F' L D' R2 F'
B R' F' D' L R2 F'
B R' F' D' R2 L F'
B R' F' D' R2 F' L
B R' F2 L D' R2 F'
B R' F2 D' L R2 F'
B R' F2 D' R2 L F'
B R' F2 D' R2 F' L
B' R' B U B' U B2
B' R' B U2 B D' R2
B R2 L D' R' F' R'
B R2 D' L R' F' R'
B R2 D' R' L F' R'
B R2 D' R' F' L R'
B R2 D' R' F' R' L
B' U R F' R' B2 L
B' U R' B U2 B R
B' U B2 L R F' R'
B' U B2 L2 D2 L' F
B' U B2 R L F' R'
B' U B2 R F' L R'
B' U B2 R F' R' L
B' U B2 D2 L' F L2
B' U' R' D2 F2 B U2
B' U' R' D2 B F2 U2
B' U' R' F B U2 B
B' U' R' F' B U2 B
B' U' R' F2 B U2 B
B' U' R' B U2 D B
B' U' R' B U2 D' B
B' U' R' B U2 D2 B
B' U' R' B U2 B D
B' U' R' B U2 B D'
B' U' R' B U2 B D2
B' U' R' B D U2 B
B' U' R' B D' U2 B
B' U' R' B D2 U2 B
B' U' R' B F U2 B
B' U' R' B F' U2 B
B' U' R' B F2 U2 B
B' U' F R' B U2 B
B' U' F' R' B U2 B
B' U' F2 R' B U2 B
B' U' B2 L F2 R F'
B U' B2 U' R' B U2
R F' R' B L D' R2
R F' R' B D' L R2
R F' R' B D' R2 L
B D' L R D R F'
B D' L2 R2 D' L' F
B D' R L D R F'
B D' R D L R F'
B D' R D R L F'
B D' R D R F' L
B D' R2 L2 D' L' F
B D' R2 D' L' F L2
B D' R2 F L D F2
B D' F L R2 D F2
B D' F R2 L D F2
D' F2 B' U B2 L F
L2 B L R D F' R
D B L R D' R2 F2
D B L R D' F2 R2
D2 B L' F L2 D' R2
D B L U' R' B2 U
L B L R F' D R2
D' B L2 D' L' R2 F
D' B L2 D' L' F R2
D' B L2 D' R2 L' F
L' B R D L F' R
L' B R D F' L R
L' B R D F' R L
L2 B R L D F' R
U2 B R D' F' L' R2
U2 B R D' F' R2 L'
U2 B R F' L' D' R2
L2 B R F' L D R2
D B R L D' R2 F2
D B R L D' F2 R2
U2 B R F' D' L' R2
U2 B R F' D' R2 L'
