F2 R F U R
F' U D R F'
F' D U R F'
U2 L' U2 F' U R
F2 R D F U R
F2 R D' F U R
F2 R D2 F U R
F2 R F U R D
F2 R F U R D'
F2 R F U R D2
F2 R F U D R
F2 R F U D' R
F2 R F U D2 R
F2 R F D U R
F2 R F D' U R
F2 R F D2 U R
F2 R F B U R
F2 R F B' U R
F2 R F B2 U R
F2 R B F U R
F2 R B' F U R
F2 R B2 F U R
L' U2 L F' U R
F2 R' F R2 U R'
L' U2 F' L U R
F2 R2 F R' U R2
F' U D R D F'
F' U D R D' F'
F' U D R D2 F'
F' U D R F' D
F' U D R F' D'
F' U D R F' D2
F' D R' U R2 F'
F2 D R F U R
F' D U R D F'
F' D U R D' F'
F' D U R D2 F'
F' D U R F' D
F' D U R F' D'
F' D U R F' D2
F' D B U R F'
F' D B' U R F'
F' D B2 U R F'
F2 D' R F U R
F2 D2 R F U R
F' D2 B R' U R2
F2 B R F U R
F' B U D R F'
F' B D U R F'
F2 B' R F U R
F' B' U D R F'
B' F' U D R F'
B2 F' U D R F'
B F' U D R F'
F' B' D U R F'
B' F' D U R F'
B2 F' D U R F'
B F' D U R F'
B' F2 R F U R
B2 F2 R F U R
F2 B2 R F U R
B F2 R F U R
F' B2 U D R F'
F' B2 D U R F'
F' L D L' U R F'
F' L D' L' U R F
F L' U L F2 U F'
F L' U F2 L U F
U L' U' F' U R F
B' L' U2 L F' U R
B2 L' U2 L F' U R
B L' U2 L F' U R
B' L' U2 F' L U R
U2 L' U2 F' U R D
U2 L' U2 F' U R D'
B2 L' U2 F' L U R
U2 L' U2 F' U R D2
U2 L' U2 F' U D R
U2 L' U2 F' U D' R
U2 L' U2 F' U D2 R
U2 L' U2 F' D U R
U2 L' U2 F' D' U R
U2 L' U2 F' D2 U R
U2 L' U2 F' B U R
U2 L' U2 F' B' U R
U2 L' U2 F' B2 U R
B L' U2 F' L U R
U2 L' U2 B F' U R
F' L' D L U R F'
U2 L' U2 B' F' U R
U2 L' U2 B2 F' U R
D' L' F U2 L F2 U
D' L' F U2 F2 L U
U2 L' F U2 F2 U R
D' L' F D2 B2 R' U'
U2 L' B U2 F' U R
U2 L' B' U2 F' U R
U2 L' B2 U2 F' U R
R U F' L' D R F'
R U F' R D' L' F
R U F' D L' R F'
R U F' D R L' F'
R U F' D' L' R F
R U F' D' R L' F
D' R U2 L' F B' U'
D' R U2 L' B' F U'
D R U2 L' F' B' U'
D R U2 L' B' F' U'
F' R D R U F' R'
F2 R D F U R D
F2 R D F U R D'
F2 R D F U R D2
F2 R D F U D R
F2 R D F U D' R
F2 R D F U D2 R
F2 R D F D U R
F2 R D F D' U R
F2 R D F D2 U R
F2 R D F B U R
F2 R D F B' U R
F2 R D F B2 U R
F2 R D B F U R
F2 R D B' F U R
F2 R D B2 F U R
F2 R D' F U R D
F2 R D' F U R D'
F2 R D' F U R D2
F2 R D' F U D R
F2 R D' F U D' R
F2 R D' F U D2 R
F2 R D' F D U R
F2 R D' F D' U R
F2 R D' F D2 U R
F2 R D' F B U R
F2 R D' F B' U R
F2 R D' F B2 U R
F2 R D' B F U R
L' U' L F' U R F
F2 R D' B' F U R
F2 R D' B2 F U R
F' R D2 B R' U R
F2 R D2 F U R D
F2 R D2 F U R D'
F2 R D2 F U R D2
F2 R D2 F U D R
F2 R D2 F U D' R
F2 R D2 F U D2 R
F2 R D2 F D U R
F2 R D2 F D' U R
F2 R D2 F D2 U R
F2 R D2 F B U R
F2 R D2 F B' U R
F2 R D2 F B2 U R
F2 R D2 B F U R
F2 R D2 B' F U R
F2 R D2 B2 F U R
F2 R F U R2 D R'
F2 R F U R2 D' R'
F2 R F U R2 D2 R'
F2 R F U D R D
F2 R F U D R D'
F2 R F U D R D2
F2 R F U D' R D
F2 R F U D' R D'
F2 R F U D' R D2
F2 R F U D2 R D
F2 R F U D2 R D'
F2 R F U D2 R D2
F2 R F U B R B'
F2 R F U B2 R B2
F2 R F U' L U2 R
F2 R F U' L' U2 R
F2 R F U' L2 U2 R
F2 R F D U R D
F2 R F D U R D'
F2 R F D U R D2
F R F R F U R
F2 R F D B U R
F2 R F D B' U R
F2 R F D B2 U R
F2 R F D' U R D
F2 R F D' U R D'
F2 R F D' U R D2
F2 R F D' B U R
F2 R F D' B' U R
F2 R F D' B2 U R
F2 R F D2 U R D
F2 R F D2 U R D'
F2 R F D2 U R D2
F2 R F D2 B U R
F2 R F D2 B' U R
F2 R F D2 B2 U R
F2 R F B U R D
F2 R F B U R D'
F2 R F B U R D2
F2 R F B U D R
F2 R F B U D' R
F2 R F B U D2 R
F2 R F B D U R
F2 R F B D' U R
F2 R F B D2 U R
F2 R F B' U R D
F2 R F B' U R D'
F2 R F B' U R D2
F2 R F B' U D R
F2 R F B' U D' R
F2 R F B' U D2 R
F2 R F B' D U R
F2 R F B' D' U R
F2 R F B' D2 U R
F2 R F B2 U R D
F2 R F B2 U R D'
F2 R F B2 U R D2
F2 R F B2 U D R
F2 R F B2 U D' R
F2 R F B2 U D2 R
F2 R F B2 D U R
F2 R F B2 D' U R
F2 R F B2 D2 U R
F' R F' R F U R'
F R F2 U D R F'
F R F2 D U R F'
F2 R B D F U R
F2 R B D' F U R
F2 R B D2 F U R
F2 R B F U R D
F2 R B F U R D'
F2 R B F U R D2
F2 R B F U D R
F2 R B F U D' R
F2 R B F U D2 R
F2 R B F D U R
F2 R B F D' U R
F2 R B F D2 U R
F2 R B' D F U R
F2 R B' D' F U R
F2 R B' D2 F U R
F2 R B' F U R D
F2 R B' F U R D'
F2 R B' F U R D2
F2 R B' F U D R
F2 R B' F U D' R
F2 R B' F U D2 R
F2 R B' F D U R
F2 R B' F D' U R
F2 R B' F D2 U R
F2 R B2 D F U R
F2 R B2 D' F U R
F2 R B2 D2 F U R
F2 R B2 F U R D
F2 R B2 F U R D'
F2 R B2 F U R D2
F2 R B2 F U D R
F2 R B2 F U D' R
F2 R B2 F U D2 R
F2 R B2 F D U R
F2 R B2 F D' U R
F2 R B2 F D2 U R
F' R' U R D R F'
F' R' U2 F L' U' R2
F' R' D R B2 U F'
F' R' D B2 R U F'
F2 R' D' F U R F
L' U2 L F' U R D
L' U2 L F' U R D'
L' U2 L F' U R D2
L' U2 L F' U D R
L' U2 L F' U D' R
L' U2 L F' U D2 R
L' U2 L F' D U R
L' U2 L F' D' U R
L' U2 L F' D2 U R
L' U2 L F' B U R
L' U2 L F' B' U R
L' U2 L F' B2 U R
L' U2 L B F' U R
L' U2 L B' F' U R
L' U2 L B2 F' U R
L' U2 L' F' L2 U R
R2 U2 L' D2 B U' R'
F2 R' F R2 U R' D
F2 R' F R2 U R' D'
F2 R' F R2 U R' D2
F2 R' F R2 U D R'
F2 R' F R2 U D' R'
F2 R' F R2 U D2 R'
F2 R' F R2 D U R'
F2 R' F R2 D' U R'
F2 R' F R2 D2 U R'
R2 U2 L' F' B U' R
F2 R' F U D' R F2
R2 U2 L' B F' U' R
F2 R' F D' U R F2
F R' F R F U R
R U2 L' F' B' U' R
F2 R' F B R2 U R'
F2 R' F B' R2 U R'
F2 R' F B2 R2 U R'
R U2 L' B' F' U' R
F2 R' F' R2 F2 U R
F R' F2 U D R F'
D R' F2 B R F' U
F R' F2 D U R F'
F2 R' B R2 F U R
F2 R' B F R2 U R'
D R' B F2 R F' U
F2 R' B' R2 F U R
F2 R' B' F R2 U R'
R' U2 D' L' F U' L'
L' U2 D' L F' B' U
L' U2 D' L B' F' U
F2 R' B2 R2 F U R
L' U2 D' F' L B' U
R2 U2 D' L' F B U'
R2 U2 D' L' B F U'
F2 R' B2 F R2 U R'
R U2 D' L' F B' U'
R U2 D' L' B' F U'
R2 U2 D' B L' F U'
R2 U2 D2 L' B U' R'
R2 U2 D2 B L' U' R'
L' U2 F' L U R D
L' U2 F' L U R D'
L' U2 F' L U R D2
L' U2 F' L U D R
L' U2 F' L U D' R
L' U2 F' L U D2 R
L' U2 F' L D U R
L' U2 F' L D' U R
L' U2 F' L D2 U R
L' U2 F' L B U R
L' U2 F' L B' U R
L' U2 F' L B2 U R
L' U2 F' D L U R
L' U2 F' D' L U R
L' U2 F' D2 L U R
F' R2 U R2 D R F'
L' U2 F' B' U R B
F' R2 U D R F' R2
F' R2 U F' R' D' F2
D2 R2 U2 L' B U' R'
D' R2 U2 L' F B U'
D' R2 U2 L' B F U'
R2 U2 B L' F' U' R
F' R2 U2 F L' U' R'
D2 R2 U2 B L' U' R'
D' R2 U2 B L' F U'
F' R2 U2 F2 U' R' F'
R2 U2 B D' L' F U'
F' R2 D R U F' R2
L' U2 B' F' U R B
F' R2 D U R F' R2
F2 R2 D R' F U R
F2 R2 D F R' U R2
F2 R2 D' R' F U R
F2 R2 D' F R' U R2
F2 R2 D2 R' F U R
F2 R2 D2 F R' U R2
F2 R2 F R' U R2 D
F2 R2 F R' U R2 D'
F2 R2 F R' U R2 D2
F2 R2 F R' D B2 U
F2 R2 F R' B U R2
F2 R2 F R' B' U R2
F2 R2 F R' B2 U R2
F2 R2 F U R D' F2
F2 R2 F D R' U R2
F2 R2 F D' R' U R2
F2 R2 F D2 R' U R2
F' R2 F' R F U R2
F R2 F R F U R
F2 R2 F' R' F2 U R
F R2 F2 U D R F'
F R2 F2 D U R F'
F' U L R D' L' F
F' U L D L' R F'
F' U L D R L' F'
F' U L D' L' R F
F' U L D' R L' F
F' U L' D L R F'
F' U L' D R L F'
F' U L' D R F' L
F' U R L D' L' F
F' U R D R F' R'
F' U R D' L' F L
F' U R F U L' U'
F' U R F' U' R U
F' U R2 D R F' R2
F' U R2 F' R' D' F2
F' U D L' R F' L
F' U D L2 R F' L2
F' U D R L' F' L
F' U D R L2 F' L2
F' U D R D F' D
F' U D R D F' D'
F' U D R D F' D2
F' U D R D' F' D
F' U D R D' F' D'
F' U D R D' F' D2
F' U D R D2 F' D
F' U D R D2 F' D'
F' U D R D2 F' D2
F' U D R F2 D F
F' U D R F2 D' F
F' U D R F2 D2 F
F' U D R' F R2 F'
F' U D R' F' R2 F'
F' U D R' F2 R2 F'
F' U D R2 D R' F'
F' U D R2 D' R' F'
F' U D R2 D2 R' F'
F' U D R2 F R' F'
F' U D R2 F' R' F'
F' U D R2 F2 R' F'
F' U D F R F' R
F' U D B R F' B'
F' U D B R B' F'
F' U D B2 R F' B2
F' U D B2 R B2 F'
F' U D' L' R F L
F' U D' R L' F L
F' U F' U' R B U
F' U B D R F' B'
F' U B D R B' F'
F' U B D B' R F'
F' U B' D B R F'
U2 D' L' F U' D' L2
U2 D' L' F U2 F2 U
U2 D' L' F D' U' L2
U2 D' L' F D2 B2 U'
R' D' U2 L' F U' L'
L' D' U2 L F' B' U
L' D' U2 L B' F' U
F' U' L U2 D R F'
F' U' L D U2 R F'
L' D' U2 F' L B' U
R2 D' U2 L' F B U'
R2 D' U2 L' B F U'
F' U' L' U2 D R F'
F' U' L' D U2 R F'
R2 D' U2 B L' F U'
R D' U2 L' F B' U'
R D' U2 L' B' F U'
F' U' L2 U2 D R F'
F' U' L2 D U2 R F'
F' U' D L U2 R F'
F' U' D L' U2 R F'
F' U' D L2 U2 R F'
F' U' D B U2 R F'
F' U' D B' U2 R F'
F' U' D B2 U2 R F'
F' U' D' L B' U2 R
F' U' D' L' U2 R F
L2 D2 L R2 B U' R'
D' U2 L' F U' D' L2
D' U2 L' F U2 F2 U
D' U2 L' F D' U' L2
D' U2 L' F D2 B2 U'
F' U' B U2 D R F'
F' U' B D U2 R F'
L2 D2 R2 L B U' R'
F' U' B' U2 D R F'
F' U' B' D U2 R F'
F' U' B2 U2 D R F'
F' U' B2 D U2 R F'
F' U2 L U' D R F'
F' U2 L D U' R F'
R2 D2 U2 L' B U' R'
B' U2 L' U2 F' U R
F' U2 L' U' D R F'
F' U2 L' D U' R F'
B2 U2 L' U2 F' U R
R2 D2 U2 B L' U' R'
F' U2 L2 U' D R F'
B U2 L' U2 F' U R
F' U2 L2 D U' R F'
F' U2 D L U' R F'
F' U2 D L' U' R F'
F' U2 D L2 U' R F'
F' U2 D' L' U' R F
F' U2 F L' F' U' R
F' U2 F D' L' F U'
F' U2 F2 U L' B' U2
L' F U2 F2 L U R
F2 D R D F U R
F2 D R D' F U R
F2 D R D2 F U R
F2 D R F U R D
F2 D R F U R D'
F2 D R F U R D2
F2 D R F U D R
F2 D R F U D' R
F2 D R F U D2 R
F2 D R F D U R
F2 D R F D' U R
F2 D R F D2 U R
F2 D R F B U R
F2 D R F B' U R
F2 D R F B2 U R
F2 D R B F U R
F2 D R B' F U R
F' D R' U R2 D F'
F' D R' U R2 D' F'
F' D R' U R2 D2 F'
F' D R' U R2 F' D
F' D R' U R2 F' D'
F' D R' U R2 F' D2
F' D R' U F R2 F'
F' D R' U F' R2 F'
F' D R' U F2 R2 F'
F2 D R B2 F U R
F' D R' U' B U2 R2
F2 D R' F R2 U R'
F2 D R2 F R' U R2
F' D U L' R F' L
F' D U L2 R F' L2
F' D U R L' F' L
F' D U R L2 F' L2
F' D U R D F' D
F' D U R D F' D'
F' D U R D F' D2
F' D U R D' F' D
F' D U R D' F' D'
F' D U R D' F' D2
F' D U R D2 F' D
F' D U R D2 F' D'
F' D U R D2 F' D2
F' D U R F2 D F
F' D U R F2 D' F
F' D U R F2 D2 F
F' D U R' F R2 F'
F' D U R' F' R2 F'
F' D U R' F2 R2 F'
F' D U R2 D R' F'
F' D U R2 D' R' F'
F' D U R2 D2 R' F'
F' D U R2 F R' F'
F' D U R2 F' R' F'
F' D U R2 F2 R' F'
F' D U F R F' R
F' D U B R F' B'
F' D U B R B' F'
F' D U B2 R F' B2
F' D U B2 R B2 F'
F' D U' L U2 R F'
F' D U' L' U2 R F'
F' D U' L2 U2 R F'
L' F' L U2 L' U' R
F' D U' B U2 R F'
F' D U' B' U2 R F'
F' D U' B2 U2 R F'
F' D U2 L U' R F'
F' D U2 L' U' R F'
F' D U2 L2 U' R F'
F2 D F U D R F'
F2 D F D U R F'
L2 F' L2 U2 L' U' R
R' F' R F' R U R'
F' D B R' U R2 F'
F' D B U R D F'
F' D B U R D' F'
F' D B U R D2 F'
F' D B U R F' D
F' D B U R F' D'
F' D B U R F' D2
F2 D B R F U R
D F' R' D2 B R' U
F' D B' R' U R2 F'
F' D B' U R D F'
F' D B' U R D' F'
F' D B' U R D2 F'
F' D B' U R F' D
F' D B' U R F' D'
F' D B' U R F' D2
F2 D B' R F U R
D' F' U D R F' R
D' F' U D F' R F'
R2 F' R2 F' R U R2
R F' R' F' R U R
F' D B2 R' U R2 F'
F' D B2 U R D F'
F' D B2 U R D' F'
F' D B2 U R D2 F'
F' D B2 U R F' D
F' D B2 U R F' D'
F' D B2 U R F' D2
F2 D B2 R F U R
D' F' U2 L' F L' U'
D' F' U2 F L' F U'
R F' U D R F' L'
D' F' D R U F' R
D' F' D U R F' R
D' F' D U F' R F'
D' F' D2 R' B R' U
F2 D' R D F U R
F2 D' R D' F U R
F2 D' R D2 F U R
R F' D U R F' L'
F2 D' R F U R D
F2 D' R F U R D'
F2 D' R F U R D2
F2 D' R F U D R
F2 D' R F U D' R
F2 D' R F U D2 R
F2 D' R F D U R
F2 D' R F D' U R
F2 D' R F D2 U R
F2 D' R F B U R
F2 D' R F B' U R
F2 D' R F B2 U R
D' F' D2 B R' B U
F2 D' R B F U R
F2 D' R B' F U R
F2 D' R B2 F U R
F2 D' R' F R2 U R'
F2 D' R2 F R' U R2
F' D' U L' R F L
F' D' U R L' F L
L2 F' B2 L2 R' U R2
F' D' U' L B' U2 R
F' D' U' L' U2 R F
L2 F' B2 R' L2 U R2
F' D' U2 L' U' R F
F2 D' F U D R F'
F2 D' F D U R F'
R' F2 R F' U' L' U2
D2 F2 R F B U R'
D2 F2 R B F U R'
D F2 R F U D R2
D F2 R F U2 F2 U'
D F2 R F D U R2
D F2 R F D2 B2 U
F' D' B U D2 R F'
F2 D' B R F U R
F' D' B D2 U R F'
D F2 R' F B R2 U
F' D' B' U D2 R F'
D F2 R' B R2 F U
D F2 R' B F R2 U
F2 D' B' R F U R
F' D' B' D2 U R F'
F' D' B2 U D2 R F'
F2 D' B2 R F U R
F' D' B2 D2 U R F'
U F2 U' R F B U
U F2 U' R B F U
F2 D2 R D F U R
F' D2 R B R' U R
F2 D2 R D' F U R
F2 D2 R D2 F U R
F2 D2 R F U R D
F2 D2 R F U R D'
F2 D2 R F U R D2
F2 D2 R F U D R
F2 D2 R F U D' R
F2 D2 R F U D2 R
F2 D2 R F D U R
F2 D2 R F D' U R
F2 D2 R F D2 U R
F2 D2 R F B U R
F2 D2 R F B' U R
F2 D2 R F B2 U R
F2 D2 R B F U R
F2 D2 R B' F U R
F2 D2 R B2 F U R
D2 F2 B R F U R2
F' D2 R' B R' U R'
F2 D2 R' F R2 U R'
F2 D2 R2 F R' U R2
U2 B L' U2 F' U R
F2 D2 F U D R F'
F2 D2 F D U R F'
F' D2 B R' U R2 D
F' D2 B R' U R2 D'
F' D2 B R' U R2 D2
F' D2 B R' D B2 U
F' D2 B R' B U R2
F' D2 B R' B' U R2
F' D2 B R' B2 U R2
F' D2 B U R D' F2
F2 D2 B R F U R
F' D2 B D R' U R2
F' D2 B D' R' U R2
F' D2 B D2 R' U R2
F' D2 B' U2 L U' R
F2 D2 B' R F U R
F' D2 B2 R2 U R' F'
F' D2 B2 U R' F' R2
F2 D2 B2 R F U R
