F' R D R2 B
F' R' D B R2
F' R' B D R2
F' R D R2 D B
F' R D R2 D' B
F' R D R2 D2 B
F' R D R2 B D
F' R D R2 B D'
F' R D R2 B D2
F' R D B R2 B
F' R D B' R2 B
F' R D B2 R2 B
F' R B D R2 B
F' R B' D R2 B
F' R B2 D R2 B
F' R' U F2 U' B
F' R' D B R2 D
F' R' D B R2 D'
F' R' D B R2 D2
F' R' D B' R2 B2
F2 R' D F B R'
F' R' D B2 R2 B'
F2 R' D B R' F
F2 R' D B F R'
F' R' D' B D2 R2
F2 R' F D B R'
F' R' B R D R2
F' R' B R' D R2
F' R' B R2 D R2
F' R' B U F2 U'
F' R' B D R2 D
F' R' B D R2 D'
F' R' B D R2 D2
F R' F2 D B R2
F R' F2 B D R2
F' R' B2 D R2 B'
F' R' B2 D B' R2
F R' B F2 D R2
F' R2 D R B R
F' U R' F2 U' B
F' U F2 R' U' B
U F R' U' F2 B
U F R' U' B F2
F' D R' D' R' B
D' F' R' D R2 B2
D' F' R' D B2 R2
D' F' U R F2 U'
R' B R F' D R2
F' B R D R2 B
F' B R' D B R2
F' B R' B D R2
F' B' R D R2 B
B' F' R D R2 B
F' B' R' D B R2
B2 F' R D R2 B
F' B' R' B D R2
B' F' R' D B R2
B' F' R' B D R2
B2 F' R' D B R2
B F' R D R2 B
B2 F' R' B D R2
B F' R' D B R2
B F' R' B D R2
F' B2 R D R2 B
F' B2 R' D B R2
F' B2 R' B D R2
F' L R D L' R2 B
F' L R D R2 L' B
F' L R D R2 B L'
F' L R' D L' B R2
F L R' U' L' F2 B
F L R' U' L' B F2
F' L R' D B L' R2
F' L R' D B R2 L'
F L R' U' B L' F2
F' L R' B L' D R2
F' L R' B D L' R2
F' L R' B D R2 L'
D2 L D B' L' F' R
D2 L B' L' F' D R2
D2 L B' D L' F' R
F' L' R D L R2 B
F' L' R D R2 L B
F' L' R' D L B R2
F L' R' U' L F2 B
F L' R' U' L B F2
F L' R' U' F2 L B
U' L' U F' B' R' B
U' L' U B' F' R' B
F L' U' F2 D2 L B'
F' L' D R2 D L B'
F' L' D2 L D' R2 B'
F' L' D2 L D' B' R2
F L2 R U' F2 L2 B'
F L2 R' U' L2 F2 B
F L2 R' U' L2 B F2
F L2 R' U' F2 L2 B
F L2 R' U' F2 B L2
F L2 R' U' B L2 F2
F L2 R' U' B F2 L2
F' L2 R' B L2 D R2
U' L2 D B' L U F'
L' U L F' B' R' B
L' U L B' F' R' B
R2 U R F R U' F'
D L2 B' L U L F'
D L2 B' L U F' L
R2 U R2 F R U' F2
R' U D' F L' U' B
L' U D2 L F' B' R'
L' U D2 L B' F' R'
F' R L D L' R2 B
F' R L D R2 L' B
F' R L D R2 B L'
L' U D2 F' L B' R'
F' R L' D L R2 B
F' R L' D R2 L B
L' U F' L B' R' B
F R L2 U' F2 L2 B'
L' U F' D2 L B' R'
L' U F' B' R' B L
F' R U R2 F2 U' B
F' R U F2 U F U2
F R U' F2 D' L2 B'
F' R U2 D F' U2 R2
F' R U2 D' L2 F' U2
F' R U2 D' F' L2 U2
F' R U2 F' U' F' U'
F' R D L R2 B L'
F' R D L2 R2 B L2
F' R D R D R B
F' R D R D' R B
F' R D R D2 R B
F' R D R B R B
F' R D R B' R B
F' R D R B2 R B
F' R D R2 L B L'
F' R D R2 L2 B L2
F' R D R2 D B D
F' R D R2 D B D'
F' R D R2 D B D2
L' U B' F' R' B L
F' R D R2 D' B D
F' R D R2 D' B D'
F' R D R2 D' B D2
F' R D R2 D2 B D
F' R D R2 D2 B D'
F' R D R2 D2 B D2
F' R D R2 B2 D B'
F' R D R2 B2 D' B'
F' R D R2 B2 D2 B'
F' R D U2 F' U2 R2
F' R D B R2 D B
F' R D B R2 D' B
F' R D B R2 D2 B
F' R D B R2 B D
F' R D B R2 B D'
F' R D B R2 B D2
F' R D B' R2 D B
F' R D B' R2 D' B
F' R D B' R2 D2 B
F' R D B' R2 B D
F' R D B' R2 B D'
F' R D B' R2 B D2
F' R D B2 R2 D B
F' R D B2 R2 D' B
F' R D B2 R2 D2 B
F' R D B2 R2 B D
F' R D B2 R2 B D'
F' R D B2 R2 B D2
F' R D' R2 D2 B R2
F' R D' R2 B D2 R2
F' R D' U2 L2 F' U2
F' R D' U2 F' L2 U2
F' R D' B D2 R2 B
F' R D' B' D2 R2 B
F' R D' B2 D2 R2 B
F' R D2 R2 D' B R2
F' R B R2 D B R2
F' R B R2 B D R2
F' R B D R2 D B
F' R B D R2 D' B
F' R B D R2 D2 B
F' R B D R2 B D
F' R B D R2 B D'
F' R B D R2 B D2
F' R B D B R2 B
F' R B D B' R2 B
F' R B D B2 R2 B
F' R B' R2 D B R2
F' R B' R2 B D R2
F' R B' D R2 D B
F' R B' D R2 D' B
F' R B' D R2 D2 B
F' R B' D R2 B D
F' R B' D R2 B D'
F' R B' D R2 B D2
F' R B' D B R2 B
F' R B' D B' R2 B
F' R B' D B2 R2 B
F' R B2 R2 D B R2
F' R B2 R2 B D R2
F' R B2 D R2 D B
F' R B2 D R2 D' B
F' R B2 D R2 D2 B
F' R B2 D R2 B D
F' R B2 D R2 B D'
F' R B2 D R2 B D2
F' R B2 D B R2 B
F' R B2 D B' R2 B
F' R B2 D B2 R2 B
F' R' L D L' B R2
F' R' L D B L' R2
F' R' L D B R2 L'
F' R' L B L' D R2
F' R' L B D L' R2
F' R' L B D R2 L'
F R' L U' L' F2 B
F R' L U' L' B F2
F R' L U' B L' F2
F' R' L' D L B R2
F R' L' U' L F2 B
F R' L' U' L B F2
F R' L' U' F2 L B
F' R' L2 B L2 D R2
F R' L2 U' L2 F2 B
F R' L2 U' L2 B F2
F R' L2 U' F2 L2 B
F R' L2 U' F2 B L2
F R' L2 U' B L2 F2
F R' L2 U' B F2 L2
F' R' U F2 U' D B
F' R' U F2 U' D' B
F' R' U F2 U' D2 B
F' R' U F2 U' B D
F' R' U F2 U' B D'
F' R' U F2 U' B D2
F' R' U F2 D U' B
F' R' U F2 D' U' B
F' R' U F2 D2 U' B
F' R' U' D2 B2 U B'
F' R' U2 D' L2 U2 B
F R' U' F2 D' L2 B
F R' U' F2 D' B L2
F R' U' F2 B D' L2
F R' U' B F2 D' L2
F' R' D L B L' R2
F' R' D L B R2 L'
F' R' D L2 B L2 R2
F' R' D L2 B R2 L2
F' R' D R2 U2 F' U2
F' R' D F' B R2 F
F' R' D F2 B R2 F2
F' R' D B R D R
F' R' D B R D' R
F' R' D B R D2 R
F' R' D B R' D R'
F' R' D B R' D' R'
F' R' D B R' D2 R'
F' R' D B F' R2 F
F' R' D B F2 R2 F2
F' R' D B' R B2 R
F' R' D B' R2 B2 D
F' R' D B' R2 B2 D'
F' R' D B' R2 B2 D2
F2 R' D F B R' D
F2 R' D F B R' D'
F2 R' D F B R' D2
F2 R' D F B D R'
F2 R' D F B D' R'
F2 R' D F B D2 R'
F' R' D B2 R B' R
F' R' D B2 R2 D B'
F' R' D B2 R2 D' B'
F' R' D B2 R2 D2 B'
F' R' D B2 R2 B' D
F' R' D B2 R2 B' D'
F' R' D B2 R2 B' D2
F2 R' D F' B R' F2
F2 R' D B R F R2
F2 R' D B R' D F
F2 R' D B R' D' F
F2 R' D B R' D2 F
F2 R' D B R' F D
F2 R' D B R' F D'
F2 R' D B R' F D2
F2 R' D B D R' F
F2 R' D B D F R'
F2 R' D B D' R' F
F2 R' D B D' F R'
F2 R' D B D2 R' F
F2 R' D B D2 F R'
F2 R' D B F R' D
F2 R' D B F R' D'
F2 R' D B F R' D2
F2 R' D B F D R'
F2 R' D B F D' R'
F2 R' D B F D2 R'
F2 R' D B F' R' F2
F' R' D' R2 D2 R2 B
F' R' D' U2 L2 U2 B
F' R' D' B R D2 R2
F' R' D' B R' D2 R2
F' R' D' B R2 D2 R2
F' R' D' B U2 L2 U2
F' R' D' B D2 R2 D
F' R' D' B D2 R2 D'
F' R' D' B D2 R2 D2
F' R' D' B2 D2 R2 B'
F' R' D' B2 D2 B' R2
F R' D' L2 U' L2 B
F R' D' L2 U' B L2
F2 R' D' F' B R F2
F2 R' D' B F' R F2
F' R' D2 R2 D' R2 B
U R' D' F L' U' B
F' R' D2 U' B2 U B'
F' R' D2 B U' B U
F2 R' D2 F D' B R'
F2 R' F D B R' D
F2 R' F D B R' D'
F2 R' F D B R' D2
F2 R' F D B D R'
F2 R' F D B D' R'
F2 R' F D B D2 R'
F2 R' F2 D F' B R'
F2 R' F2 D B F' R'
F' R' B L D L' R2
F' R' B L D R2 L'
F2 R' F2 D' F' B R
F2 R' F2 D' B F' R
F' R' B L' D L R2
F' R' B L' D R2 L
F2 R' F2 B D' F' R
F' R' B R U F2 U'
F' R' B R D R2 D
F' R' B R D R2 D'
F' R' B R D R2 D2
B' R' B R F' D R2
F R' F2 R2 D R2 B
F' R' B R' U F2 U'
F' R' B R' D R2 D
F' R' B R' D R2 D'
F' R' B R' D R2 D2
F' R' B R2 U F2 U'
F R' F2 U F2 U' B
F' R' B R2 D R2 D
F' R' B R2 D R2 D'
F' R' B R2 D R2 D2
F' R' B U F2 U' D
F' R' B U F2 U' D'
F' R' B U F2 U' D2
F' R' B U F2 D U'
F' R' B U F2 D' U'
F' R' B U F2 D2 U'
B2 R' B R F' D R2
F' R' B U' D2 B2 U
F2 R' B R F D R2
F R' F2 D B R2 D
F R' F2 D B R2 D'
F R' F2 D B R2 D2
F R' F2 D B' R2 B2
F R' F2 D B2 R2 B'
F' R' B U2 D' L2 U2
F' R' B D R D R
F' R' B D R D' R
F' R' B D R D2 R
F' R' B D R' D R'
F' R' B D R' D' R'
F' R' B D R' D2 R'
F R' F2 D' B D2 R2
F' R' B D F' R2 F
F' R' B D F2 R2 F2
F' R' B D B R2 B'
F' R' B D B2 R2 B2
F' R' B D' R D2 R2
F' R' B D' R' D2 R2
F' R' B D' R2 D2 R2
F' R' B D' U2 L2 U2
F R' F2 B R D R2
F R' F2 B R' D R2
F R' F2 B R2 D R2
F R' F2 B U F2 U'
F R' F2 B D R2 D
F R' F2 B D R2 D'
F R' F2 B D R2 D2
F' R' B D2 R D' R2
F' R' B D2 R' D' R2
F' R' B D2 R2 D' R2
F' R' B D2 U' B2 U
B R' B R F' D R2
F R' F2 B2 D R2 B'
F R' F2 B2 D B' R2
F2 R' B D' F' R F2
F R' B R F2 D R2
F R' B R' F2 D R2
F' R' B' R B2 D R2
F2 R' B F2 D' F' R
F R' B R2 F2 D R2
F' R' B' R' B2 D R2
F' R' B' R2 B2 D R2
F' R' B' U F2 U' B2
F' R' B' D R2 D' B2
F R' B F2 R D R2
F R' B F2 R' D R2
F R' B F2 R2 D R2
F R' B F2 U F2 U'
F R' B F2 D R2 D
F R' B F2 D R2 D'
F R' B F2 D R2 D2
F' R' B2 R D R2 B'
F' R' B2 R D B' R2
F' R' B2 R B' D R2
F' R' B2 R' D R2 B'
F' R' B2 R' D B' R2
F' R' B2 R' B' D R2
F' R' B2 R2 D R2 B'
F' R' B2 R2 D B' R2
F' R' B2 R2 B' D R2
F' R' B2 U F2 U' B'
F' R' B2 D R B' R
F' R' B2 D R2 D B'
F' R' B2 D R2 D' B'
F' R' B2 D R2 D2 B'
F' R' B2 D R2 B' D
F' R' B2 D R2 B' D'
F' R' B2 D R2 B' D2
F' R' B2 D B R2 B2
F' R' B2 D B' R2 D
F' R' B2 D B' R2 D'
F' R' B2 D B' R2 D2
F' R' B2 D' B' D2 R2
F R' B2 F2 D R2 B'
F R' B2 F2 D B' R2
F' R2 U F R F U'
R2 U2 B U' F R U'
F' R2 D R D B R
F' R2 D R D' B R
F' R2 D R D2 B R
F' R2 D R B R D
F' R2 D R B R D'
F' R2 D R B R D2
F' R2 D R B D R
F' R2 D R B D' R
F' R2 D R B D2 R
F' R2 D R B' R B2
F' R2 D R B2 R B'
F' R2 D B R B R
F' R2 D B' R B R
F' R2 D B2 R B R
F' R2 D' R D2 B R2
F' R2 D' R B D2 R2
F' R2 D' R' D2 R2 B
F' R2 D2 R D' B R2
F' R2 D2 R' D' R2 B
F2 R2 F R D B R'
F2 R2 F U' B L U
F' R2 B R D B R2
F' R2 B R B D R2
F R2 F2 R D B R2
F' R2 B R' D R2 B
F R2 F2 R B D R2
F R2 F2 R' D R2 B
F' R2 B D R B R
F R2 F2 D R B R
F' R2 B' R D B R2
F' R2 B' R B D R2
F' R2 B' R' D R2 B
F' R2 B' D R B R
F' R2 B2 R D B R2
F' R2 B2 R B D R2
F' R2 B2 R' D R2 B
F' R2 B2 D R B R
U' D L2 B' L U F'
F' U R U' D R2 B
F' U R D U' R2 B
F' U R F2 U F U2
F' U R' U' D B R2
F' U R' U' B D R2
F' U R' D U' B R2
F' U R' F2 U' D B
F' U R' F2 U' D' B
F' U R' F2 U' D2 B
F' U R' F2 U' B D
F' U R' F2 U' B D'
F' U R' F2 U' B D2
F' U R' F2 D U' B
F' U R' F2 D' U' B
F' U R' F2 D2 U' B
L2 D B' L F2 U F
F' U R2 F2 R U' B
D2 U F L U' F2 B'
D2 U F L U' B' F2
D' U F U2 L' U F2
D' U F' R F2 U' F2
F2 U D' F' R U' F2
B' U F R' U' F2 B
B' U F R' U' B F2
F' U F R' F U' B
B2 U F R' U' F2 B
B2 U F R' U' B F2
B U F R' U' F2 B
B U F R' U' B F2
F2 U F' R' U' F2 B
F2 U F' R' U' B F2
F' U F' D' F' R U'
F' U F2 R U F' U2
F' U F2 R' U' D B
F' U F2 R' U' D' B
F' U F2 R' U' D2 B
F' U F2 R' U' B D
F' U F2 R' U' B D'
F' U F2 R' U' B D2
F' U F2 R' D U' B
F' U F2 R' D' U' B
F' U F2 R' D2 U' B
F' U F2 U' R' B R
R' D' U F L' U' B
R' D' F L' U' L B
D U' L2 B' L U F'
R' D' B U F L' U'
U D' F U2 L' U F2
F U' R' U B R F2
U D' F' R F2 U' F2
F' U' D B' L U R2
L' D2 L F' D R2 B'
L' D2 L F' D B' R2
L' D2 L F' B' D R2
F' U' D2 L B2 U B
L' D2 L B' F' D R2
F' U' D2 B2 L U B'
L' D2 U L F' B' R'
L' D2 U L B' F' R'
L' D2 U F' L B' R'
U D2 F L U' F2 B'
U D2 F L U' B' F2
F U2 R' U F2 L' B
F U2 R' U F2 B L'
F U2 R' U B F2 L'
D2 F L U' B' L' F2
D' F L' U L F2 R
U F L R' U' F2 B
U F L R' U' B F2
U F L' R' U' F2 B
U F L' R' U' B F2
U F L2 R' U' F2 B
U F L2 R' U' B F2
U F R U F' U2 F'
U2 F R' U' F2 L' B
U2 F R' U' F2 B L'
U2 F R' U' B F2 L'
U F R' L U' F2 B
U F R' L U' B F2
U F R' L' U' F2 B
U F R' L' U' B F2
U F R' L2 U' F2 B
U F R' L2 U' B F2
U F R' U' F2 D B
U F R' U' F2 D' B
U F R' U' F2 D2 B
U F R' U' F2 B D
U F R' U' F2 B D'
U F R' U' F2 B D2
U F R' U' B F2 D
U F R' U' B F2 D'
U F R' U' B F2 D2
U F R' D' L2 U' B
F' D L' R2 D L B'
U F U' R' B R F2
U F U' F2 R' B R
U F U2 R' U F2 B
U F U2 R' U B F2
F' D R D' R' B R2
F' D R B R D B2
F' D R' D' R' D B
F' D R' D' R' D' B
F' D R' D' R' D2 B
F' D R' D' R' B D
F' D R' D' R' B D'
F' D R' D' R' B D2
F' D R2 L' D L B'
F' D R2 D L B' L'
F' D R2 D' R' B R
F' D R2 B U R' U'
F' D R2 B' U' L U
D2 F' L D R2 B' L'
D2 F' L D B' L' R2
D2 F' L D B' R2 L'
F' D U' B' L U R2
D2 F' L B' L' D R2
D2 F' L B' D L' R2
D2 F' L B' D R2 L'
D F' L' D L R2 B'
D F' L' D L B' R2
D F' L' D R2 L B'
D' F' R D R2 D B2
D' F' R' U R2 F2 U'
D' F' R' U F2 R2 U'
D' F' R' D R B2 R
D' F' R' D R2 B2 D
D' F' R' D R2 B2 D'
D' F' R' D R2 B2 D2
D' F' R' D B' R2 B'
D' F' R' D B2 R2 D
D' F' R' D B2 R2 D'
D' F' R' D B2 R2 D2
D' F' R' B D R2 B2
D' F' R' B D B2 R2
D' F' R' B' D R2 B2
D' F' R' B' D B2 R2
F' D B R D R B2
F' D B R D B2 R
D' F' R' B2 D R2 B2
D' F' R' B2 D B2 R2
F' D B R2 U R U'
F' D B U R' U' R'
D' F' R2 U R' F2 U'
D' F' R2 U F2 R' U'
L2 F' R' B L2 D' R2
F' D B' R2 U' L U
F' D B' U' L U R2
D' F' U R U' D R2
D' F' U R D U' R2
D' F' U R F2 U' D
D' F' U R F2 U' D'
D' F' U R F2 U' D2
D' F' U R F2 D U'
D' F' U R F2 D' U'
D' F' U R F2 D2 U'
D' F' U R' F2 R2 U'
D' F' U R2 F2 R' U'
D' F' U D R U' R
U F' R' F2 U' F2 B
U F' R' F2 U' B F2
D' F' U F2 U2 L' U
D2 F' D R' D R' B
D' F' D R' D R' B2
D' F' D R2 U R' U'
D' F' D U R U' R
D F' D L R2 B' L'
R2 F' D R B R F'
D F' D L B' L' R2
D F' D L B' R2 L'
D F' D R' D2 R' B
D F' D R2 L B' L'
D2 F' D2 R D' R2 B
D2 F' D2 R' D' B R2
D F' D' R D2 R2 B
D F' D' R' D2 B R2
D F' D' R' B D2 R2
R' F' B R D F' R2
R' F' B R' D R2 F'
D' F' B R' D R2 B2
D' F' B R' D B2 R2
D' F' B U R F2 U'
D' F' B' R' D R2 B2
D' F' B' R' D B2 R2
D' F' B' U R F2 U'
D F' B R D R2 B2
D F' B R D B2 R2
D F' B U R' F2 U'
D F' B U F2 R' U'
D' F' B2 R' D R2 B2
D' F' B2 R' D B2 R2
D' F' B2 U R F2 U'
F2 D' U F' R U' F2
F2 D' F U F2 R U'
B' D' F' R' D R2 B2
B' D' F' R' D B2 R2
B' D' F' U R F2 U'
