D L D2 R2 B' L
D L D2 B' L R2
D L D2 B' R2 L
D L' F U2 L' F'
D' L2 B2 R' B L
U2 D L' F U2 L'
D U2 L' F U2 L'
D L R D2 R2 B' L
D L R D2 B' L R2
D L R D2 B' R2 L
D L R' D2 R2 B' L
D L R' D2 B' L R2
D L R' D2 B' R2 L
D' L R' B' L B2 R'
D L R2 D2 R2 B' L
D L R2 D2 B' L R2
D L R2 D2 B' R2 L
D L U2 L2 F U2 L'
D L D2 R B' L R
D L D2 R B' R L
D L D2 R2 B' L D
D L D2 R2 B' L D'
D L D2 R2 B' L D2
D L D2 R2 B' D L
D L D2 R2 B' D' L
D L D2 R2 B' D2 L
D L D2 B' L R2 D
D L D2 B' L R2 D'
D L D2 B' L R2 D2
D L D2 B' R2 L D
D L D2 B' R2 L D'
D L D2 B' R2 L D2
D L D2 B' R2 D L
D L D2 B' R2 D' L
D L D2 B' R2 D2 L
D' L B' L B2 R' B
D' L B' D2 L R2 B'
D' L B' D2 L B' R2
D' L B' D2 R2 L B'
D L' R F U2 L' F'
D L' R' F U2 L' F'
D L' R2 F U2 L' F'
U2 L' U D2 F L' U
U2 L' D2 U F L' U
D L' F R2 B U2 L'
D L' F U2 L F' L2
D L' F U2 L' D F'
D L' F U2 L' D' F'
D L' F U2 L' D2 F'
D L' F U2 L' F' D
D L' F U2 L' F' D'
D L' F U2 L' F' D2
D L' F U2 L2 F' L
D L' F U2 D L' F'
D L' F U2 D' L' F'
D L' F U2 D2 L' F'
D L' F D U2 L' F'
D L' F D' U2 L' F'
D L' F D2 U2 L' F'
D L' F B U2 L' F'
D L' F B' U2 L' F'
D L' F B2 U2 L' F'
D L' F' R F2 U2 F'
D L' B F U2 L' F'
D L' B' F U2 L' F'
D L' B2 F U2 L' F'
D2 L2 D B2 R' B L
D' L2 B' L B' R' B
D' L2 B' D2 L B' R'
D' L2 B2 L R' B L
D' L2 B2 L' R' B L
D' L2 B2 L2 R' B L
D' L2 B2 R' L B L
D' L2 B2 R' L' B L
D' L2 B2 R' L2 B L
D' L2 B2 R' D B L
D' L2 B2 R' D' B L
D' L2 B2 R' D2 B L
D' L2 B2 R' B L D
D' L2 B2 R' B L D'
D' L2 B2 R' B L D2
D' L2 B2 R' B D L
D' L2 B2 R' B D' L
D' L2 B2 R' B D2 L
D R L D2 R2 B' L
D R L D2 B' L R2
D R L D2 B' R2 L
D R L' F U2 L' F'
D R U2 L' F U2 L'
U2 R D L' F U2 L'
D' R B' L D2 R2 B
D' R' L B' L B2 R'
D R' L D2 R2 B' L
D R' L D2 B' L R2
D R' L D2 B' R2 L
