R F U' L'
B' R F U' L'
B R F U' L'
B2 R F U' L'
R' F R2 U' L'
R2 F R' U' L'
R F U' L' D
R F U' L' D'
R F U' L' D2
R F U' D L'
R F U' D' L'
R F U' D2 L'
R F D U' L'
R F D' U' L'
R F D2 U' L'
R F B U' L'
R F B' U' L'
R F B2 U' L'
R B F U' L'
R B' F U' L'
R B2 F U' L'
D' R D F U' L'
D2 R D2 F U' L'
B' R F U' L' D
B' R F U' L' D'
B' R F U' L' D2
U' R F U' L' F'
B' R F U' D L'
B' R F U' D' L'
B' R F U' D2 L'
B' R F D U' L'
B' R F D' U' L'
B' R F D2 U' L'
B' R F B U' L'
B' R F B' U' L'
B' R F B2 U' L'
B2 R F U' L' D
B2 R F U' L' D'
B2 R F U' L' D2
B2 R F U' D L'
B2 R F U' D' L'
B2 R F U' D2 L'
D2 R F B' U' L
B2 R F D U' L'
D R F U' D' L2
B2 R F D' U' L'
D R F U2 F2 U
B R F U' L' D
B R F U' L' D'
B R F U' L' D2
B R F U' D L'
B2 R F D2 U' L'
B R F U' D' L'
B R F U' D2 L'
B2 R F B U' L'
D R F D' U' L2
B R F D U' L'
B2 R F B' U' L'
B2 R F B2 U' L'
B R F D' U' L'
D R F D2 B2 U'
B R F D2 U' L'
B R F B U' L'
B R F B' U' L'
B R F B2 U' L'
B' R B F U' L'
B2 R B F U' L'
B R B F U' L'
B' R B' F U' L'
D2 R B' F U' L
B2 R B' F U' L'
B R B' F U' L'
B' R B2 F U' L'
B2 R B2 F U' L'
B R B2 F U' L'
B' R' F R2 U' L'
B2 R' F R2 U' L'
B R' F R2 U' L'
D R' F B R2 U'
D R' B R2 F U'
D R' B F R2 U'
B' R2 F R' U' L'
B2 R2 F R' U' L'
B R2 F R' U' L'
R2 D R' F B U'
R2 D R' B F U'
R2 D F R' B U'
F U' L2 D' L B'
F U' D' L B' L2
R D2 F B' U' L
R D2 B' F U' L
R' F R2 U' L' D
R' F R2 U' L' D'
R' F R2 U' L' D2
R' F R2 U' D L'
R' F R2 U' D L'
R' F R2 U' D' L'
R' F R2 U' D2 L'
R' F R2 D U' L'
R' F R2 D' U' L'
R' F R2 D2 U' L'
R' F R2 B U' L'
R' F R2 B' U' L'
R' F R2 B2 U' L'
R2 F R' U' L' D
R2 F R' U' L' D'
R2 F R' U' L' D2
R2 F R' U' D L'
R2 F R' U' D' L'
R2 F R' U' D2 L'
R2 F R' D U' L'
R2 F R' D' U' L'
R2 F R' D2 U' L'
R2 F R' B U' L'
R2 F R' B' U' L'
R2 F R' B2 U' L'
R' F U' L' D B2
R' F U' D L' B2
R' F U' D B2 L'
R' F D U' L' B2
R' F D U' B2 L'
R F U R U2 L'
R F U R' U2 L'
R F U R2 U2 L'
R2 F D R' U' L'
R F U' L2 D L
R F U' L2 D' L
R F U' L2 D2 L
R F U' D L' D
R F U' D L' D'
R F U' D L' D2
R F U' D' L' D
R F U' D' L' D'
R F U' D' L' D2
R F U' D2 L' D
R F U' D2 L' D'
R F U' D2 L' D2
R F U' B' L' B
R F U' B2 L' B2
R2 F D' R' U' L'
R' F B R2 U' L'
R2 F D2 R' U' L'
R' F B' R2 U' L'
R F D U' L' D
R F D U' L' D'
R F D U' L' D2
R F D B U' L'
R F D B' U' L'
R F D B2 U' L'
R' F B2 R2 U' L'
R2 F B U' L' B'
R F D' U' L' D
R F D' U' L' D'
R F D' U' L' D2
R F D' B U' L'
R F D' B' U' L'
R F D' B2 U' L'
F D R' U' L' B
F D R' U' B L'
R F D2 U' L' D
R F D2 U' L' D'
R F D2 U' L' D2
R F D2 B U' L'
R F D2 B' U' L'
R F D2 B2 U' L'
R F B U' L' D
R F B U' L' D'
R F B U' L' D2
R F B U' D L'
R F B U' D' L'
R F B U' D2 L'
R F B D U' L'
R F B D' U' L'
R F B D2 U' L'
R F B' U' L' D
R F B' U' L' D'
R F B' U' L' D2
R F B' U' D L'
R F B' U' D' L'
R F B' U' D2 L'
R F B' D U' L'
R F B' D' U' L'
R F B' D2 U' L'
R F B2 U' L' D
R F B2 U' L' D'
R F B2 U' L' D2
R F B2 U' D L'
R F B2 U' D' L'
R F B2 U' D2 L'
R F B2 D U' L'
R F B2 D' U' L'
R F B2 D2 U' L'
F D' U' L B' L2
R F2 D F' U' L'
R F2 D' F' U' L'
R F2 D2 F' U' L'
R' B R2 F U' L'
F D2 B R' U' L'
F D2 B2 U' L' B'
R' B F R2 U' L'
R2 B F U' L' B'
R B F U' L' D
R B F U' L' D'
R B F U' L' D2
R B F U' D L'
R B F U' D' L'
R B F U' D2 L'
R B F D U' L'
R B F D' U' L'
R B F D2 U' L'
D2 B' R F U' L
R' B' R2 F U' L'
R' B' F R2 U' L'
R B' F U' L' D
R B' F U' L' D'
R B' F U' L' D2
R B' F U' D L'
R B' F U' D' L'
R B' F U' D2 L'
R B' F D U' L'
R B' F D' U' L'
R B' F D2 U' L'
R' B2 R2 F U' L'
R' B2 F R2 U' L'
R B2 F U' L' D
R B2 F U' L' D'
R B2 F U' L' D2
R B2 F U' D L'
R B2 F U' D' L'
R B2 F U' D2 L'
R B2 F D U' L'
R B2 F D' U' L'
R B2 F D2 U' L'
D' L R B' L' F U'
L' R D' L F B' U'
L' R D' L B' F U'
L' R F L F U' L2
L2 R F L2 F U' L
L R B L' F U' L'
R L B L' F U' L'
L R B' L' F U' L'
R L B' L' F U' L'
L R B2 L' F U' L'
R L B2 L' F U' L'
D' L B' L' R F U'
D' L B' R L' F U'
R L' D' L F B' U'
R L' D' L B' F U'
R L' F L F U' L2
F L' D' L U' B' L'
R L2 F L2 F U' L
L U L' R F U' L'
L2 U L2 R F U' L'
L2 U R L2 F U' L'
L U R L' F U' L'
R U R U' F U' L'
R U R' U' F U' L'
R U R2 U' F U' L'
D' R L B' L' F U'
F R U' L2 D' L B'
F R U' D' L B' L2
D R U2 F' U D R2
D R U2 F' U2 F2 U'
D R U2 F' D U R2
D R U2 F' D2 B2 U
D' R D F U' L' D
D' R D F U' L' D'
D' R D F U' L' D2
D' R D F U' D L'
D' R D F U' D' L'
D' R D F U' D2 L'
D' R D F D U' L'
D' R D F D' U' L'
D' R D F D2 U' L'
D' R D F B U' L'
D' R D F B' U' L'
D' R D F B2 U' L'
D' R D B F U' L'
D' R D B' F U' L'
D' R D B2 F U' L'
F R D R' U' L' B
F R D R' U' B L'
D R D F U' D' L2
D R D F U2 F2 U
D R D F D' U' L2
D R D F D2 B2 U'
D' R D' F B' U' L
D' R D' B' F U' L
D R D' F U' D' L2
D R D' F U2 F2 U
D R D' F D' U' L2
D R D' F D2 B2 U'
F R D' U' L B' L2
D2 R D2 F U' L' D
D2 R D2 F U' L' D'
D2 R D2 F U' L' D2
D2 R D2 F U' D L'
D2 R D2 F U' D' L'
D2 R D2 F U' D2 L'
D2 R D2 F D U' L'
D2 R D2 F D' U' L'
D2 R D2 F D2 U' L'
D2 R D2 F B U' L'
D2 R D2 F B' U' L'
D2 R D2 F B2 U' L'
B' R D2 F B' U' L
D2 R D2 B F U' L'
D2 R D2 B' F U' L'
B2 R D2 F B' U' L
D2 R D2 B2 F U' L'
B' R D2 B' F U' L
D' R F L B' L' U'
D R D2 F U' D' L2
D R D2 F U2 F2 U
D R D2 F D' U' L2
D R D2 F D2 B2 U'
U' R F L U' L2 F'
U' R F L U' F' L2
B2 R D2 B' F U' L
B R D2 F B' U' L
U' R F L2 U' L F'
U' R F L2 U' F' L
L U' L' R F U' L'
B' R F U R U2 L'
B' R F U R' U2 L'
B' R F U R2 U2 L'
B R D2 B' F U' L
D2 R F U' B' L B
B' R F U' L2 D L
B' R F U' L2 D' L
B' R F U' L2 D2 L
B' R F U' D L' D
B' R F U' D L' D'
B' R F U' D L' D2
F R D2 B R' U' L'
B' R F U' D' L' D
B' R F U' D' L' D'
B' R F U' D' L' D2
B' R F U' D2 L' D
B' R F U' D2 L' D'
B' R F U' D2 L' D2
B' R F U' B' L' B
U' R F U' L F' L2
B' R F U' B2 L' B2
U' R F U' L' D F'
U' R F U' L' D' F'
U' R F U' L' D2 F'
U' R F U' L' F' D
U' R F U' L' F' D'
U' R F U' L' F' D2
U' R F U' L2 F' L
U' R F U' D L' F'
U' R F U' D' L' F'
U' R F U' D2 L' F'
B2 R F U R U2 L'
B2 R F U R' U2 L'
B2 R F U R2 U2 L'
B' R F D U' L' D
B' R F D U' L' D'
B' R F D U' L' D2
F R D2 B2 U' L' B'
B' R F D B U' L'
B' R F D B' U' L'
B' R F D B2 U' L'
B2 R F U' L2 D L
B2 R F U' L2 D' L
B2 R F U' L2 D2 L
D' R F D' B' U' L
U' R F D U' L' F'
B2 R F U' D L' D
B2 R F U' D L' D'
B2 R F U' D L' D2
B2 R F U' D' L' D
B2 R F U' D' L' D'
B2 R F U' D' L' D2
B' R F D' U' L' D
B' R F D' U' L' D'
B' R F D' U' L' D2
B2 R F U' D2 L' D
B2 R F U' D2 L' D'
B2 R F U' D2 L' D2
B' R F D' B U' L'
B2 R F U' B' L' B
B' R F D' B' U' L'
B2 R F U' B2 L' B2
B' R F D' B2 U' L'
D2 R F B U R' U2
U' R F D' U' L' F'
B' R F D2 U' L' D
B' R F D2 U' L' D'
B' R F D2 U' L' D2
B' R F D2 B U' L'
B' R F D2 B' U' L'
B' R F D2 B2 U' L'
D2 R F B' U' L D
D2 R F B' U' L D'
D2 R F B' U' L D2
D2 R F B' U' D L
D2 R F B' U' D' L
D2 R F B' U' D2 L
U' R F D2 U' L' F'
D2 R F B' D U' L
D2 R F B' D' U' L
D2 R F B' D2 U' L
B2 R F D U' L' D
B2 R F D U' L' D'
B2 R F D U' L' D2
D R F U D R2 U2
B' R F B U' L' D
B' R F B U' L' D'
B' R F B U' L' D2
B' R F B U' D L'
B' R F B U' D' L'
B' R F B U' D2 L'
U2 R F U2 R' U L'
L2 U' L2 R F U' L'
B' R F B D U' L'
B' R F B D' U' L'
B2 R F D B U' L'
B' R F B D2 U' L'
B2 R F D B' U' L'
B2 R F D B2 U' L'
D R F U' L D' L2
D R F U' L' D' L2
D R F U' L2 D' L2
U' R F B U' L' F'
B' R F B' U' L' D
B' R F B' U' L' D'
B' R F B' U' L' D2
B' R F B' U' D L'
B' R F B' U' D' L'
B' R F B' U' D2 L'
B2 R F D' U' L' D
B2 R F D' U' L' D'
B2 R F D' U' L' D2
B' R F B' D U' L'
B' R F B' D' U' L'
D R F U' D' L2 D
D R F U' D' L2 D'
D R F U' D' L2 D2
B' R F B' D2 U' L'
B2 R F D' B U' L'
B R F U R U2 L'
B2 R F D' B' U' L'
B R F U R' U2 L'
B2 R F D' B2 U' L'
B R F U R2 U2 L'
U' R F B' U' L' F'
B' R F B2 U' L' D
B' R F B2 U' L' D'
B' R F B2 U' L' D2
B' R F B2 U' D L'
B' R F B2 U' D' L'
B' R F B2 U' D2 L'
B' R F B2 D U' L'
B' R F B2 D' U' L'
B2 R F D2 U' L' D
B2 R F D2 U' L' D'
B2 R F D2 U' L' D2
B' R F B2 D2 U' L'
B R F U' L2 D L
B R F U' L2 D' L
B R F U' L2 D2 L
B2 R F D2 B U' L'
B2 R F D2 B' U' L'
D R F U2 F2 U D
D R F U2 F2 U D'
D R F U2 F2 U D2
D R F U2 F2 D U
D R F U2 F2 D' U
D R F U2 F2 D2 U
B2 R F D2 B2 U' L'
B R F U' D L' D
B R F U' D L' D'
B R F U' D L' D2
U' R F B2 U' L' F'
B R F U' D' L' D
B R F U' D' L' D'
B R F U' D' L' D2
B R F U' D2 L' D
B R F U' D2 L' D'
B R F U' D2 L' D2
B R F U' B' L' B
B R F U' B2 L' B2
B2 R F B U' L' D
B2 R F B U' L' D'
B2 R F B U' L' D2
B2 R F B U' D L'
B2 R F B U' D' L'
B2 R F B U' D2 L'
D R F D U R2 U2
B2 R F B D U' L'
B2 R F B D' U' L'
B2 R F B D2 U' L'
B2 R F B' U' L' D
B2 R F B' U' L' D'
B2 R F B' U' L' D2
B2 R F B' U' D L'
B2 R F B' U' D' L'
B2 R F B' U' D2 L'
B2 R F B' D U' L'
B2 R F B' D' U' L'
B2 R F B' D2 U' L'
D R F D' U' L2 D
D R F D' U' L2 D'
D R F D' U' L2 D2
D R F D' B U' L2
D R F D' B' U' L2
D R F D' B2 U' L2
B R F D U' L' D
B R F D U' L' D'
B R F D U' L' D2
B2 R F B2 U' L' D
B2 R F B2 U' L' D'
B2 R F B2 U' L' D2
B2 R F B2 U' D L'
B2 R F B2 U' D' L'
B2 R F B2 U' D2 L'
B2 R F B2 D U' L'
B2 R F B2 D' U' L'
B R F D B U' L'
B2 R F B2 D2 U' L'
B R F D B' U' L'
B R F D B2 U' L'
B R F D' U' L' D
B R F D' U' L' D'
B R F D' U' L' D2
D R F D2 B2 U' D
D R F D2 B2 U' D'
D R F D2 B2 U' D2
U2 R F B2 L U' L2
D R F D2 B2 D U'
D R F D2 B2 D' U'
D R F D2 B2 D2 U'
B R F D' B U' L'
B R F D' B' U' L'
B R F D' B2 U' L'
D R F B U' D' L2
D R F B U2 F2 U
D R F B D' U' L2
D R F B D2 B2 U'
B R F D2 U' L' D
B R F D2 U' L' D'
B R F D2 U' L' D2
B R F D2 B U' L'
D R F B' U' D' L2
B R F D2 B' U' L'
B R F D2 B2 U' L'
D R F B' U2 F2 U
D R F B' D' U' L2
D R F B' D2 B2 U'
B R F B U' L' D
B R F B U' L' D'
B R F B U' L' D2
B R F B U' D L'
B R F B U' D' L'
B R F B U' D2 L'
B R F B D U' L'
B R F B D' U' L'
B R F B D2 U' L'
D R F B2 U' D' L2
D R F B2 U2 F2 U
D R F B2 D' U' L2
D R F B2 D2 B2 U'
B R F B' U' L' D
B R F B' U' L' D'
B R F B' U' L' D2
B R F B' U' D L'
B R F B' U' D' L'
B R F B' U' D2 L'
B R F B' D U' L'
B R F B' D' U' L'
B R F B' D2 U' L'
B R F B2 U' L' D
B R F B2 U' L' D'
B R F B2 U' L' D2
B R F B2 U' D L'
B R F B2 U' D' L'
B R F B2 U' D2 L'
B R F B2 D U' L'
B R F B2 D' U' L'
B R F B2 D2 U' L'
F R F' R F U' L'
L2 U' R L2 F U' L'
L U' R L' F U' L'
R U' R U F U' L'
B' R F2 D F' U' L'
B' R F2 D' F' U' L'
B' R F2 D2 F' U' L'
B2 R F2 D F' U' L'
B2 R F2 D' F' U' L'
B2 R F2 D2 F' U' L'
B R F2 D F' U' L'
B R F2 D' F' U' L'
B R F2 D2 F' U' L'
R U' R' U F U' L'
D' R B D F U' L'
R2 U' R' F U' L' F'
D2 R B F U R' U2
B' R B F U' L' D
B' R B F U' L' D'
B' R B F U' L' D2
B' R B F U' D L'
B' R B F U' D' L'
B' R B F U' D2 L'
B' R B F D U' L'
B' R B F D' U' L'
B' R B F D2 U' L'
U' R B F U' L' F'
R' U' R2 F U' L' F'
B2 R B F U' L' D
B2 R B F U' L' D'
B2 R B F U' L' D2
B2 R B F U' D L'
B2 R B F U' D' L'
B2 R B F U' D2 L'
B2 R B F D U' L'
B2 R B F D' U' L'
B2 R B F D2 U' L'
D R B F U' D' L2
D R B F U2 F2 U
D R B F D' U' L2
D R B F D2 B2 U'
B R B F U' L' D
B R B F U' L' D'
B R B F U' L' D2
B R B F U' D L'
B R B F U' D' L'
B R B F U' D2 L'
B R B F D U' L'
B R B F D' U' L'
B R B F D2 U' L'
R U' R2 U F U' L'
D2 R B' D F U' L
D' R B' D F U' L'
D2 R B' D' F U' L
D2 R B' D2 F U' L
D2 R B' F U' L D
D2 R B' F U' L D'
D2 R B' F U' L D2
D2 R B' F U' D L
D2 R B' F U' D' L
D2 R B' F U' D2 L
D2 R B' F D U' L
D2 R B' F D' U' L
D2 R B' F D2 U' L
B' R B' F U' L' D
B' R B' F U' L' D'
B' R B' F U' L' D2
B' R B' F U' D L'
B' R B' F U' D' L'
B' R B' F U' D2 L'
B' R B' F D U' L'
B' R B' F D' U' L'
B' R B' F D2 U' L'
U' R B' F U' L' F'
B2 R B' F U' L' D
B2 R B' F U' L' D'
B2 R B' F U' L' D2
B2 R B' F U' D L'
B2 R B' F U' D' L'
B2 R B' F U' D2 L'
B2 R B' F D U' L'
B2 R B' F D' U' L'
B2 R B' F D2 U' L'
