B U L B R'
U' L U F U B2
B L' U L2 B R'
B L' U B L2 R'
B L' U B R' L2
B L2 U L' B R'
B L2 U B L' R'
B L2 U B R' L'
B U L B R' D
B U L B R' D'
B U L B R' D2
B U L B D R'
B U L B D' R'
B U L B D2 R'
B U L' B L2 R'
B U L' B R' L2
B U L2 B L' R'
B U L2 B R' L'
U2 F' U' B2 L' R'
U2 F' U' B2 R' L'
F' B U L B R'
F2 B U L B R'
B F U L B R'
F B U L B R'
B F' U L B R'
U B2 R' U' F' U
B F2 U L B R'
U' L R U F U B2
L R U R' F' U B2
R L U R' F' U B2
U' L R' U F U B2
U' L R2 U F U B2
U' L U D F L2 U
U' L U F L U B2
U' L U F L' U B2
U' L U F L2 U B2
U' L U F U B2 D
U' L U F U B2 D'
U' L U F U B2 D2
U' L U F D L2 U
U' L U2 B2 U' F U
U' L D U F L2 U
U' L D2 F2 U F' U
U' L F U2 B2 D L2
U' L F' U F2 U B2
U' L F' U2 B2 D' L2
U' L F2 U F' U B2
B L B R' U' R U
B L B R2 D' R F2
B2 L B' U L B R'
B L' U L' B L' R'
B L' U L' B R' L'
B L' U L2 B R' D
B L' U L2 B R' D'
B L' U L2 B R' D2
B L' U L2 B D R'
B L' U L2 B D' R'
B L' U L2 B D2 R'
B L' U B L2 R' D
B L' U B L2 R' D'
B L' U B L2 R' D2
B L' U B L2 D R'
B L' U B L2 D' R'
B L' U B L2 D2 R'
B L' U B R' L2 D
B L' U B R' L2 D'
B L' U B R' L2 D2
B L' U' B L2 R' F
B L' U' B L2 F R'
B L' U' B R' L2 F
B L' F U L2 B R'
B L' F U B L2 R'
B L' F U B R' L2
B L' F' U L2 B R'
B L' F' U B L2 R'
B L' F' U B R' L2
B L' F2 U L2 B R'
B L' F2 U B L2 R'
B L' F2 U B R' L2
B2 L' B' U L B R'
B L' B' U B2 L2 R'
B L' B' U B2 R' L2
B L2 U L B L2 R'
B L2 U L B R' L2
B L2 U L' B R' D
B L2 U L' B R' D'
B L2 U L' B R' D2
B L2 U L' B D R'
B L2 U L' B D' R'
B L2 U L' B D2 R'
B L2 U B L' R' D
B L2 U B L' R' D'
B L2 U B L' R' D2
B L2 U B L' D R'
B L2 U B L' D' R'
B L2 U B L' D2 R'
B L2 U B R' L' D
B L2 U B R' L' D'
B L2 U B R' L' D2
B L2 U B R' D L'
B L2 U B R' D' L'
B L2 U B R' D2 L'
B L2 U B D L' R'
B L2 U B D R' L'
B L2 U B D' L' R'
B L2 U B D' R' L'
B L2 U B D2 L' R'
B L2 U B D2 R' L'
D L2 U' L' U' B' U'
D L2 F2 B U L R
D L2 F2 B U R L
L U R' F' U F B2
L U R' F' U B2 F
D L2 B U L D2 R2
D L2 B U' L' U2 L2
R U R' F' U B2 R'
D L2 B F2 U L R
D L2 B F2 U R L
B2 L2 B' U L B R'
D L2 B' U' L' R' U2
D L2 B' U' R' L' U2
B L2 B' U B2 L' R'
B L2 B' U B2 R' L'
U' R L U F U B2
L U F U F' L' B2
L U F U F' B2 L'
L U F U B2 F' L'
U R U B U' B R'
L2 U' L' U' B' U' B'
U2 R F' U' B2 L' R'
U2 R F' U' B2 R' L'
U R B' D B' L2 R'
U R B' D B' R' L2
U' R' L U F U B2
U R B2 R' U B' U'
B' R' U R B U B2
B2 R' U' D' R F' U
U R' U' F' U B2 R'
B2 R' D' U' R F' U
B2 R' D2 F D' L' F
U2 R' F' U' B2 L' R'
U2 R' F' U' B2 R' L'
U R' F' U F B2 R'
U R' F' U B2 R' F
U R' F' U B2 F R'
B' R' B' R' D' F2 L'
U' R2 L U F U B2
U R' B2 U' F' U R'
B' R2 D' F2 B' L' R'
B' R2 D' F2 B' R' L'
B' R2 D' B' F2 L' R'
B' R2 D' B' F2 R' L'
U2 R2 F' U' B2 L' R'
U2 R2 F' U' B2 R' L'
B' R2 B' D' F2 L' R'
B' R2 B' D' F2 R' L'
U R2 B' D B' L R'
U R2 B' D B' R' L
U' D L U F L U
U R2 B2 R' U B U'
B U L R B R' B
B U L F' B R' F
B U L F2 B R' F2
B U L B R2 D R
B U L B R2 D' R
B U L B R2 D2 R
B U L B D R' D
B U L B D R' D'
B U L B D R' D2
B U L B D' R' D
B U L B D' R' D'
B U L B D' R' D2
B U L B D2 R' D
B U L B D2 R' D'
B U L B D2 R' D2
B U L B F' R' F
B U L B F2 R' F2
B U L B' R B2 R'
B U L B' R' B2 R'
B U L B' R2 B2 R'
B U L B2 R B' R'
B U L B2 R' B' R'
B U L B2 R2 B' R'
B U L B2 D B' R'
B U L B2 D' B' R'
B U L B2 D2 B' R'
B U L' B L2 R' D
B U L' B L2 R' D'
B U L' B L2 R' D2
B U L' B L2 D R'
B U L' B L2 D' R'
B U L' B L2 D2 R'
B U L' B R' L2 D
B U L' B R' L2 D'
B U L' B R' L2 D2
B U L2 B L' R' D
B U L2 B L' R' D'
B U L2 B L' R' D2
B U L2 B L' D R'
B U L2 B L' D' R'
B U L2 B L' D2 R'
B U L2 B R' L' D
B U L2 B R' L' D'
B U L2 B R' L' D2
B U L2 B R' D L'
B U L2 B R' D' L'
B U L2 B R' D2 L'
B U L2 B D L' R'
B U L2 B D R' L'
B U L2 B D' L' R'
B U L2 B D' R' L'
B U L2 B D2 L' R'
B U L2 B D2 R' L'
B U R L B R' B
B U D L B D' R2
B U D' L D B R'
B U D2 L D2 B R'
B U F L F' B R'
B U F L B F' R'
B U F2 L F2 B R'
B U F2 L B R' F2
B U F2 L B F2 R'
D2 U' L F2 U F' U
B U B R' B' L B
D U' L U F L U
F' U B2 R' U' F' U
F2 U B2 R' U' F' U
F' U' L U F U B2
F2 U' L U F U B2
F U B2 R' U' F' U
F U' L U F U B2
B U' L' U2 L2 B R'
B U' L' U2 B L2 R'
B U' L' U2 B R' L2
B U' L' B L2 R' F
B U' L' B L2 F R'
B U' L' B R' L2 F
B U' L2 U2 L' B R'
B U' L2 U2 B L' R'
B U' L2 U2 B R' L'
D2 U' F2 L U F U
U' D2 L F2 U F' U
B U' F U2 L B R'
B U' F' U2 L B R'
B U' F2 U2 L B R'
U' D2 F2 L U F U
U' F L U F U B2
B U2 F U' L B R'
F' U2 F' U' B2 L' R'
F' U2 F' U' B2 R' L'
F2 U2 F' U' B2 L' R'
F2 U2 F' U' B2 R' L'
B U2 F' U' L B R'
F U2 F' U' B2 L' R'
F U2 F' U' B2 R' L'
B U2 F2 U' L B R'
U2 F R2 U' B2 L R'
U2 F R2 U' B2 R' L
U2 F U L R U2 B2
U2 F U R L U2 B2
U2 F U R U2 B2 R'
U2 F U' R2 B2 L R'
U2 F U' R2 B2 R' L
U F U F' B2 L' R'
U F U F' B2 R' L'
U2 F U' B2 R' D2 L2
U F U B2 F' L' R'
U F U B2 F' R' L'
U' F' L U F U B2
B D U L B D' R2
U2 F' R U' B2 L' R'
U2 F' R U' B2 R' L'
U2 F' R' U' B2 L' R'
U2 F' R' U' B2 R' L'
U2 F' R2 U' B2 L' R'
U2 F' R2 U' B2 R' L'
U2 F' U L U2 L2 B2
U2 F' U L U2 B2 L2
B' D B2 U L B R'
U2 F' U' L' B2 D2 R2
U2 F' U' R B2 L' R'
U2 F' U' R B2 R' L'
U2 F' U' R' B2 L' R'
U2 F' U' R' B2 R' L'
U2 F' U' R2 B2 L' R'
U2 F' U' R2 B2 R' L'
U2 F' U' B L' B R'
U2 F' U' B2 L' R' D
U2 F' U' B2 L' R' D'
U2 F' U' B2 L' R' D2
U2 F' U' B2 L' D R'
U2 F' U' B2 L' D' R'
U2 F' U' B2 L' D2 R'
U2 F' U' B2 R' L' D
U2 F' U' B2 R' L' D'
U2 F' U' B2 R' L' D2
U2 F' U' B2 R' D L'
U2 F' U' B2 R' D' L'
U2 F' U' B2 R' D2 L'
U2 F' U' B2 D L' R'
U2 F' U' B2 D R' L'
U2 F' U' B2 D' L' R'
U2 F' U' B2 D' R' L'
U2 F' U' B2 D2 L' R'
U2 F' U' B2 D2 R' L'
U2 F' B U' L' B R'
U2 F' B U' B L' R'
U2 F' B U' B R' L'
U' F2 L U F U B2
B D' U L D B R'
U F' B2 R' F D' L2
B' D' B2 U L B R'
B2 D2 R' F D' L' F
L2 F2 B U L B R
B D2 U L D2 B R'
R' B L B R' D' F2
R2 B L B D' R' F2
R2 B L B D' F2 R'
D B L2 B U L' R'
D B L2 B U R' L'
B D2 F' U L B R
L' B U L B2 R' B'
L' B U D2 L B R2
B' D2 B2 U L B R'
L2 B U L D2 B R2
L2 B U L B D2 R2
L' B U' L2 U2 L' B
L' B U' L2 U2 B L'
L2 B U' L' U2 L2 B
L2 B U' L' U2 B L2
R B U L B R' F'
F' B L' U L2 B R'
F' B L' U B L2 R'
F' B L' U B R' L2
F2 B L' U L2 B R'
F2 B L' U B L2 R'
F2 B L' U B R' L2
R B U' L F B R'
R B U' L B R' F
R B U' L B F R'
F' B L2 U L' B R'
F' B L2 U B L' R'
F' B L2 U B R' L'
B F L' U L2 B R'
B F L' U B L2 R'
B F L' U B R' L2
F2 B L2 U L' B R'
F2 B L2 U B L' R'
F2 B L2 U B R' L'
F B L' U L2 B R'
F B L' U B L2 R'
F B L' U B R' L2
B F L2 U L' B R'
B F L2 U B L' R'
B F L2 U B R' L'
F B L2 U L' B R'
L' B D2 U L B R2
F B L2 U B L' R'
F B L2 U B R' L'
F' B U L B R' D
