B L U L' B' U2
B L' U L U2 F
B' L' B2 U' R' F'
R U' R' B U' F'
F' U' L' B U' B'
B U2 R U R' F'
B U2 B' R' U R
U' B R' U' F' B'
U' B R' U' B' F'
L B U L' B' U2
F' B L' U L U2
B F U2 R U R'
F B U2 R U R'
F' B' L' B2 U' R'
B' F' L' B2 U' R'
B F' L' U L U2
B2 L U L' B' R' U2
B L U L' D B' U2
B L U L' D' B' U2
B L U L' D2 B' U2
B L U L' B' U2 D
B L U L' B' U2 D'
B L U L' B' U2 D2
B L U L' B' D U2
B L U L' B' D' U2
B L U L' B' D2 U2
B L U D L' B' U2
B L U D' L' B' U2
B L U D2 L' B' U2
B L U B L' B' U2
B L U B' L' B' U2
B L U B2 L' B' U2
B L U' R' F2 R F
B L U' R2 F2 R F'
B L U' F' R' F' R
B L U' F2 R' F' R2
U L U2 B U' F B'
U L U2 B U' B' F
B L D U L' B' U2
F' L D B U' F2 R
B L D' U L' B' U2
B L D2 U L' B' U2
B L F' L' F' U' R
B L F' D' L' F U'
F' L F2 L2 B U' R
F L F2 L' B U' R
B L F2 U' D R F'
F' L F2 B L2 U' R
B L F2 D U' R F'
F L F2 B L' U' R
F' L B L2 U L U2
D2 L B U L' B' U2
U' L B R' U' F' B'
U' L B R' U' B' F'
D' L B U L' B' U2
F' L B U' D F2 R
D L B U L' B' U2
F' L B D U' F2 R
F' L B F2 L2 U' R
F L B F2 L' U' R
F' L B' L2 B2 U' R'
B' L B2 U L' B' U2
F' L' U L U' B U'
B L' U L U2 D F
B L' U L U2 D' F
B L' U L U2 D2 F
B L' U L U2 F D
B L' U L U2 F D'
B L' U L U2 F D2
B L' U L D U2 F
B L' U L D' U2 F
B L' U L D2 U2 F
B L' U L B U2 F
B L' U L B' U2 F
B L' U L B2 U2 F
B L' U L' B' L2 U2
B L' U D L U2 F
B L' U D' L U2 F
B L' U D2 L U2 F
B L' U B2 U2 R' F'
B L' U' B2 R' F' B2
B L' U' B2 R' B2 F'
B L' D U L U2 F
