F' U' L' F2 U2 F
F' U' F2 U2 R F
F U2 R D' F L2
F U2 D' R F L2
F D R2 U2 R' F
F D R2 U2 F R'
F D' U2 R F L2
F' L U D2 F' R2 B2
F' L U D2 F' B2 R2
F' L U D2 B2 F' R2
F' L U F' D2 R2 B
F' L U' L2 F2 U2 F
F' L U' F2 L2 B' U2
F' L D' L2 B2 U F'
F' L D' B2 L2 U F'
F' L D2 U F' R2 B2
F' L D2 U F' B2 R2
F' L D2 U B2 F' R2
F L' D R2 U2 R' F'
F' L' F2 U F2 U F'
F' L' F2 U2 D' F L2
F' L' F2 D R2 U2 F
F' L' F2 D' U2 F L2
F' L2 U D2 F' B2 R'
F' L2 U D2 B2 F' R'
F' L2 U' L F2 U2 F
F L2 U2 R D' L2 F
F L2 U2 D' L2 R F
F L2 U2 D' R L2 F
F L2 D B' R2 U2 R'
F L2 D' U2 L2 R F
F L2 D' U2 R L2 F
F L2 D' B' U2 L2 R
F L2 D' B' U2 R L2
F' L2 D2 U F' B2 R'
F' L2 D2 U B2 F' R'
F L2 B' U2 R D' L2
F L2 B' U2 D' L2 R
F L2 B' U2 D' R L2
F L2 B' D R2 U2 R'
F L2 B' D' U2 L2 R
F L2 B' D' U2 R L2
L2 U F' U F' B' R'
L2 U F' U B' F' R'
F R D R2 U2 R2 F
F R D R2 U2 F R2
F R D' F' L2 F2 B'
F R D' F' L2 B' F2
F R' U F2 U F' R2
F' R' U' F2 U2 R F'
F R' U2 R2 D' F L2
F R' F2 U F' R2 B
F' R2 U' L' F2 B U2
F' R2 U' L' B F2 U2
F R2 U F2 U F' R'
F' R2 U' F2 B U2 R
F' R2 U' B L' F2 U2
F' R2 U' B F2 U2 R
F R2 U2 R' D' F L2
F R2 U2 D' R' F L2
F R2 U2 D' F L2 R'
F R2 U2 D' F R' L2
F R2 D R2 U2 R F
F R2 D' U2 R' F L2
F R2 D' U2 F L2 R'
F R2 D' U2 F R' L2
F' U L' F2 U2 F L
F U R' F2 U F' R2
F U R2 F2 U F' R'
F' U D2 F2 R F B2
F' U D2 F2 R B2 F
F' U D2 F2 B2 R F
F' U D2 B2 F2 R F
F' U F' R2 D2 B R'
F' U F' U2 F' U2 R
F' U F' D2 R2 B R'
F' U F2 R' F R2 B
F U F2 U F2 R F
F U F2 U' L' U2 F'
F' U' L F2 L2 B' U2
F' U' L' U2 D2 F' B2
F' U' L' U2 D2 B2 F'
F' U' L' D2 U2 F' B2
F' U' L' D2 U2 B2 F'
F' U' L' F2 U2 D F
F' U' L' F2 U2 D' F
F' U' L' F2 U2 D2 F
F' U' L' F2 U2 F D
F' U' L' F2 U2 F D'
F' U' L' F2 U2 F D2
F' U' L' F2 D U2 F
F' U' L' F2 D' U2 F
F' U' L' F2 D2 U2 F
F' U' L' F2 B U2 F
F' U' L' F2 B' U2 F
F' U' L' F2 B2 U2 F
F' U' L' B F2 U2 F
F' U' L' B' F2 U2 F
F' U' L' B2 F2 U2 F
F' U' D2 L' U2 F' B2
F' U' D2 L' U2 B2 F'
F2 U' F U' L' F2 U2
F2 U' F U' F2 U2 R
F U' D2 B2 U' R F
F' U' F2 L2 B' U2 R
F' U' F2 U2 R D F
F' U' F2 U2 R D' F
F' U' F2 U2 R D2 F
F' U' F2 U2 R F D
F' U' F2 U2 R F D'
F' U' F2 U2 R F D2
F' U' F2 U2 R' F R2
F' U' F2 U2 R2 F R'
F' U' F2 U2 D R F
F' U' F2 U2 D' R F
F' U' F2 U2 D2 R F
F' U' F2 D U2 R F
F' U' F2 D' U2 R F
F' U' F2 D2 U2 R F
F' U' F2 B U2 R F
F' U' F2 B' U2 R F
F' U' F2 B2 U2 R F
F' U' B L' F2 U2 F
F' U' B F2 U2 R F
F' U' B' L' F2 U2 F
F' U' B' F2 U2 R F
F' U' B2 L' F2 U2 F
F' U' B2 F2 U2 R F
F U2 L2 R D' L2 F
F U2 L2 D' L2 R F
F U2 L2 D' R L2 F
F U2 R L2 D' L2 F
F U2 R U' F2 U F'
F U2 R D F D2 L2
F U2 R D' F L2 D
F U2 R D' F L2 D'
F U2 R D' F L2 D2
F U2 R D' F' L2 F2
F U2 R D' F2 L2 F'
F U2 R D2 F D L2
F U2 R F U' F U
F U2 R2 D' R' F L2
F U2 R2 D' F L2 R'
F U2 R2 D' F R' L2
F U2 D R F2 L' F'
F U2 D' R F L2 D
F U2 D' R F L2 D'
F U2 D' R F L2 D2
F U2 D' R F' L2 F2
F U2 D' R F2 L2 F'
F U2 D' R' F L2 R2
F U2 D' R' F R2 L2
F U2 D' R2 F L2 R'
F U2 D' R2 F R' L2
F U2 D2 R D F L2
F U2 D2 R F D L2
F2 U2 F' U2 R D' L2
F2 U2 F' U2 D' L2 R
F2 U2 F' U2 D' R L2
F2 U2 F' D R2 U2 R'
F2 U2 F' D' U2 L2 R
F2 U2 F' D' U2 R L2
L2 F R D' F B' L2
L2 F R D' B' F L2
L2 F R B' D' F L2
U' F U F2 U F' R
D F U R2 F2 U R'
R' F U2 R F D' L2
D' F U2 D R F2 L'
R' F U2 D' R F L'
R2 F U' B U' R F
U2 F U2 D' F L2 R
U2 F U2 D' F R L2
D' F D R2 U2 R' F2
D' F D R2 U2 F2 R'
R2 F U2 R D' F L'
D' F D U2 R F2 L'
D F U2 D' L2 R F2
D F U2 D' R L2 F2
D F U2 D' R F2 L2
U2 F D R2 U2 F R
F D L' R2 U2 R' F'
R' F D' U2 R F L'
D F D R2 B2 L U2
D' F D' B2 U2 L2 R
D' F D' B2 U2 R L2
L2 F D' R F B' L2
L2 F D' R B' F L2
U2 F D' U2 F L2 R
