R U R2 B' L2 U
R U B' L2 R2 U
R U B' R2 L2 U
F2 R' B' L2 U L
R' D' F2 B' U B'
R' D' B' F2 U B'
R' B' L2 U D2 L2
R' B' L2 U' R2 U2
R' B' L2 D' F2 U
R' B' L2 D2 U L2
R' B' D' F2 U B2
L2 R' U' R2 U' F U'
L2 R' U2 D F B2 U'
L2 R' U2 D B2 F U'
L2 R' U2 D2 F U' L2
L2 R' U2 F U R2 U2
L2 R' U2 F U' D2 L2
L2 R' U2 F D B2 U'
L2 R' U2 F D2 U' L2
L2 R' D U2 F B2 U'
L2 R' D U2 B2 F U'
L2 R' D' F2 U2 F' U'
L2 R' D2 U2 F U' L2
L2 R' F U' R2 U2 R2
L2 R' F' D2 B2 U L2
R' L2 U' R2 U' F U'
R' L2 U2 D F B2 U'
R' L2 U2 D B2 F U'
R' L2 U2 D2 F U' L2
R' L2 U2 F U R2 U2
R' L2 U2 F U' D2 L2
R' L2 U2 F D B2 U'
R' L2 U2 F D2 U' L2
R' L2 D U2 F B2 U'
R' L2 D U2 B2 F U'
R' L2 D' F2 U2 F' U'
R' L2 D2 U2 F U' L2
F2 L2 R' U2 F U' L
R' L2 F U' R2 U2 R2
F L2 R' U2 F U' L'
R' L2 F' D2 B2 U L2
B' L2 U D F2 L' F
B' L2 U F2 D L' F
B' L2 U' D' R U2 F'
B' L2 D U F2 L' F
B' L2 D F2 U L' F
B' L2 D' U' R U2 F'
R U L2 R2 U2 F U'
B' L2 F2 U D L' F
B' L2 F2 D U L' F
B2 L2 F2 B R U L'
R U R B' L2 R U
R U R B' R L2 U
B2 L2 B F2 R U L'
R U R2 L2 U2 F U'
R U R2 D' B' U B'
R U R2 B L2 B2 U
R U R2 B' L2 U D
R U R2 B' L2 U D'
R U R2 B' L2 U D2
R U R2 B' L2 D U
R U R2 B' L2 D' U
R U R2 B' L2 D2 U
R U R2 B' U D' B2
R U R2 B' D' U B2
R U R2 B2 L2 B U
R U D' B' U F2 B'
R U D' B' U B' F2
D' R U R2 B' U B'
U' R U R2 B' L2 U
U2 R U R2 B' L2 U
D' R U B' R2 U B'
U' R U B' L2 R2 U
U' R U B' R2 L2 U
U2 R U B' L2 R2 U
U2 R U B' R2 L2 U
U R U R2 B' L2 U
U R U B' L2 R2 U
U R U B' R2 L2 U
R U B L2 R2 B2 U
R U B L2 B2 R2 U
R U B R2 L2 B2 U
R U B R2 B2 L2 U
R U B' L2 R2 U D
R U B' L2 R2 U D'
R U B' L2 R2 U D2
R U B' L2 R2 D U
R U B' L2 R2 D' U
R U B' L2 R2 D2 U
R U B' L2 U D' F2
R U B' L2 D' U F2
R U B' R2 L2 U D
R U B' R2 L2 U D'
R U B' R2 L2 U D2
R U B' R2 L2 D U
R U B' R2 L2 D' U
R U B' R2 L2 D2 U
R U B' R2 U D' B2
R U B' R2 D' U B2
R U B' U D' F2 B2
R U B' U D' B2 F2
R U B' D' U F2 B2
R U B' D' U B2 F2
R U B2 L2 B R2 U
D R F2 U R2 B' U
D R F2 U B' R2 U
R' U' R2 U B' L2 U
F2 R B' L2 R2 U L
F2 R B' R2 L2 U L
R U' D2 L2 R2 F U'
R U' D2 L2 F R2 U'
R U' D2 R2 L2 F U'
F2 R' L2 U2 F U' L
F R' L2 U2 F U' L'
R U' B' L2 R2 F' U
R U' B' R2 L2 F' U
D' R' D B' L2 F U
R U' B' R2 F' L2 U
U' R' D' F2 B' U B'
U' R' D' B' F2 U B'
U2 R' D' F2 B' U B'
F2 R' D' B' U B' L'
U2 R' D' B' F2 U B'
D R' D' F2 B' L2 U
D R' D' B' L2 F2 U
D R' D' B' F2 L2 U
U R' D' F2 B' U B'
U R' D' B' F2 U B'
D R' D2 B' U B' L2
F R' F B' L2 U L
F' R' F' B' L2 U L
U' R' B' L2 U D2 L2
U' R' B' L2 U' R2 U2
F' R' B' L2 F' U L'
U' R' B' L2 D' F2 U
U' R' B' L2 D2 U L2
D' R' B' U D2 B' L2
D' R' B' U B' D2 L2
D' R' B' U' R2 U2 B'
F2 R' B' L2 U L D
F2 R' B' L2 U L D'
F2 R' B' L2 U L D2
F2 R' B' L2 U D L
F2 R' B' L2 U D' L
F2 R' B' L2 U D2 L
F2 R' B' L2 D U L
F2 R' B' L2 D' U L
F2 R' B' L2 D2 U L
F2 R' B' L2 F U L
F2 R' B' L2 F' U L
F2 R' B' L2 F2 U L
U2 R' B' L2 U D2 L2
U2 R' B' L2 U' R2 U2
U2 R' B' L2 D' F2 U
U2 R' B' L2 D2 U L2
D' R' B' D' F2 U B'
D' R' B' D2 U B' L2
F2 R' B' U D' L' B2
F2 R' B' U D' B2 L'
U' R' B' D' F2 U B2
F' R' B' F' L2 U L
F2 R' B' D' U L' B2
F2 R' B' D' U B2 L'
D R' B' U D2 L2 B2
D R' B' U D2 B2 L2
F R' B' L2 F U L'
D R' B' U' R2 F2 U2
U2 R' B' D' F2 U B2
D R' B' U' F2 R2 U2
U R' B' L2 U D2 L2
U R' B' L2 U' R2 U2
U R' B' L2 D' F2 U
U R' B' L2 D2 U L2
D R' B' D' L2 F2 U
D R' B' D' F2 L2 U
R U2 R2 B' L2 U L2
D R' B' D2 U L2 B2
D R' B' D2 U B2 L2
F R' B' F L2 U L
U R' B' D' F2 U B2
R U2 B D' R2 F2 B2
R U2 B D' R2 B2 F2
R U2 B D' F2 R2 B2
R U2 B D' F2 B2 R2
R U2 B D' B2 R2 F2
R U2 B D' B2 F2 R2
R U2 B' L2 R2 U L2
R U2 B' R2 L2 U L2
D' R2 B' R U B' L
F2 R2 B' L2 R U L
F2 R2 B' R L2 U L
F2 U R' B' L2 U L
R D F2 B2 U B U
R' D B' D' L2 F U
R D B2 F2 U B U
R D' U B' U F2 B'
R D' U B' U B' F2
R' D' F2 D B' L2 U
R' D' F2 B' U D B'
R' D' F2 B' U D' B'
R' D' F2 B' U D2 B'
R' D' F2 B' U B' D
R' D' F2 B' U B' D'
R' D' F2 B' U B' D2
R' D' F2 B' D U B'
R' D' F2 B' D' U B'
R' D' F2 B' D2 U B'
F' U' R' F' B' L2 U
F' U' R' B' L2 F' U
F' U' R' B' F' L2 U
R' D' B' U D' B' L2
R' D' B' U B' D' L2
F2 U' R' B' L2 U L
R' D' B' D' U B' L2
R' D' B' F2 U D B'
R' D' B' F2 U D' B'
R' D' B' F2 U D2 B'
R' D' B' F2 U B' D
R' D' B' F2 U B' D'
R' D' B' F2 U B' D2
R' D' B' F2 D U B'
R' D' B' F2 D' U B'
R' D' B' F2 D2 U B'
R2 D' B' R U B' L
B' U' D F2 U2 L' F
B' U' D' R U2 F' B2
B' U' D' R U2 B2 F'
B U' D' R2 B2 L F
R D2 U' L2 R2 F U'
R D2 U' L2 F R2 U'
R D2 U' R2 L2 F U'
R' D2 B' U L2 D B2
F2 U2 R' B' L2 U L
R' D2 B' U2 R2 U' L2
R' D2 B' D F2 U B2
R F U R2 B' L2 U
R F U B' L2 R2 U
R F U B' R2 L2 U
R' F D' F2 B' U B'
R' F D' B' F2 U B'
R' F B' L2 U D2 L2
R' F B' L2 U' R2 U2
R' F B' L2 D' F2 U
R' F B' L2 D2 U L2
R' F B' D' F2 U B2
B' D U' F2 U2 L' F
R F' U R2 B' L2 U
R F' U B' L2 R2 U
R F' U B' R2 L2 U
R' F' D' F2 B' U B'
R' F' D' B' F2 U B'
R' F' B' L2 U D2 L2
R' F' B' L2 U' R2 U2
R' F' B' L2 D' F2 U
R' F' B' L2 D2 U L2
F2 D' R' B' U B' L'
R' F' B' D' F2 U B2
B' D' U' R U2 F' B2
B' D' U' R U2 B2 F'
B D' U' R2 B2 L F
U' F2 R' B' L2 U L
D' F2 R' B' U B' L'
U2 F2 R' B' L2 U L
L2 F2 R2 B R U L'
U F2 R' B' L2 U L
D F2 U R' B' U L'
R F2 U R2 B' L2 U
R F2 U B' L2 R2 U
R F2 U B' R2 L2 U
R' F2 D' F2 B' U B'
R' F2 D' B' F2 U B'
R' F2 B' L2 U D2 L2
R' F2 B' L2 U' R2 U2
R' F2 B' L2 D' F2 U
R' F2 B' L2 D2 U L2
R' F2 B' D' F2 U B2
