R D L2 F' U' L
L' R D L2 F' U' L2
L' R D F' L2 U' L2
L2 R D F' L2 U' L'
B2 L U' R F' U' L2
L2 R D2 F' U' L F'
L2 R D2 F' U' F' L
L' R F' D L2 U' L2
L R F' U B2 U2 L2
L R F' U' L2 D2 F2
L2 R F' U B2 R' U2
L2 R F' U' L D2 F2
L2 R F' U' D2 L F2
L2 R F' U' D2 F2 L
R L F' U B2 U2 L2
R L F' U' L2 D2 F2
L2 R F' D L2 U' L'
L2 R F' D2 U' L F2
L2 R F' D2 U' F2 L
L R F' B' U' L2 F
R L F' B' U' L2 F
L R B' F' U' L2 F
R L B' F' U' L2 F
R L' D L2 F' U' L2
R L' D F' L2 U' L2
D2 L' U R F U' F
R L' F' D L2 U' L2
R L2 D F' L2 U' L'
B' L2 R F' U' L F2
B' L2 R F' U' F2 L
R L2 D2 F' U' L F'
R L2 D2 F' U' F' L
R L2 F' U B2 R' U2
R L2 F' U' L D2 F2
R L2 F' U' D2 L F2
R L2 F' U' D2 F2 L
R L2 F' D L2 U' L'
R L2 F' D2 U' L F2
R L2 F' D2 U' F2 L
B2 L2 U' R F' U' L
D L2 D' R F' U' L
L' U R D L2 F' U'
L' U R D F' L2 U'
L' U R D2 F' U' F'
L' U R F' U B2 U2
L' U R F' U' D2 F2
L' U R F' D L2 U'
L' U R F' D2 U' F2
B' R L2 F' U' L F2
B' R L2 F' U' F2 L
U' R D L2 F' U' L
U2 R D L2 F' U' L
U R D L2 F' U' L
B' R F' L2 U' F L'
B' R F' U' L2 F L'
D R B L2 U' L R'
D R B L2 U' R' L
R U2 D' R2 B U L'
L' U2 B2 U' R F' U'
R D L F' L U' L
R2 D L2 R' F' U' L
R D L2 D F' U' L
R D L2 D' F' U' L
R D L2 D2 F' U' L
R D L2 F' U' L D
R D L2 F' U' L D'
R D L2 F' U' L D2
R D L2 F' U' D L
R D L2 F' U' D' L
R D L2 F' U' D2 L
R D L2 F' D U' L
R D L2 F' D' U' L
R D L2 F' D2 U' L
R2 D R' L2 F' U' L
L' D B R' D F2 B2
L' D B R' D B2 F2
R D B L2 F' U' L
R D B' L2 F' U' L
R D B2 L2 F' U' L
R D' U2 R2 B U L'
R D2 L F' U' L2 F'
R D2 L F' U' F' L2
R D2 L2 F' U' L F'
R D2 L2 F' U' F' L
B2 U2 L' U R F' U'
B2 U2 R F' U' F L'
R' D2 B L2 U L F2
R' D2 B L2 U F2 L
R D2 F' U' F L' F2
R F' U' F L' D2 F2
R F' U' F D2 L' F2
R F' U' F' D2 F2 L'
R F' D2 B' U' L F2
R F' D2 B' U' F2 L
R F' B' L2 U' F L'
R F' B' U' L2 F L'
R F2 D2 F U' F L'
D B L2 R U' L R2
D B L2 R U' R2 L
D B R L2 U' L R2
D B R L2 U' R2 L
D B R' D L' F2 B2
D B R' D L' B2 F2
D B R' D B2 L' F2
R' B U2 R2 U' L' F'
R B' L2 F' U' L F2
R B' L2 F' U' F2 L
L B' R F' U' L2 F
R B' F' L2 U' F L'
R B' F' U' L2 F L'
L2 B2 R' U' R2 F' U'
L B2 U' R F' U' L2
