F' L' R U R
F' R L' U R
F' L' R U R D
F' L' R U R D'
F' L' R U R D2
F' L' R U D R
F' L' R U D' R
F' L' R U D2 R
F' L' R D U R
F' L' R D' U R
F' L' R D2 U R
F' L' R B U R
F' L' R B' U R
F' L' R B2 U R
F' L' D R B2 U
F' L' D B2 R U
F' L' B R U R
F' L' B' R U R
F' L' B2 R U R
F' R L' U R D
F' R L' U R D'
F' R L' U R D2
F' R L' U D R
F' R L' U D' R
F' R L' U D2 R
F' R L' D U R
F' R L' D' U R
F' R L' D2 U R
F' R L' B U R
F' R L' B' U R
F' R L' B2 U R
F' R D L' U R
F' R D' L' U R
F' R D2 L' U R
F' R B L' U R
F' R B' L' U R
F' R B2 L' U R
F' D L' R B2 U
F' D L' B2 R U
F' D R L' B2 U
F' D R B2 L' U
L' F' L' R U R
L' F' R L' U R
L2 F' L' R U R
L F' L' R U R
U' F' R U B R
U2 F' R U R B
L2 F' R L' U R
L F' R L' U R
F' D B2 L' R U
F' D B2 R L' U
F' B L' R U R
F' B R L' U R
F' B' L' R U R
B' F' L' R U R
B2 F' L' R U R
F' B' R L' U R
B' F' R L' U R
B F' L' R U R
B2 F' R L' U R
B F' R L' U R
F' B2 L' R U R
F' B2 R L' U R
F' L R U R D' B2
F' L R U D' R B2
F' L R U D' B2 R
F' L R D' U R B2
F' L R D' U B2 R
F' L R B L2 U R
F' L R B' L2 U R
F' L R B2 L2 U R
B' L F' L' R U R
B2 L F' L' R U R
B' L F' R L' U R
B L F' L' R U R
U2 L F' R U R B
B2 L F' R L' U R
U' L F' R U B R
B L F' R L' U R
F' L B L2 R U R
F' L B R L2 U R
F' L B' L2 R U R
F' L B' R L2 U R
F' L B2 L2 R U R
F' L B2 R L2 U R
F' L' R U R2 D R'
F' L' R U R2 D' R'
F' L' R U R2 D2 R'
F' L' R U D R D
F' L' R U D R D'
F' L' R U D R D2
F' L' R U D' R D
F' L' R U D' R D'
F' L' R U D' R D2
F' L' R U D2 R D
F' L' R U D2 R D'
F' L' R U D2 R D2
F' L' R U B R B'
F' L' R U B2 R B2
F' L' R U' L U2 R
F' L' R U' L' U2 R
F' L' R U' L2 U2 R
F' L' R D U R D
F' L' R D U R D'
F' L' R D U R D2
F' L' R D B U R
F' L' R D B' U R
F' L' R D B2 U R
F' L' R D' U R D
F' L' R D' U R D'
F' L' R D' U R D2
F L' R U' R D' L2
F L' R U' D' L2 R
F L' R U' D' R L2
F' L' R D' B U R
F' L' R D' B' U R
F' L' R D' B2 U R
F' L' R D2 U R D
F' L' R D2 U R D'
F' L' R D2 U R D2
F' L' R D2 B U R
F' L' R D2 B' U R
F' L' R D2 B2 U R
F L' R D' U' L2 R
F L' R D' U' R L2
F L' R D2 B2 U' R
F' L' R B U R D
F' L' R B U R D'
F' L' R B U R D2
F' L' R B U D R
F' L' R B U D' R
F' L' R B U D2 R
F' L' R B D U R
F' L' R B D' U R
F' L' R B D2 U R
F' L' R B' U R D
F' L' R B' U R D'
F' L' R B' U R D2
F' L' R B' U D R
F' L' R B' U D' R
F' L' R B' U D2 R
F' L' R B' D U R
F' L' R B' D' U R
F' L' R B' D2 U R
F' L' R B2 U R D
F' L' R B2 U R D'
F' L' R B2 U R D2
F' L' R B2 U D R
F' L' R B2 U D' R
F' L' R B2 U D2 R
F' L' R B2 D U R
F' L' R B2 D' U R
F' L' R B2 D2 U R
F' L' R' U D' R' F2
F' L' R' U D' F2 R'
F' L' R' D' U R' F2
F' L' R' D' U F2 R'
F' L' R2 D R' U R
F' L' R2 D' R' U R
F' L' R2 D2 R' U R
F' L' U R' D' R' F2
F' L' U R' D' F2 R'
F' L' U R2 U' R' U
F' L' U2 D' F2 L' U'
F' L' U2 F2 L' U' R2
F L' U2 F2 L' U R2
F' L' D R U D' R2
F' L' D R D' U R2
F' L' D R B2 U D
F' L' D R B2 U D'
F' L' D R B2 U D2
F' L' D R B2 D U
F' L' D R B2 D' U
F' L' D R B2 D2 U
F' L' D R' B2 R2 U
F' L' D B' R B' U
F' L' D B2 R U D
F' L' D B2 R U D'
F' L' D B2 R U D2
F' L' D B2 R D U
F' L' D B2 R D' U
F' L' D B2 R D2 U
F' L' D B2 D R U
F' L' D B2 D' R U
F' L' D B2 D2 R U
F' L' D' R U D R2
F' L' D' R U2 F2 U'
F' L' D' R D U R2
F' L' D' R D2 B2 U
F' L' D' U2 F2 L' U'
F L' D' R F2 U' L2
F' L' D2 R U D2 R2
F' L' D2 R U' L2 U2
F' L' D2 R D' B2 U
F' L' D2 R D2 U R2
B' L' F' L' R U R
B' L' F' R L' U R
B2 L' F' L' R U R
U' L' F' R U B R
B L' F' L' R U R
U2 L' F' R U R B
B2 L' F' R L' U R
B L' F' R L' U R
U L' F' R U R B'
U L' F' R U B' R
F' L' B R U R D
F' L' B R U R D'
F' L' B R U R D2
F' L' B R U D R
F' L' B R U D' R
F' L' B R U D2 R
F' L' B R D U R
F' L' B R D' U R
F' L' B R D2 U R
F' L' B R B U R
F' L' B R B' U R
F' L' B R B2 U R
F' L' B D R B2 U
F' L' B D B2 R U
F' L' B' R U R D
F' L' B' R U R D'
F' L' B' R U R D2
F' L' B' R U D R
F' L' B' R U D' R
F' L' B' R U D2 R
F' L' B' R D U R
F' L' B' R D' U R
F' L' B' R D2 U R
F' L' B' R B U R
F' L' B' R B' U R
F' L' B' R B2 U R
F' L' B' D R B2 U
F' L' B' D B2 R U
F' L' B2 R U R D
F' L' B2 R U R D'
F' L' B2 R U R D2
F' L' B2 R U D R
F' L' B2 R U D' R
F' L' B2 R U D2 R
F' L' B2 R D U R
F' L' B2 R D' U R
F' L' B2 R D2 U R
F' L' B2 R B U R
F' L' B2 R B' U R
F' L' B2 R B2 U R
F' L' B2 D R B2 U
F' L' B2 D B2 R U
F' L2 R D L U R
F' L2 R D' L U R
F' L2 R D2 L U R
F' L2 R B' U R B
F' L2 D L R B2 U
F' L2 D L B2 R U
F' L2 D R L B2 U
B' L2 F' L' R U R
B' L2 F' R L' U R
U' L2 F' R U B R
B2 L2 F' L' R U R
B2 L2 F' R L' U R
U2 L2 F' R U R B
B L2 F' L' R U R
B L2 F' R L' U R
F' L2 B' R U R B
R U D R F' L' B'
F' R L U R D' B2
F' R L U D' R B2
F' R L U D' B2 R
F' R L D' U R B2
F' R L D' U B2 R
F' R L B L2 U R
F' R L B' L2 U R
F' R L B2 L2 U R
F' R L' U R2 D R'
F' R L' U R2 D' R'
F' R L' U R2 D2 R'
F' R L' U D R D
F' R L' U D R D'
F' R L' U D R D2
F' R L' U D' R D
F' R L' U D' R D'
F' R L' U D' R D2
F' R L' U D2 R D
F' R L' U D2 R D'
F' R L' U D2 R D2
F' R L' U B R B'
F' R L' U B2 R B2
F' R L' U' L U2 R
F' R L' U' L' U2 R
F' R L' U' L2 U2 R
F' R L' D U R D
F' R L' D U R D'
F' R L' D U R D2
F' R L' D B U R
F' R L' D B' U R
F' R L' D B2 U R
F' R L' D' U R D
F' R L' D' U R D'
F' R L' D' U R D2
F' R L' D' B U R
F' R L' D' B' U R
F' R L' D' B2 U R
F' R L' D2 U R D
F' R L' D2 U R D'
F' R L' D2 U R D2
F' R L' D2 B U R
F' R L' D2 B' U R
F' R L' D2 B2 U R
F' R L' B U R D
F' R L' B U R D'
F' R L' B U R D2
F' R L' B U D R
F' R L' B U D' R
F' R L' B U D2 R
F R L' U' R D' L2
F' R L' B D U R
F' R L' B D' U R
F' R L' B D2 U R
F R L' U' D' L2 R
F R L' U' D' R L2
F' R L' B' U R D
F' R L' B' U R D'
F' R L' B' U R D2
F' R L' B' U D R
F' R L' B' U D' R
F' R L' B' U D2 R
F' R L' B' D U R
F' R L' B' D' U R
F' R L' B' D2 U R
F' R L' B2 U R D
F' R L' B2 U R D'
F' R L' B2 U R D2
F' R L' B2 U D R
F' R L' B2 U D' R
F' R L' B2 U D2 R
F' R L' B2 D U R
F' R L' B2 D' U R
F' R L' B2 D2 U R
F R L' D' U' L2 R
F R L' D' U' R L2
F R L' D2 B2 U' R
F' R L2 D L U R
F' R L2 D' L U R
F' R L2 D2 L U R
F' R L2 B' U R B
F' R U R U' L' U
F' R D L' U R D
F' R D L' U R D'
F' R D L' U R D2
F' R D L' U D R
F' R D L' U D' R
F' R D L' U D2 R
F' R D L' D U R
F' R D L' D' U R
F' R D L' D2 U R
F' R D L' B U R
F' R D L' B' U R
F' R D L' B2 U R
F' R D B L' U R
F' R D B' L' U R
F' R D B2 L' U R
F' R D' L' U R D
F' R D' L' U R D'
F' R D' L' U R D2
F' R D' L' U D R
F' R D' L' U D' R
F' R D' L' U D2 R
F' R D' L' D U R
F' R D' L' D' U R
F' R D' L' D2 U R
F' R D' L' B U R
F' R D' L' B' U R
F' R D' L' B2 U R
F R D' L' U' L' R
F R D' L' U' R L'
F' R D' B L' U R
F' R D' B' L' U R
F' R D' B2 L' U R
F' R D2 L' U R D
F' R D2 L' U R D'
F' R D2 L' U R D2
F' R D2 L' U D R
F' R D2 L' U D' R
F' R D2 L' U D2 R
F' R D2 L' D U R
F' R D2 L' D' U R
F' R D2 L' D2 U R
