R2 U' L2 R' F U'
R2 U' L2 F R' U'
R2 U' L2 F R' U'
R2 U' R' L2 F U'
L2 D R F B2 U'
L2 D R B2 F U'
L2 D B2 R F U'
L2 D2 R F U' L2
R F L2 F U' L'
R F2 L2 F U' L
L2 R U R U' F U'
L R F L F U' L'
R L F L F U' L'
L2 R F U' F L' F'
L2 R F U2 F U L'
L2 R F D2 B' U' L
L R F2 L F U' L2
R L F2 L F U' L2
R2 L' U' L' R' F U'
R2 L' U' L' F R' U'
R2 L' U' R' L' F U'
L2 R' D F U' B2 L
L2 R' F R2 U R U2
L2 R' F U' D B2 L
L2 R' F D U' B2 L
L2 R' F B2 R2 U' L
L2 R' F' R2 F2 U' L'
B' L' D' F2 L' R U
B' L' D' F2 R L' U
L2 R' B2 R2 F U' L
L2 R' B2 F R2 U' L
R L2 U R U' F U'
L' R2 U' L' R' F U'
L' R2 U' L' F R' U'
L' R2 U' R' L' F U'
L2 R2 U' R' F U' F'
R2 L2 U' R' F U' F'
R' L2 D F U' B2 L
B' L2 R U R U2 R'
B L2 R D2 F2 U' L'
D L2 R F B2 U' F
D L2 R B2 F U' F
R' L2 F R2 U R U2
R' L2 F U' D B2 L
R' L2 F D U' B2 L
L2 R2 F R' U R U2
R2 L2 F R' U R U2
R' L2 F B2 R2 U' L
R L2 F U' F L' F'
R L2 F U2 F U L'
R' L2 F' R2 F2 U' L'
R L2 F D2 B' U' L
L2 R2 F' R' F2 U' L'
R2 L2 F' R' F2 U' L'
U' L2 D R F B2 U'
U' L2 D R B2 F U'
U2 L2 D R F B2 U'
U2 L2 D R B2 F U'
F' L2 D F R B2 U'
F' L2 D F B2 R U'
R' L2 B2 R2 F U' L
F2 L2 D F B2 R' U'
U L2 D R F B2 U'
U L2 D R B2 F U'
U' L2 D B2 R F U'
F' L2 D B2 F R U'
F2 L2 D B2 R' F U'
R' L2 B2 F R2 U' L
U2 L2 D B2 R F U'
F2 L2 D B2 F R' U'
U L2 D B2 R F U'
U' L2 D2 R F U' L2
U2 L2 D2 R F U' L2
F' L2 D2 F R U' L2
B L2 D2 R F2 U' L2
U L2 D2 R F U' L2
F' L2 F R U R U2
F' L2 F D R B2 U'
F' L2 F D B2 R U'
F' L2 F D2 R U' L2
F2 L2 F D B2 R' U'
F L2 F' R F2 U' L'
R U R U' L2 F U'
L2 U R2 U' R' F U'
L2 U R2 U' F R' U'
D L2 B2 R F U' F
B' R L2 U R U2 R'
B R L2 D2 F2 U' L'
D R L2 F B2 U' F
D R L2 B2 F U' F
D2 R U2 R B' U L2
D2 R U2 B' R U L2
U' R F L2 F U' L'
U2 R F L2 F U' L'
U R F L2 F U' L'
R2 U' L2 R F R2 U'
R2 U' L2 R' D F U'
R2 U' L2 R' D' F U'
R2 U' L2 R' D2 F U'
R2 U' L2 R' F U' D
R2 U' L2 R' F U' D'
R2 U' L2 R' F U' D2
R2 U' L2 R' F D U'
R2 U' L2 R' F D' U'
R2 U' L2 R' F D2 U'
R2 U' L2 D R' F U'
R2 U' L2 D F R' U'
R2 U' L2 D' R' F U'
R2 U' L2 D' F R' U'
R2 U' L2 D2 R' F U'
R2 U' L2 D2 F R' U'
R2 U' L2 F R' U' D
R2 U' L2 F R' U' D'
R2 U' L2 F R' U' D2
R2 U' L2 F R' D U'
R2 U' L2 F R' D' U'
R2 U' L2 F R' D2 U'
R2 U' L2 F D R' U'
R2 U' L2 F D' R' U'
R2 U' L2 F D2 R' U'
R2 U' L2 F' R' F2 U'
R2 U' R L2 F R2 U'
U' R F2 L2 F U' L
U2 R F2 L2 F U' L
U R F2 L2 F U' L
R2 U' R' L2 D F U'
R2 U' R' L2 D' F U'
R2 U' R' L2 D2 F U'
R2 U' R' L2 F U' D
R2 U' R' L2 F U' D'
R2 U' R' L2 F U' D2
R2 U' R' L2 F D U'
R2 U' R' L2 F D' U'
R2 U' R' L2 F D2 U'
R2 U' R' F L2 F U'
R2 U' R' F' L2 F U'
R2 U' R' F2 L2 F U'
D R B2 U2 B U F2
R2 U' F L2 R' F U'
R2 U' F L2 F R' U'
R2 U' F R' L2 F U'
R2 U' F' L2 R' F U'
R2 U' F' L2 F R' U'
R2 U' F' R' L2 F U'
B' R' U D F2 B2 L
B' R' U D B2 L F2
B' R' U D B2 F2 L
R2 U' F2 L2 R' F U'
R2 U' F2 L2 F R' U'
R2 U' F2 R' L2 F U'
B' R' D U F2 B2 L
B' R' D U B2 L F2
B' R' D U B2 F2 L
R2 U2 L2 R' F U' L2
R2 U2 L2 F R' U' L2
R2 U2 R' L2 F U' L2
D R' B2 R2 F' U' F'
R U2 D B' U F2 L'
U' R2 U' L2 R' F U'
U' R2 U' L2 F R' U'
U' R2 U' R' L2 F U'
B2 R2 U' L2 F' R' U'
U2 R2 U' L2 R' F U'
U2 R2 U' L2 F R' U'
U2 R2 U' R' L2 F U'
B2 R2 U' F' L2 R' U'
B2 R2 U' F' R' L2 U'
B' R2 U2 L2 R' U' L2
U R2 U' L2 R' F U'
U R2 U' L2 F R' U'
B' R2 U2 R' L2 U' L2
U R2 U' R' L2 F U'
R U2 B' U D F2 L'
R U2 B' D U F2 L'
L D L R F B2 U'
L D L R B2 F U'
L D L B2 R F U'
R D L2 F U' F L'
L2 D R D F U' L2
L2 D R F U' D L2
L2 D R F D U' L2
L2 D R F B2 U' D
L2 D R F B2 U' D'
L2 D R F B2 U' D2
L2 D R F B2 D U'
L2 D R F B2 D' U'
L2 D R F B2 D2 U'
L D R L F B2 U'
L D R L B2 F U'
L2 D R B2 D F U'
L2 D R B2 D' F U'
L2 D R B2 D2 F U'
L2 D R B2 F U' D
L2 D R B2 F U' D'
L2 D R B2 F U' D2
L2 D R B2 F D U'
L2 D R B2 F D' U'
L2 D R B2 F D2 U'
L2 D R' F R2 B2 U'
L2 D R' F B2 R2 U'
L2 D R' B2 R2 F U'
L2 D R' B2 F R2 U'
L2 D R2 F R' B2 U'
R D U2 B' U F2 L'
R' D B' U F2 B' L
R' D B' U B' L F2
R' D B' U B' F2 L
L2 D B' R F B' U'
L2 D B' R B' F U'
L2 D B2 R D F U'
L2 D B2 R D' F U'
L2 D B2 R D2 F U'
L2 D B2 R F U' D
L2 D B2 R F U' D'
L2 D B2 R F U' D2
L2 D B2 R F D U'
L2 D B2 R F D' U'
L2 D B2 R F D2 U'
