B2 U F L B' L2
B2 L U F B' L' F
B2 L U B' L' F L'
B2 L U B' F L' F
F L U' B2 U L2 B
F L U' B2 U B L2
F L D' R2 D B' L2
F2 L D' F' R2 B' L'
F2 L D' F' B' L' R2
F2 L D' F' B' R2 L'
F2 L D' B' F' L' R2
F2 L D' B' F' R2 L'
B2 L F U B' L' F
F2 L F' D' R2 B' L'
F2 L F' D' B' L' R2
F2 L F' D' B' R2 L'
F' L F2 D' R2 B' L'
F' L F2 D' B' L' R2
F' L F2 D' B' R2 L'
F L B' L2 U F U'
F L B' U' B' U L2
F' L B2 U F2 L' B
F' L B2 U F2 B L'
F' L B2 U B F2 L'
F L' U' L2 B2 U B
F L' U' B2 L2 U B'
F L' U' B2 U' F U2
F L' U2 D L2 U2 B'
F L' U2 D F L2 U2
F L' U2 D' F U2 R2
F L' U2 F U B2 U
F L' U2 F U2 D' R2
F L' U2 F D L2 U2
F L' U2 F D' U2 R2
F L' D U2 L2 U2 B'
F L' D U2 F L2 U2
F L' D' L2 R2 B' L2
F L' D' L2 B' L2 R2
F L' D' L2 B' R2 L2
F L' D' R2 L2 B' L2
F L' D' R2 U2 F U2
F L' D' U2 F U2 R2
F L' D' F2 R2 F2 B
F L' D' F2 R2 B F2
F' L' F2 L' D' R2 B
F' L' F2 D' L' R2 B
F' L' F2 D' R2 L' B
F' L' F2 D' R2 B L'
F L2 D' L' R2 B' L2
F L2 D' L' B' L2 R2
F L2 D' L' B' R2 L2
F L2 D' R2 L' B' L2
F2 L2 D' F' L' R2 B'
F2 L2 D' F' L' B' R2
F2 L2 D' F' R2 L' B'
F2 L2 F' L' D' R2 B'
F2 L2 F' L' D' B' R2
F2 L2 F' D' L' R2 B'
F2 L2 F' D' L' B' R2
F2 L2 F' D' R2 L' B'
F' L2 F2 L' D' R2 B'
F' L2 F2 L' D' B' R2
F' L2 F2 D' L' R2 B'
F' L2 F2 D' L' B' R2
F' L2 F2 D' R2 L' B'
B2 R U F L B' L2
B2 R' U F L B' L2
B2 R2 U F L B' L2
D' R2 D F L B' L2
F' R2 B2 U L F2 B'
F' R2 B2 U L B' F2
F' R2 B2 U F2 L B'
B2 U L F B' L' F
B2 U L B' L' F L'
B2 U L B' F L' F
B2 U F L B L2 B2
B2 U F L B' L2 D
B2 U F L B' L2 D'
B2 U F L B' L2 D2
B2 U F L B2 L2 B
B2 U F L' U2 F U2
B2 U F B L B' L2
B2 U F B' L B' L2
B2 U F B2 L B' L2
B2 U F' L F2 B' L'
B2 U F' L B' F2 L'
B2 U F' L2 F2 L' B'
B2 U F2 L F' B' L'
B2 U F2 L B' F' L'
B2 U F2 L2 F' L' B'
B2 U B F L B' L2
B2 U B' F L B' L2
B2 U B2 F L B' L2
F U' L B2 U L2 B
F U' L B2 U B L2
F U' B2 L U B' L2
F U' B2 U L B' L2
L F B2 U L' F B
L F B2 U L' B F
L F B2 U B L' F
F D' L' R' D' R' B
F D' L2 R2 D L B'
F D' R' L' D' R' B
F D' R' D' L' R' B
F D' R' D' R' L' B
F D' R' D' R' B L'
F D' R2 L2 D L B'
F D' R2 D L B' L2
F D' R2 B' L' D' B2
F D' B' L' R2 D' B2
F D' B' R2 L' D' B2
F D2 L' R D R2 B
F D2 L' R' D B R2
F D2 L' R' B D R2
F D2 R L' D R2 B
F D2 R D L' R2 B
F D2 R D R2 L' B
F D2 R D R2 B L'
F D2 R' L' D B R2
F D2 R' L' B D R2
F D2 R' D L' B R2
F D2 R' D B L' R2
F D2 R' D B R2 L'
F D2 R' B L' D R2
F D2 R' B D L' R2
F D2 R' B D R2 L'
B F L B' L2 D' R2
F B L B' L2 D' R2
B2 F' L U F2 B' L'
B2 F' L U B' F2 L'
B2 F' U L F2 B' L'
B2 F' U L B' F2 L'
B2 F' U L2 F2 L' B'
B2 F' U F2 L B' L2
F' B2 L U F2 B' L'
F' B2 L U B' F2 L'
L B2 L' U F L' B
L B2 L' U F B L'
L B2 L' U B F L'
U' B2 U F L B' L2
R' B2 U F L B' L2
U2 B2 U F L B' L2
R2 B2 U F L B' L2
L B2 U L' F L' B
L B2 U L' F B L'
L B2 U L' B F L'
F' B2 U L F2 B' L'
F' B2 U L B' F2 L'
L B2 U F L' F B
L B2 U F L' B F
L B2 U F B L' F
U B2 U F L B' L2
F' B2 U L2 F2 L' B'
L B2 U B L' F L'
L B2 U B F L' F
R B2 U F L B' L2
F' B2 U F2 L B' L2
L B2 F U L' F B
L B2 F U L' B F
L B2 F U B L' F
