D L D L F' B'
D L D L B' F'
D L D F' L B'
D2 L D' F' B' L2
D2 L D' B' L2 F'
D2 L D' B' F' L2
D L F' D L B'
D2 L B' D' L2 F'
D2 L B' D' F' L2
D2 L' D' L2 F' B'
D2 L' D' L2 B' F'
B2 R' U' B R F'
F' R' D L2 B R
F' R' D B L2 R
F' R' D B R L2
F' U R' B2 U' B'
F' U B2 R' U' B
F' D L D L B'
D F' L D L B'
F' D2 L D' B' L2
F' D2 L B' D' L2
F' D2 L' D' L2 B'
R' B2 U' R F' B'
R' B2 U' R B' F'
R' B2 U' B' R F'
B2 L R' U' B R F'
F' L R' D L2 B R
F' L R' D B L2 R
F' L R' D B R L2
F' L U R' B2 U' B'
F' L U B2 R' U' B
D2 L U' F2 U F B'
D2 L U' F2 U B' F
F' L D L D L B'
D L D L D F' B'
D L D L D B' F'
D L D L D' F' B'
D L D L D' B' F'
D L D L D2 F' B'
D L D L D2 B' F'
D L D L F' D B'
D L D L F' D' B'
D L D L F' D2 B'
D L D L F' B' D
D L D L F' B' D'
D L D L F' B' D2
D L D L B' D F'
D L D L B' D' F'
D L D L B' D2 F'
D L D L B' F' D
D L D L B' F' D'
D L D L B' F' D2
D2 L D F' D2 B' L2
D2 L D F' B' D2 L2
D L D F L F2 B'
D L D F L B' F2
D L D F' L D B'
D L D F' L D' B'
D L D F' L D2 B'
D L D F' L B' D
D L D F' L B' D'
D L D F' L B' D2
D2 L D B' D2 L2 F'
D2 L D B' D2 F' L2
D2 L D B' F' D2 L2
D2 L D' L2 F' D2 B2
D2 L D' F B' L2 F2
D2 L D' F' B L2 B2
D2 L D' F' B' L2 D
D2 L D' F' B' L2 D'
D2 L D' F' B' L2 D2
D2 L D' F' B2 L2 B
D2 L D' B L2 F' B2
D2 L D' B L2 B2 F'
D L D' F' D2 L B'
D2 L D' B F' L2 B2
D2 L D' B' L F' L
D2 L D' B' L2 D F'
D2 L D' B' L2 D' F'
D2 L D' B' L2 D2 F'
D2 L D' B' L2 F' D
D2 L D' B' L2 F' D'
D2 L D' B' L2 F' D2
D2 L D' B' F L2 F2
D2 L D' B' F' L2 D
D2 L D' B' F' L2 D'
D2 L D' B' F' L2 D2
D2 L D' B2 L2 F' B
D2 L D' B2 L2 B F'
D2 L D' B2 F' L2 B
F' L D2 L D' B' L2
F' L D2 L B' D' L2
F' L D2 L' D' L2 B'
D2 L D2 F' D B' L2
D2 L F' U' F' U B'
D L F' D L D B'
D L F' D L D' B'
D L F' D L D2 B'
D L F' D L B' D
D L F' D L B' D'
D L F' D L B' D2
D2 L F' B' U' F' U
D L F2 D F L B'
R' L B2 U' R F' B'
R' L B2 U' R B' F'
R' L B2 U' B' R F'
D2 L B' L D' L2 F'
D2 L B' L D' F' L2
D2 L B' L' D' L2 F'
D2 L B' L' D' F' L2
D2 L B' L2 D' L2 F'
D2 L B' L2 D' F' L2
D2 L B' U' F2 U F
D2 L B' D F' D2 L2
D2 L B' D' L F' L
D2 L B' D' L2 D F'
D2 L B' D' L2 D' F'
D2 L B' D' L2 D2 F'
D2 L B' D' L2 F' D
D2 L B' D' L2 F' D'
D2 L B' D' L2 F' D2
D2 L B' D' F L2 F2
D2 L B' D' F' L2 D
D2 L B' D' F' L2 D'
D2 L B' D' F' L2 D2
D2 L B' D2 F' D L2
D2 L B' F' U' F' U
D2 L B2 D' L2 F' B
D2 L B2 D' L2 B F'
D2 L B2 D' F' L2 B
D2 L B2 D' F' B L2
D2 L B2 D' B L2 F'
D2 L B2 D' B F' L2
F' L' R' D L2 B R
F' L' R' D B L2 R
F' L' R' D B R L2
B2 L' R' U' B R F'
F' L' U R' B2 U' B'
F' L' U B2 R' U' B
F' L' D L D L B'
D L' D L F' B' L2
D L' D L B' L2 F'
D L' D L B' F' L2
D L' D L' F' D2 B2
D2 L' D F' D2 L2 B2
D2 L' D F' D2 B2 L2
D2 L' D' L F' L B'
D2 L' D' L2 D F' B'
D2 L' D' L2 D B' F'
D2 L' D' L2 D' F' B'
D2 L' D' L2 D' B' F'
D2 L' D' L2 D2 F' B'
D2 L' D' L2 D2 B' F'
D2 L' D' L2 F' D B'
D2 L' D' L2 F' D' B'
D2 L' D' L2 F' D2 B'
D2 L' D' L2 F' B' D
D2 L' D' L2 F' B' D'
D2 L' D' L2 F' B' D2
D2 L' D' L2 B' D F'
D2 L' D' L2 B' D' F'
D2 L' D' L2 B' D2 F'
D2 L' D' L2 B' F' D
D2 L' D' L2 B' F' D'
D2 L' D' L2 B' F' D2
D2 L' D' F' L2 D2 B2
D2 L' D' B L2 F' B'
D2 L' D' B L2 B' F'
D2 L' D' B' L2 F' B'
D2 L' D' B' L2 B' F'
