F' L' U R2 F U
F' L' U F R2 U
R2 L' F U B R
L' R2 F U B R
D F' L' R B2 U2
D F' L' B2 R U2
D F' R L' B2 U2
D F' R B2 L' U2
D F' B2 L' R U2
D F' B2 R L' U2
D B2 F' L' R U2
D B2 F' R L' U2
R2 L U2 B' U' R' B2
D L F' L' R B2 U2
D L F' L' B2 R U2
D L F' R L' B2 U2
D L F' R B2 L' U2
D L F' B2 L' R U2
D L F' B2 R L' U2
F' L' R U R F U
D L B2 F' L' R U2
D L B2 F' R L' U2
F' L' R' U R' F U
F' L' R' U F R' U
R2 L' D F U B R
F' L' R2 U F U F'
B' L' R2 F U B R
R2 L' D' F U B R
B2 L' R2 F U B R
B L' R2 F U B R
U L' R2 F B' U B2
F' L' U R' F R' U
U L' R2 B' F U B2
F' L' U R2 D F U
F' L' U R2 D' F U
F' L' U R2 D2 F U
F' L' U R2 F U D
F' L' U R2 F U D'
F' L' U R2 F U D2
F' L' U R2 F D U
F' L' U R2 F D' U
F' L' U R2 F D2 U
F' L' U D' F U F
F' L' U F R2 U D
F' L' U F R2 U D'
F' L' U F R2 U D2
F' L' U F R2 D U
F' L' U F R2 D' U
F' L' U F R2 D2 U
F' L' U F U D' F2
F' L' U F D' U F2
F' L' U F' R2 F2 U
R2 L' D2 F U B R
R' L' F R' U B R2
R2 L' F L U B R
L' R' F R' U B R2
R2 L' F L' U B R
R2 L' F L2 U B R
F' L' U' D2 L2 B' U'
R2 L' F U D B R
R2 L' F U D' B R
R2 L' F U D2 B R
R2 L' F U B R D
R2 L' F U B R D'
R2 L' F U B R D2
R2 L' F U B D R
R2 L' F U B D' R
R2 L' F U B D2 R
R2 L' F U B' R B2
R2 L' F U B2 R B'
R2 L' F D U B R
R2 L' F D' U B R
R2 L' F D2 U B R
R2 L' F B' U R B2
R2 L' F B' U B2 R
R2 L' F B2 U R B'
R2 L' F B2 U B' R
F' L' U2 F' D' L2 F2
F' L' U2 F' D' F2 L2
F' L' D B2 U F U
F' L' D' U F U F
F' L' D2 U' L2 B' U'
R2 L' B' F U R B2
R2 L' B' F U B2 R
R2 L' B2 F U R B'
R2 L' B2 F U B' R
D L' F' L' R B2 U2
D L' F' L' B2 R U2
D L' F' R L' B2 U2
D L' F' R B2 L' U2
D L' F' B2 L' R U2
D L' F' B2 R L' U2
F' L' B U R2 F U
F' L' B U F R2 U
L R2 U2 B' U' R' B2
F' L' B' U R2 F U
F' L' B' U F R2 U
L' R2 D F U B R
U L' B' R2 F U B
F' L' B2 U R2 F U
F' L' B2 U F R2 U
L' R2 D' F U B R
D L' B2 F' L' R U2
D L' B2 F' R L' U2
L' R2 D2 F U B R
L' R2 F L U B R
L' R2 F L' U B R
L' R2 F L2 U B R
L' R2 F U D B R
L' R2 F U D' B R
L' R2 F U D2 B R
L' R2 F U B R D
L' R2 F U B R D'
L' R2 F U B R D2
L' R2 F U B D R
L' R2 F U B D' R
L' R2 F U B D2 R
L' R2 F U B' R B2
L' R2 F U B2 R B'
L' R2 F D U B R
L' R2 F D' U B R
L2 R2 F U B L R
L' R2 F D2 U B R
L2 R2 F U B R L
R2 L2 F U B L R
R2 L2 F U B R L
L' R2 F B' U R B2
L' R2 F B' U B2 R
L' R2 F B2 U R B'
L' R2 F B2 U B' R
L' R2 B' F U R B2
L' R2 B' F U B2 R
L' R2 B2 F U R B'
L' R2 B2 F U B' R
D L2 F' L' R B2 U2
D L2 F' L' B2 R U2
D L2 F' R L' B2 U2
D L2 F' R B2 L' U2
D L2 F' B2 L' R U2
D L2 F' B2 R L' U2
D L2 B2 F' L' R U2
D L2 B2 F' R L' U2
F' R L' U R F U
F' R' L' U R' F U
F' R' L' U F R' U
F' R2 L' U F U F'
B' R2 L' F U B R
B2 R2 L' F U B R
B R2 L' F U B R
U R2 L' F B' U B2
U R2 L' B' F U B2
R2 D F U L' B R
R2 D F U B L' R
R2 D F U B R L'
U2 D' F2 L2 B' L R'
U2 D' F2 L2 B' R' L
D' U2 F2 L2 B' L R'
D' U2 F2 L2 B' R' L
D F L' R D2 F2 B2
D F L' R D2 B2 F2
D F L' D2 R F2 B2
D F L' D2 R B2 F2
D F L' D2 B2 R F2
R2 F L2 U B L R
R2 F L2 U B R L
D' F R D2 F L' B2
D' F R D2 F B2 L'
D' F R D2 B2 F L'
D' F R F L2 B' L
D F R L' D2 F2 B2
D F R L' D2 B2 F2
D F R D2 L' F2 B2
D F R D2 L' B2 F2
D F R D2 B2 L' F2
L' F R2 U R' D2 B2
L' F R2 U D2 R' B2
L' F R2 U' F2 U2 R'
L' F R2 D' L2 U R'
L' F R2 D2 U R' B2
L' F D' L2 U R F2
D' F D2 R F L' B2
D' F D2 R F B2 L'
D' F D2 R B2 F L'
D' F D2 B2 R F L'
D F D2 L' R F2 B2
D F D2 L' R B2 F2
D F D2 L' B2 R F2
D F D2 R L' F2 B2
D F D2 R L' B2 F2
D F D2 R B2 L' F2
D F D2 B2 L' R F2
D F D2 B2 R L' F2
D' F' L' R2 B R' U2
L' F' L' U R2 F2 U
D F' L R B2 L2 U2
L' F' L' U F2 R2 U
L' F' L' U2 D' L2 F2
L' F' L' U2 D' F2 L2
L' F' L' D R2 B2 U2
L' F' L' D B2 R2 U2
L' F' L' D' U2 L2 F2
L' F' L' D' U2 F2 L2
D' F' L' B' U2 L F'
D' F' L' B' U2 F' L
D' F' L' B2 U2 F' L'
D F' L B2 L2 R U2
D F' L B2 R L2 U2
D F' L' R U2 D2 F2
D F' L' R D2 U2 F2
D F' L' R B2 U2 D
D F' L' R B2 U2 D'
D F' L' R B2 U2 D2
D F' L' R B2 D U2
D F' L' R B2 D' U2
D F' L' R B2 D2 U2
D F' L' R' B2 R2 U2
B' D F' L' R B2 U2
D F' L' R2 B2 U2 L
B' D F' L' B2 R U2
B' D F' R L' B2 U2
D F' L' U2 D2 F2 L'
B' D F' R B2 L' U2
D F' L' D2 R U2 F2
D F' L' D2 U2 F2 L'
B2 D F' L' R B2 U2
B2 D F' L' B2 R U2
B2 D F' R L' B2 U2
B2 D F' R B2 L' U2
D F' L' B' R B' U2
D F' L' B2 R U2 D
D F' L' B2 R U2 D'
D F' L' B2 R U2 D2
D F' L' B2 R D U2
D F' L' B2 R D' U2
D F' L' B2 R D2 U2
D F' L' B2 D R U2
D F' L' B2 D' R U2
D F' L' B2 D2 R U2
B' D F' B2 L' R U2
B' D F' B2 R L' U2
D F' L2 R B2 U2 R'
B2 D F' B2 L' R U2
B2 D F' B2 R L' U2
B D F' L' R B2 U2
B D F' L' B2 R U2
B D F' R L' B2 U2
B D F' R B2 L' U2
D F' L2 B2 R U2 R2
D F' R L B2 L2 U2
D F' R L' U2 D2 F2
D F' R L' D2 U2 F2
D F' R L' B2 U2 D
D F' R L' B2 U2 D'
D F' R L' B2 U2 D2
D F' R L' B2 D U2
D F' R L' B2 D' U2
D F' R L' B2 D2 U2
D F' R L2 B2 U2 R'
D F' R U2 D2 F2 R
B D F' B2 L' R U2
B D F' B2 R L' U2
D F' R D2 L' U2 F2
D F' R D2 U2 F2 R
D' F' R2 L' B R' U2
D F' R B L' B U2
D F' R B2 L' U2 D
D F' R B2 L' U2 D'
D F' R B2 L' U2 D2
D F' R B2 L' D U2
D F' R B2 L' D' U2
D F' R B2 L' D2 U2
D F' R B2 D L' U2
D F' R B2 D' L' U2
D F' R B2 D2 L' U2
D F' R' L' B2 R2 U2
D' F' R2 B L' R' U2
D' F' R2 B R' L' U2
D F' R' B2 L' R2 U2
D F' R' B2 R2 L' U2
D F' R2 L' B2 U2 L
L' F' U R2 F2 U R
L' F' U F2 R2 U R'
D F' R2 B2 L' U2 L2
B' D B2 F' L' R U2
B' D B2 F' R L' U2
B2 D B2 F' L' R U2
B2 D B2 F' R L' U2
L' F' U2 D' F2 L2 R
L' F' U2 D' F2 R L2
B D B2 F' L' R U2
B D B2 F' R L' U2
L' F' D L' R2 B2 U2
L' F' D L' B2 R2 U2
L' F' D R2 L' B2 U2
F' D' L' B R' U2 F2
L' F' D R2 B2 L' U2
F' D' L' B' U2 L F2
F' D' L' B' U2 F2 L
D F' U2 D2 F2 L' R
D F' U2 D2 F2 R L'
L' F' D B2 L' R2 U2
L' F' D B2 R2 L' U2
L' F' D' L' U2 L' F2
L' F' D' U2 F2 L2 R
L' F' D' U2 F2 R L2
D F' D2 L' R U2 F2
D F' D2 L' U2 F2 L'
D F' D2 R L' U2 F2
D F' D2 R U2 F2 R
D' F' B' L' U2 L2 F'
D' F' B' L' U2 F' L2
D F' D2 U2 F2 L' R
D F' D2 U2 F2 R L'
D F' B L' B R U2
D' F' B2 L' U2 F' L'
D F' B' R B' L' U2
D F' B2 L' R U2 D
D F' B2 L' R U2 D'
D F' B2 L' R U2 D2
D F' B2 L' R D U2
D F' B2 L' R D' U2
D F' B2 L' R D2 U2
D F' B2 L' D R U2
D F' B2 L' D' R U2
D F' B2 L' D2 R U2
D F' B2 R L' U2 D
D F' B2 R L' U2 D'
D F' B2 R L' U2 D2
D F' B2 R L' D U2
D F' B2 R L' D' U2
D F' B2 R L' D2 U2
D F' B2 R D L' U2
D F' B2 R D' L' U2
D F' B2 R D2 L' U2
D F' B2 D L' R U2
D F' B2 D R L' U2
D F' B2 D' L' R U2
D F' B2 D' R L' U2
D F' B2 D2 L' R U2
D F' B2 D2 R L' U2
F' D' B L' R' U2 F2
F' D' B R' L' U2 F2
F' D' B R' U2 F2 R
F' D' B' L' U2 L2 F2
F' D' B' L' U2 F2 L2
F' D' B' U2 F2 L R
F' D' B' U2 F2 R L
L' B R2 F U B R
F' B L' U R2 F U
F' B L' U F R2 U
D B F' L' B R U2
R2 B' L' F U R B2
R2 B' L' F U B2 R
L' B' R2 F U B R
B' F' L' U R2 F U
B' F' L' U F R2 U
F' B' L' U R2 F U
F' B' L' U F R2 U
B2 F' L' U R2 F U
B2 F' L' U F R2 U
B F' L' U R2 F U
B F' L' U F R2 U
D' B' F' L' U2 L2 F'
D' B' F' L' U2 F' L2
D B' F' R B' L' U2
D B2 L F' L' R U2
D B2 L F' R L' U2
D B2 L' F' L' R U2
D B2 L' F' R L' U2
F' B2 L' U R2 F U
F' B2 L' U F R2 U
D B2 L2 F' L' R U2
D B2 L2 F' R L' U2
L' B2 R2 F U B R
D' B2 F' L' U2 F' L'
D B2 F' L' R U2 D
D B2 F' L' R U2 D'
D B2 F' L' R U2 D2
D B2 F' L' R D U2
D B2 F' L' R D' U2
D B2 F' L' R D2 U2
D B2 F' L' D R U2
D B2 F' L' D' R U2
D B2 F' L' D2 R U2
D B2 F' R L' U2 D
D B2 F' R L' U2 D'
D B2 F' R L' U2 D2
D B2 F' R L' D U2
D B2 F' R L' D' U2
D B2 F' R L' D2 U2
D B2 F' R D L' U2
D B2 F' R D' L' U2
D B2 F' R D2 L' U2
D B2 F' D L' R U2
D B2 F' D R L' U2
D B2 F' D' L' R U2
D B2 F' D' R L' U2
D B2 F' D2 L' R U2
D B2 F' D2 R L' U2
