B2 L U D2 R2 F2
B2 L U D2 F2 R2
B2 L U' L2 B2 U2
B2 L U' B2 L2 U2
B2 L D' R2 B2 U
B2 L D' B2 R2 U
B2 L D2 U R2 F2
B2 L D2 U F2 R2
U' L' U' L R' U'
U' L' U' R' L U'
L' U' R' U R U2
U' R' U L' R U2
U' R' U R L' U2
U' R' F2 U' L' R
U' R' F2 U' R L'
U2 R' F2 U' R F2
B U' B' L' U2 B'
U2 F2 R' U' R2 F2
U2 F2 R' U' F2 R2
B2 L R U D2 R2 F2
B2 L R U D2 F2 R2
B2 L R U' L2 B2 U2
B2 L R U' B2 L2 U2
B2 L R D' R2 B2 U
L' R U D2 L2 U L2
B2 L R D' B2 R2 U
B2 L R D2 U R2 F2
B2 L R D2 U F2 R2
B2 L R' U D2 R2 F2
B2 L R' U D2 F2 R2
B2 L R' U' L2 B2 U2
B2 L R' U' B2 L2 U2
U2 L R' D F2 U' F2
B2 L R' D' R2 B2 U
L' R U' R2 U R2 U2
L' R U' R2 U' D2 L2
L' R U' R2 D B2 U'
B2 L R' D' B2 R2 U
L' R U' R2 D2 U' L2
B2 L R' D2 U R2 F2
B2 L R' D2 U F2 R2
B2 L R2 U D2 R2 F2
B2 L R2 U D2 F2 R2
B2 L R2 U' L2 B2 U2
B2 L R2 U' B2 L2 U2
B2 L R2 D' R2 B2 U
B2 L R2 D' B2 R2 U
B2 L R2 D2 U R2 F2
B2 L R2 D2 U F2 R2
L' R U2 D B2 D L2
B2 L U R D2 R2 F2
B2 L U R D2 F2 R2
L' R U2 B2 D L2 B2
L' R U2 B2 D B2 L2
B2 L U R' D2 R2 F2
B2 L U R' D2 F2 R2
B2 L U R2 D2 R2 F2
B2 L U R2 D2 F2 R2
B2 L U D2 R' F2 R'
B2 L U D2 R2 F2 D
B2 L U D2 R2 F2 D'
B2 L U D2 R2 F2 D2
B2 L U D2 F R2 F
B2 L U D2 F2 R2 D
B2 L U D2 F2 R2 D'
B2 L U D2 F2 R2 D2
B2 L U F D2 R2 F2
B2 L U F D2 F2 R2
B2 L U F' D2 R2 F2
B2 L U F' D2 F2 R2
B2 L U F2 D2 R2 F2
B2 L U F2 D2 F2 R2
L' R D U2 B2 D L2
B2 L U' L B2 U2 R'
B2 L U' L' B2 L' U2
B2 L U' L2 U2 D2 F2
B2 L U' L2 D2 U2 F2
B2 L U' L2 B2 U2 D
B2 L U' L2 B2 U2 D'
B2 L U' L2 B2 U2 D2
B2 L U' L2 B2 D U2
B2 L U' L2 B2 D' U2
B2 L U' L2 B2 D2 U2
B2 L U' B L2 B U2
B2 L U' B' L2 U2 F
B2 L U' B2 L2 U2 D
B2 L U' B2 L2 U2 D'
B2 L U' B2 L2 U2 D2
B2 L U' B2 L2 D U2
B2 L U' B2 L2 D' U2
B2 L U' B2 L2 D2 U2
B2 L U' B2 U2 D2 R2
B2 L U' B2 D2 U2 R2
L' R D' F2 U F2 U
L' R D' F2 U2 D' L2
L' R D' F2 D R2 U2
L' R D' F2 D' U2 L2
B2 L U2 D L2 F2 U'
B2 L U2 D F2 L2 U'
L' R D2 U L2 U L2
U2 L D R' F2 U' F2
B2 L D U2 L2 F2 U'
B2 L D U2 F2 L2 U'
U2 L D F2 R' U' F2
L' R F U' R2 B U'
B2 L D' R B2 R U
B2 L D' R2 U D' R2
B2 L D' R2 D' U R2
B2 L D' R2 B2 U D
B2 L D' R2 B2 U D'
B2 L D' R2 B2 U D2
B2 L D' R2 B2 D U
B2 L D' R2 B2 D' U
B2 L D' R2 B2 D2 U
B2 L D' B' R2 B' U
B2 L D' B2 R2 U D
B2 L D' B2 R2 U D'
B2 L D' B2 R2 U D2
B2 L D' B2 R2 D U
B2 L D' B2 R2 D' U
B2 L D' B2 R2 D2 U
B2 L D' B2 U D' F2
B2 L D' B2 D' U F2
U L D' B2 L U L2
B2 L D2 R U R F2
B2 L D2 R' U R' F2
B2 L D2 R' U F2 R'
B2 L D2 U R' F2 R'
B2 L D2 U R2 F2 D
B2 L D2 U R2 F2 D'
B2 L D2 U R2 F2 D2
B2 L D2 U F R2 F
B2 L D2 U F2 R2 D
B2 L D2 U F2 R2 D'
B2 L D2 U F2 R2 D2
B2 L D2 B U R2 F2
B2 L D2 B U F2 R2
B2 L D2 B' U R2 F2
B2 L D2 B' U F2 R2
L' R F2 D R2 U2 B2
B2 L D2 B2 U R2 F2
B2 L D2 B2 U F2 R2
L' R F2 D' F2 U2 L2
B2 L B U D2 R2 F'
B2 L B U' L2 B U2
B2 L B U' B L2 U2
B2 L B D2 U R2 F'
R L' U D2 L2 U L2
R2 L' U F2 L' U L
B2 L B' U' L2 U2 F
B2 L B' U' B' L2 U2
R2 L' U' R U R' U2
R2 L' U' R B2 U' L
R L' U' R2 U R2 U2
R L' U' R2 U' D2 L2
R L' U' R2 D B2 U'
R L' U' R2 D2 U' L2
R L' U2 D B2 D L2
R L' U2 B2 D L2 B2
R L' U2 B2 D B2 L2
R L' D U2 B2 D L2
R L' D' F2 U F2 U
R L' D' F2 U2 D' L2
R L' D' F2 D R2 U2
R L' D' F2 D' U2 L2
R L' D2 U L2 U L2
U' L' U' L R' U' D
U' L' U' L R' U' D'
U' L' U' L R' U' D2
U' L' U' L R' D U'
U' L' U' L R' D' U'
U' L' U' L R' D2 U'
U' L' U' L D R' U'
U' L' U' L D' R' U'
U' L' U' L D2 R' U'
D2 L' U' R' U R U2
D' L' U' R' U R U2
U' L' U' R' L U' D
U' L' U' R' L U' D'
U' L' U' R' L U' D2
U' L' U' R' L D U'
U' L' U' R' L D' U'
U' L' U' R' L D2 U'
U' L' U' R' D L U'
U' L' U' R' D' L U'
U' L' U' R' D2 L U'
D L' U' R' U R U2
U' L' U' D L R' U'
U' L' U' D R' L U'
U' L' U' D' L R' U'
U' L' U' D' R' L U'
U' L' U' D2 L R' U'
U' L' U' D2 R' L U'
R L' F U' R2 B U'
U L' U2 R' U' L R
U L' U2 R' U' R L
R2 L' F2 U L' F2 U
U' L' D U' L R' U'
U' L' D U' R' L U'
R L' F2 D R2 U2 B2
R L' F2 D' F2 U2 L2
U' L' D' U' L R' U'
U' L' D' U' R' L U'
U' L' D2 U' L R' U'
U' L' D2 U' R' L U'
U' L' F U' L R' U'
U' L' F U' R' L U'
U' L' F' U' L R' U'
U' L' F' U' R' L U'
L' R2 U F2 L' U L
L' R2 U' R U R' U2
L' R2 U' R B2 U' L
U' L' F2 U' L R' U'
U' L' F2 U' R' L U'
U' L' B2 U L R' U
U' L' B2 U R' L U
B2 L' B2 U L2 U L2
L' R2 F2 U L' F2 U
L' U L U2 R' U' L'
L' U L' U2 R' U' L
L' U L2 U2 R' U' L2
U L2 B2 L U L R'
U L2 B2 L U R' L
B2 R L U D2 R2 F2
B2 R L U D2 F2 R2
B2 R L U' L2 B2 U2
B2 R L U' B2 L2 U2
B2 R L D' R2 B2 U
B2 R L D' B2 R2 U
B2 R L D2 U R2 F2
B2 R L D2 U F2 R2
L U D' B2 L U L'
R2 U F2 L' U L R
R2 U F2 L' U R L
B R U' B' L' U2 B'
L' U B2 L B2 U L'
F2 R D R2 U2 R2 B2
F2 R D R2 U2 B2 R2
L2 U B2 L U L' R'
L2 U B2 L U R' L'
F2 R D B2 D2 L2 F2
F2 R D B2 D2 F2 L2
L2 U' L U' L' R' U'
L2 U' L U' R' L' U'
R2 U' L' U' L R U'
R2 U' L' U' R L U'
R U' L' U' L R2 U'
R U' L' U' R2 L U'
L U' L2 U' L2 R' U'
L U' L2 U' R' L2 U'
L' U' R U' D B2 L
L' U' R D U' B2 L
R2 U' R U L' R' U2
R2 U' R U R' L' U2
L' U' R B2 R2 U' L
L' U' R' U R U2 D
L' U' R' U R U2 D'
L' U' R' U R U2 D2
L' U' R' U R D U2
L' U' R' U R D' U2
L' U' R' U R D2 U2
L' U' R' U D R U2
U2 R F2 R2 U' R' F2
L' U' R' U D' R U2
U2 R F2 R2 U' F2 R'
L' U' R' U D2 R U2
L' U' R' U' F2 L' F2
L' U' R' U2 F2 U L'
L' U' R' D U R U2
L' U' R' D' U R U2
L2 U' R' U L R U2
L2 U' R' U R L U2
L' U' R' D2 U R U2
L' U' R' B U R U2
L U' R' U L2 R U2
L' U' R' B' U R U2
L U' R' U R L2 U2
L' U' R' B2 U R U2
L U' R' D F2 U' L'
L' U' R2 D R B2 U'
L' U' R2 D B2 R U'
L' U' R2 D2 R U' L2
R U' R2 U L' R2 U2
R U' R2 U R2 L' U2
L' U' D R' U R U2
L U' D R' F2 U' L'
L' U' D' R' U R U2
U2 R B2 D L2 B2 R'
B2 R' L U D2 R2 F2
B2 R' L U D2 F2 R2
B2 R' L U' L2 B2 U2
B2 R' L U' B2 L2 U2
L' U' D2 R' U R U2
B2 R' L D' R2 B2 U
B2 R' L D' B2 R2 U
B2 R' L D2 U R2 F2
B2 R' L D2 U F2 R2
U2 R' L D F2 U' F2
U' R' U L' R U2 D
U' R' U L' R U2 D'
U' R' U L' R U2 D2
U' R' U L' R D U2
U' R' U L' R D' U2
U' R' U L' R D2 U2
U' R' U L' D R U2
U' R' U L' D' R U2
U' R' U L' D2 R U2
U' R' U R L' U2 D
U' R' U R L' U2 D'
U' R' U R L' U2 D2
U' R' U R L' D U2
U' R' U R L' D' U2
U' R' U R L' D2 U2
U' R' U R D L' U2
U' R' U R D' L' U2
U' R' U R D2 L' U2
U2 R' U L' U' L U'
U' R' U D L' R U2
U' R' U D R L' U2
U' R' U D' L' R U2
U' R' U D' R L' U2
U' R' U D2 L' R U2
U' R' U D2 R L' U2
L' U' F2 R' F2 U' L'
U2 R' U' R2 D' F2 R
U' R' U' F2 L' R F2
U' R' U' F2 R L' F2
B R' U' B' L' U2 B'
U' R' U2 F2 U L' R
U' R' U2 F2 U R L'
F2 R' U2 F2 U R2 F2
F2 R' U2 F2 U F2 R2
U' R' D U L' R U2
U' R' D U R L' U2
U' R' D F2 U' L' R
U' R' D F2 U' R L'
L' U' B2 U2 L U L'
U2 R' D F2 U' R F2
U' R' D' U L' R U2
U' R' D' U R L' U2
U' R' D' F2 U' L' R
U' R' D' F2 U' R L'
U2 R' D' F2 U' R F2
U' R' D2 U L' R U2
U' R' D2 U R L' U2
U' R' D2 F2 U' L' R
U' R' D2 F2 U' R L'
U2 R' D2 F2 U' R F2
U2 R' F' U' F' R F2
U2 R' F2 L U' R F2
U2 R' F2 L' U' R F2
U' R' F2 U' L' R D
U' R' F2 U' L' R D'
U' R' F2 U' L' R D2
U' R' F2 U' L' D R
U' R' F2 U' L' D' R
U' R' F2 U' L' D2 R
U2 R' F2 L2 U' R F2
U' R' F2 U' R L' D
U' R' F2 U' R L' D'
U' R' F2 U' R L' D2
U' R' F2 U' R D L'
U' R' F2 U' R D' L'
U' R' F2 U' R D2 L'
U' R' F2 U' D L' R
U' R' F2 U' D R L'
U' R' F2 U' D' L' R
U' R' F2 U' D' R L'
U' R' F2 U' D2 L' R
U' R' F2 U' D2 R L'
U' R' F2 D U' L' R
U' R' F2 D U' R L'
U' R' F2 D' U' L' R
U' R' F2 D' U' R L'
U' R' F2 D2 U' L' R
U' R' F2 D2 U' R L'
R2 U2 R F2 U' R F2
U' R' F2 B U' L' R
U' R' F2 B U' R L'
U2 R' F2 U' R F2 D
U2 R' F2 U' R F2 D'
U2 R' F2 U' R F2 D2
U2 R' F2 U' R' F2 R2
U2 R' F2 U' R2 F2 R'
U' R' F2 B' U' L' R
U' R' F2 B' U' R L'
U' R' F2 B2 U' L' R
U' R' F2 B2 U' R L'
U R' F2 L' U' L R
U R' F2 L' U' R L
U2 R' F2 D' L2 U' R
L' U2 R' F U' F' R
L' U2 R' F2 U' F2 R
U' R' B U L' R U2
U' R' B U R L' U2
L U2 R' D F2 U' F2
U' R' B F2 U' L' R
U' R' B F2 U' R L'
U' R' B' U L' R U2
U' R' B' U R L' U2
U' R' B' F2 U' L' R
U' R' B' F2 U' R L'
R U2 R2 F2 U' R F2
U' R' B2 U L' R U2
U' R' B2 U R L' U2
L U2 D R' F2 U' F2
U' R' B2 F2 U' L' R
U' R' B2 F2 U' R L'
L U2 D F2 R' U' F2
B2 R2 L U D2 R2 F2
B2 R2 L U D2 F2 R2
B2 R2 L U' L2 B2 U2
B2 R2 L U' B2 L2 U2
B2 R2 L D' R2 B2 U
B2 R2 L D' B2 R2 U
B2 R2 L D2 U R2 F2
B2 R2 L D2 U F2 R2
L' U2 F R' U' R F'
L' U2 F' R' U' R F
L' U2 F2 R' U' R F2
F2 R2 U F2 L' U R'
R U2 F2 R2 U' R' F2
R U2 F2 R2 U' F2 R'
B R2 U' B' L' U2 B'
L' U2 B' U B R' U'
L' U2 B2 U B2 R' U'
R U2 B2 D L2 B2 R'
R D L' U2 B2 D L2
L' D U' R' U R U2
L D U' R' F2 U' L'
U' D L' U' L R' U'
U' D L' U' R' L U'
L D U2 R' F2 U' F2
L D U2 F2 R' U' F2
U' D R' U L' R U2
U' D R' U R L' U2
B U R B D2 F2 R
U' D R' F2 U' L' R
U' D R' F2 U' R L'
U2 D R' F2 U' R F2
U2 D F2 R' U' R2 F2
U2 D F2 R' U' F2 R2
R D' L' F2 U F2 U
R D' L' F2 U2 D' L2
R D' L' F2 D R2 U2
R D' L' F2 D' U2 L2
F U F' U2 R' F' U'
B U F2 R B D2 F2
D' U' L' U' L R' U'
U' D' L' U' L R' U'
U' D' L' U' R' L U'
D' U' L' U' R' L U'
D2 U' L' U' L R' U'
D2 U' L' U' R' L U'
B U B D2 F2 R B
L' D' U' R' U R U2
D U' L' U' L R' U'
D U' L' U' R' L U'
L D' U B2 L U L'
U' D' R' U L' R U2
D' U' R' U L' R U2
U' D' R' U R L' U2
D' U' R' U R L' U2
D2 U' R' U L' R U2
D2 U' R' U R L' U2
B' U' L' B U' R' U'
U' D' R' F2 U' L' R
U' D' R' F2 U' R L'
D' U' R' F2 U' L' R
D' U' R' F2 U' R L'
D2 U' R' F2 U' L' R
D2 U' R' F2 U' R L'
B2 U' L' B2 U L2 U
B2 U' L' B2 U2 D' B2
B2 U' L' B2 D F2 U2
B2 U' L' B2 D' U2 B2
D U' R' U L' R U2
D U' R' U R L' U2
U2 D' R' F2 U' R F2
D U' R' F2 U' L' R
D U' R' F2 U' R L'
F2 U' R' U' R2 D' L2
F2 U' R' U2 F2 U R2
F2 U' R' D' F2 U' L2
R D' F2 U2 R D' L2
R D' F2 U2 D' L2 R
R D' F2 U2 D' R L2
R D' F2 D R2 U2 R'
R D' F2 D' U2 L2 R
R D' F2 D' U2 R L2
B' U' D L' F B U2
B' U' D L' B F U2
U2 D' F2 R' U' R2 F2
U2 D' F2 R' U' F2 R2
B' U' D B L' F U2
F U' R2 B R F' U'
F2 U' D' R' U' L2 R2
F2 U' D' R' U' R2 L2
L D' B2 L U D2 F2
L D' B2 L U' B2 U2
L D' B2 L D' R2 U
L D' B2 L D2 U F2
B U' D B' L' U2 B'
L D' B2 D' L R2 U
L D' B2 D' R2 L U
L D' B2 D2 L U F2
F2 U' D2 R' B2 U' R2
B U' D' B' L' U2 B'
B U' D2 B' L' U2 B'
R D2 L' U L' U L
U' D2 L' U' L R' U'
U' D2 L' U' R' L U'
B' U' B L' U' R' U'
B U' F2 B' U2 R B
B U' B L' B2 U2 B
U' D2 R' U L' R U2
U' D2 R' U R L' U2
B U' B' L F L2 U2
B U' B' L' U2 D B'
B U' B' L' U2 D' B'
B U' B' L' U2 D2 B'
B U' B' L' U2 B' D
B U' B' L' U2 B' D'
B U' B' L' U2 B' D2
B U' B' L' D U2 B'
B U' B' L' D' U2 B'
B U' B' L' D2 U2 B'
B U' B' L' F U2 B'
B U' B' L' F' U2 B'
B U' B' L' F2 U2 B'
B2 U' B2 L' U' R' U'
U' D2 R' F2 U' L' R
U' D2 R' F2 U' R L'
D' U2 R' F2 U' R F2
D2 U2 R' F2 U' R F2
L' D2 U' R' U R U2
B U' B' D L' U2 B'
B U' B' D' L' U2 B'
B U' B' D2 L' U2 B'
B U' B' F2 U2 R B
B U' B2 L' B U2 B2
U2 D2 R' F2 U' R F2
D U2 R' F2 U' R F2
D' U2 F2 R' U' R2 F2
D' U2 F2 R' U' F2 R2
D2 U2 F2 R' U' R2 F2
D2 U2 F2 R' U' F2 R2
F2 U2 R D B2 D2 L2
F2 U2 R D' L2 D2 B2
U2 D2 F2 R' U' R2 F2
U2 D2 F2 R' U' F2 R2
D U2 F2 R' U' R2 F2
D U2 F2 R' U' F2 R2
F2 U2 D' L2 R D B2
F2 U2 D' R L2 D B2
F2 U2 D2 R D L2 B2
F2 U2 D2 R D B2 L2
U2 F R' F U' R F'
L' F R2 U' B R U'
L' F U F' U2 R' U'
U' F U' R' F' U' F
L' F U' R2 B R U'
B2 D L D' B2 R' U
F2 D R2 U' R U' R2
F2 D R2 U2 R' D B2
B' D U' L' F B U2
B' D U' L' B F U2
B' D U' B L' F U2
B D U' B' L' U2 B'
L F' L2 U' R' B' U'
U2 F' R' U' F' R F2
U2 F' R' F' U' R F2
L' F' U F U2 R' U'
L' F' U' R' U2 F U
B2 D' L R2 U D2 R2
B2 D' L R2 U' L2 U2
B2 D' L R2 D' B2 U
B2 D' L R2 D2 U R2
B2 D' L D' B2 U F2
B2 D' R2 L U D2 R2
B2 D' R2 L U' L2 U2
B2 D' R2 L D' B2 U
B2 D' R2 L D2 U R2
F2 D' U' R' U' L2 R2
F2 D' U' R' U' R2 L2
U2 F2 L R' U' R2 F2
U2 F2 L R' U' F2 R2
