F2 U' R B L
F' R D2 B U' R'
F' R F' B U' R
F' R B F' U' R
D' U L' F R U2
F2 U' L R B L
U D' L' F R U2
F2 U' L' R B L
F2 U' L2 R B L
F2 U' R L B L
F2 U' R L' B L
F2 U' R L2 B L
F2 U' R D B L
F2 U' R D' B L
F2 U' R D2 B L
F2 U' R B L D
F2 U' R B L D'
F2 U' R B L D2
F2 U' R B D L
F2 U' R B D' L
F2 U' R B D2 L
F2 U' D R B L
F2 U' D' R B L
F2 U' D2 R B L
F2 U' B L R B
F2 U' B R L B
F' D R F' B U'
F' D R B F' U'
F2 D U' R B L
F2 D' U' R B L
F' D2 R B U' R'
F2 D2 U' R B L
R F2 B U' R B
F2 B U' R B L
R B F2 U' R B
F2 B' U' R B L
B' F2 U' R B L
F2 B2 U' R B L
B2 F2 U' R B L
B F2 U' R B L
U2 L F L' U' L' U2
U2 L F D' L' B2 U
U2 L F D' B2 L' U
U2 L F D2 L' U R2
U L' U L F L' U
U L' U2 D' B L B'
U L' U2 B D' L B'
U L' D R F' U2 L'
U L' D R' U2 B L
U L' D F R F' U2
U L' D' U2 B L B'
U L' F R U L' U
U L' F' U' R U' L'
R2 U D' L' F U2 L'
U R D' L' F R U2
F' R D2 F B U' R'
F' R D2 F' B U' R'
F' R D2 F2 B U' R'
F' R D2 B U' R' D
F' R D2 B U' R' D'
F' R D2 B U' R' D2
F' R D2 B U' D R'
F' R D2 B U' D' R'
F' R D2 B U' D2 R'
F' R D2 B D U' R'
F' R D2 B D' U' R'
F' R D2 B D2 U' R'
F' R D2 B F U' R'
F' R D2 B F' U' R'
F' R D2 B F2 U' R'
F' R F B U L' U2
F2 R F B R U' R'
F R F B U' R B
F' R F' D B U' R
F' R F' D' B U' R
F' R F' D2 B U' R
F' R F' B U' R D
F' R F' B U' R D'
F' R F' B U' R D2
F' R F' B U' D R
F' R F' B U' D' R
F' R F' B U' D2 R
F' R F' B D U' R
F' R F' B D' U' R
F' R F' B D2 U' R
D2 R F2 B R' U' R2
B' R F2 B U' R B
B2 R F2 B U' R B
D2 R B R' U L' U2
D2 R B R' F2 U' R
D' R B U L' F U2
B R F2 B U' R B
F2 R B R' U' R B
F' R B U' F' R F
D R B U L' F' U2
D2 R B F2 R' U' R2
F' R B F U L' U2
B' R B F2 U' R B
F' R B F' U' R D
F' R B F' U' R D'
F' R B F' U' R D2
F' R B F' U' D R
F' R B F' U' D' R
F' R B F' U' D2 R
F' R B F' D U' R
F' R B F' D' U' R
F' R B F' D2 U' R
F2 R B F R U' R'
B2 R B F2 U' R B
B R B F2 U' R B
F R B F U' R B
U R' D' L' F R U2
U R2 D' L' F R U2
F' R2 F' R' B U' R2
D' U L' R F R U2
D' U L' R' F R U2
D' U L' R2 F R U2
D' U L' D F R U2
D' U L' D' F R U2
D' U L' D2 F R U2
D' U L' F R U2 D
D' U L' F R U2 D'
D' U L' F R U2 D2
D' U L' F R D U2
D' U L' F R D' U2
D' U L' F R D2 U2
D' U L' F D R U2
D' U L' F D' R U2
D' U L' F D2 R U2
D U L' R F' U2 L'
D U L' R' U2 B L
U D L' R F' U2 L'
U D L' R' U2 B L
D U L' F R F' U2
U D L' F R F' U2
D' U R L' F R U2
D U R L' F' U2 L'
D' U R' L' F R U2
U D R L' F' U2 L'
U' D R' B L D2 R2
D U R' L' U2 B L
D' U R2 L' F R U2
U D R' L' U2 B L
B' U D' L' F R U2
D U F R F' L' U2
B2 U D' L' F R U2
U D F R F' L' U2
B U D' L' F R U2
D' U' L B L B2 R'
U' D' L B L B2 R'
U' D' L' F U2 F' L'
D' U' L' F U2 F' L'
R2 D' U L' F U2 L'
U D' L' R F R U2
U D' L' R' F R U2
U D' L' R2 F R U2
U D' L' D F R U2
U D' L' D' F R U2
F2 U' L R D B L
F2 U' L R D' B L
F2 U' L R D2 B L
U D' L' D2 F R U2
F2 U' L R B L D
F2 U' L R B L D'
F2 U' L R B L D2
F2 U' L R B D L
F2 U' L R B D' L
F2 U' L R B D2 L
U D' L' F R U2 D
U D' L' F R U2 D'
U D' L' F R U2 D2
U D' L' F R D U2
U D' L' F R D' U2
U D' L' F R D2 U2
U D' L' F D R U2
U D' L' F D' R U2
U D' L' F D2 R U2
F2 U' L D R B L
F2 U' L D' R B L
F2 U' L D2 R B L
F2 U' L B L R B
F2 U' L B R L B
F2 U' L' R D B L
F2 U' L' R D' B L
F2 U' L' R D2 B L
F2 U' L' R B L D
F2 U' L' R B L D'
F2 U' L' R B L D2
F2 U' L' R B D L
F2 U' L' R B D' L
F2 U' L' R B D2 L
F2 U' L' D R B L
F2 U' L' D' R B L
F2 U' L' D2 R B L
U D' R L' F R U2
F2 U' L' B L R B
F2 U' L' B R L B
F2 U' L2 R D B L
F2 U' L2 R D' B L
F2 U' L2 R D2 B L
F2 U' L2 R B L D
F2 U' L2 R B L D'
F2 U' L2 R B L D2
F2 U' L2 R B D L
F2 U' L2 R B D' L
F2 U' L2 R B D2 L
F2 U' L2 D R B L
F2 U' L2 D' R B L
F2 U' L2 D2 R B L
U D' R' L' F R U2
F2 U' L2 B L R B
F2 U' L2 B R L B
D U' R' B L D2 R2
F2 U' R L D B L
F2 U' R L D' B L
F2 U' R L D2 B L
F2 U' R L B L D
F2 U' R L B L D'
F2 U' R L B L D2
F2 U' R L B D L
F2 U' R L B D' L
F2 U' R L B D2 L
F2 U' R L' D B L
F2 U' R L' D' B L
F2 U' R L' D2 B L
F2 U' R L' B L D
F2 U' R L' B L D'
F2 U' R L' B L D2
F2 U' R L' B D L
F2 U' R L' B D' L
F2 U' R L' B D2 L
F2 U' R L2 D B L
F2 U' R L2 D' B L
F2 U' R L2 D2 B L
F2 U' R L2 B L D
F2 U' R L2 B L D'
F2 U' R L2 B L D2
F2 U' R L2 B D L
F2 U' R L2 B D' L
F2 U' R L2 B D2 L
F2 U' R D L B L
F2 U' R D L' B L
F2 U' R D L2 B L
F2 U' R D B L D
F2 U' R D B L D'
F2 U' R D B L D2
F2 U' R D B D L
F2 U' R D B D' L
F2 U' R D B D2 L
F2 U' R D' L B L
F2 U' R D' L' B L
F2 U' R D' L2 B L
F2 U' R D' B L D
F2 U' R D' B L D'
F2 U' R D' B L D2
F2 U' R D' B D L
F2 U' R D' B D' L
F2 U' R D' B D2 L
F2 U' R D2 L B L
F2 U' R D2 L' B L
F2 U' R D2 L2 B L
U D' R2 L' F R U2
F2 U' R D2 B L D
F2 U' R D2 B L D'
F2 U' R D2 B L D2
F2 U' R D2 B D L
F2 U' R D2 B D' L
F2 U' R D2 B D2 L
F2 U' R F B L F'
F2 U' R F2 B L F2
F2 U' R B L2 D L'
F2 U' R B L2 D' L'
F2 U' R B L2 D2 L'
F2 U' R B D L D
F2 U' R B D L D'
F2 U' R B D L D2
F2 U' R B D' L D
F2 U' R B D' L D'
F2 U' R B D' L D2
F2 U' R B D2 L D
F2 U' R B D2 L D'
F2 U' R B D2 L D2
F2 U' R B F L F'
F2 U' R B F2 L F2
F2 U' R B' L B2 L
F2 U' R B' L' B2 L
F2 U' R B' L2 B2 L
F2 U' R' B L R2 B
F2 U' R' B R2 L B
R D' B U L' F U2
U' D' B L D2 R2 B'
D' U' B L D2 R2 B'
U' D' B L D2 B' R2
D' U' B L D2 B' R2
U' D' B L B' D2 R2
D' U' B L B' D2 R2
F2 U' D L R B L
F2 U' D L' R B L
F2 U' D L2 R B L
F2 U' D R L B L
F2 U' D R L' B L
F2 U' D R L2 B L
F2 U' D R D B L
F2 U' D R D' B L
F2 U' D R D2 B L
F2 U' D R B L D
F2 U' D R B L D'
F2 U' D R B L D2
F2 U' D R B D L
F2 U' D R B D' L
F2 U' D R B D2 L
F2 U' D B L R B
F2 U' D B R L B
F2 U' D' L R B L
F2 U' D' L' R B L
F2 U' D' L2 R B L
F2 U' D' R L B L
F2 U' D' R L' B L
F2 U' D' R L2 B L
F2 U' D' R D B L
F2 U' D' R D' B L
F2 U' D' R D2 B L
F2 U' D' R B L D
F2 U' D' R B L D'
F2 U' D' R B L D2
F2 U' D' R B D L
F2 U' D' R B D' L
F2 U' D' R B D2 L
F2 U' D' B L R B
F2 U' D' B R L B
F2 U' D2 L R B L
F2 U' D2 L' R B L
F2 U' D2 L2 R B L
F2 U' D2 R L B L
F2 U' D2 R L' B L
F2 U' D2 R L2 B L
F2 U' D2 R D B L
F2 U' D2 R D' B L
F2 U' D2 R D2 B L
F2 U' D2 R B L D
F2 U' D2 R B L D'
F2 U' D2 R B L D2
F2 U' D2 R B D L
F2 U' D2 R B D' L
F2 U' D2 R B D2 L
F2 U' D2 B L R B
F2 U' D2 B R L B
F2 U' B L R D B
F2 U' B L R D' B
F2 U' B L R D2 B
F2 U' B L R B D
F2 U' B L R B D'
F2 U' B L R B D2
F2 U' B L D R B
F2 U' B L D' R B
F2 U' B L D2 R B
F2 U' B L B R B
F2 U' B L B' R B
F2 U' B L B2 R B
F2 U' B L' R B L2
F2 U' B L2 R B L'
F2 U' B R L D B
F2 U' B R L D' B
F2 U' B R L D2 B
F2 U' B R L B D
F2 U' B R L B D'
F2 U' B R L B D2
F2 U' B R L' B L2
F2 U' B R L2 B L'
F2 U' B R D L B
F2 U' B R D' L B
F2 U' B R D2 L B
F2 U' B D L R B
F2 U' B D R L B
F2 U' B D' L R B
F2 U' B D' R L B
F2 U' B D2 L R B
F2 U' B D2 R L B
F2 U' B' R D2 L2 B
F2 U' B' R D2 B L2
F2 U' B' R B D2 L2
F2 U' B2 R B' L B2
R D2 F2 B R' U' R2
R D2 B R' U L' U2
R D2 B R' F2 U' R
R D2 B F2 R' U' R2
U2 F L F L2 U R
U2 F L' U2 B' U' R'
U F R U L' B' U
F' D R D F' B U'
F' D R D B F' U'
F' D R D' F' B U'
F' D R D' B F' U'
F' D R D2 F' B U'
F' D R D2 B F' U'
F' D R F' D B U'
F' D R F' D' B U'
F' D R F' D2 B U'
F' D R F' B U' D
F' D R F' B U' D'
F' D R F' B U' D2
F' D R F' B D U'
F' D R F' B D' U'
F' D R F' B D2 U'
F' D R B D F' U'
F' D R B D' F' U'
F' D R B D2 F' U'
F' D R B F' U' D
F' D R B F' U' D'
F' D R B F' U' D2
F' D R B F' D U'
F' D R B F' D' U'
F' D R B F' D2 U'
F2 D U' L R B L
F2 D U' L' R B L
F2 D U' L2 R B L
F2 D U' R L B L
F2 D U' R L' B L
F2 D U' R L2 B L
F2 D U' R D B L
F2 D U' R D' B L
F2 D U' R D2 B L
F2 D U' R B L D
F2 D U' R B L D'
F2 D U' R B L D2
F2 D U' R B D L
F2 D U' R B D' L
F2 D U' R B D2 L
F2 D U' B L R B
F2 D U' B R L B
F D F U' R B L
R2 F' R U2 F' U R
F' D B R F' B U'
F' D B R B F' U'
F2 D B U' R B L
F' D B' R F' B U'
F' D B' R B F' U'
F2 D B' U' R B L
F' D B2 R F' B U'
F' D B2 R B F' U'
F2 D B2 U' R B L
F' D' R D' B U' R'
R F' D B R F' U'
B' D' U L' F R U2
B2 D' U L' F R U2
R F' D2 B R U' R2
R F' B R F' U' R
F2 D' U' L R B L
R F' B D R F' U'
F2 D' U' L' R B L
B D' U L' F R U2
F2 D' U' L2 R B L
F2 D' U' R L B L
F2 D' U' R L' B L
F2 D' U' R L2 B L
F2 D' U' R D B L
F2 D' U' R D' B L
F2 D' U' R D2 B L
F2 D' U' R B L D
F2 D' U' R B L D'
F2 D' U' R B L D2
F2 D' U' R B D L
F2 D' U' R B D' L
F2 D' U' R B D2 L
F2 D' U' B L R B
F2 D' U' B R L B
D2 F2 R B R' U' R
F D' F U' R B L
F2 D' B U' R B L
F2 D' B' U' R B L
D' F2 U' R B L B'
F2 D' B2 U' R B L
D' F2 U' B L R B'
D' F2 U' B L B' R
D' F2 U' B R L B'
D F2 U' R' B L R2
D F2 U' R' B R2 L
F' D2 R F B U' R'
F' D2 R F' B U' R'
F' D2 R F2 B U' R'
F' D2 R B U' R' D
F' D2 R B U' R' D'
F' D2 R B U' R' D2
F' D2 R B U' D R'
F' D2 R B U' D' R'
F' D2 R B U' D2 R'
F' D2 R B D U' R'
F' D2 R B D' U' R'
F' D2 R B D2 U' R'
F' D2 R B F U' R'
F' D2 R B F' U' R'
F' D2 R B F2 U' R'
R F2 D B U' R B
R F2 D' B U' R B
R F2 D2 B U' R B
F2 D2 U' L R B L
R F2 B U' R D B
R F2 B U' R D' B
R F2 B U' R D2 B
R F2 B U' R B D
R F2 B U' R B D'
R F2 B U' R B D2
F2 D2 U' L' R B L
R F2 B U' D R B
R F2 B U' D' R B
R F2 B U' D2 R B
R F2 B U' B R B
R F2 B U' B' R B
R F2 B U' B2 R B
F2 D2 U' L2 R B L
F2 D2 U' R L B L
F2 D2 U' R L' B L
F2 D2 U' R L2 B L
R F2 B D U' R B
F2 D2 U' R D B L
F2 D2 U' R D' B L
F2 D2 U' R D2 B L
F2 D2 U' R B L D
F2 D2 U' R B L D'
F2 D2 U' R B L D2
F2 D2 U' R B D L
F2 D2 U' R B D' L
F2 D2 U' R B D2 L
R F2 B D' U' R B
R F2 B D2 U' R B
F2 D2 U' B L R B
F2 D2 U' B R L B
F D2 F U' R B L
F' D2 B R B U' R2
F2 D2 B U' R B L
D' B U L' F R U2
R B R F2 U' R B
F2 D2 B' U' R B L
R B R' F2 U' R B
F2 D2 B2 U' R B L
R B R2 F2 U' R B
R B U D' L' F U2
U' B D' L D2 R2 B'
U' B D' L D2 B' R2
U' B D' L B' D2 R2
F' B R D2 B U' R'
F' B R F' B U' R
F' B R B F' U' R
R B D' U L' F U2
F2 B U' L R B L
F2 B U' L' R B L
F2 B U' L2 R B L
F2 B U' R L B L
F2 B U' R L' B L
F2 B U' R L2 B L
F2 B U' R D B L
F2 B U' R D' B L
F2 B U' R D2 B L
