U' D F B L R'
U' D F B R' L
U' D B R' F L
U' D B F L R'
U' D B F R' L
D U' F B L R'
D U' F B R' L
D U' B R' F L
D U' B F L R'
D U' B F R' L
U' F D B L R'
U' F D B R' L
D B R' F D' L2
U' L' D B L R' F
U' L' D B L F R'
U' L' D B R' L F
R' U F' L' B U F2
R' U F' B L' U F2
B R U F' B U' F2
B R U B F' U' F2
R' U B F' L' U F2
B R F U F2 B U'
B R F U B F2 U'
B2 R F B' D L2 R2
B2 R F B' D R2 L2
B' R F' B U' F2 B
B' R F' B U' B F2
B2 R F' B U' F2 B2
B2 R F' B U' B2 F2
B R F' B U' F2 B'
B R F' B U' B' F2
B' R B F' U' F2 B
B' R B F' U' B F2
D R B U' R' F B
D R B U' R' B F
D R B U' F R' B
B2 R B F' U' F2 B2
B2 R B F' U' B2 F2
B R B F' U' F2 B'
B R B F' U' B' F2
B2 R B' F D L2 R2
B2 R B' F D R2 L2
R' U' F' B L U F2
R' U' B F' L U F2
B R' U' F' B U F2
B R' U' B F' U F2
F R' U' F' B L U
F R' U' B L F' U
F R' U' B F' L U
B R' F U' F2 B U
B R' F U' B F2 U
B2 R' F B' D' L2 R2
B2 R' F B' D' R2 L2
B' R' F' B U F2 B
B' R' F' B U B F2
B2 R' F' B U F2 B2
B2 R' F' B U B2 F2
B R' F' B U F2 B'
B R' F' B U B' F2
B' R' B F' U F2 B
B' R' B F' U B F2
B2 R' B F' U F2 B2
B2 R' B F' U B2 F2
B R' B F' U F2 B'
B R' B F' U B' F2
B2 R' B' F D' L2 R2
B2 R' B' F D' R2 L2
U' D L' B L R' F
U' D L' B L F R'
U' D L' B R' L F
R D F' B R' U' F2
U' D F L B L R'
U' D F L B R' L
U' D F L' B L R'
U' D F L' B R' L
U' D F L2 B L R'
U' D F L2 B R' L
R D B F' R' U' F2
U' D F B L R' D
U' D F B L R' D'
U' D F B L R' D2
U' D F B L D R'
U' D F B L D' R'
U' D F B L D2 R'
U' D F B R' L D
U' D F B R' L D'
U' D F B R' L D2
U' D F B R' D L
U' D F B R' D' L
U' D F B R' D2 L
U' D F B D L R'
U' D F B D R' L
U' D F B D' L R'
U' D F B D' R' L
U' D F B D2 L R'
U' D F B D2 R' L
F2 U D F' L' B R'
F2 U D F' B L' R'
F2 U D F' B R' L'
D' U F' L' B R F2
F2 U D B F' L' R'
F2 U D B F' R' L'
F2 U D' F' L' B R
F2 U D' F' B L' R
F2 U D' F' B R L'
D' U F' B L' R F2
D' U F' B R L' F2
D U F B R' D2 L2
U' D F' B L R' F2
U' D F' B L F2 R'
U' D F' B R' L F2
U' D F' B R' F2 L
F2 U D' B F' L' R
F2 U D' B F' R L'
D U F' L' F2 B R'
D U F' L' B R' F2
D U F' L' B F2 R'
U D F B R' D2 L2
U D F' L' F2 B R'
U D F' L' B R' F2
U D F' L' B F2 R'
D U F' B L' R' F2
D U F' B L' F2 R'
U' D F2 B L F' R'
D U F' B R' L' F2
U' D B R F L R2
U' D B R F R2 L
U D F' B L' R' F2
U D F' B L' F2 R'
U D F' B R' L' F2
U' D B R' D F L
U' D B R' D' F L
U' D B R' D2 F L
U' D B R' F L D
U' D B R' F L D'
U' D B R' F L D2
U' D B R' F D L
U' D B R' F D' L
U' D B R' F D2 L
U' D B R' F' L F2
U' D B R' F2 L F'
U' D B D R' F L
U' D B D F L R'
U' D B D F R' L
U' D B D' R' F L
U' D B D' F L R'
U' D B D' F R' L
U' D B D2 R' F L
U' D B D2 F L R'
U' D B D2 F R' L
U' D B F L R' D
U' D B F L R' D'
U' D B F L R' D2
U' D B F L D R'
U' D B F L D' R'
U' D B F L D2 R'
U' D B F R' L D
U' D B F R' L D'
U' D B F R' L D2
U' D B F R' D L
U' D B F R' D' L
U' D B F R' D2 L
U' D B F D L R'
U' D B F D R' L
U' D B F D' L R'
U' D B F D' R' L
D' U B F' L' R F2
U' D B F D2 L R'
U' D B F D2 R' L
U' D B F' L R' F2
U' D B F' L F2 R'
D' U B F' R L' F2
U' D B F' R' L F2
U' D B F' R' F2 L
U' D B F2 L F' R'
F2 U F' L' D B R'
D U B R' F' L' F2
F2 U F' D L' B R'
F2 U F' D B L' R'
F2 U F' D B R' L'
U D B R' F' L' F2
