L2 R2 U F L R
L2 R2 U F R L
R2 L2 U F L R
R2 L2 U F R L
D F2 R B' L U2
D F2 B' L R U2
D F2 B' R L U2
D B' L F2 U2 L2
D B' F2 L R U2
D B' F2 R L U2
D' B2 L' R2 F' R
D' B2 R2 L' F' R
L2 R U F L D R2
L2 R U F D L R2
L2 R U F D R2 L
L2 R U2 F' U' L F2
L2 R U2 F' U' F2 L
L2 R F' U L F2 R
L' R' U' L' B U F
R' L' U' L' B U F
R' L' U' B L' U F
L' R' U' B L' U F
R' L' B L' U F L
L' R' B L' U F L
L2 R' B U D2 F L'
L2 R' B D2 U F L'
D L' D2 R F' R B2
D L' D2 R F' B2 R
D L' D2 R B2 F' R
D L' D2 F' R F' B2
D L' D2 F' R B2 F'
D L' D2 F' B2 R F'
D L' D2 B2 R F' R
D L' D2 B2 F' R F'
R2 L2 U R F L R
R2 L2 U R F R L
L2 R2 U R F L R
L2 R2 U R F R L
L2 R2 U R' F L R
L2 R2 U R' F R L
R2 L2 U R' F L R
R2 L2 U R' F R L
R2 L2 U R2 F L R
L2 R2 U R2 F L R
R2 L2 U R2 F R L
L2 R2 U R2 F R L
L2 R2 U D F L R
R2 L2 U D F L R
L2 R2 U D F R L
R2 L2 U D F R L
L2 R2 U D' F L R
R2 L2 U D' F L R
L2 R2 U D' F R L
R2 L2 U D' F R L
L2 R2 U D2 F L R
L2 R2 U D2 F R L
R2 L2 U D2 F L R
R2 L2 U D2 F R L
L2 R2 U F L R D
L2 R2 U F L R D'
L2 R2 U F L R D2
L2 R2 U F L D R
L2 R2 U F L D' R
L2 R2 U F L D2 R
R2 L2 U F L R D
R2 L2 U F L R D'
R2 L2 U F L R D2
R2 L2 U F L D R
R2 L2 U F L D' R
R2 L2 U F L D2 R
L2 R2 U F R L D
L2 R2 U F R L D'
L2 R2 U F R L D2
L2 R2 U F R D L
L2 R2 U F R D' L
L2 R2 U F R D2 L
R2 L2 U F R L D
R2 L2 U F R L D'
R2 L2 U F R L D2
R2 L2 U F R D L
R2 L2 U F R D' L
R2 L2 U F R D2 L
L2 R2 U F D L R
L2 R2 U F D R L
L2 R2 U F D' L R
L2 R2 U F D' R L
L2 R2 U F D2 L R
L2 R2 U F D2 R L
R2 L2 U F D L R
R2 L2 U F D R L
R2 L2 U F D' L R
R2 L2 U F D' R L
R2 L2 U F D2 L R
R2 L2 U F D2 R L
L2 R2 U F2 L F' R
R2 L2 U F2 L F' R
D' L' F' B2 D2 R F'
R L2 U F L D R2
R L2 U F D L R2
R L2 U F D R2 L
R L2 U2 F' U' L F2
R L2 U2 F' U' F2 L
L2 R2 D U F L R
L2 R2 D U F R L
R2 L2 D U F L R
R2 L2 D U F R L
L2 R2 D' U F L R
L2 R2 D' U F R L
R2 L2 D' U F L R
R2 L2 D' U F R L
D' L' B2 F' D2 R F'
L2 R2 D2 U F L R
L2 R2 D2 U F R L
R2 L2 D2 U F L R
R2 L2 D2 U F R L
F' L2 R' B U F L'
F' L2 R2 U F L' R
F' L2 R2 U F R L'
D2 L2 R2 U' F L R
D2 L2 R2 U' F R L
U' L2 R2 U F L R
U' L2 R2 U F R L
U2 L2 R2 U F L R
U2 L2 R2 U F R L
U L2 R2 U F L R
U L2 R2 U F R L
R L2 F' U L F2 R
R' L2 B U D2 F L'
R' L2 B D2 U F L'
D' L2 F L B2 D2 R2
D' L2 F L2 B2 L' R'
D' L2 F L2 B2 R' L'
D' L2 F' L R F2 B2
D' L2 F' L R B2 F2
D' L2 F' L B2 R F2
D' L2 F' R L F2 B2
D' L2 F' R L B2 F2
D' L2 F' R F2 L B2
L2 U R F L D R2
L2 U R F D L R2
L2 U R F D R2 L
L2 U D' F L D2 R2
L2 U D' F' L R F2
L2 U D' F' R L F2
L2 U D' F' R F2 L
L2 U F2 L D' F' R
L2 U F2 D' L F' R
L2 U F2 D' F' L R
L2 U F2 D' F' R L
L' U' L' R' B U F
L' U' L' R2 U F R
L' U' R' L' B U F
D R F2 R B' L U2
L' U' R' B L' U F
D R F2 B' L R U2
D R F2 B' R L U2
L' U' R2 L' U F R
D R B' L F2 U2 L2
D' R B2 L' R2 F' R
D' R B2 R2 L' F' R
D R B' F2 L R U2
D R B' F2 R L U2
F' R' L2 B U F L'
B' R' U B L2 U L
D R' F2 R B' L U2
B' R' B L2 U F L
D R' F2 B' L R U2
D R' F2 B' R L U2
D R' B' L F2 U2 L2
D' R' B2 L' R2 F' R
D' R' B2 R2 L' F' R
D R' B' F2 L R U2
D R' B' F2 R L U2
D2 R2 L2 U' F L R
D2 R2 L2 U' F R L
F' R2 L2 U F L' R
F' R2 L2 U F R L'
U' R2 L2 U F L R
U' R2 L2 U F R L
U2 R2 L2 U F L R
U2 R2 L2 U F R L
U R2 L2 U F L R
U R2 L2 U F R L
D R2 F2 R B' L U2
D R2 F2 B' L R U2
D R2 F2 B' R L U2
D R2 B' L F2 U2 L2
D' R2 B2 L' R2 F' R
D' R2 B2 R2 L' F' R
D R2 B' F2 L R U2
D R2 B' F2 R L U2
U' D F2 R B' L U2
U2 D F2 R B' L U2
U' D F2 B' L R U2
U' D F2 B' R L U2
D U F2 R B' L U2
U2 D F2 B' L R U2
U2 D F2 B' R L U2
U D F2 R B' L U2
D U F2 B' L R U2
D U F2 B' R L U2
U' D B' L F2 U2 L2
U D F2 B' L R U2
U D F2 B' R L U2
U2 D B' L F2 U2 L2
U' D B' F2 L R U2
U' D B' F2 R L U2
D' U B2 L' R2 F' R
D U B' L F2 U2 L2
D' U B2 R2 L' F' R
U D B' L F2 U2 L2
U2 D B' F2 L R U2
U2 D B' F2 R L U2
D U B' F2 L R U2
D U B' F2 R L U2
U D B' F2 L R U2
U D B' F2 R L U2
L2 D' U F L D2 R2
L2 D' U F' L R F2
L2 D' U F' R L F2
L2 D' U F' R F2 L
L2 D' F' U L R F2
L2 D' F' U R L F2
L2 D' F' U R F2 L
D U' F2 R B' L U2
D U' F2 B' L R U2
D U' F2 B' R L U2
D' U' B2 L' R2 F' R
U' D' B2 L' R2 F' R
D' U' B2 R2 L' F' R
U' D' B2 R2 L' F' R
D U' B' L F2 U2 L2
U2 D' B2 L' R2 F' R
U2 D' B2 R2 L' F' R
D U' B' F2 L R U2
D U' B' F2 R L U2
