F' R U2 L2 F' U'
F' R U2 F' L2 U'
F' R D2 R2 B U
F' R' D B U F2
F' R' D2 B R2 U
F' R' B U D F2
F' R' B U2 L2 U'
F' R' B D U F2
F' R' B D2 R2 U
F' D B U R' F2
F' D B U F2 R'
D' F' U R D2 F2
D' F' U D2 R F2
D' F' U D2 R F2
D F' U D2 F' R
D' F' U' B2 U2 R
D' F' D' R2 U R'
D' F' D2 U R F2
D' F' D2 U R F2
D F' D2 U F' R
D F' B U F' R'
D B F' U F' R'
D2 L B' L' F' R2 U
F' L B2 L' R' B U
F' L B2 R' L' B U
F' L B2 R' B L' U
U L2 R2 B U' B' R'
U2 L2 U2 D' F' U R
U2 L2 D' U2 F' U R
R U F D F2 L' R2
R U F D F2 R2 L'
F' R U F D R2 F2
F' R U F D F2 R2
U R U L2 F' U' L'
U R U F' L2 U' L
F' R U2 L F' L U'
F' R U2 L2 D F' U'
F' R U2 L2 D' F' U'
F' R U2 L2 D2 F' U'
F' R U2 L2 F' U' D
F' R U2 L2 F' U' D'
F' R U2 L2 F' U' D2
F' R U2 L2 F' D U'
F' R U2 L2 F' D' U'
F' R U2 L2 F' D2 U'
F2 R U2 L2 F' B' U'
F' R U2 D F' U' F'
F2 R U2 L2 B' F' U'
F' R U2 F L2 F2 U'
F' R U2 F' L2 U' D
F' R U2 F' L2 U' D'
F' R U2 F' L2 U' D2
F' R U2 F' L2 D U'
F' R U2 F' L2 D' U'
F' R U2 F' L2 D2 U'
F' R U2 F' U' D F2
F' R U2 F' D U' F2
F' R D R2 B U F2
F' R D U2 F' U' F'
F' R D2 R2 D B U
F' R D2 R2 D' B U
F' R D2 R2 D2 B U
F' R D2 R2 B U D
F' R D2 R2 B U D'
F' R D2 R2 B U D2
F' R D2 R2 B D U
F' R D2 R2 B D' U
F' R D2 R2 B D2 U
F2 R D2 R2 F B U
F2 R D2 R2 B F U
F' R D2 B R2 B U
F' R D2 B' R2 B U
F' R D2 B2 R2 B U
F2 R F U D R2 F2
F2 R F U D F2 R2
F2 R F U2 L2 F2 U'
F2 R F U2 F2 L2 U'
F2 R F D U R2 F2
F2 R F D U F2 R2
F2 R F D2 R2 B2 U
F2 R F D2 B2 R2 U
F R F2 U2 F L2 U'
F' R B U2 L2 F' U'
F' R B U2 F' L2 U'
F' R B D2 R2 B U
F' R B' U2 L2 F' U'
F' R B' U2 F' L2 U'
F' R B' D2 R2 B U
F' R B2 U2 L2 F' U'
F' R B2 U2 F' L2 U'
F' R B2 D2 R2 B U
F' R' U2 L2 U2 B U
F' R' D B R U F2
F' R' D B R' U F2
F' R' D B R2 U F2
F' R' D B U F2 D
F' R' D B U F2 D'
F' R' D B U F2 D2
F' R' D B D R2 U
F2 R' D F B U F
F2 R' D B F U F
F' R' D' B R2 U F'
F' R' D' B U' B U2
F' R' D2 R2 U2 F' U'
R2 U2 L F L B U'
F' R' D2 B R2 U D
