F' L U' D' L2 B2
F' L U' D' B2 L2
F' L U2 L2 F2 U
F' L U2 F2 L2 U
F' L D' U' L2 B2
F' L D' U' B2 L2
F' L D2 R2 B2 U'
F' L D2 B2 R2 U'
F U2 L R F2 U'
F U2 R L F2 U'
F U2 R F2 L U'
L F' U2 L' F U
F' L R U' D' L2 B2
F' L R U' D' B2 L2
F' L R U2 L2 F2 U
F' L R U2 F2 L2 U
F' L R D' U' L2 B2
F' L R D' U' B2 L2
F' L R D2 R2 B2 U'
F' L R D2 B2 R2 U'
F L R F2 U' D' L2
F L R F2 U2 F2 U
F L R F2 D' U' L2
F L R F2 D2 B2 U'
F' L R' U' D' L2 B2
F' L R' U' D' B2 L2
F' L R' U2 L2 F2 U
F' L R' U2 F2 L2 U
F' L R' D' U' L2 B2
F' L R' D' U' B2 L2
F' L R' D2 R2 B2 U'
F' L R' D2 B2 R2 U'
F' L R2 U' D' L2 B2
F' L R2 U' D' B2 L2
F' L R2 U2 L2 F2 U
F' L R2 U2 F2 L2 U
F' L R2 D' U' L2 B2
F' L R2 D' U' B2 L2
F' L R2 D2 R2 B2 U'
F' L R2 D2 B2 R2 U'
F' L U D R2 F2 U2
F' L U D F2 R2 U2
F' L U' D' L' B2 L'
F' L U' D' L2 B2 D
F' L U' D' L2 B2 D'
F' L U' D' L2 B2 D2
F' L U' D' B L2 B
F' L U' D' B2 L2 D
F' L U' D' B2 L2 D'
F' L U' D' B2 L2 D2
F' L U' B D' L2 B2
F' L U' B D' B2 L2
F' L U' B' D' L2 B2
F' L U' B' D' B2 L2
F' L U' B2 D' L2 B2
F' L U' B2 D' B2 L2
F' L U2 L F2 L U
F' L U2 L2 U D' L2
F' L U2 L2 D' U L2
F' L U2 L2 F2 U D
F' L U2 L2 F2 U D'
F' L U2 L2 F2 U D2
F' L U2 L2 F2 D U
F' L U2 L2 F2 D' U
F' L U2 L2 F2 D2 U
F' L U2 F' L2 F' U
F' L U2 F2 L2 U D
F' L U2 F2 L2 U D'
F' L U2 F2 L2 U D2
F' L U2 F2 L2 D U
F' L U2 F2 L2 D' U
F' L U2 F2 L2 D2 U
F' L U2 F2 U D' B2
F' L U2 F2 D' U B2
F' L D U R2 F2 U2
F' L D U F2 R2 U2
F' L D' R U' L2 B2
F' L D' R U' B2 L2
F' L D' R' U' L2 B2
F' L D' R' U' B2 L2
F' L D' R2 U' L2 B2
F' L D' R2 U' B2 L2
F' L D' U' L' B2 L'
F' L D' U' L2 B2 D
F' L D' U' L2 B2 D'
F' L D' U' L2 B2 D2
F' L D' U' B L2 B
F' L D' U' B2 L2 D
F' L D' U' B2 L2 D'
F' L D' U' B2 L2 D2
F' L D' B U' L2 B
F' L D' B U' B L2
F' L D' B' U' B' L2
F' L D2 R B2 R U'
F' L D2 R2 U' D L2
F' L D2 R2 D U' L2
F' L D2 R2 B2 U' D
F' L D2 R2 B2 U' D'
F' L D2 R2 B2 U' D2
F' L D2 R2 B2 D U'
F' L D2 R2 B2 D' U'
F' L D2 R2 B2 D2 U'
F' L D2 B' R2 B' U'
F' L D2 B2 R2 U' D
F' L D2 B2 R2 U' D'
F' L D2 B2 R2 U' D2
F' L D2 B2 R2 D U'
F' L D2 B2 R2 D' U'
F' L D2 B2 R2 D2 U'
F' L D2 B2 U' D B2
F' L D2 B2 D U' B2
D2 L F' U2 L' F U
D' L F' U2 L' F U
D L F' U2 L' F U
F L F2 U2 L' F2 U
F' L B U' D' L2 B2
F' L B U' D' B2 L2
F' L B U2 L2 F2 U
F' L B U2 F2 L2 U
F' L B D' U' L2 B2
F' L B D' U' B2 L2
F' L B D2 R2 B2 U'
F' L B D2 B2 R2 U'
F' L B' U' D' L2 B2
F' L B' U' D' B2 L2
F' L B' U2 L2 F2 U
F' L B' U2 F2 L2 U
F' L B' D' U' L2 B2
F' L B' D' U' B2 L2
F' L B' D2 R2 B2 U'
F' L B' D2 B2 R2 U'
F' L B2 U' D' L2 B2
F' L B2 U' D' B2 L2
F' L B2 U2 L2 F2 U
F' L B2 U2 F2 L2 U
F' L B2 D' U' L2 B2
F' L B2 D' U' B2 L2
F' L B2 D2 R2 B2 U'
F' L B2 D2 B2 R2 U'
F L' U2 L2 R F2 U'
F L' U2 R L2 F2 U'
F L' U2 R F2 L2 U'
F L' D2 R2 B2 L U
F' L' F2 U D R2 F2
F' L' F2 U D F2 R2
F' L' F2 U2 L2 F2 U'
F' L' F2 U2 F2 L2 U'
F' L' F2 D U R2 F2
F' L' F2 D U F2 R2
F' L' F2 D2 R2 B2 U
F' L' F2 D2 B2 R2 U
F L2 U2 L' R F2 U'
F L2 U2 R L' F2 U'
F' L2 U2 F2 L R U
F' L2 U2 F2 R L U
F' L2 D2 B2 L' R' U'
F' L2 D2 B2 R' L' U'
U2 L2 B' L' F' R' U'
F' R L U' D' L2 B2
F' R L U' D' B2 L2
F' R L U2 L2 F2 U
F' R L U2 F2 L2 U
F' R L D' U' L2 B2
F' R L D' U' B2 L2
F' R L D2 R2 B2 U'
F' R L D2 B2 R2 U'
F R L F2 U' D' L2
F R L F2 U2 F2 U
F R L F2 D' U' L2
F R L F2 D2 B2 U'
F R U2 L F2 R U'
L2 U B' L' F' U' B'
F R F2 L U' D' L2
F R F2 L U2 F2 U
F R F2 L D' U' L2
F R F2 L D2 B2 U'
F R F2 D' L U' L
F R F2 D2 L B2 U'
F' R' L U' D' L2 B2
F' R' L U' D' B2 L2
F' R' L U2 L2 F2 U
F' R' L U2 F2 L2 U
F' R' L D' U' L2 B2
F' R' L D' U' B2 L2
F' R' L D2 R2 B2 U'
F' R' L D2 B2 R2 U'
F R' U2 L R2 F2 U'
F R' U2 L F2 R2 U'
F R' U2 R2 L F2 U'
F R' U2 R2 F2 L U'
F R' U2 F2 L R2 U'
F R' U2 F2 R2 L U'
F R' D2 B2 L2 R' U
B2 R' F U2 R F' U'
F R' D2 B2 R' L2 U
F' R2 L U' D' L2 B2
F' R2 L U' D' B2 L2
F' R2 L U2 L2 F2 U
F' R2 L U2 F2 L2 U
F' R2 L D' U' L2 B2
F' R2 L D' U' B2 L2
F' R2 L D2 R2 B2 U'
F' R2 L D2 B2 R2 U'
F R2 U2 L R' F2 U'
F R2 U2 L F2 R' U'
L2 U2 B' L' F' R' U'
F R2 U2 R' L F2 U'
F R2 U2 R' F2 L U'
F R2 U2 F2 L R' U'
F R2 U2 F2 R' L U'
F R2 D2 B2 L R' U
F R2 D2 B2 R' L U
F U R F2 L U' L'
F U2 L R U' D R2
F U2 L R D U' R2
F U2 L R F2 U' D
F U2 L R F2 U' D'
F U2 L R F2 U' D2
F U2 L R F2 D U'
F U2 L R F2 D' U'
F U2 L R F2 D2 U'
F U2 L R' F2 R2 U'
F U2 L R2 F2 R' U'
F' U2 L' F2 U D F2
F' U2 L' F2 U2 L2 U'
F' U2 L' F2 D U F2
F U2 L D R U' R
F' U2 L' F2 D2 R2 U
F U2 L F2 U2 L' U
F U2 L' R F2 L2 U'
F' U2 L2 F2 L R U
F' U2 L2 F2 R L U
F U2 R L U' D R2
F U2 R L D U' R2
F U2 R L F2 U' D
F U2 R L F2 U' D'
F U2 R L F2 U' D2
F U2 R L F2 D U'
F U2 R L F2 D' U'
F U2 R L F2 D2 U'
F U2 R L' F2 L2 U'
F U2 R D L U' R2
F U2 R F' L F' U'
F U2 R F2 L U' D
F U2 R F2 L U' D'
F U2 R F2 L U' D2
F U2 R F2 L D U'
F U2 R F2 L D' U'
F U2 R F2 L D2 U'
F U2 R F2 D L U'
F U2 R F2 D' L U'
F U2 R F2 D2 L U'
F U2 R' L F2 R2 U'
F U2 R' F2 L R2 U'
F U2 R' F2 R2 L U'
F U2 R2 L F2 R' U'
F U2 R2 F2 L R' U'
F U2 R2 F2 R' L U'
F U2 D L R U' R
F U2 D R L U' R
F' U2 F2 U2 L R U'
F' U2 F2 U2 R L U'
F U2 F2 L U' D' B2
F U2 F2 L U2 L2 U
F U2 F2 L D' U' B2
F U2 F2 L D2 R2 U'
R' F U2 L R F' U'
D' F U2 L R F2 U'
D2 F U2 L R F2 U'
R' F U2 R L F' U'
R' F U2 R F' L U'
D' F U2 R L F2 U'
D' F U2 R F2 L U'
D2 F U2 R L F2 U'
D2 F U2 R F2 L U'
F' D L D2 R2 U' L2
D F U2 L R F2 U'
D F U2 L R F2 U'
D F U2 R L F2 U'
D F U2 R F2 L U'
R F U2 L R F U'
R F U2 R L F U'
D' F' L U' D' L2 B2
D' F' L U' D' B2 L2
D2 F' L U' D' L2 B2
D2 F' L U' D' B2 L2
D' F' L U2 L2 F2 U
D2 F' L U2 L2 F2 U
D' F' L U2 F2 L2 U
D2 F' L U2 F2 L2 U
D' F' L D' U' L2 B2
D' F' L D' U' B2 L2
D2 F' L D' U' L2 B2
D2 F' L D' U' B2 L2
D' F' L D2 R2 B2 U'
D2 F' L D2 R2 B2 U'
D' F' L D2 B2 R2 U'
D2 F' L D2 B2 R2 U'
D F' L U' D' L2 B2
D F' L U' D' B2 L2
D F' L U2 L2 F2 U
D F' L U2 F2 L2 U
D F' L D' U' L2 B2
D F' L D' U' B2 L2
D F' L D2 R2 B2 U'
D F' L D2 B2 R2 U'
U F' L U' D' L2 B'
U F' L D' U' L2 B'
F D U2 L R U' R
F D U2 R L U' R
L F' R U2 L' F U
L F' R' U2 L' F U
L F' R2 U2 L' F U
F' D' L U' D' L B2
F' D' L U2 L2 U L'
F' D' L D' U' L B2
F' D' L D2 R2 U' L
L F' U2 L' D F U
L F' U2 L' D' F U
L F' U2 L' D2 F U
L F' U2 L' F U D
L F' U2 L' F U D'
L F' U2 L' F U D2
L F' U2 L' F D U
L F' U2 L' F D' U
L F' U2 L' F D2 U
L F' B U2 L' F U
L F' B' U2 L' F U
L F' B2 U2 L' F U
F' D2 L B2 U' D' B2
F' D2 L B2 U2 L2 U
F' D2 L B2 D' U' B2
F' D2 L B2 D2 R2 U'
F' D2 L2 B2 L' R' U'
F' D2 L2 B2 R' L' U'
F D2 R2 B2 L R' U
F D2 R2 B2 R' L U
F' D2 B2 U2 L' R' U
F' D2 B2 U2 R' L' U
F D2 B2 R' U D B2
F D2 B2 R' U2 R2 U'
F D2 B2 R' D U B2
F D2 B2 R' D2 L2 U
B2 F R' U D R2 B2
B2 F R' U D B2 R2
B2 F R' U2 R2 F2 U'
B2 F R' U2 F2 R2 U'
B2 F R' D U R2 B2
B2 F R' D U B2 R2
B2 F R' D2 L2 B2 U
B2 F R' D2 B2 L2 U
L B F' U2 L' F U
L2 B' L' F R F2 U'
L2 B' L' F' U2 L' U
B2 F' U2 L' R' F2 U
B2 F' U2 L' F2 R' U
B2 F' U2 R' L' F2 U
L B' F' U2 L' F U
F B2 R' U D R2 B2
F B2 R' U D B2 R2
F B2 R' U2 R2 F2 U'
F B2 R' U2 F2 R2 U'
F B2 R' D U R2 B2
F B2 R' D U B2 R2
F B2 R' D2 L2 B2 U
F B2 R' D2 B2 L2 U
F' B2 U2 L' R' F2 U
F' B2 U2 L' F2 R' U
F' B2 U2 R' L' F2 U
L B2 F' U2 L' F U
