B2 L U' R B U2
B2 L R2 U' R' U2 F'
B2 L U L F2 L' F'
B2 L U L2 F2 L' F
B2 L U F L F L'
B2 L U F2 L F L2
B2 L U' R D B U2
B2 L U' R D' B U2
B2 L U' R D2 B U2
B2 L U' R B U2 D
B2 L U' R B U2 D'
B2 L U' R B U2 D2
B2 L U' R B D U2
B2 L U' R B D' U2
B2 L U' R B D2 U2
B2 L U' D R B U2
B2 L U' D' R B U2
B2 L U' D2 R B U2
B2 L U' B R B U2
B2 L U' B' R B U2
B2 L U' B2 R B U2
B2 L D U' R B U2
B2 L D' U' R B U2
B2 L D2 U' R B U2
B2 L F R F U L'
B2 L F D R F' U
B2 L F2 U D' L' F
B2 L F2 D' U L' F
R U R' B2 L U F
B' R U B' L U F
U' R D L2 B U2 B
U' R D B L2 U2 B
U' R D' F2 U2 R2 F'
U' R D' F2 B U2 R2
U' R D' B F2 U2 R2
U' R B U' R2 F' U'
D' R' U' D2 L2 R' F'
D' R' U' D2 R' L2 F'
D' R' U' D2 R' F' L2
F2 R' U' D' L' R2 F
F2 R' U' D' L' F R2
F2 R' U' D' R2 L' F
F2 R' D' U' L' R2 F
F2 R' D' U' L' F R2
F2 R' D' U' R2 L' F
B2 R' D2 L U L F
D' R' D2 U' L2 R' F'
D' R' D2 U' R' L2 F'
D' R' D2 U' R' F' L2
U' R' D2 F2 U' F L2
B2 R2 L U' R' U2 F'
R' D L B2 U' R' F'
D2 U' F2 R' U' L' F'
U' D2 F2 R' U' L' F'
B2 D L U' R B U2
R' F D2 F2 L' U' L'
U F B2 L U F L'
R' F' L' D2 F2 U' L2
D2 F' L' F' R' U' L'
B2 D' L U' R B U2
F2 D' R' U' L' R' F
F2 D' R' U' L' F R'
F2 D' R' U' R' L' F
D2 F2 R' U' D' L' F
D2 F2 R' D' U' L' F
B2 D2 L U' R B U2
D2 F2 D' R' U' L' F
U F2 B2 L U F L2
B2 F L R F U L'
B2 F L D R F' U
B2 F R L F U L'
B2 F R F L U L2
B2 F D L R F' U
B2 F D R L F' U
B2 F D R F' L U
L' B2 L U' R B U2
L2 B2 L U' R B U2
L B2 L U' R B U2
U B2 L U F2 L' F'
U B2 L U' R U2 F
U B2 L F2 U L' F'
B2 F2 L F' R U L2
F2 B2 L F' R U L2
F B2 L R F U L'
F B2 L D R F' U
F B2 R L F U L'
F B2 R F L U L2
R2 B2 U2 R U' L F
B2 F2 D' L U L2 F
F2 B2 D' L U L2 F
F B2 D L R F' U
F B2 D R L F' U
F B2 D R F' L U
U B2 F L U F L'
U B2 F2 L U F L2
