U2 L R2 F' U F
R' U2 L F U F'
B2 R' D B' L2 U'
R2 U2 L F' U F
B2 R' D2 B' U' F2
B2 R' B' L2 U' F
B2 R' B' U B' U2
U2 R2 L F' U F
B U B' U L U
B2 D R' B' L2 U'
B2 D2 R' B' U' F2
L' B U2 L2 U F
L B U B' U2 B
U' B2 R' B' U' R
U2 L R' F U F' L'
U2 L R2 D F' U F
U2 L R2 D' F' U F
U2 L R2 D2 F' U F
U2 L R2 F' R U F
U2 L R2 F' R' U F
U2 L R2 F' R2 U F
U2 L R2 F' U D F
U2 L R2 F' U D' F
U2 L R2 F' U D2 F
U2 L R2 F' U F D
U2 L R2 F' U F D'
U2 L R2 F' U F D2
U2 L R2 F' D U F
U2 L R2 F' D' U F
U2 L R2 F' D2 U F
U' L U L' B U' B'
U L U' L' U' B U'
F2 L U2 F2 B U' F2
U2 L U2 B L2 U' F
U2 L U2 B U B' U2
F L U2 F' B U' F
F2 L U2 B F2 U' F2
F L U2 B F' U' F
U L U2 F2 B U' R
U L U2 B U L' U2
U L U2 B F2 U' R
B L D L U' F B'
B L D L U' B' F
U2 L D R2 F' U F
U2 L D' R2 F' U F
R2 L F' U2 F U' F'
U2 L D2 R2 F' U F
U2 L F U2 B U' F'
U2 L F' R2 F' U F2
U2 L F' U2 B U' F
U2 L F2 R2 F' U F'
U2 L F2 U2 B U' F2
U2 L F2 D R2 F' U
U L F2 U2 B U' R
D2 L B U B' U2 B
D' L B U B' U2 B
D L B U B' U2 B
U L B U' L' U2 L
U L B' D2 F2 U R
R2 L' U2 L2 F' U F
B2 L' D2 R' B U' F2
L' R2 U2 L2 F' U F
L2 R2 U2 L' F' U F
R2 L2 U2 L' F' U F
D' L' B U2 L2 U F
D2 L' B U2 L2 U F
D L' B U2 L2 U F
U L' B2 L2 F U R'
B2 L2 R' D L2 B' U'
L R2 F' U2 F U' F'
F2 L2 U' F2 B R U'
F2 L2 U' B F2 R U'
B2 L2 D L2 R' B' U'
B2 L2 D R' L2 B' U'
B L2 D' R' U' F B
B L2 D' R' U' B F
B L2 B R' B' U' F
R2 U F L F2 U R
R2 U F' L U' L' U2
B R U B' U L U
B2 R B R2 B2 U' F'
B2 R B' L2 R2 U' F
B2 R B' R2 L2 U' F
B2 R B' R2 U B' U2
L' U' D2 B R2 U' R2
U2 R' L F U F' L'
B2 R' L2 D L2 B' U'
B2 R' U B2 U' B U'
B R' U B' U L U
L2 U' F2 B R U' R'
D2 R' U2 L F U F'
D' R' U2 L F U F'
L' U' B D2 R2 U' R2
D R' U2 L F U F'
L2 U' B F2 R U' R'
B2 R' D L2 U2 F U
B2 R' D B L2 B2 U'
B2 R' D B' L2 U' D
B2 R' D B' L2 U' D'
B2 R' D B' L2 U' D2
B2 R' D B' L2 D U'
B2 R' D B' L2 D' U'
B2 R' D B' L2 D2 U'
B2 R' D B' U' D F2
B2 R' D B' D U' F2
B2 R' D B2 L2 B U'
R' U2 L R F U F'
R' U2 L R' F U F'
R' U2 L R2 F U F'
R' U2 L D F U F'
R U' B2 R' B U' R
R' U2 L D' F U F'
R' U2 L D2 F U F'
R' U2 L F U D F'
R' U2 L F U D' F'
R' U2 L F U D2 F'
R' U2 L F U F' D
R' U2 L F U F' D'
R' U2 L F U F' D2
R' U2 L F D U F'
R' U2 L F D' U F'
R' U2 L F D2 U F'
B2 R' D' B' U' D' F2
B2 R' D' B' U2 R2 U
B2 R' D' B' D' U' F2
B2 R' D' B' D2 L2 U'
R U2 L R F' U F
R2 U2 L D F' U F
R2 U2 L D' F' U F
R2 U2 L D2 F' U F
R2 U2 L F' R U F
R2 U2 L F' R' U F
R2 U2 L F' R2 U F
R2 U2 L F' U D F
R2 U2 L F' U D' F
R2 U2 L F' U D2 F
R2 U2 L F' U F D
R2 U2 L F' U F D'
R2 U2 L F' U F D2
R2 U2 L F' D U F
R2 U2 L F' D' U F
R2 U2 L F' D2 U F
L2 U2 L' R2 F' U F
B2 R' D2 B' L U' F2
B2 R' D2 B' L' U' F2
B2 R' D2 B' L2 U' F2
B2 R' D2 B' U' F2 D
B2 R' D2 B' U' F2 D'
B2 R' D2 B' U' F2 D2
B2 R' D2 B' D' L2 U'
U2 R' F L U F' L'
L' U2 L2 R2 F' U F
R' U2 R L F U F'
R' U2 R' L F U F'
R U2 R L F' U F
R' U2 R2 L F U F'
L' U2 R2 L2 F' U F
L2 U2 R2 L' F' U F
R' U2 D L F U F'
B' R' B' R' B' U' F'
B2 R' B' L2 U' D F
B2 R' B' L2 U' D' F
B2 R' B' L2 U' D2 F
B2 R' B' L2 U' F D
B2 R' B' L2 U' F D'
B2 R' B' L2 U' F D2
B2 R' B' L2 D U' F
B2 R' B' L2 D' U' F
B2 R' B' L2 D2 U' F
B2 R' B' U D B' U2
B2 R' B' U D' B' U2
B2 R' B' U D2 B' U2
B2 R' B' U B' U2 D
B2 R' B' U B' U2 D'
B2 R' B' U B' U2 D2
B2 R' B' U B' D U2
B2 R' B' U B' D' U2
B2 R' B' U B' D2 U2
B2 R' B' U' L2 F L2
B2 R' B' D L2 U' F
B2 R' B' D U B' U2
B2 R' B' D' L2 U' F
B2 R' B' D' U B' U2
B2 R' B' D2 L2 U' F
B2 R' B' D2 U B' U2
R' U2 D' L F U F'
R2 U2 D L F' U F
R' U2 D2 L F U F'
R2 U2 D' L F' U F
U2 R2 L D F' U F
U2 R2 L D' F' U F
R' U2 F L F U F2
U2 R2 L D2 F' U F
R2 U2 D2 L F' U F
U2 R2 L F' R U F
U2 R2 L F' R' U F
U2 R2 L F' R2 U F
U2 R2 L F' U D F
U2 R2 L F' U D' F
U2 R2 L F' U D2 F
U2 R2 L F' U F D
U2 R2 L F' U F D'
U2 R2 L F' U F D2
U2 R2 L F' D U F
U2 R2 L F' D' U F
U2 R2 L F' D2 U F
R2 U2 F L F2 U F
R' U2 F2 L F U F
F R2 U L F' B U
F R2 U L B F' U
U R2 U L F' R2 U
B R2 U B' U L U
F R2 U F' L B U
U R2 U F' L R2 U
U R2 U F' R2 L U
D2 R2 U2 L F' U F
D' R2 U2 L F' U F
U' R2 U2 L F' U R2
U' R2 U2 F' L U R2
L U2 B L2 F U' F'
D R2 U2 L F' U F
U2 R2 D L F' U F
B2 R2 D R B' L2 U'
B2 R2 D B' L2 R U'
B2 R2 D B' R L2 U'
U2 R2 D' L F' U F
U2 R2 D2 L F' U F
B2 R2 D2 R B' U' F2
B2 R2 D2 B' R U' F2
U2 R2 F L F2 U F
B2 R2 B' L2 R U' F
B2 R2 B' R L2 U' F
B2 R2 B' R U B' U2
R' D U2 L F U F'
U2 D L R2 F' U F
F2 U L U2 F2 B U'
F2 U L U2 B F2 U'
R2 D U2 L F' U F
F U L U2 F' B U'
F U L U2 B F' U'
L' D F2 U' F2 B U'
L' D F2 U' B F2 U'
L' D B U F2 B' U2
L' D B U B' F2 U2
U2 D R2 L F' U F
L D B U B' U2 B
B U F B' U L U
U' D B2 R' B' U' R
B U F' B' U L U
B U F2 B' U L U
U2 D' L R2 F' U F
B U B' U L U D
B U B' U L U D'
B U B' U L U D2
B U B' U L D U
B U B' U L D' U
B U B' U L D2 U
B U B' U D L U
B U B' U D' L U
B U B' U D2 L U
B U B' D U L U
B U B' D' U L U
B U B' D2 U L U
B U B' F U L U
B U B' F' U L U
R' D' U2 L F U F'
B U B' F2 U L U
R2 D' U2 L F' U F
U2 D' R2 L F' U F
L' D' B L2 U' F B
L' D' B L2 U' B F
L' D' B U B' U2 B2
L' D' B U' B D2 F2
L D' B U B' U2 B
D' U' B2 R' B' U' R
U' D' B2 R' B' U' R
D2 U' B2 R' B' U' R
D' U2 L R2 F' U F
F' U' F B2 R' B' U'
D2 U2 L R2 F' U F
D U' B2 R' B' U' R
U2 D2 L R2 F' U F
D U2 L R2 F' U F
F2 U' F2 B2 R' B' U'
F U' F' B2 R' B' U'
L' D2 R2 U2 F' U F
F U' B D2 F' R U'
F' U' B2 R' F B' U'
F' U' B2 R' B' F U'
F2 U' B2 R' F2 B' U'
F2 U' B2 R' B' F2 U'
D' U2 R2 L F' U F
F' U' B2 F R' B' U'
D2 U2 R2 L F' U F
R' D2 U2 L F U F'
L' D2 U' B R2 U' R2
F2 U' B2 F2 R' B' U'
U2 D2 R2 L F' U F
R2 D2 U2 L F' U F
D U2 R2 L F' U F
F U' B2 F' R' B' U'
L' D2 B L2 R2 U' F
L' D2 B R2 L2 U' F
L' D2 B R2 U B' U2
L' D2 B' R2 B2 U' F'
U' D2 B2 R' B' U' R
L D2 B U B' U2 B
U2 F L U2 B U' F'
B2 D L2 R' U2 F U
L F U2 F' B U' F
L F U2 B F' U' F
B2 D R B' L2 R2 U'
B2 D R B' R2 L2 U'
B2 D R' L2 U2 F U
B2 D R' D B' U' F2
B2 D R' B L2 B2 U'
B2 D R' B' L2 U' D
B2 D R' B' L2 U' D'
B2 D R' B' L2 U' D2
B2 D R' B' L2 D U'
B2 D R' B' L2 D' U'
B2 D R' B' L2 D2 U'
B2 D R' B' U' D F2
B2 D R' B' D U' F2
B2 D R' B2 L2 B U'
B2 D R2 B' L2 R U'
B2 D R2 B' R L2 U'
U' F B2 R' B' U' R
U2 F' R2 F' L U F2
L F' U2 F B U' F'
L F' U2 B F U' F'
B D' L2 R' U' F B
B D' L2 R' U' B F
B D' R U F' B' U2
B D' R U B' F' U2
B2 D' R' B2 L B U'
B D' R' L2 U' F B
B D' R' L2 U' B F
B D' R' U B' U2 B2
B D' R' U' B D2 F2
U' F' B2 R' B' U' R
U2 F2 L R2 F' U F'
U2 F2 L U2 B U' F2
U2 F2 L D R2 F' U
U2 F2 R2 L F' U F'
U2 F2 R2 F' L U F'
L2 F2 U' B R F2 U'
U2 F2 D L R2 F' U
U2 F2 D R2 L F' U
U2 F2 D R2 F' L U
L F2 U2 F2 B U' F2
L F2 U2 B F2 U' F2
B2 D2 R B' R2 U' F2
B2 D2 R' D' B' L2 U'
B2 D2 R' B' L U' F2
B2 D2 R' B' L' U' F2
B2 D2 R' B' L2 U' F2
B2 D2 R' B' U' F2 D
B2 D2 R' B' U' F2 D'
B2 D2 R' B' U' F2 D2
B2 D2 R' B' D' L2 U'
U' F2 B2 R' B' U' R
B2 D2 R2 B' R U' F2
L' B L' U2 L' U F
U' B R U' D' R' B
U' B R D' U' R' B
L' B R U2 L2 U F
L B L2 U' D' F B2
L B L2 U' D' B2 F
L B L2 U' F D' B2
L' B R' U2 L2 U F
L B L2 D' U' F B2
L B L2 D' U' B2 F
L B L2 D2 R2 U' F
L B R U B' U2 B
L' B R2 U2 L2 U F
L B R' U B' U2 B
L' B U D F2 B' U2
L' B U D B' F2 U2
L' B U D' B' U2 B'
D2 B U B' U L U
D' B U B' U L U
L' B U B' U L2 U
L' B U B' U2 D' B2
L' B U B' D F2 U2
L' B U B' D' U2 B2
L B R2 U B' U2 B
L2 B U B' U L' U
L' B U2 L2 R U F
L' B U2 L2 R' U F
L' B U2 L2 R2 U F
L' B U2 L2 U D F
L' B U2 L2 U D' F
L' B U2 L2 U D2 F
L' B U2 L2 U F D
L' B U2 L2 U F D'
L' B U2 L2 U F D2
L' B U2 L2 D U F
L' B U2 L2 D' U F
L' B U2 L2 D2 U F
D B U B' U L U
L' B U2 R L2 U F
L' B U2 R' L2 U F
L' B U2 R2 L2 U F
L B U D B' U2 B
L B U D' B' U2 B
L B U D2 B' U2 B
U2 B U' B' L U L'
L B U F B' U2 B
L B U F' B' U2 B
L B U F2 B' U2 B
L B U B' U2 D B
L B U B' U2 D' B
L B U B' U2 D2 B
L B U B' U2 B D
L B U B' U2 B D'
L B U B' U2 B D2
L B U B' D U2 B
L B U B' D' U2 B
L B U B' D2 U2 B
L B U B' F U2 B
L B U B' F' U2 B
L B U B' F2 U2 B
L' B D U F2 B' U2
L' B D U B' F2 U2
