D F L' B2 U' B'
F L U R2 F' B' U2
F L U R2 B' F' U2
F L U B' R2 U2 B2
R2 L D F' B' U2 R
R2 L D B' F' U2 R
F L U' D2 L2 F B
F L U' D2 L2 B F
F L U' B D2 L2 F2
F L U' B D2 F2 L2
R2 L D' F' B' L U2
R2 L D' B' L F' U2
R2 L D' B' F' L U2
R2 L F' D' B' L U2
F L D2 U' L2 F B
F L D2 U' L2 B F
R2 L B' D F' U2 R
F L' U R2 F' U2 F2
F L' U' D2 F L2 B
F L' U' D2 F B L2
F L' U' D2 B F L2
F L' U' F D2 L2 B
F L' U' F D2 B L2
F L' U' F B D2 L2
F L' U' B D2 F L2
F L' U' B F D2 L2
F L' D B2 U' F B'
F L' D B2 U' B' F
F L' D2 U' F L2 B
F L' D2 U' F B L2
F L' D2 U' B F L2
L R2 D F' B' U2 R
L R2 D B' F' U2 R
L R2 D' F' B' L U2
L R2 D' B' L F' U2
L R2 D' B' F' L U2
L2 R2 F' U B' R' U
R2 L2 F' U B' R' U
L R2 F' D' B' L U2
L R2 B' D F' U2 R
D2 L2 B R D' F' R2
D2 L2 B R F' D' R2
D2 L2 B R' D' R2 F'
L' U F B' R' B2 L
L' U B' R' F B2 L
L' U B' R' B2 F L
L2 U B' R' U B2 L
L' U B' F R' B2 L
B R F2 L' F D R2
L' U' R2 F' L' U2 F2
L' U' R2 F' U2 F2 R
L' U' D2 F L2 B R
L' U' D2 F B L2 R
L' U' D2 F B R L2
L' U' D2 B F L2 R
L' U' D2 B F R L2
L' U' F D2 L2 B R
L' U' F D2 B L2 R
L' U' F D2 B R L2
L' U' F B D2 L2 R
L' U' F B D2 R L2
L' U' B D2 F L2 R
L' U' B D2 F R L2
L' U' B F D2 L2 R
L' U' B F D2 R L2
R2 D F' U' F2 L' U'
U' D F L' B2 U' B'
L' D B2 U' F R B'
L' D B2 U' F B' R
L' D B2 U' B' F R
U2 D F L' B2 U' B'
D U F L' B2 U' B'
B U D F L' B2 U'
B U D F B2 L' U'
U D F L' B2 U' B'
B U D B2 F L' U'
F U' L D2 L2 F B
F U' L D2 L2 B F
F U' L B D2 L2 F2
F U' L B D2 F2 L2
F U' L' D2 F L2 B
F U' L' D2 F B L2
F U' L' D2 B F L2
F U' L' F D2 L2 B
F U' L' F D2 B L2
F U' L' F B D2 L2
F U' L' B D2 F L2
F U' L' B F D2 L2
D U' F L' B2 U' B'
L D2 L2 D F B R'
L D2 L2 D B R' F
L D2 L2 D B F R'
L D2 L2 F D B R'
F U' B L D2 L2 F
F U' B L' D2 F L2
F U' B L' F D2 L2
L' D2 U' F L2 B R
L' D2 U' F B L2 R
L' D2 U' F B R L2
L' D2 U' B F L2 R
L' D2 U' B F R L2
L' D2 F L2 D' B R'
D U2 F L' B2 U' B'
D F L' U' D L2 B
D F L' U' D B L2
D F L' D U' L2 B
D F L' D U' B L2
D' F L2 B' L U' B2
D F L' B2 R U' B'
D F L' B2 R' U' B'
D F L' B2 R2 U' B'
D F L' B2 U' D B'
D F L' B2 U' D' B'
D F L' B2 U' D2 B'
D F L' B2 U' B' D
D F L' B2 U' B' D'
D F L' B2 U' B' D2
D F L' B2 D U' B'
D F L' B2 D' U' B'
D F L' B2 D2 U' B'
D F D L' U' L' B
D F D L' U' B L'
L' F D2 L2 D' B R'
D F B L' B U' B'
B D U F L' B2 U'
B D U F B2 L' U'
B D U B2 F L' U'
R2 F' L D B' U2 R2
R2 F' L D' L2 U2 F
R2 F' L D' B' L2 U2
R2 F' L B' U' F2 U'
R2 F' L B' U2 D R2
R2 F' L B' D U2 R2
R2 F' L B' D' L2 U2
R2 F' L' U' F2 U' F'
R2 F' L' U2 D R2 F
R2 F' L' U2 D F R2
R2 F' L' D U2 R2 F
R2 F' L' D U2 F R2
R2 F' L' D' L2 B' U2
B2 D F B2 L' U' B
B D F L' B2 U' B2
B D F B2 L' U' B2
B2 D B2 F L' U' B
R2 F' U' L' F2 U' F'
B D B2 F L' U' B2
R2 F' U' F2 L' U' F
B D2 R F' L2 D R2
D2 B R F' L2 D R2
D B U F L' B U'
D B U F B L' U'
D B U B F L' U'
D B F L' B U' B'
