F2 L R F' B' U
F2 L R B' F' U
F2 L B' R F' U
B2 L' R' F B U'
B2 L' R' B F U'
B2 L' F R' B U'
F2 R L F' B' U
F2 R L B' F' U
F2 R F' L B' U
B2 R' L' F B U'
B2 R' L' B F U'
B2 R' B L' F U'
L D B' U L F2
L D B' U F2 L
L' D' F U' L' B2
L' D' F U' B2 L'
F2 L R D F' B' U
F2 L R D B' F' U
F2 L R D' F' B' U
F2 L R D' B' F' U
F2 L R D2 F' B' U
F2 L R D2 B' F' U
F' L R F' R B' U
F' L R F' B' R U
F2 L R F' D B' U
F2 L R F' D' B' U
F2 L R F' D2 B' U
F2 L R F' B' U D
F2 L R F' B' U D'
F2 L R F' B' U D2
F2 L R F' B' D U
F2 L R F' B' D' U
F2 L R F' B' D2 U
F' L R B' F' R U
F2 L R B' D F' U
F2 L R B' D' F' U
F2 L R B' D2 F' U
F2 L R B' F' U D
F2 L R B' F' U D'
F2 L R B' F' U D2
F2 L R B' F' D U
F2 L R B' F' D' U
F2 L R B' F' D2 U
L' R U2 L2 F' B' U
L' R U2 L2 B' F' U
R' L U2 L2 F B U'
R' L U2 L2 B F U'
L R D F' B' U F'
R L D F' B' U F'
L R D B' F' U F'
R L D B' F' U F'
L' R D2 R2 F B U'
L' R D2 R2 B F U'
R' L D2 R2 F' B' U
R' L D2 R2 B' F' U
L R D2 F' R2 B' U
L R D2 F' B' R2 U
F2 L D R B' U L
R L D2 F' R2 B' U
R L D2 F' B' R2 U
L R D2 B' F' R2 U
R L D2 B' F' R2 U
L' R F U' D' L2 B2
L' R F U' D' B2 L2
U' L D B' U L F2
U' L D B' U F2 L
L' R F U2 L2 F2 U
U2 L D B' U L F2
F2 L D B' R U L
U2 L D B' U F2 L
L' R F U2 F2 L2 U
F L D B' U L F
L' R F D' U' L2 B2
L' R F D' U' B2 L2
U L D B' U L F2
U L D B' U F2 L
L' R F D2 R2 B2 U'
L' R F D2 B2 R2 U'
L R F' U2 L2 F U'
R L F' U2 L2 F U'
L R F' D B' U F2
L R F' D2 R2 B' U
R L F' D B' U F2
L R F' D2 B' R2 U
R L F' D2 R2 B' U
L R F' B' U D F2
L R F' B' U2 L2 U'
L R F' B' D U F2
R L F' D2 B' R2 U
L R F' B' D2 R2 U
R L F' B' U D F2
R L F' B' U2 L2 U'
R L F' B' D U F2
R L F' B' D2 R2 U
F L F R F' B' U
F L F R B' F' U
F L F B' R F' U
F' L F' R F' B' U
F' L F' R B' F' U
R' L B' U D L2 F2
R' L B' U D F2 L2
F' L F' B' R F' U
R' L B' U2 L2 B2 U'
R' L B' U2 B2 L2 U'
R' L B' D U L2 F2
R' L B' D U F2 L2
R' L B' D2 R2 F2 U
R' L B' D2 F2 R2 U
L R B' D F' U F'
R L B' D F' U F'
L R B' D2 F' R2 U
R L B' D2 F' R2 U
L R B' F' U D F2
L R B' F' U2 L2 U'
L R B' F' D U F2
L R B' F' D2 R2 U
R L B' F' U D F2
R L B' F' U2 L2 U'
R L B' F' D U F2
R L B' F' D2 R2 U
F2 L B R F' B2 U
F2 L B R B2 F' U
F' L B' R F' R U
F2 L B' R D F' U
F2 L B' R D' F' U
F2 L B' R D2 F' U
F2 L B' R F' U D
F2 L B' R F' U D'
F2 L B' R F' U D2
F2 L B' R F' D U
F2 L B' R F' D' U
F2 L B' R F' D2 U
F' L B' F' R F' U
F L B' F R F' U
L R' U2 L2 F B U'
L R' U2 L2 B F U'
R L' U2 L2 F' B' U
R L' U2 L2 B' F' U
B2 L' R' D F B U'
B2 L' R' D B F U'
B2 L' R' D' F B U'
B2 L' R' D' B F U'
B2 L' R' D2 F B U'
B2 L' R' D2 B F U'
B2 L' R' F D B U'
B2 L' R' F D' B U'
B2 L' R' F D2 B U'
B2 L' R' F B U' D
B2 L' R' F B U' D'
B2 L' R' F B U' D2
B2 L' R' F B D U'
B2 L' R' F B D' U'
B2 L' R' F B D2 U'
B L' R' F B R' U'
B2 L' R' B D F U'
B2 L' R' B D' F U'
B2 L' R' B D2 F U'
B2 L' R' B F U' D
B2 L' R' B F U' D'
B2 L' R' B F U' D2
B2 L' R' B F D U'
B2 L' R' B F D' U'
B2 L' R' B F D2 U'
B L' R' B R' F U'
B L' R' B F R' U'
R' L' D' F B U' B
L' R' D' F B U' B
R' L' D' B F U' B
L' R' D' B F U' B
R' L' D2 F B R2 U'
L R' D2 R2 F' B' U
L' R' D2 F B R2 U'
L R' D2 R2 B' F' U
R L' D2 R2 F B U'
