R2 U' L' B' L' R'
R2 U' L' B' R' L'
B' R F' R2 U' L2
B' R' U2 B U L2
R F' U' L' B' L'
R F' B' R' U' L2
R2 B' R' F' U' L2
R B' F' R' U' L2
U' L' R' B' L' D' R2
U' L' R' B' D' L' R2
U' L' R' B' D' R2 L'
U' L' D B L' R' B2
U' L' D B R' L' B2
U' L' D B R' B2 L'
U' L' D B' L' D2 R2
U' L' B2 L' D B R'
U' L' B2 D L' B R'
U' L' B2 D B L' R'
U' L' B2 D B R' L'
U' L2 D B D R' B
U' L2 D2 R' D' B R'
R2 U L' U2 L' B' R'
L2 U L2 R F' U' B
L2 U R L2 F' U' B
L2 U R F' L2 U' B
R2 U R B L2 F R
R2 U R' F' L' U2 L'
R2 U F R B L2 F
R2 U F' L' U2 L' B'
R2 U B L2 F R B
U R U' F' U' L2 B
U R U' F' U' B L2
B R D' F' B2 R' U'
B R D' B2 F' R' U'
R2 U' L' R B' L' R'
R2 U' L' R B' R' L'
R2 U' L' R' B' L' R'
R2 U' L' R' B' R' L'
R2 U' L' R2 B' L' R'
R2 U' L' R2 B' R' L'
R' U' L' B' L' D' R2
R' U' L' B' D' L' R2
R' U' L' B' D' R2 L'
B' R F R2 F2 U' L2
R2 U' L' D B' L' R'
R2 U' L' D B' R' L'
R2 U' L' D' B' L' R'
R2 U' L' D' B' R' L'
R2 U' L' D2 B' L' R'
R2 U' L' D2 B' R' L'
R2 U' L' B' L' R' D
R2 U' L' B' L' R' D'
R2 U' L' B' L' R' D2
R2 U' L' B' L' D R'
R2 U' L' B' L' D' R'
R2 U' L' B' L' D2 R'
R2 U' L' B' R' L' D
R2 U' L' B' R' L' D'
R2 U' L' B' R' L' D2
R2 U' L' B' R' D L'
R2 U' L' B' R' D' L'
R2 U' L' B' R' D2 L'
R2 U' L' B' D L' R'
R2 U' L' B' D R' L'
R2 U' L' B' D' L' R'
R2 U' L' B' D' R' L'
R2 U' L' B' D2 L' R'
R2 U' L' B' D2 R' L'
R2 U' L' B2 L' B R'
B' R F' R2 U' L2 D
B' R F' R2 U' L2 D'
B' R F' R2 U' L2 D2
B' R F' R2 D' B2 U'
B' R F' R2 B U' L2
B' R F' R2 B' U' L2
B' R F' R2 B2 U' L2
B' R F' U' L2 D B2
F' R F' U' L' B' L'
R2 U' L2 D2 B' R' B
F2 R F' U' L' B' L'
B' R F' B R2 U' L2
B' R F' B' R2 U' L2
B' R F' B2 R2 U' L2
R2 U' L2 B' D2 R' B
F' R F' B' R' U' L2
B2 R F' B R' U' L2
B R F' U2 L U L
R2 U' R L' B' L' R'
R2 U' R L' B' R' L'
F2 R F' B' R' U' L2
F R F' U' L' B' L'
B R F' D' B2 R' U'
B' R F2 R2 F U' L2
B R F' B2 R' U' L2
F R F' B' R' U' L2
R2 U' R' L' B' L' R'
R2 U' R' L' B' R' L'
B' R B F' R2 U' L2
U R B L2 F D R2
R2 U' R2 L' B' L' R'
R2 U' R2 L' B' R' L'
B2 R B F' R' U' L2
B' R B' F' R2 U' L2
F' R B' F' R' U' L2
F2 R B' F' R' U' L2
F R B' F' R' U' L2
B' R B2 F' R2 U' L2
B R B2 F' R' U' L2
U' R' L' B' L' D' R2
U' R' L' B' D' L' R2
U' R' L' B' D' R2 L'
B' R' U' L2 U' B U
B' R' U2 D F2 B U
B' R' U2 D B F2 U
B' R' U2 F B U L2
B' R' U2 F' B U L2
B' R' U2 F2 B U L2
B' R' U2 B U L2 D
B' R' U2 B U L2 D'
B' R' U2 B U L2 D2
B' R' U2 B D F2 U
B' R' U2 B F U L2
B' R' U2 B F' U L2
B' R' U2 B F2 U L2
R2 U' B' L' R' B' L'
R2 U' B' L2 D2 R' B
R2 U' B' R' L' B' L'
B' R' D U2 F2 B U
B' R' D U2 B F2 U
B' R' D' B2 U2 B' U
R' U2 L' B U L' B'
B' R' F U2 B U L2
R2 U2 L' B' U L' B'
B' R' F' U2 B U L2
U R' F' U B U L2
B' R' F2 U2 B U L2
B' R' B U' L2 D2 R2
B' R' B' U' L2 D' R2
B' R' B' U2 B2 U L2
B' R' B' D' B2 U' R2
B' R' B2 U2 B' U L2
R' U2 F' L' B U L'
R' U2 F' B L' U L'
R2 U2 F' L' B' U L'
F' R2 U' L' B' L' R'
F' R2 U' L' B' R' L'
R' U2 B L' U L' B'
F2 R2 U' L' B' L' R'
F2 R2 U' L' B' R' L'
R' U2 B U L' B' L'
F R2 U' L' B' L' R'
F R2 U' L' B' R' L'
R' U2 B F' L' U L'
B R2 D' B2 R' F' U'
B2 R2 B R' F' U' L2
F' R2 B' R' F' U' L2
F2 R2 B' R' F' U' L2
F R2 B' R' F' U' L2
B R2 B2 R' F' U' L2
R' D B L F2 R U
R D F' U2 F' L' U
R D' F' B' R' B' U'
R2 D' B' R' F' B' U'
R2 D' B' R' B' F' U'
R' D' B2 U2 B' L U
R D' B' F' R' B' U'
R D' B2 D2 F' R U'
R2 F U' L' B' L' R'
R2 F U' L' B' R' L'
U2 F U2 R F' U' L2
R2 F B' R' F' U' L2
R F B' R' F2 U' L2
R F' R U' L' B' L'
R F' R B' R' U' L2
R F' R' U' L' B' L'
R F' R' B' R' U' L2
R F' R2 U' L' B' L'
R F' R2 B' R' U' L2
R2 F' U' L' B' L' R'
R2 F' U' L' B' R' L'
R F' U R U2 L2 B
R F' U R U2 B L2
R F' U R' F' U2 L2
R F' U' L' D B' L'
R F' U' L' D' B' L'
R F' U' L' D2 B' L'
R F' U' L' B L' B2
R F' U' L' B' L' D
R F' U' L' B' L' D'
R F' U' L' B' L' D2
R F' U' L' B' D L'
R F' U' L' B' D' L'
R F' U' L' B' D2 L'
R F' U' L' B2 L' B
R F' U' B L' B' L'
R F' U' B' L' B' L'
R F' U' B2 L' B' L'
R F' U2 L' U L' B'
R F' U2 F' L' U L'
B' D' R' F' B2 U' R
B' D' R' B2 F' U' R
R F' D' B' R' B' U'
D' F' B' R' B' U' R2
R2 F' B' R' F' U' L2
R F' B U2 L U L
R F' B D' B2 R' U'
R F' B' R' U' L2 D
R F' B' R' U' L2 D'
R F' B' R' U' L2 D2
R F' B' R' D' B2 U'
R F' B' R' B U' L2
R F' B' R' B' U' L2
R F' B' R' B2 U' L2
R F' B' D' R' B2 U'
B' D' F' R' B2 U' R2
B D' F' B2 R' U' R2
B D' B2 R' F' U' R
R2 F2 U' L' B' L' R'
R2 F2 U' L' B' R' L'
B D' B2 F' R' U' R2
R2 F2 B' R' F' U' L2
R' B L U L D F2
R' B L U2 L' U' L2
R' B L F U L F
R' B L F2 R U L
R F2 B' R' F U' L2
D B L F2 R U R2
R' B D L F2 R U
D B U2 L F2 U R'
D B U2 F2 L U R'
B' F R F' R2 U' L2
B' F R' U2 B U L2
R2 B D' B2 R' F' U'
R B D' F' B2 R' U'
R B D' B2 F' R' U'
R B F' U2 L U L
R B F' D' B2 R' U'
R' B' R' U' L2 D' R2
R' B' R' U2 B2 U L2
R' B' R' D' B2 U' R2
D' B' R' F' B' U' R
D' B' R' B' F' U' R
R2 B' R' D' F' B2 U'
R2 B' R' D' B2 F' U'
R2 B' R' F' U' L2 D
R2 B' R' F' U' L2 D'
R2 B' R' F' U' L2 D2
R2 B' R' F' D' B2 U'
R2 B' R' F' B U' L2
R2 B' R' F' B' U' L2
R2 B' R' F' B2 U' L2
D B' R' D2 B2 U' R'
R2 B' R' B F' U' L2
R2 B' R' B' F' U' L2
R2 B' R' B2 F' U' L2
B' F' R F' R2 U' L2
R' B' U2 B2 L U L
F' B' R F' R2 U' L2
B' F' R' U2 B U L2
F2 B' R F' R2 U' L2
F' B' R' U2 B U L2
F2 B' R' U2 B U L2
F B' R F' R2 U' L2
F B' R' U2 B U L2
R2 B' D' R' F' B2 U'
R2 B' D' R' B2 F' U'
D B' D2 R' B2 U' R'
D' B' F' R' B' U' R2
R B' D' F' R' B2 U'
R2 B' F R' F' U' L2
R2 B' F' R' F' U' L2
R B' F R' F2 U' L2
R2 B' F2 R' F' U' L2
R B' F' R' U' L2 D
R B' F' R' U' L2 D'
R B' F' R' U' L2 D2
R B' F' R' D' B2 U'
R B' F' R' B U' L2
R B' F' R' B' U' L2
R B' F' R' B2 U' L2
R B' F' D' R' B2 U'
R B' F2 R' F U' L2
B' F2 R F' R2 U' L2
B' F2 R' U2 B U L2
R' B2 U2 B' L U L
