D2 L U R2 F B'
D2 L U R2 B' F
D2 L U F R2 B'
D2 L U F B' R2
D2 L U B' R2 F
D2 L U B' F R2
L U F B2 R' B
L U B2 R' F B
L U B2 R' B F
L U B2 F R' B
L B2 U R' F B
L B2 U R' B F
L B2 U F R' B
D2 L R U R F B'
D2 L R U R B' F
D2 L R U B' R F
R' L U F B2 R' B'
L R U F D2 B2 R'
D2 L R' U R' F B'
D2 L R' U R' B' F
R' L U B2 R' F B'
R' L U B2 R' B' F
D2 L R' U F R' B'
R L U F D2 B2 R'
R' L U B2 F R' B'
L' R U' B' L' F' U2
L R U' F' L U2 F2
R L U' F' L U2 F2
D2 L U R B' R F
D2 L U R' F R' B'
D2 L U R2 D F B'
D2 L U R2 D B' F
D2 L U R2 D' F B'
D2 L U R2 D' B' F
D2 L U R2 D2 F B'
D2 L U R2 D2 B' F
D2 L U R2 F D B'
D2 L U R2 F D' B'
D2 L U R2 F D2 B'
D2 L U R2 F B' D
D2 L U R2 F B' D'
D2 L U R2 F B' D2
D2 L U R2 B' D F
D2 L U R2 B' D' F
D2 L U R2 B' D2 F
D2 L U R2 B' F D
D2 L U R2 B' F D'
D2 L U R2 B' F D2
B' L U F B2 R' B
D2 L U F R B' R
D2 L U F R2 D B'
D2 L U F R2 D' B'
D2 L U F R2 D2 B'
D2 L U F R2 B' D
D2 L U F R2 B' D'
D2 L U F R2 B' D2
D2 L U F B R2 B2
D2 L U F B' R2 D
D2 L U F B' R2 D'
D2 L U F B' R2 D2
B2 L U F B2 R' B
D2 L U F' R2 F2 B'
D2 L U F' R2 B' F2
D2 L U F' B' R2 F2
B L U F B2 R' B
D2 L U B R2 F B2
D2 L U B R2 B2 F
D2 L U B F R2 B2
D2 L U B' R' F R'
D2 L U B' R2 D F
D2 L U B' R2 D' F
D2 L U B' R2 D2 F
D2 L U B' R2 F D
D2 L U B' R2 F D'
D2 L U B' R2 F D2
B' L U B2 R' F B
B' L U B2 R' B F
D2 L U B' F R2 D
D2 L U B' F R2 D'
D2 L U B' F R2 D2
D2 L U B' F' R2 F2
B' L U B2 F R' B
B2 L U B2 R' F B
B2 L U B2 R' B F
B2 L U B2 F R' B
B L U B2 R' F B
B L U B2 R' B F
B L U B2 F R' B
D2 L D B2 U F B
D2 L D B2 U B F
D2 L F R2 B' D L2
R' L B2 U R' F B'
R' L B2 U R' B' F
R' L B2 U F R' B'
D2 L B U R2 F B2
D2 L B U R2 B2 F
D2 L B U F R2 B2
D2 L B U F B2 R2
D2 L B U B2 R2 F
D2 L B U B2 F R2
L' R' U B D2 F2 R
R' L' U B D2 F2 R
L R' U F B2 R' B'
L R' U B2 R' F B'
L R' U B2 R' B' F
L R' U B2 F R' B'
R' L' U' B' L' U2 B2
L' R' U' B' L' U2 B2
D2 L B2 U F B R2
D2 L B2 U B R2 F
