U2 L F L' R B2
U2 L F L' B2 R
U2 L F R L' B2
U2 L F R B2 L'
U2 L F B2 L' R
U2 L F B2 R L'
U2 L B2 F L' R
U2 L B2 F R L'
F L' B' R' F' B'
F L' B' R' B' F'
F' R B L U2 B
B' R' D2 F' B' L
B' R' D2 B' L F'
B' R' D2 B' F' L
B' R' F B' L' F2
B' R' B' F L' F2
B' D2 R' F' B' L
B' D2 R' B' L F'
B' D2 R' B' F' L
B' F R' B' L' F'
F2 B' R' F' B' L'
F2 B' R' B' F' L'
F B' R' B' L' F'
U2 B2 L F L' R
U2 B2 L F R L'
B' F2 R' F' B' L'
B' F2 R' B' F' L'
U2 L R F L' R B2
U2 L R F L' B2 R
U2 L R F R L' B2
U2 L R F R B2 L'
U2 L R F B2 L' R
U2 L R F B2 R L'
F' L R B L U2 B
U2 L R B2 F L' R
U2 L R B2 F R L'
B' L R' F L' F2 B'
B' L R' F L' B' F2
U2 L R' F L' R B2
U2 L R' F L' B2 R
U2 L R' F R L' B2
U2 L R' F R B2 L'
U2 L R' F B2 L' R
U2 L R' F B2 R L'
U2 L R' B2 F L' R
U2 L R' B2 F R L'
U2 L R2 F L' R B2
U2 L R2 F L' B2 R
U2 L R2 F R L' B2
U2 L R2 F R B2 L'
U2 L R2 F B2 L' R
U2 L R2 F B2 R L'
B L R2 F' R U2 F'
U2 L R2 B2 F L' R
U2 L R2 B2 F R L'
B L U2 L F L' B
B L U2 L F B L'
B L U2 L B F L'
B L U2 B L F L'
U2 L F L R B2 L2
B' L F L' R' F' B'
B' L F L' R' B' F'
U2 L F L B2 L2 R
U2 L F L B2 R L2
U2 L F L' R B2 D
U2 L F L' R B2 D'
U2 L F L' R B2 D2
U2 L F L' R' B2 R2
U2 L F L' B' R B'
U2 L F L' B2 R D
U2 L F L' B2 R D'
U2 L F L' B2 R D2
U2 L F L' B2 D R
U2 L F L' B2 D' R
U2 L F L' B2 D2 R
U2 L F R L B2 L2
U2 L F R L' B2 D
U2 L F R L' B2 D'
U2 L F R L' B2 D2
U2 L F R B L' B
U2 L F R B2 L' D
U2 L F R B2 L' D'
U2 L F R B2 L' D2
U2 L F R B2 D L'
U2 L F R B2 D' L'
U2 L F R B2 D2 L'
B' L F R' L' F' B'
B' L F R' L' B' F'
U2 L F R' L' B2 R2
U2 L F R' B2 L' R2
U2 L F R' B2 R2 L'
U2 L F B L' B R
U2 L F B' R B' L'
U2 L F B2 L' R D
U2 L F B2 L' R D'
U2 L F B2 L' R D2
U2 L F B2 L' D R
U2 L F B2 L' D' R
U2 L F B2 L' D2 R
U2 L F B2 R L' D
U2 L F B2 R L' D'
U2 L F B2 R L' D2
U2 L F B2 R D L'
U2 L F B2 R D' L'
U2 L F B2 R D2 L'
U2 L F B2 D L' R
U2 L F B2 D R L'
U2 L F B2 D' L' R
U2 L F B2 D' R L'
U2 L F B2 D2 L' R
U2 L F B2 D2 R L'
B' L F2 R' F' L' B'
B L F2 U2 B L F
U2 L B F L' B R
D' L B' R2 U' R F'
F2 L B' R' F' B' L'
F2 L B' R' B' F' L'
F L B' R' F' B' L2
F L B' R' B' L2 F'
F L B' R' B' F' L2
U2 L B' F R B' L'
U2 L B2 R F L' R
U2 L B2 R F R L'
U2 L B2 R' F L' R
U2 L B2 R' F R L'
U2 L B2 R2 F L' R
U2 L B2 R2 F R L'
U2 L B2 F L' R D
U2 L B2 F L' R D'
U2 L B2 F L' R D2
U2 L B2 F L' D R
U2 L B2 F L' D' R
U2 L B2 F L' D2 R
U2 L B2 F R L' D
U2 L B2 F R L' D'
U2 L B2 F R L' D2
U2 L B2 F R D L'
U2 L B2 F R D' L'
U2 L B2 F R D2 L'
U2 L B2 F D L' R
U2 L B2 F D R L'
U2 L B2 F D' L' R
U2 L B2 F D' R L'
U2 L B2 F D2 L' R
U2 L B2 F D2 R L'
F' L' R B L U2 B
F L' R' F' B' R' B'
F L' R' B' F' R' B'
F L' R' B2 D2 F' R
F L' F B' R' F' B'
F L' F B' R' B' F'
F L' F' B' R' F' B'
F L' F' B' R' B' F'
F L' F2 B' R' F' B'
F L' F2 B' R' B' F'
F2 L' B' R' F' B' L'
F2 L' B' R' B' F' L'
F L' B' R' D F' B'
F L' B' R' D B' F'
F L' B' R' D' F' B'
F L' B' R' D' B' F'
F L' B' R' D2 F' B'
F L' B' R' D2 B' F'
F L' B' R' F' D B'
F L' B' R' F' D' B'
F L' B' R' F' D2 B'
F L' B' R' F' B' D
F L' B' R' F' B' D'
F L' B' R' F' B' D2
F L' B' R' B' D F'
F L' B' R' B' D' F'
F L' B' R' B' D2 F'
F L' B' R' B' F' D
F L' B' R' B' F' D'
F L' B' R' B' F' D2
F L' B' R2 B' R F'
F L' B' D R' F' B'
F L' B' D R' B' F'
F L' B' D' R' F' B'
F L' B' D' R' B' F'
F L' B' D2 R' F' B'
F L' B' D2 R' B' F'
F L' B' F R' F' B'
F L' B' F R' B' F'
F L' B' F' R' F' B'
F L' B' F' R' B' F'
F L' B' F2 R' F' B'
F L' B' F2 R' B' F'
F L' B2 R' D2 F' R
F L' B2 D2 R' F' R
F' L2 R B L U2 B
F L2 U2 L F R B2
F L2 U2 L F B2 R
F L2 U2 L B2 F R
U2 L2 F L' R F B2
U2 L2 F L' R B2 F
U2 L2 F L' B2 R F
U2 L2 F R L' F B2
U2 L2 F R L' B2 F
U2 L2 F R B2 L' F
U2 L2 F B2 L' R F
U2 L2 F B2 R L' F
F2 L2 B' R' F' B' L'
F2 L2 B' R' B' F' L'
U2 L2 B2 L' F L' R
U2 L2 B2 L' F R L'
U2 L2 B2 F L' R F
U2 L2 B2 F R L' F
F' R L B L U2 B
U2 R L F L' R B2
U2 R L F L' B2 R
U2 R L F R L' B2
U2 R L F R B2 L'
U2 R L F B2 L' R
U2 R L F B2 R L'
U2 R L B2 F L' R
U2 R L B2 F R L'
F' R L' B L U2 B
F' R L2 B L U2 B
F' R D2 F2 B L U2
F' R D2 B L F2 U2
F' R D2 B F2 L U2
B' R F R2 B' L' F'
F' R F B L U2 B
F' R F' B L U2 B
B' R F2 R2 F' B' L'
B' R F2 R2 B' F' L'
D2 R F2 B L R' U2
D2 R F2 B R' L U2
F' R F2 B L U2 B
D2 R B L R' F2 U2
D2 R B L F2 R' U2
F' R B L U2 D B
F' R B L U2 D' B
F' R B L U2 D2 B
F' R B L U2 B D
F' R B L U2 B D'
F' R B L U2 B D2
F' R B L D U2 B
F' R B L D' U2 B
F' R B L D2 U2 B
F' R B L F U2 B
F' R B L F' U2 B
F' R B L F2 U2 B
D2 R B R' L F2 U2
D2 R B R' F2 L U2
F2 R B L U2 B L
F' R B U2 B2 R' B'
F' R B D L U2 B
F' R B D' L U2 B
F R B L U2 L2 B
F R B L U2 B L2
F' R B D2 L U2 B
D2 R B F2 L R' U2
F' R B F L U2 B
D2 R B F2 R' L U2
F' R B F' L U2 B
F' R B F2 L U2 B
U2 R B2 L F L' R
U2 R B2 L F R L'
B' R' L F L' F2 B'
B' R' L F L' B' F2
U2 R' L F L' R B2
U2 R' L F L' B2 R
U2 R' L F R L' B2
U2 R' L F R B2 L'
U2 R' L F B2 L' R
U2 R' L F B2 R L'
U2 R' L B2 F L' R
U2 R' L B2 F R L'
F R' L' F' B' R' B'
F R' L' B' F' R' B'
F R' L' B2 D2 F' R
B' R' D F' D B' L
B' R' D' F' D' B' L
L' U2 L F L' R B2
L' U2 L F L' B2 R
L' U2 L F R L' B2
L' U2 L F R B2 L'
L' U2 L F B2 L' R
L' U2 L F B2 R L'
L2 U2 L F L' R B2
L2 U2 L F L' B2 R
L2 U2 L F R L' B2
L2 U2 L F R B2 L'
L' U2 L B2 F L' R
L' U2 L B2 F R L'
L2 U2 L F B2 L' R
L2 U2 L F B2 R L'
B' R' D2 F B' L F2
B' R' D2 F' B' L D
B' R' D2 F' B' L D'
B' R' D2 F' B' L D2
B' R' D2 F' B' D L
B' R' D2 F' B' D' L
B' R' D2 F' B' D2 L
L2 U2 L B2 F L' R
L2 U2 L B2 F R L'
B' R' D2 B' L D F'
B' R' D2 B' L D' F'
B' R' D2 B' L D2 F'
B' R' D2 B' L F' D
B' R' D2 B' L F' D'
B' R' D2 B' L F' D2
B' R' D2 B' L' F' L2
B' R' D2 B' D L F'
B' R' D2 B' D F' L
L U2 L F L' R B2
B' R' D2 B' D' L F'
B' R' D2 B' D' F' L
B' R' D2 B' D2 L F'
L U2 L F L' B2 R
B' R' D2 B' D2 F' L
B' R' D2 B' F L F2
L U2 L F R L' B2
B' R' D2 B' F' L D
B' R' D2 B' F' L D'
B' R' D2 B' F' L D2
L U2 L F R B2 L'
B' R' D2 B' F' D L
B' R' D2 B' F' D' L
B' R' D2 B' F' D2 L
L U2 L F B2 L' R
L U2 L F B2 R L'
L U2 L B2 F L' R
L U2 L B2 F R L'
B' R' F B L' F2 B2
B' R' F B L' B2 F2
B' R' F B' L F2 L2
B' R' F B' L' F2 D
B' R' F B' L' F2 D'
B' R' F B' L' F2 D2
B' R' F B' L2 F2 L
B' R' F B2 L' F2 B
B' R' F B2 L' B F2
F2 R' F' L' B' R' B'
B' R' F' U2 R U2 B'
B' R' F' B' U2 R U2
F2 R' F' B' R' B' L'
B' R' B F L' F2 B2
B' R' B F L' B2 F2
B' R' B' L F L' F2
B' R' B' L' F L' F2
B' R' B' L2 F L' F2
B' R' B' F L F2 L2
B' R' B' F L' F2 D
B' R' B' F L' F2 D'
B' R' B' F L' F2 D2
B' R' B' F L2 F2 L
B' R' B' F' U2 R U2
F2 R' B' F' R' B' L'
U2 R' B2 L F L' R
U2 R' B2 L F R L'
F' R' B2 D2 L2 F' R
F' R' B2 D2 F' L2 R
F' R' B2 D2 F' R L2
B' R' B2 F L' F2 B
B' R' B2 F L' B F2
F R' B2 L' D2 F' R
F2 R' B2 D2 F' L' R
F2 R' B2 D2 F' R L'
F R' B2 D2 L' F' R
R' U2 F L' R F2 B2
R' U2 F L' R B2 F2
U2 R2 L F L' R B2
U2 R2 L F L' B2 R
U2 R2 L F R L' B2
U2 R2 L F R B2 L'
R' U2 F L' B2 R F2
U2 R2 L F B2 L' R
U2 R2 L F B2 R L'
R' U2 F R L' F2 B2
R' U2 F R L' B2 F2
R' U2 F R B2 L' F2
B R2 L F' R U2 F'
U2 R2 L B2 F L' R
U2 R2 L B2 F R L'
R2 U2 F L' R F' B2
R2 U2 F L' R B2 F'
R' U2 F B2 L' R F2
R' U2 F B2 R L' F2
R2 U2 F L' B2 R F'
R2 U2 F R L' F' B2
R2 U2 F R L' B2 F'
R2 U2 F R B2 L' F'
R2 U2 F B2 L' R F'
R2 U2 F B2 R L' F'
L' U2 B2 L F L' R
L' U2 B2 L F R L'
L2 U2 B2 L F L' R
L2 U2 B2 L F R L'
R' U2 B2 F L' R F2
R' U2 B2 F R L' F2
L U2 B2 L F L' R
L U2 B2 L F R L'
R U2 B2 L2 F L' R
R U2 B2 L2 F R L'
R2 U2 B2 F L' R F'
R2 U2 B2 F R L' F'
B R2 F' L R U2 F'
B R2 F' R L U2 F'
B' R2 B' R F L' F2
U2 R2 B2 L F L' R
U2 R2 B2 L F R L'
B' U2 L R' F L' B'
B' U2 L F L' R' B'
B' U2 L F R' L' B'
B U2 L U2 F L' B
B U2 L U2 F B L'
B U2 L U2 B F L'
F U2 L F L2 R B2
F U2 L F L2 B2 R
F U2 L F R L2 B2
F U2 L F R B2 L2
F U2 L F B2 L2 R
F U2 L F B2 R L2
F U2 L B2 F L2 R
F U2 L B2 F R L2
B' U2 R' L F L' B'
B' U2 R' D2 B' L F
B' U2 R' B' L F L'
R D2 F2 B L R' U2
R D2 F2 B R' L U2
R D2 B L R' F2 U2
R D2 B L F2 R' U2
F' U2 R2 B2 L F R
R D2 B R' L F2 U2
R D2 B R' F2 L U2
R D2 B F2 L R' U2
R D2 B F2 R' L U2
U2 F L R F L2 B2
U2 F L R F B2 L2
U2 F L R B2 F L2
B' U2 D2 R' B' L F
U2 F L B2 R F L2
R' F L' F2 B' R' B'
R' F L' B' R' F2 B'
R' F L' B' R' B' F2
U2 F L' R' B2 R2 F'
R' F L' B' F2 R' B'
L' F L' B' R' F' B'
L' F L' B' R' B' F'
L2 F L' B' R' F' B'
L2 F L' B' R' B' F'
U2 F L' B2 R2 F' R'
D2 F L2 B' L R' F'
D2 F L2 B' R' L F'
D2 F L2 B' R' F' L
L F L' B' R' F' B'
L F L' B' R' B' F'
U2 F R L F L2 B2
U2 F R L F B2 L2
U2 F R L B2 F L2
U2 F R B2 L F L2
U2 F R' L' B2 R2 F'
F2 U2 B L F B R
F2 U2 B L B F R
U F R B U L' B
U F R B U B L'
B2 U2 B' L U2 F L'
F U2 B2 L F L2 R
F U2 B2 L F R L2
B' D R' F' B' D L2
B' D R' B' D L2 F'
B' D R' B' D F' L2
B' D R' B' F' D L2
R' F B' R' B' L' F2
L' F B' R' B' L' F'
L2 F B' R' B' L' F'
R F B L U2 L2 B
R F B L U2 B L2
U2 F B2 L R F L2
U2 F B2 R L F L2
L F B' R' B' L' F'
U2 F' L' R B' U2 B'
U2 F' L' B' R U2 B'
U2 F' R L' B' U2 B'
L' F' R B L U2 B
L2 F' R B L U2 B
L F' R B L U2 B
R' F' R2 B' R' B' L
B' D' R' D' F' B' L
B' D' R' D' B' L F'
B' D' R' D' B' F' L
B' D' R' F' D' B' L
R' F' B' R' D2 B' L2
R' F' B' R' B' D2 L2
D2 F2 R B L R' U2
D2 F2 R B R' L U2
F' D2 R F2 B L U2
F' D2 R B L F2 U2
F' D2 R B F2 L U2
D2 F2 B L R' U2 F'
B' D2 R' F B' L F2
B' D2 R' F' B' L D
B' D2 R' F' B' L D'
B' D2 R' F' B' L D2
B' D2 R' F' B' D L
B' D2 R' F' B' D' L
B' D2 R' F' B' D2 L
D2 F2 B R' L U2 F'
B' D2 R' B' L D F'
B' D2 R' B' L D' F'
B' D2 R' B' L D2 F'
B' D2 R' B' L F' D
B' D2 R' B' L F' D'
B' D2 R' B' L F' D2
B' D2 R' B' L' F' L2
B' D2 R' B' D L F'
B' D2 R' B' D F' L
B' D2 R' B' D' L F'
B' D2 R' B' D' F' L
B' D2 R' B' D2 L F'
B' D2 R' B' D2 F' L
B' D2 R' B' F L F2
B' D2 R' B' F' L D
B' D2 R' B' F' L D'
B' D2 R' B' F' L D2
B' D2 R' B' F' D L
B' D2 R' B' F' D' L
B' D2 R' B' F' D2 L
B' D2 R2 B' L R F'
B' D2 R2 B' R L F'
B' D2 R2 B' R F' L
L' F2 B' R' F' B' L'
L' F2 B' R' B' F' L'
D2 F2 B' U2 L R' F
D2 F2 B' U2 L F R'
D2 F2 B' U2 R' L F
L2 F2 B' R' F' B' L'
L2 F2 B' R' B' F' L'
R F2 B L U2 B L
D2 B L R' F2 U2 F
U' B L F U' L' B
U' B L F U' B L'
L F2 B' R' F' B' L'
D2 B L F2 R' U2 F'
L F2 B' R' B' F' L'
B' D2 U2 R' B' L F
U2 B L F L' B R
U2 B L F B L' R
U2 B L F B R L'
U2 B L B F L' R
U2 B L B F R L'
B' D2 F R' F' B' L
B' D2 F R' B' L F'
B' D2 F R' B' F' L
R B L R2 F' R U2
B' D2 F' R' F' B' L
B' D2 F' R' B' L F'
B' D2 F' R' B' F' L
R B L F U2 L' B
R B L F U2 B L'
R B L F2 U2 B L
B' D2 F2 R' F' B' L
B' D2 F2 R' B' L F'
B' D2 F2 R' B' F' L
D2 B R' L F2 U2 F
F D2 F2 R B L U2
R B R2 L F' R U2
R B R2 F' L R U2
R B R2 F' R L U2
F2 B L U2 B L F
B' F L' D2 R' F' B
