B' U R' U B' R'
U' L R' F' U' F2 B2
U' L R' F' U' B2 F2
U' L U F R B2 L
U' L U' F B' R' B'
U' L U' B' R' F B'
U' L U' B' R' B' F
U' L U' B' F R' B'
U L' R' B' U F' B'
U L' R' B' U B' F'
F' L' U R' U F' B2
F' L' U R' U B2 F'
U' L' U B' U2 B' R'
F' L' U' L U' F B2
F' L' U' L U' B2 F
B L' D' B2 U2 B' R'
F' L' B U' L U' B
F' L' B' U R' U B'
U L' B' R' U F' B'
U L' B' R' U B' F'
B' L2 F U R' U R2
B' L2 F U2 R D' F2
F R B2 L2 D L' F
F R B2 D L' F L2
U' R' L F' U' F2 B2
U' R' L F' U' B2 F2
U R' L' B' U F' B'
U R' L' B' U B' F'
U R' U F' B' R' B'
U R' U B' F' R' B'
U R' U B2 D2 F' R
F R' U' R2 B2 L F
U' R' F' L U' F B2
U' R' F' L U' B2 F
U R' B' U F' B' R'
U R' B' U B' F' R'
F R2 U R' F' B2 L
F R2 U R' B2 L F'
F R2 U R' B2 F' L
F R2 U' R' B2 L F
B' U R' U R B' R'
B' U R' U R' B' R'
B' U R' U R2 B' R'
B' U R' U D B' R'
B' U R' U D' B' R'
B' U R' U D2 B' R'
B' U R' U B' R' D
B' U R' U B' R' D'
B' U R' U B' R' D2
B' U R' U B' D R'
B' U R' U B' D' R'
B' U R' U B' D2 R'
B' U R' D U B' R'
B' U R' D' U B' R'
F2 U R' U F' R B2
F2 U R' U F' B2 R
B' U R' D2 U B' R'
F2 U R' U B2 F' R
F U R' U F' R2 B2
F U R' U F' B2 R2
F U R' U B2 F' R2
B' U D R' U B' R'
B' U D' R' U B' R'
B' U D2 R' U B' R'
B U B2 R' U B' R'
B U' L U' B' R' B2
F U' L U' R F B2
F U' L U' R B2 F
F U' L U' B2 R F
B' U2 R D' F2 B' R'
B' U2 R D' B' R' F2
B' U2 R D' B' F2 R'
B' U2 R B' D' R' F2
B' U2 R B' D' F2 R'
B' U2 R2 B' R' D' F2
F' U2 F2 B2 D R F'
B' U2 B' R2 D' R F'
B' U2 B' D' R F' R2
F' U2 B2 F2 D R F'
R F U' B2 L R F
R F U' B2 R L F
B' D U R' U B' R'
U2 F B' R' D' F2 B'
U2 F B' R' D' B' F2
U2 F B' R' B' D' F2
R F B2 L D' R F'
R F B2 D' L R F'
R F B2 D' R L F'
R F B2 D' R F' L
B' D' U R' U B' R'
D2 F2 U R' U F' R
B' D2 U R' U B' R'
F' B L' U' L2 U' B
F' B L' U2 D F2 B
F' B L' U2 D B F2
F' B L' U2 B D F2
F' B L' D U2 F2 B
F' B L' D U2 B F2
F' B L' D' B2 U2 B'
B' F U R' U R2 B'
B' F U R' U B' R2
B' F U2 R D' F2 B'
B' F U2 R D' B' F2
B' F U2 R B' D' F2
B F U' L U' B R
B' F U2 B' D' R F'
F B U' L U' B R
B F U2 B D' R F'
F B U2 B D' R F'
U B' R' U F' B' R'
U B' R' U B' F' R'
L' B' U R' U B' R'
L2 B' U R' U B' R'
B F' L' U' L2 U' B
B F' L' U2 D F2 B
B F' L' U2 D B F2
B F' L' U2 B D F2
B F' L' D U2 F2 B
B F' L' D U2 B F2
B F' L' D' B2 U2 B'
L B' U R' U B' R'
U2 B' F R' D' F2 B'
U2 B' F R' D' B' F2
U2 B' F R' B' D' F2
F B' U R' U R2 B'
F B' U R' U B' R2
F B' U2 R D' F2 B'
F B' U2 R D' B' F2
F B' U2 R B' D' F2
F B' U2 B' D' R F'
R B2 L D' F R F'
R B2 L F D' R F'
R B2 L2 D L' F R
R B2 D L' F L2 R
R B2 D L' F R L2
R B2 D' L F R F'
R B2 D' F L R F'
R B2 D' F R L F'
R B2 D' F R F' L
R B2 F L D' R F'
R B2 F D' L R F'
R B2 F D' R L F'
R B2 F D' R F' L
