B L2 U F
B L2 R U F
B L2 R' U F
B L2 R2 U F
B L2 U D F
B L2 U D' F
B L2 U D2 F
B L2 U F D
B L2 U F D'
B L2 U F D2
B L2 D U F
B L2 D' U F
B L2 D2 U F
U L2 B U L2
B R L2 U F
B R' L2 U F
B R2 L2 U F
U B L2 U L2
L2 B U' B' U2
B L D L U F
B L D' L U F
B L D2 L U F
L2 R2 U2 F' U' F
R2 L2 U2 F' U' F
B L2 R U D F
B L2 R U D' F
B L2 R U D2 F
B L2 R U F D
B L2 R U F D'
B L2 R U F D2
B L2 R D U F
B L2 R D' U F
B L2 R D2 U F
B L2 R' U D F
B L2 R' U D' F
B L2 R' U D2 F
B L2 R' U F D
B L2 R' U F D'
B L2 R' U F D2
B L2 R' D U F
B L2 R' D' U F
B L2 R' D2 U F
B' L2 R2 B2 U F'
B L2 R2 U D F
B L2 R2 U D' F
B L2 R2 U D2 F
B L2 R2 U F D
B L2 R2 U F D'
B L2 R2 U F D2
B L2 R2 D U F
B L2 R2 D' U F
B L2 R2 D2 U F
B' L2 U D' R2 F'
B L2 U R F R'
B L2 U R2 F R2
B L2 U D F D
B L2 U D F D'
B L2 U D F D2
B L2 U D' F D
B L2 U D' F D'
B L2 U D' F D2
B L2 U D2 F D
B L2 U D2 F D'
B L2 U D2 F D2
B L2 U F2 D F'
B L2 U F2 D' F'
B L2 U F2 D2 F'
B L2 U' B U2 F
B L2 U' B' U2 F
B L2 U' B2 U2 F
B L2 D R U F
B L2 D R' U F
B L2 D R2 U F
B L2 D U F D
B L2 D U F D'
B L2 D U F D2
U L2 D F2 B U
U L2 D B F2 U
B' L2 D' U R2 F'
B L2 D' R U F
B L2 D' R' U F
B L2 D' R2 U F
B L2 D' U F D
B L2 D' U F D'
B L2 D' U F D2
L U L B U L'
B L2 D2 R U F
B L2 D2 R' U F
B L2 D2 R2 U F
B L2 D2 U F D
B L2 D2 U F D'
B L2 D2 U F D2
U L2 F B U L2
U L2 F' B U L2
U L2 F2 B U L2
U L2 B U L2 D
U L2 B U L2 D'
U L2 B U L2 D2
U L2 B D F2 U
U L2 B F U L2
U L2 B F' U L2
U L2 B F2 U L2
B' L2 B2 U' B' U2
B R L2 U D F
B R L2 U D' F
B R L2 U D2 F
B R L2 U F D
B R L2 U F D'
B R L2 U F D2
B R L2 D U F
B R L2 D' U F
B R L2 D2 U F
L' U B L' U L
B2 R B' L2 U F
B R' L2 U D F
B R' L2 U D' F
B R' L2 U D2 F
B R' L2 U F D
B R' L2 U F D'
B R' L2 U F D2
B R' L2 D U F
B R' L2 D' U F
B R' L2 D2 U F
B2 R' B' L2 U F
B' R2 L2 B2 U F'
B R2 L2 U D F
B R2 L2 U D' F
B R2 L2 U D2 F
B R2 L2 U F D
B R2 L2 U F D'
B R2 L2 U F D2
B R2 L2 D U F
B R2 L2 D' U F
B R2 L2 D2 U F
B2 R2 B' L2 U F
B' R2 B2 L2 U F'
F2 U L2 F2 B U
F2 U L2 B F2 U
F U L2 F' B U
F U L2 B F' U
L2 D B U' B' U2
B' U D' R2 F' B2
B' U D' R2 B2 F'
F' U F L2 B U
F' U F B L2 U
F2 U F2 L2 B U
F U F' L2 B U
F2 U F2 B L2 U
F U F' B L2 U
F2 U B L2 F2 U
F' U B F L2 U
F2 U B F2 L2 U
F U B L2 F' U
F U B F' L2 U
L2 D' B U' B' U2
B U' D F2 B' U2
B U' D B' F2 U2
B U' D' B' U2 B'
B U' B' U L2 U
B U' B' U2 D' B2
B U' B' D F2 U2
B U' B' D' U2 B2
U2 D2 R2 F' U' F
D2 U2 R2 F' U' F
L2 D2 B U' B' U2
U F L2 B U L2
U F B L2 U L2
B D U' F2 B' U2
B D U' B' F2 U2
U F' L2 B U L2
B D' L2 U F B2
B D' L2 U B2 F
B2 D' R2 B' U B'
B' D' U R2 F' B2
B' D' U R2 B2 F'
U F' B L2 U L2
B D' U' B' U2 B'
U F2 L2 B U L2
B2 D' B' R2 U B'
D F2 U F2 B U
D F2 U B F2 U
U F2 B L2 U L2
R' B L2 U F R
D' B L2 U F B
D' B L2 U B F
U2 B L2 F U F'
L2 B R U' B' U2
U B L2 U L2 D
U B L2 U L2 D'
U B L2 U L2 D2
U B L2 D F2 U
L2 B R' U' B' U2
U B L2 F U L2
U B L2 F' U L2
U B L2 F2 U L2
L2 B R2 U' B' U2
L2 B U L2 F L2
D' B U B D2 F2
L2 B U' D B' U2
L2 B U' D' B' U2
L2 B U' D2 B' U2
D' B U' B' U2 B2
L2 B U' B' U2 D
L2 B U' B' U2 D'
L2 B U' B' U2 D2
L2 B U' B' D U2
L2 B U' B' D' U2
L2 B U' B' D2 U2
L2 B U2 L2 U' F
D B U' F2 B' U2
D B U' B' F2 U2
L2 B D U' B' U2
L2 B D' U' B' U2
F2 B L2 F2 U F'
D2 B D2 L2 U F
L2 B D2 U' B' U2
D B D' L2 U F
B F L2 F' U F2
F B L2 F' U F2
U B F L2 U L2
U B F' L2 U L2
U B F2 L2 U L2
U B' L2 B2 U L2
L2 B' R2 B2 U F'
L2 B' U D' R2 F'
L2 B' D' U R2 F'
B F2 L2 F2 U F'
L2 B2 D' R2 B' U
L2 B2 D' B' R2 U
L2 B2 D2 B' U F2
B L R D L U F
B L R D' L U F
B L R D2 L U F
B L R' D L U F
B L R' D' L U F
B L R' D2 L U F
B L R2 D L U F
B L R2 D' L U F
B L R2 D2 L U F
F2 L U L F2 B U
F2 L U L B F2 U
F L U L F' B U
F L U L B F' U
F2 L U F2 L B U
F L U F' L B U
U2 L U' L B U L'
D2 L U2 R2 F' U' F
B L D L R U F
B L D L R' U F
B L D L R2 U F
B L D L U D F
B L D L U D' F
B L D L U D2 F
B L D L U F D
B L D L U F D'
B L D L U F D2
B L D L D U F
B L D L D' U F
B L D L D2 U F
U L D L B U L2
B L D R L U F
B L D R' L U F
B L D R2 L U F
D' L D B L2 U F
B' L D' L U R2 F'
B L D' L R U F
B L D' L R' U F
B L D' L R2 U F
B L D' L U D F
B L D' L U D' F
B L D' L U D2 F
B L D' L U F D
B L D' L U F D'
B L D' L U F D2
B L D' L D U F
B L D' L D' U F
B L D' L D2 U F
U L D' L B U L2
B L D' R L U F
B L D' R' L U F
B L D' R2 L U F
D L D' B L2 U F
B L D2 L R U F
B L D2 L R' U F
B L D2 L R2 U F
B L D2 L U D F
B L D2 L U D' F
B L D2 L U D2 F
B L D2 L U F D
B L D2 L U F D'
B L D2 L U F D2
B L D2 L D U F
B L D2 L D' U F
B L D2 L D2 U F
U L D2 L B U L2
B L D2 R L U F
B L D2 R' L U F
B L D2 R2 L U F
D2 L D2 B L2 U F
B L F L F' U F2
B L F2 L F2 U F'
D L F2 U F2 B U
D L F2 U B F2 U
D' L B L2 U F B
D' L B L2 U B F
D' L B U B D2 F2
D' L B U' B' U2 B2
D L B U' F2 B' U2
D L B U' B' F2 U2
D2 L B D2 L2 U F
D L B D' L2 U F
L2 R' U2 L F U' F'
L2 R' U2 F' U' F R
B' L' R2 B2 L' U F'
F' L' U L' B U L
F2 L' U L' F2 B U
F2 L' U L' B F2 U
F L' U L' F' B U
F L' U L' B F' U
F' L' U B L' U L2
F2 L' U B L' F2 U
F L' U B L' F' U
U2 L' U' B L' U L
D2 L' U2 R2 F' U' F
U L' D L' B U L2
D' L' D B L2 U F
B' L' D' L' U R2 F'
U L' D' L' B U L2
