F2 L2 B' R D' F2
B L U F' L2 U2 L'
F2 L U' L R F B'
F2 L U' L R B' F
F2 L U' L B' R F
F2 L U' R L F B'
F2 L U' R L B' F
B L U' D2 L R2 B
B L U' D2 R2 L B
U' L D2 R2 F L B
B L D2 U' L R2 B
B L D2 U' R2 L B
U' L F L D2 B2 R'
U' L F D2 L R2 B2
U' L F D2 L B2 R2
U' L F D2 R2 L B2
U' L F' L2 U2 L' F2
U' L' R B' U2 L' B'
U L' R B U2 L' B'
U' L' R2 B' U2 L' B2
U' L' R2 B' U2 B2 L'
U' L' F' U2 L2 F L'
U' L' F' D2 B' U2 L
U L' F' U2 L F L'
U' L' F2 R F B' U2
U' L' F2 R B' F U2
U L' F2 R F B U2
U L' F2 R B F U2
U' L' F2 B' R F U2
U' L' B' R U2 L' B'
U' L' B' R2 U2 L' B
U' L' B' R2 U2 B L'
U' L' B' F2 R F U2
F2 L2 R B' U' R' U
U L2 R' F' B2 R' B
U L2 R' B2 F' R' B
U' L2 U2 L F' B' U2
U' L2 U2 L B' F' U2
U L2 U2 L F' U2 F2
U' L2 U2 F' L B' U2
U L2 U2 F' L U2 F
F2 L2 D B' R D' F2
F2 L2 D' B' R D' F2
F2 L2 D2 B' R D' F2
U' L2 F' L B' U2 L'
R' U L2 B2 R' F' B
R' U L2 B2 R' B F'
U L2 F D2 B2 R' F'
R2 U L2 B2 R' F' B'
R2 U L2 B2 R' B' F'
F2 L2 B' R U' R2 U
F2 L2 B' R D' F2 D
F2 L2 B' R D' F2 D'
F2 L2 B' R D' F2 D2
F2 L2 B' R F D' F2
F2 L2 B' R F' D' F2
F2 L2 B' R F2 D' F2
F2 L2 B' U' R' U R2
F2 L2 B' D R D' F2
F2 L2 B' D' R D' F2
F2 L2 B' D2 R D' F2
F2 L2 B2 D' B R F'
U L2 B2 R2 B R F'
U' R L' B' U2 L' B'
U R L' B U2 L' B'
F2 R L2 B' U' R' U
R2 U B' L2 B2 R' F'
L U' L F D2 B2 R'
R2 U' L' B' U2 L' B2
R2 U' L' B' U2 B2 L'
U R B L' U2 L' B'
L U' D2 L R2 F B
L U' D2 L R2 B F
L U' D2 R2 L F B
L U' D2 R2 L B F
B' R' U L2 B2 R' B
L U' F' L2 U2 L' F
U R' L2 F' B2 R' B
U R' L2 B2 F' R' B
L2 U2 L F' U' L' U'
U' R2 L' B' U2 L' B2
U' R2 L' B' U2 B2 L'
L2 U2 F' L U' L2 U'
L2 U2 F' L U2 D F2
L2 U2 F' L D U2 F2
L2 U2 F' L D' B2 U2
F2 R2 U L2 R' F' B'
F2 R2 U L2 R' B' F'
F2 R2 U R' L2 F' B'
F2 R2 U R' L2 B' F'
U R2 F2 L2 B R F'
U R2 F2 B L2 R F'
U R2 F2 B R L2 F'
U R2 F2 B R F' L2
U R2 B F2 L2 R F'
U R2 B F2 R L2 F'
U R2 B F2 R F' L2
F2 U L2 R B' D2 F2
F2 U L2 R' F' R2 B'
F2 U L2 R' F' B' R2
F2 U L2 R' B' F' R2
F2 U L2 B' R' F' R2
F2 U R L2 B' D2 F2
F' U R' U L2 F' R
F' U R' U F' L2 R
F' U R' U F' R L2
F2 U R B2 L2 F B'
F2 U R B2 L2 B' F
F2 U R' L2 F' R2 B'
F2 U R' L2 F' B' R2
F2 U R' L2 B' F' R2
D2 U' L' R2 B' U2 B2
D2 U' L' F' R2 B' U2
D2 U' L' F' B' R2 U2
D2 U' L' B' R2 U2 B
D2 U' L' B' F' R2 U2
F2 U' L R F L B'
D2 U' R2 L' B' U2 B2
F2 U' L2 D2 R F' B'
F2 U' L2 D2 R B' F'
F2 U' L2 D2 B' R F'
F2 U' L2 B' D2 R F'
F2 U' R L F L B'
U' D2 L' R2 B' U2 B2
U' D2 L' F' R2 B' U2
U' D2 L' F' B' R2 U2
U' D2 L' B' R2 U2 B
U' D2 L' B' F' R2 U2
U' D2 R2 L' B' U2 B2
L D2 U' L R2 F B
L D2 U' L R2 B F
L D2 U' R2 L F B
L D2 U' R2 L B F
U F' R' U2 L2 F' R
U F' R' U2 F' L2 R
U F' R' U2 F' R L2
U F' R' F' L2 R B'
U F' R' F' L2 B' R
U F' R' F' R L2 B'
L' F' U' L U' F L'
U' F' U2 L2 R' F' R
U' F' U2 R' L2 F' R
U' F' U2 R' F' L2 R
U' F' U2 R' F' R L2
U' F2 L R F L B'
U' F2 L2 D2 R F' B'
U' F2 L2 D2 R B' F'
U' F2 L2 D2 B' R F'
U' F2 L2 B' D2 R F'
U' F2 R L F L B'
U2 F2 L2 D R F' B'
U2 F2 L2 D R B' F'
U2 F2 L2 D B' R F'
U2 F2 L2 B' D R F'
U F2 L2 R B' D2 F2
U F2 L2 R' F' R2 B'
U F2 L2 R' F' B' R2
U F2 L2 R' B' F' R2
U F2 L2 B' R' F' R2
U F2 R L2 B' D2 F2
U F2 R B2 L2 F B'
U F2 R B2 L2 B' F
U F2 R' L2 F' R2 B'
U F2 R' L2 F' B' R2
U F2 R' L2 B' F' R2
F2 B L U' L R B'
F2 B L U' L B' R
F2 B L U' R L B'
R2 B' R' U L2 B2 R'
F2 B' L2 R D' F2 B'
F2 B' L2 R D' B' F2
F2 B' L2 R B' D' F2
F2 B' L2 B' D' R F'
F2 B' R L2 D' F2 B'
F2 B' R L2 D' B' F2
F2 B' R L2 B' D' F2
F2 B' R' U L2 R2 B'
F2 B' R' U L2 B' R2
F2 B' R' U R2 L2 B'
B F2 L U' L R B'
B F2 L U' L B' R
B F2 L U' R L B'
B' F2 L2 R D' F2 B'
B' F2 L2 R D' B' F2
B' F2 L2 R B' D' F2
B' F2 L2 B' D' R F'
B' F2 R L2 D' F2 B'
B' F2 R L2 D' B' F2
B' F2 R L2 B' D' F2
B2 F2 L2 D' R F' B'
B2 F2 L2 D' R B' F'
B2 F2 L2 D' B' R F'
F2 B2 L2 D' R F' B'
F2 B2 L2 D' R B' F'
F2 B2 L2 D' B' R F'
L2 B2 R2 D' B R F'
B' F2 R' U L2 R2 B'
B' F2 R' U L2 B' R2
B' F2 R' U R2 L2 B'
L2 B2 R2 B R D' F2
