F L R D' F2 B
F L R D' B F2
F L R B D' F2
F R L D' F2 B
F R L D' B F2
F R L B D' F2
F R D' L F2 B
F R D' L B F2
F R D' F2 L B
F R' U L R2 B
F R' U R2 L B
L F R D' F2 B
L F R D' B F2
L F R B D' F2
F L R D' F2 D B
F L R D' F2 D' B
F L R D' F2 D2 B
F L R D' F2 B D
F L R D' F2 B D'
F L R D' F2 B D2
F L R D' B F2 D
F L R D' B F2 D'
F L R D' B F2 D2
F L R D2 B D F2
F L R F D' F2 B
F L R F D' B F2
F L R F B D' F2
F L R F' D' F2 B
F L R F' D' B F2
F L R F' B D' F2
F L R F2 D' F2 B
F L R F2 D' B F2
F L R F2 B D' F2
F L R B U' R2 U
F L R B D' F2 D
F L R B D' F2 D'
F L R B D' F2 D2
F L R B F D' F2
F L R B F' D' F2
F L R B F2 D' F2
F L R B2 D' F2 B'
F L R B2 D' B' F2
L R D' F B R F
L R D' F2 D2 B R'
R L D' F B R F
L R D' B F R F
R L D' F2 D2 B R'
R L D' B F R F
F L D R D' F2 B
F L D R D' B F2
F L D R B D' F2
L R F D' B R F2
F L D' R D' F2 B
F L D' R D' B F2
F L D' R B D' F2
R L F D' B R F2
L R F B D' R F2
R L F B D' R F2
L R F' D' F2 B R
L R F' D' B F2 R
F L D2 R D' F2 B
F L D2 R D' B F2
R L F' D' F2 B R
R L F' D' B F2 R
F L D2 R B D' F2
L R F' B D' F2 R
R L F' B D' F2 R
D' L F R D' F2 B
D' L F R D' B F2
D2 L F R D' F2 B
D2 L F R D' B F2
D' L F R B D' F2
D2 L F R B D' F2
D L F R D' F2 B
D L F R D' B F2
D L F R B D' F2
L R B D' F R F
F2 L F' R D' F2 B
F2 L F' R D' B F2
F2 L F' R B D' F2
R L B D' F R F
L R B F D' R F2
L R B F' D' F2 R
R L B F D' R F2
R L B F' D' F2 R
F L B' D' R F' B
F L B' D' R B F'
F L' R B L2 D' F2
F L' R' U L2 R2 B
F L' R' U R2 L2 B
F L' R' U R2 B L2
F L2 R D' L' F2 B
F L2 R D' L' B F2
F L2 R D' B L' F2
F L2 R B L' D' F2
F L2 R B D' L' F2
F L2 R' U L' R2 B
F L2 R' U R2 L' B
F L2 R' U R2 B L'
L2 U R' U L' B' R'
F R L D' F2 D B
F R L D' F2 D' B
F R L D' F2 D2 B
F R L D' F2 B D
F R L D' F2 B D'
F R L D' F2 B D2
F R L D' B F2 D
F R L D' B F2 D'
F R L D' B F2 D2
F R L D2 B D F2
F R L F D' F2 B
F R L F D' B F2
F R L F B D' F2
F R L F' D' F2 B
F R L F' D' B F2
F R L F' B D' F2
F R L F2 D' F2 B
F R L F2 D' B F2
F R L F2 B D' F2
F R L B U' R2 U
F R L B D' F2 D
F R L B D' F2 D'
F R L B D' F2 D2
F R L B F D' F2
