D' R' F' L' B R'
D' R' F' B L' R'
D' R' F' B R' L'
D' R' B F' L' R'
D' R' B F' R' L'
D' B R' F' L' B
D' B R' F' B L'
D' B R' B F' L'
D' L R' F' L' B R'
D' L R' F' B L' R'
D' L R' F' B R' L'
D L R' F' R B' L'
D L R' F' B' L' R
D L R' F' B' R L'
D' L R' B F' L' R'
D' L R' B F' R' L'
D L R' B' F' L' R
D L R' B' F' R L'
U L F R B' L U
U L F B' L R U
U L F B' R L U
D' L B R' F' L' B
D' L B R' F' B L'
D' L B R' B F' L'
U' L B' L R' F' U
U' L B' R' L F' U
U' L B' R' F' L U
D L B' R' F' L' R
D L B' R' F' R L'
U L B' F L R U
U L B' F R L U
D' L' R' F' L' B R'
D' L' R' F' B L' R'
D' L' R' F' B R' L'
D' L' R' B F' L' R'
D' L' R' B F' R' L'
B L' R' F U' F2 L'
D L' F L' R B U2
D L' F R L' B U2
D L' F R B L' U2
D' L' B R' F' L' B
D' L' B R' F' B L'
D' L' B R' B F' L'
D' L2 R' F' L' B R'
D' L2 R' F' B L' R'
D' L2 R' F' B R' L'
D' L2 R' B F' L' R'
D' L2 R' B F' R' L'
D L2 R' F' L' R B'
D L2 R' F' L' B' R
D L2 R' F' R L' B'
D' L2 B R' F' L' B
D' L2 B R' F' B L'
D' L2 B R' B F' L'
L U B' L F R U
F R D' B U2 R' B
D' R F' B U2 L' R'
D' R F' B U2 R' L'
D' R B F' U2 L' R'
D' R B F' U2 R' L'
D' R' L F' L' B R'
D' R' L F' B L' R'
D' R' L F' B R' L'
D' R' L B F' L' R'
D' R' L B F' R' L'
D R' L F' R B' L'
D R' L F' B' L' R
D R' L F' B' R L'
D R' L B' F' L' R
D R' L B' F' R L'
D' R' L' F' L' B R'
D' R' L' F' B L' R'
D' R' L' F' B R' L'
D' R' L' B F' L' R'
D' R' L' B F' R' L'
B R' L' F U' F2 L'
D' R' L2 F' L' B R'
D' R' L2 F' B L' R'
D' R' L2 F' B R' L'
D' R' L2 B F' L' R'
D' R' L2 B F' R' L'
D R' L2 F' L' R B'
D R' L2 F' L' B' R
D R' L2 F' R L' B'
D' R' U2 F' B L R'
D' R' U2 F' B R' L
D' R' U2 B L F' R'
D' R' U2 B F' L R'
D' R' U2 B F' R' L
L U' B' L R' F' U
L U' B' R' L F' U
L U' B' R' F' L U
D' R' D2 F' L' B R
D' R' D2 F' B L' R
D' R' D2 F' B R L'
D' R' D2 B F' L' R
D' R' D2 B F' R L'
D' R' F' L B L2 R'
D' R' F' L B R' L2
D' R' F' L' B R' D
D' R' F' L' B R' D'
D' R' F' L' B R' D2
D' R' F' L' B D R'
D' R' F' L' B D' R'
D' R' F' L' B D2 R'
D R' F' L R B' L2
D R' F' L B' L2 R
D R' F' L B' R L2
D' R' F' B L' R' D
D' R' F' B L' R' D'
D' R' F' B L' R' D2
D' R' F' B L' D R'
D' R' F' B L' D' R'
D' R' F' B L' D2 R'
D' R' F' B R' L' D
D' R' F' B R' L' D'
D' R' F' B R' L' D2
D' R' F' B R' D L'
D' R' F' B R' D' L'
D' R' F' B R' D2 L'
D' R' F' B D L' R'
D' R' F' B D R' L'
D' R' F' B D' L' R'
D' R' F' B D' R' L'
D' R' F' B D2 L' R'
D' R' F' B D2 R' L'
