U L R2 F L' B2
U L R2 F B2 L'
U L R2 B2 F L'
U L F L' R2 B2
U L F L' B2 R2
U L F R2 L' B2
U L F R2 B2 L'
U L F B2 L' R2
U L F B2 R2 L'
U L B2 R2 F L'
U L B2 F L' R2
U L B2 F R2 L'
F' L' U' R2 B2 L
F R U L' R B2
F R U L' B2 R
F R U L' B2 R
F R U R L' B2
F R U R B2 L'
F R U B2 L' R
F R U B2 R L'
U R2 L F L' B2
U R2 L F B2 L'
U R2 L B2 F L'
F' R2 B2 L D F2
U R2 B2 L F L'
F R2 B2 L' D F2
U F L' B2 R2 F'
U F' R2 B2 L F
U B2 L R2 F L'
U B2 L F L' R2
U B2 L F R2 L'
U B2 R2 L F L'
F L R U L2 R B2
F L R U L2 B2 R
F L R U R L2 B2
F L R U R B2 L2
F L R U B2 L2 R
F L R U B2 R L2
U L R B2 R F L'
U L R' F L' R' B2
U L R' F R' L' B2
U L R' F R' B2 L'
U L R2 F L B2 L2
U L R2 F L' B2 D
U L R2 F L' B2 D'
U L R2 F L' B2 D2
U L R2 F B L' B
U L R2 F B2 L' D
U L R2 F B2 L' D'
U L R2 F B2 L' D2
U L R2 F B2 D L'
U L R2 F B2 D' L'
U L R2 F B2 D2 L'
F' L R2 B2 D L F2
F' L R2 B2 D F2 L
U L R2 B F L' B
U L R2 B2 F L' D
U L R2 B2 F L' D'
U L R2 B2 F L' D2
U L R2 B2 F D L'
U L R2 B2 F D' L'
U L R2 B2 F D2 L'
U L U R2 F L' B2
U L U R2 F B2 L'
U L U R2 B2 F L'
U L U F L' R2 B2
U L U F L' B2 R2
U L U F R2 L' B2
U L U F R2 B2 L'
U L U F B2 L' R2
U L U F B2 R2 L'
U L U B2 R2 F L'
U L U B2 F L' R2
U L U B2 F R2 L'
U L U' R2 F L' B2
U L U' R2 F B2 L'
U L U' R2 B2 F L'
U L U' F L' R2 B2
U L U' F L' B2 R2
U L U' F R2 L' B2
U L U' F R2 B2 L'
U L U' F B2 L' R2
U L U' F B2 R2 L'
U L U' B2 R2 F L'
U L U' B2 F L' R2
U L U' B2 F R2 L'
U L U2 R2 F L' B2
U L U2 R2 F B2 L'
U L U2 R2 B2 F L'
U L U2 F L' R2 B2
U L U2 F L' B2 R2
U L U2 F R2 L' B2
U L U2 F R2 B2 L'
U L U2 F B2 L' R2
U L U2 F B2 R2 L'
U L U2 B2 R2 F L'
U L U2 B2 F L' R2
U L U2 B2 F R2 L'
U L F L R2 B2 L2
U L F L B2 L2 R2
U L F L B2 R2 L2
U L F L' R B2 R
U L F L' R2 B2 D
U L F L' R2 B2 D'
U L F L' R2 B2 D2
U L F L' B' R2 B'
U L F L' B2 R2 D
U L F L' B2 R2 D'
U L F L' B2 R2 D2
U L F R L' B2 R
U L F R B2 L' R
U L F R B2 R L'
U L F R2 L B2 L2
U L F R2 L' B2 D
U L F R2 L' B2 D'
U L F R2 L' B2 D2
U L F R2 B L' B
U L F R2 B2 L' D
U L F R2 B2 L' D'
U L F R2 B2 L' D2
U L F R2 B2 D L'
U L F R2 B2 D' L'
U L F R2 B2 D2 L'
U L F B L' B R2
U L F B' R2 B' L'
U L F B2 L' R2 D
U L F B2 L' R2 D'
U L F B2 L' R2 D2
U L F B2 R2 L' D
U L F B2 R2 L' D'
U L F B2 R2 L' D2
U L F B2 R2 D L'
U L F B2 R2 D' L'
U L F B2 R2 D2 L'
U L F' R2 F2 B2 L
U L F' R2 B2 L F2
U L F' R2 B2 F2 L
U L B F L' B R2
U L B' R2 F B' L'
U L B' R2 B' F L'
U L B' F R2 B' L'
U L B2 R' F L' R'
U L B2 R' F R' L'
U L B2 R2 F L' D
U L B2 R2 F L' D'
U L B2 R2 F L' D2
U L B2 R2 F D L'
U L B2 R2 F D' L'
U L B2 R2 F D2 L'
U L B2 F L' R2 D
U L B2 F L' R2 D'
U L B2 F L' R2 D2
U L B2 F R2 L' D
U L B2 F R2 L' D'
U L B2 F R2 L' D2
U L B2 F R2 D L'
U L B2 F R2 D' L'
U L B2 F R2 D2 L'
F' L' R' U' R' B2 L
F L' R2 U' R' U B2
F L' R2 B2 U L U'
F' L' U R U2 R B2
F' L' U R U2 B2 R
F' L' U' L R2 B2 L
F' L' U' L' R2 B2 L
F' L' U' L2 R2 B2 L
F' L' U' R2 L B2 L
F' L' U' R2 L' B2 L
F' L' U' R2 L2 B2 L
F' L' U' R2 B2 L D
F' L' U' R2 B2 L D'
F' L' U' R2 B2 L D2
F' L' U' R2 B2 D L
F' L' U' R2 B2 D' L
F' L' U' R2 B2 D2 L
F L' U' R U R B2
F L' U' R U B2 R
F' L' D' F2 R2 U' L'
U L' F B2 L' R2 F'
U L' F B2 R2 L' F'
F' L' F2 U' L' R2 B2
F' L' F2 U' L' B2 R2
F' L' F2 U' R2 L' B2
F' L' F2 U' R2 B2 L'
F' L' F2 U' B2 L' R2
F' L' F2 U' B2 R2 L'
U L' F2 B2 R2 F' L'
F L' B2 R' D' R' F2
F L' B2 R' D' F2 R'
F L' B2 R2 U' R' U
U L' B2 R2 F L' F2
F L' B2 U' R U R
U L' B2 F L' R2 F'
U L' B2 F R2 L' F'
F L2 R U L R B2
F L2 R U L B2 R
F L2 R U R L B2
U L' B2 F2 R2 F' L'
U L2 R2 F L' F B2
U L2 R2 F L' B2 F
U L2 R2 F B2 L' F
U L2 R2 B2 L' F L'
U L2 R2 B2 F L' F
R' U L R' F L' B2
