F' L' R' F2 D B2
F' R U' L' R2 F2
F' R U' L' F2 R2
F' R U' R2 L' F2
F' R' L' F2 D B2
D R' F' L' F2 B
D R' F' L' B F2
D R' F' B L' F2
D R' B F' L' F2
U2 D R' F B L
U2 D R' B F L
U2 D F R' B L
D U2 R' F B L
D U2 R' B F L
D U2 F R' B L
D F R' D2 L2 B
D F R' D2 B L2
D F R' B D2 L2
D F' L' R' F2 B
D F' L' R' B F2
D F' L' F2 R' B
D F' R' L' F2 B
D F' R' L' B F2
D F' R' B L' F2
F' L R U' L2 R2 F2
F' L R U' L2 F2 R2
F' L R U' R2 L2 F2
F' L R U' R2 F2 L2
F' L R U' F2 L2 R2
F' L R U' F2 R2 L2
F L R' D' B2 D' L2
F L R' D2 L2 D B2
F' L R' F2 L2 D B2
D' L R' F' B' L' F
D L R' F' L' F B
D L R' F' L' B F
D L R' F' B L' F
D' L R' B' F' L' F
D L R' B F' L' F
F L R2 D' B2 L R
F L R2 D' B2 R L
F L D R' D2 L2 B2
F L D R' D2 B2 L2
F L D' R' B2 D2 L2
F L D' R2 B2 L R
F L D' R2 B2 R L
U L F L' U R' F
U L F L' U F R'
D L F' L' R' F B
D L F' L' R' B F
D L F' L' F R' B
D' L F' R' B' L' F
D L F' R' L' F B
D L F' R' L' B F
D L F' R' B L' F
F' L' R F2 R2 D B2
F' L' R' U R2 U' F2
F' L' R' D B2 D' F2
F' L' R' F D F B2
F' L' R' F D B2 F
F' L' R' F' D F' B2
F' L' R' F' D B2 F'
F' L' R' F2 U R2 U'
F L' R' D2 L2 D' B2
F' L' R' F2 D B2 D
F' L' R' F2 D B2 D'
F' L' R' F2 D B2 D2
F' L' R' F2 B D B2
F' L' R' F2 B' D B2
F' L' R' F2 B2 D B2
F' L' R' B F2 D B2
F' L' R' B' F2 D B2
F' L' R' B2 F2 D B2
F' L' U R U' R2 F2
F' L' U R U' F2 R2
D L' U2 R' F' B L
D L' U2 R' B L F'
D L' U2 R' B F' L
U2 L' D R' B L F
F' L' D' R' D F2 B2
F' L' D' R' D B2 F2
F' L' F D R' F B
F' L' F D R' B F
F' L' F D F R' B
F' L' F2 R' U' L' U
F' L' F2 U' L' U R'
F L' F2 U L' R' F2
F L' F2 U L' F2 R'
F L' F2 U R' L' F2
F' L2 R U' L R2 F2
F' L2 R U' L F2 R2
F' L2 R U' R2 L F2
F' L2 R U' R2 F2 L
F' L2 R U' F2 L R2
F' L2 R U' F2 R2 L
F' L2 R' F2 L D B2
F' L2 R' F2 D L B2
F' L2 F2 L R' D' B2
F' L2 F2 L D' R' B2
F' L2 F2 R' L D' B2
F' R L U' L2 R2 F2
F' R L U' L2 F2 R2
F' R L U' R2 L2 F2
F' R L U' R2 F2 L2
F' R L U' F2 L2 R2
F' R L U' F2 R2 L2
F' R L' F2 R2 D B2
F' R L2 U' L R2 F2
F' R L2 U' L F2 R2
F' R L2 U' R2 L F2
F' R L2 U' R2 F2 L
F' R L2 U' F2 L R2
F' R L2 U' F2 R2 L
F' R U' L R2 F2 L2
F' R U' L F2 L2 R2
F' R U' L F2 R2 L2
F' R U' L' R' F2 R'
F' R U' L' R2 F2 D
F' R U' L' R2 F2 D'
F' R U' L' R2 F2 D2
F' R U' L' F R2 F
F' R U' L' F2 R2 D
F' R U' L' F2 R2 D'
F' R U' L' F2 R2 D2
F' R U' L2 R2 F2 L
F' R U' L2 F2 L R2
F' R U' L2 F2 R2 L
F' R U' R' L' F2 R'
F' R U' R2 L F2 L2
F' R U' R2 L' F2 D
F' R U' R2 L' F2 D'
F' R U' R2 L' F2 D2
F' R U' R2 L2 F2 L
