B2 U F2 B U2 R'
B2 U B F2 U2 R'
F2 U2 D L2 F R
L2 F D L2 B' R'
F D L2 F B' R'
F D L2 B' R' F
F D L2 B' F R'
F2 D U2 L2 F R
F2 D B' U2 L2 R'
F2 D B' U2 R' L2
F2 D' R2 B' U2 R'
F2 D' B' R2 U2 R
B2 L U F2 B U2 R'
B2 L U B F2 U2 R'
L2 R F D L2 B' R'
B L F2 B2 U' B' U'
B L B2 F2 U' B' U'
B2 L' U F2 B U2 R'
B2 L' U B F2 U2 R'
L2 R' F D L2 B' R'
R' L2 F D L2 B' R'
L2 R2 F D L2 B' R'
R2 L2 F D L2 B' R'
R L2 F D L2 B' R'
B2 L2 U F2 B U2 R'
B2 L2 U B F2 U2 R'
F2 L2 U' B2 U' F R
F2 L2 U2 D F L2 R
F2 L2 U2 D F R L2
F2 L2 U2 F R D L2
F2 L2 U2 F D L2 R
F2 L2 U2 F D R L2
F2 L2 D U2 F L2 R
F2 L2 D U2 F R L2
D L2 D F B' R' B'
F L2 D F B' L2 R'
F L2 D F B' R' L2
D L2 D B' R' F B'
D L2 D B' R' B' F
D L2 D B' F R' B'
F L2 D B' R' F L2
F L2 D B' F L2 R'
F L2 D B' F R' L2
F2 L2 D' R2 U2 F R
U2 L2 F R D L2 B'
U2 L2 F D L2 R B'
U2 L2 F D L2 B' R
U2 L2 F D R L2 B'
D L2 F D B' R' B'
F L2 F D B' L2 R'
F L2 F D B' R' L2
D L2 F B D B2 R'
D L2 F B' D R' B2
B' L2 F2 U F' U R'
D L2 B D F B2 R'
D L2 B D B2 R' F
D L2 B D B2 F R'
D L2 B F D B2 R'
D L2 B' D R' F B2
D L2 B' D R' B2 F
D L2 B' D F R' B2
D L2 B' F D R' B2
F L2 B2 U' F B R'
F L2 B2 U' B R' F
F L2 B2 U' B F R'
F2 R U2 D L2 F R
F2 R D U2 L2 F R
F R D L2 F B' R'
F R D L2 B' R' F
F R D L2 B' F R'
F2 R D B' U2 L2 R'
F2 R D B' U2 R' L2
F2 R D' R2 B' U2 R'
F2 R D' B' R2 U2 R
B' R F2 U' B' U' R2
F2 R' U2 D L2 F R
F2 R' D U2 L2 F R
F R' D L2 F B' R'
F R' D L2 B' R' F
F R' D L2 B' F R'
F2 R' D B' U2 L2 R'
F2 R' D B' U2 R' L2
F2 R' D' R2 B' U2 R'
F2 R' D' B' R2 U2 R
L2 U2 F R D L2 B'
L2 U2 F D L2 R B'
L2 U2 F D L2 B' R
L2 U2 F D R L2 B'
D' R2 U L2 U F R
B2 R2 U' D2 F' R B2
B2 R2 U' D2 F' B2 R
B2 R2 U' D2 B2 F' R
B2 R2 U' F' R2 B R'
F2 R2 U2 D L2 F R
D' R2 D F2 B' U2 R'
F2 R2 D U2 L2 F R
D' R2 D B' F2 U2 R'
F R2 D L2 F B' R'
F R2 D L2 B' R' F
F R2 D L2 B' F R'
F2 R2 D B' U2 L2 R'
F2 R2 D B' U2 R' L2
F2 R2 D' R2 B' U2 R'
D' R2 D' B' U2 R' B'
F2 R2 D' B' R2 U2 R
B2 R2 D2 U' F' R B2
B2 R2 D2 U' F' B2 R
B2 R2 D2 U' B2 F' R
D' R2 B' U L2 U R'
D' R2 B' U2 R' D' B2
D' R2 B' U2 D' R' B2
D' R2 B' D F2 U2 R'
D' R2 B' D' U2 R' B2
