B2 L U' B' U2 L B2
B L B' D' B' R2 F'
B2 L' U D2 F L' B
B2 L' U D2 F B L'
B2 L' U D2 B F L'
B2 L' U F B' L B2
B2 L' U B' F L B2
B2 L' D2 U F L' B
B2 L' D2 U F B L'
B2 L' D2 U B F L'
B L' B U F L2 B
B L' B U F B L2
B L' B U B F L2
D L2 F U' L' B' U'
B2 U L' D2 F L' B
B2 U L' D2 F B L'
B2 U L' D2 B F L'
B2 U L' F B' L B2
B2 U L' B' F L B2
B2 U L2 B' L F B2
B2 U L2 B' L B2 F
B2 U B' L' F L2 B2
B2 U B' L' F B2 L2
B2 U B' L' B2 F L2
L2 D' F2 R2 B L F
L' F B L B' D' R2
U2 F' B2 U L' F B
U2 F' B2 U L' B F
U2 F' B2 U B L' F
L2 F2 D' R2 B L F
D' B R' U L R' B2
D' B R' U R' L B2
L' B F L B' D' R2
D' B' L' R2 D F2 L'
D' B' R2 L' D F2 L'
D' B' R2 F2 L' D F2
U' B2 U L' F B L
U' B2 U L' B F L
U' B2 U L2 B L F
U' B2 U B L' F L2
L' B2 U F L B' L
L' B2 U F B' L B'
L' B2 U B' F L B'
U B2 U F' L' F B
U B2 U F' L' B F
U B2 U F' B L' F
U B2 U B F' L' F
U2 B2 F' U L' F B
U2 B2 F' U L' B F
U2 B2 F' U B L' F
