B2 L U' R' B L
R' F' U B2 R' B'
R' F' U' L U2 B
R' F' B2 U R' B'
R' B2 F' U R' B'
R2 L U R F' L' U
L R U R2 F' U B
R' L U F' U F B
R' L U F' U B F
R L U R2 F' U B
B2 L R B U' R2 B
U' L U R' F' U B
U2 L U R' F U B
U L U R' U B L
U2 L U F R' U B
B2 L U' L R' B L
B2 L U' L' R' B L
B2 L U' L2 R' B L
B2 L U' R' L B L
B2 L U' R' L' B L
B2 L U' R' L2 B L
B2 L U' R' D B L
B2 L U' R' D' B L
B2 L U' R' D2 B L
B2 L U' R' B L D
B2 L U' R' B L D'
B2 L U' R' B L D2
B2 L U' R' B D L
B2 L U' R' B D' L
B2 L U' R' B D2 L
L R F' U R2 F' U
R L F' U R2 F' U
B2 L F U' R' B L
B2 L F' U' R' B L
B2 L F2 U' R' B L
L R' U F' U F B
L R' U F' U B F
R' L' D' F' B2 U B'
L' R' D' F' B2 U B'
R' L' D' B2 F' U B'
L' R' D' B2 F' U B'
R' L' D2 F' U B R2
L' R' D2 F' U B R2
R' L' F' U D2 B R2
R' L' F' U B D2 R2
R' L' F' U' L2 U2 B
L' R' F' U D2 B R2
L' R' F' U B D2 R2
L' R' F' U' L2 U2 B
R' L' F' D' B2 U B'
L2 R' F' U D2 B R'
R' L' F' D2 U B R2
L' R' F' D' B2 U B'
L' R' F' D2 U B R2
L2 R' F' D2 U B R'
L R2 U R F' L' U
R' L2 F' U D2 B R'
R' L2 F' D2 U B R'
L U R' F' U L' B
L U R' F' U B L'
B2 R L B U' R2 B
L U F' R' U L' B
L U F' R' U B L'
R' U B2 R' D B' L
R' U' L U F' U B
U2 R' U B2 R' B' L
U2 R' U' L U2 B L
D2 R' F' U' L U2 B'
F' R' F' U B2 R' B'
F' R' F' U' L U2 B
F2 R' F' U B2 R' B'
F2 R' F' U' L U2 B
F' R' F' B2 U R' B'
B R' F' U B R' F'
F2 R' F' B2 U R' B'
F R' F' U B2 R' B'
F R' F' U' L U2 B
F R' F' B2 U R' B'
L U2 R' U B L R
L U2 R' U B R L
U' R' B2 U R' B' L
F' R' B2 F' U R' B'
F2 R' B2 F' U R' B'
F R' B2 F' U R' B'
R' D F' U B2 R' B'
R' D F' U' L U2 B
R' D F' B2 U R' B'
B U R' F' L' B R'
B U R' F' B L' R'
B U R' F' B R' L'
B U R' B F' L' R'
B U R' B F' R' L'
R' D B2 F' U R' B'
B U B R' F' L' B
B U B R' F' B L'
B U B R' B F' L'
R' D' F' U B2 R' B'
R' D' F' U' L U2 B
R' D' F' B2 U R' B'
B U' R' B L R' F
B U' R' B L F R'
B U' R' B R' L F
R' D' B2 F' U R' B'
B U' B L R' F B
B U' B L R' B F
B U' B L F R' B
B U' B R' L F B
B U' B R' L B F
R' D2 F' U B2 R' B'
R' D2 F' U' L U2 B
R' D2 F' B2 U R' B'
R' D2 B2 F' U R' B'
R' F L2 F2 U B R
R' F' L' U D2 B R2
R' F' L' U B D2 R2
R' F' L' U' L2 U2 B
R' F' L' D' B2 U B'
R' F' L' D2 U B R2
R' F' L2 U' L' U2 B
R F' L U R2 F' U
L2 F' R' F' U B R
R' F' U R B2 R' B
R' F' U D B2 R' B'
R' F' U D' B2 R' B'
R' F' U D2 B2 R' B'
R' F' U B2 R B' R2
R' F' U B2 R' D B'
R' F' U B2 R' D' B'
R' F' U B2 R' D2 B'
R' F' U B2 R' B' D
R' F' U B2 R' B' D'
R' F' U B2 R' B' D2
R' F' U B2 R2 B' R
R' F' U B2 D R' B'
R' F' U B2 D' R' B'
R' F' U B2 D2 R' B'
R' F' U' L U2 D B
R' F' U' L U2 D' B
R' F' U' L U2 D2 B
R' F' U' L U2 B D
R' F' U' L U2 B D'
R' F' U' L U2 B D2
R' F' U' L D U2 B
R' F' U' L D' U2 B
R' F' U' L D2 U2 B
R' F' U' L F U2 B
R' F' U' L F' U2 B
R' F' U' L F2 U2 B
R' F' U' D L U2 B
R' F' U' D' L U2 B
R' F' U' D2 L U2 B
R' F' U' F L U2 B
R' F' U' F' L U2 B
R' F' U' F2 L U2 B
R' F' D U B2 R' B'
R' F' D U' L U2 B
R' F' D B2 U R' B'
R' F' D' U B2 R' B'
R' F' D' U' L U2 B
R' F' D' B2 U R' B'
R' F' D2 U B2 R' B'
R' F' D2 U' L U2 B
R' F' D2 B2 U R' B'
R' F' B2 U R B' R2
R' F' B2 U R' D B'
R' F' B2 U R' D' B'
R' F' B2 U R' D2 B'
R' F' B2 U R' B' D
R' F' B2 U R' B' D'
R' F' B2 U R' B' D2
R' F' B2 U R2 B' R
R' F' B2 U D R' B'
R' F' B2 U D' R' B'
R' F' B2 U D2 R' B'
R' F' B2 D U R' B'
R' F' B2 D' U R' B'
R' F' B2 D2 U R' B'
L2 F2 R' F' U B R2
R2 B R F' U B R'
B2 F L U' R' B L
R B U2 R2 U B R'
B2 F' L U' R' B L
F' B2 L U' R' B L
B2 F2 L U' R' B L
F2 B2 L U' R' B L
F B2 L U' R' B L
R2 B2 R F' U B R2
R' B2 U R' D B' L
R' B2 D F' U R' B'
R' B2 D' F' U R' B'
R' B2 D2 F' U R' B'
R' B2 F' U R B' R2
R' B2 F' U R' D B'
R' B2 F' U R' D' B'
R' B2 F' U R' D2 B'
R' B2 F' U R' B' D
R' B2 F' U R' B' D'
R' B2 F' U R' B' D2
R' B2 F' U R2 B' R
R' B2 F' U D R' B'
R' B2 F' U D' R' B'
R' B2 F' U D2 R' B'
R' B2 F' D U R' B'
R' B2 F' D' U R' B'
R' B2 F' D2 U R' B'
