F R D R2 B L
F R' D B L R2
F R' D B R2 L
F R' B L D R2
F R' B D L R2
F R' B D R2 L
R' D F B L R'
R' D F B R' L
R' D B R' F L
R' D B F L R'
R' D B F R' L
R' F D B L R'
R' F D B R' L
F L R D R2 B L
F L R' D B L R2
F L R' D B R2 L
F L R' B L D R2
F L R' B D L R2
F L R' B D R2 L
F L' R D R2 B L
R' L' D B L R' F
R' L' D B L F R'
R' L' D B R' L F
L' R' D B L R' F
L' R' D B L F R'
L' R' D B R' L F
F L' R' D B L R2
F L' R' D B R2 L
F L' R' D B R2 L
F L' R' B L D R2
F L' R' B D L R2
F L' R' B D R2 L
F L2 R D R2 B L
F L2 R' D B L R2
F L2 R' D B R2 L
F L2 R' B L D R2
F L2 R' B D L R2
F L2 R' B D R2 L
F R L D R2 B L
F R L' D R2 B L
F R L2 D R2 B L
F R D L R2 B L
F R D L' R2 B L
F R D L2 R2 B L
F R D R2 L B L
F R D R2 L' B L
F R D R2 L2 B L
F R D R2 D B L
F R D R2 D' B L
F R D R2 D2 B L
F R D R2 B L D
F R D R2 B L D'
F R D R2 B L D2
F R D R2 B D L
F R D R2 B D' L
F R D R2 B D2 L
F R D B L R2 B
F R D B R2 L B
F R B L D R2 B
F R B D L R2 B
F R B D R2 L B
F R' L D B L R2
F R' L D B R2 L
F R' L B L D R2
F R' L B D L R2
F R' L B D R2 L
F R' L' D B L R2
F R' L' D B R2 L
F R' L' B L D R2
F R' L' B D L R2
F R' L' B D R2 L
F R' L2 D B L R2
F R' L2 D B R2 L
F R' L2 B L D R2
F R' L2 B D L R2
F R' L2 B D R2 L
F R' U F2 U' B L
B' R' U2 D F B R'
B' R' U2 D B R' F
B' R' U2 D B F R'
B' R' U2 F D B R'
B' R' D U2 F B R'
B' R' D U2 B R' F
B' R' D U2 B F R'
F R' D L B L R2
F R' D L B R2 L
F R' D L' B L R2
F R' D L' B R2 L
F R' D L2 B L R2
F R' D L2 B R2 L
B R' D F L B R'
F R' D B L R2 D
F R' D B L R2 D'
F R' D B L R2 D2
F R' D B R2 L D
F R' D B R2 L D'
F R' D B R2 L D2
F R' D B R2 D L
F R' D B R2 D' L
F R' D B R2 D2 L
F R' D B2 R2 B' L
F R' D' B D2 L R2
F R' D' B D2 R2 L
B R' F L D B R'
B R' F D L B R'
F' R' F2 D B L R2
F' R' F2 D B R2 L
F' R' F2 B L D R2
F' R' F2 B D L R2
F' R' F2 B D R2 L
F' R' B L F2 D R2
F R' B L R D R2
F R' B L R' D R2
F R' B L R2 D R2
F R' B L U F2 U'
F R' B L D R2 D
F R' B L D R2 D'
F R' B L D R2 D2
F' R' B F2 L D R2
F' R' B F2 D L R2
F' R' B F2 D R2 L
F R' B L2 D L' R2
F R' B L2 D R2 L'
F R' B R L D R2
F R' B R D L R2
F R' B R D R2 L
F R' B R' L D R2
F R' B R' D L R2
F R' B R' D R2 L
F R' B R2 L D R2
F R' B R2 D L R2
F R' B R2 D R2 L
F R' B U F2 U' L
F R' B D L R2 D
F R' B D L R2 D'
F R' B D L R2 D2
F' R' B' U' F2 B2 L
F R' B D R2 L D
F R' B D R2 L D'
F R' B D R2 L D2
F' R' B' U' B2 L F2
F R' B D R2 D L
F R' B D R2 D' L
F R' B D R2 D2 L
F' R' B' U' B2 F2 L
F R' B D2 L D' R2
F' R' B2 U' F2 B' L
F' R' B2 U' B' L F2
F' R' B2 U' B' F2 L
F R2 D R B L R
F R2 D R B R L
