B' R' B' U L' B2 U2
B' R' B' U B2 L' U2
B' R' B' U' D2 F2 R
B' R' B' D2 U' F2 R
F2 U R D L2 F' B
F2 U R D L2 B F'
F2 U R D F' L2 B
F2 U R D F' B L2
F2 U R D B L2 F'
F2 U R D B F' L2
F2 U R F' D L2 B
F2 U R F' D B L2
R D2 F2 U R F B
R D2 F2 U R B F
F2 U2 B2 U' R F' B
F2 U2 B2 U' R B F'
D2 F2 L' U R F B
D2 F2 L' U R B F
U F2 R D L2 F' B
U F2 R D L2 B F'
U F2 R D F' L2 B
U F2 R D F' B L2
U F2 R D B L2 F'
U F2 R D B F' L2
U F2 R F' D L2 B
U F2 R F' D B L2
D2 F2 U D2 R F' B
D2 F2 U D2 R B F'
D2 F2 D2 U R F' B
D2 F2 D2 U R B F'
U2 B2 U' F2 R F' B
U2 B2 U' F2 R B F'
