B' D' L B' U' B'
D' L R B' U' F' B'
D' L R B' U' B' F'
B' L U2 L F U L'
B' L U2 F L U L2
B' L D B2 R' B U'
D' L B' R U' F' B'
D' L B' R U' B' F'
B' L B2 D R' B U'
D' L2 R U' F' L' B2
D' L2 R U' F' B2 L'
D' L2 R U' B2 F' L'
U2 L2 U F D L' F
U2 L2 F U D L' F
U2 L2 F D U L' F
D' R L B' U' F' B'
D' R L B' U' B' F'
D' R L2 U' F' L' B2
D' R L2 U' F' B2 L'
D' R L2 U' B2 F' L'
B' R D' L B' U' B'
B' R' D' L B' U' B'
B' R2 D' L B' U' B'
F R2 B L2 R' U L
F R2 B R' L2 U L
B2 U' L F L' D' B2
B2 U2 L2 U L F L'
B2 U2 L2 F R U L'
B U2 L2 R' F U L'
B U2 L2 F R' U L'
B U2 R' L2 F U L'
B U2 R' F L2 U L
B2 U2 F L2 R U L
B2 U2 F R L2 U L
B U2 F L2 R' U L
B U2 F R' L2 U L
L2 F R2 B R' U L'
U' F D L' D2 F B2
U' F D L' D2 B2 F
U' F D' B2 D2 L' F
F2 D F' L' R2 F B
F2 D F' L' R2 B F
F2 D F' R2 L' F B
F2 D F' R2 L' B F
F2 D F' R2 B L' F
B' D' L R B' U' B'
B' D' L R' B' U' B'
B' D' L R2 B' U' B'
B' D' L D' R2 B' U'
B' D' L D' B' R2 U'
B' D' L B' R U' B'
B' D' L B' R' U' B'
B' D' L B' R2 U' B'
B' D' L B' U' D B'
B' D' L B' U' D' B'
B' D' L B' U' D2 B'
B' D' L B' U' B' D
B' D' L B' U' B' D'
B' D' L B' U' B' D2
B' D' L B' D U' B'
B' D' L B' D' U' B'
B' D' L B' D2 U' B'
B' D' R L B' U' B'
B' D' R' L B' U' B'
U F' D F2 U2 L' F
U F' D' R U2 F' B2
U F' D' R U2 B2 F'
B' D' R2 L B' U' B'
B2 D' B L B' U' B2
B' D2 L R2 B' U' L
B D' B2 L B' U' B
B' D2 L B' R2 U' L
B' D2 R2 L B' U' L
B' D2 R2 D L B' U'
B' D2 R2 B' U' L F
B' D2 B' R2 U' L F
R' B' D' L B' U' B'
R2 B' D' L B' U' B'
L B' D' L B' R' U'
R B' D' L B' U' B'
L B2 R' U' L F L'
L B2 D R' B L U'
