B' L' F U' R
B' L F L2 U' R
B' L' U2 B' U R'
B' L' D F U' R
B' L' D F U' R
B' L' D' F U' R
B' L' D2 F U' R
B' L' F U' R D
B' L' F U' R D'
B' L' F U' R D2
B' L' F U' D R
B' L' F U' D' R
B' L' F U' D2 R
B' L' F D U' R
B' L' F D' U' R
B' L' F D2 U' R
B2 L' F B U' R
B' L' F' U L' U2
B' L' F' U L' U2
B L' F B2 U' R
B2 L' B F U' R
B L' B2 F U' R
B' L2 F L U' R
L' D F U' L' R
L' D F U' R L'
B' D L' F U' R
B' D' L' F U' R
B' D' L' F U' R
B' D2 L' F U' R
B' F U' R' F' R2
D2 B' L' F U' R
D' B' L' F U' R
D B' L' F U' R
F B' U' R' F' R2
F L U' R' F' L' R2
F L U' R' F' R2 L'
B' L D F U' R F
B' L F L2 U' R D
B' L F L2 U' R D'
B' L F L2 U' R D2
B' L F L2 U' D R
B' L F L2 U' D' R
B' L F L2 U' D2 R
B' L F L2 D U' R
B' L F L2 D' U' R
B' L F L2 D2 U' R
B2 L F L2 B U' R
B L F L2 B2 U' R
B' L F U' R D F2
B' L F U' D R F2
B' L F D U' R F2
B2 L F B L2 U' R
B L F B2 L2 U' R
B' L F' L2 U L U2
B L F' L2 B2 U' R'
B' L F' U' D F2 R
B' L F' D U' F2 R
B' L F2 L2 F' U' R
B2 L B L2 F U' R
B2 L B F L2 U' R
B L B2 L2 F U' R
B L B2 F L2 U' R
B' L' R F R' U' R2
B' L' R2 F R2 U' R'
B' L' U L U' F U'
B' L' U L' U B' U
B' L' U' R U' B U
B' L' U' R' U F' U'
B' L' U2 D B' U R'
B' L' U2 D' B' U R'
B' L' U2 D2 B' U R'
B' L' U2 B U' L U2
B' L' U2 B' U R' D
B' L' U2 B' U R' D'
B' L' U2 B' U R' D2
B' L' U2 B' U D R'
B' L' U2 B' U D' R'
B' L' U2 B' U D2 R'
B' L' U2 B' D U R'
B' L' U2 B' D' U R'
B' L' U2 B' D2 U R'
D2 L' D F U' L' R
D2 L' D F U' R L'
D' L' D F U' L' R
D' L' D F U' R L'
B' L' D U2 B' U R'
B' L' D F U' R D
B' L' D F U' R D'
B' L' D F U' R D2
B' L' D F U' D R
B' L' D F U' D' R
B' L' D F U' D2 R
B' L' D F D U' R
B' L' D F D' U' R
B' L' D F D2 U' R
B' L' D F' U L' U2
B2 L' D F B U' R
D L' D F U' L' R
D L' D F U' R L'
B L' D F U' L2 R
B L' D F U' R L2
B2 L' D B F U' R
B' L' D' U2 B' U R'
B' L' D' F U' R D
B' L' D' F U' R D'
B' L' D' F U' R D2
B' L' D' F U' D R
B' L' D' F U' D' R
B' L' D' F U' D2 R
B' L' D' F D U' R
B' L' D' F D' U' R
B' L' D' F D2 U' R
B' L' D' F' U L' U2
B2 L' D' F B U' R
B2 L' D' B F U' R
B' L' D2 U2 B' U R'
B' L' D2 F U' R D
B' L' D2 F U' R D'
B' L' D2 F U' R D2
B' L' D2 F U' D R
B' L' D2 F U' D' R
B' L' D2 F U' D2 R
B' L' D2 F D U' R
B' L' D2 F D' U' R
B' L' D2 F D2 U' R
B' L' D2 F' U L' U2
B2 L' D2 F B U' R
B2 L' D2 B F U' R
B' L' F U L U2 R
B' L' F U L' U2 R
B' L' F U L2 U2 R
B' L' F U' R2 D R'
B' L' F U' R2 D' R'
B' L' F U' R2 D2 R'
B' L' F U' D R D
B' L' F U' D R D'
B' L' F U' D R D2
B' L' F U' D' R D
B' L' F U' D' R D'
B' L' F U' D' R D2
B' L' F U' D2 R D
B' L' F U' D2 R D'
B' L' F U' D2 R D2
B' L' F U' B R B'
B' L' F U' B2 R B2
B' L' F U2 B U R
B' L' F U2 B' U R
B' L' F U2 B2 U R
B' L' F D U' R D
B' L' F D U' R D'
B' L' F D U' R D2
B' L' F D' U' R D
B' L' F D' U' R D'
B' L' F D' U' R D2
B L' F U' R D L2
B L' F U' D L2 R
B L' F U' D R L2
B' L' F D2 U' R D
B' L' F D2 U' R D'
B' L' F D2 U' R D2
B2 L' F D B U' R
B2 L' F D' B U' R
B L' F D U' L2 R
B L' F D U' R L2
B2 L' F D2 B U' R
B2 L' F B U' R D
B2 L' F B U' R D'
B2 L' F B U' R D2
B2 L' F B U' D R
B2 L' F B U' D' R
B2 L' F B U' D2 R
B2 L' F B D U' R
B2 L' F B D' U' R
B2 L' F B D2 U' R
B L' F B2 U' R D
B L' F B2 U' R D'
B L' F B2 U' R D2
B L' F B2 U' D R
B L' F B2 U' D' R
B L' F B2 U' D2 R
B L' F B2 D U' R
B L' F B2 D' U' R
B L' F B2 D2 U' R
B' L' F' U L' U2 D
B' L' F' U L' U2 D'
B' L' F' U L' U2 D2
B' L' F' U L' D U2
B' L' F' U L' D' U2
B' L' F' U L' D2 U2
B' L' F' U D L' U2
B' L' F' U D' L' U2
B' L' F' U D2 L' U2
B' L' F' U' F2 R F2
B' L' F' D U L' U2
B' L' F' D F2 U' R
B' L' F' D' U L' U2
B' L' F' D' F2 U' R
B' L' F' D2 U L' U2
B' L' F' D2 F2 U' R
B2 L' F' B U L' U2
B L' F' B2 U L' U2
B' L' F2 U' F' R F
B2 L' F2 D2 B U' R'
B2 L' B U2 B' U R'
B2 L' B D F U' R
B2 L' B D' F U' R
B2 L' B D2 F U' R
B2 L' B F U' R D
B2 L' B F U' R D'
B2 L' B F U' R D2
B2 L' B F U' D R
B2 L' B F U' D' R
B2 L' B F U' D2 R
B2 L' B F D U' R
B2 L' B F D' U' R
B2 L' B F D2 U' R
B2 L' B F' U L' U2
B L' B2 U2 B' U R'
B L' B2 D F U' R
B L' B2 D' F U' R
B L' B2 D2 F U' R
B L' B2 F U' R D
B L' B2 F U' R D'
B L' B2 F U' R D2
B L' B2 F U' D R
B L' B2 F U' D' R
B L' B2 F U' D2 R
B L' B2 F D U' R
B L' B2 F D' U' R
B L' B2 F D2 U' R
B L' B2 F' U L' U2
B' L2 U2 B' U R' F'
B' L2 D L F U' R
B' L2 D F L U' R
B' L2 D' L F U' R
B' L2 D' F L U' R
L' U L U' F B' U'
L' U L U' B' F U'
B' L2 D2 L F U' R
B' L2 D2 F L U' R
L' U L' U F B' U
L' U L' U B' F U
B' L2 F L U' R D
B' L2 F L U' R D'
B' L2 F L U' R D2
B' L2 F L U' D R
B' L2 F L U' D' R
B' L2 F L U' D2 R
B' L2 F L D U' R
B' L2 F L D' U' R
B' L2 F L D2 U' R
B2 L2 F L B U' R
B L2 F L B2 U' R
B' L2 F D L U' R
B' L2 F D' L U' R
B' L2 F D2 L U' R
B' L2 F' L U L2 U2
B' L2 F' L U' D2 R2
B' L2 F' L D F2 U'
B' L2 F' L D2 U' R2
B' L2 F2 L F' U' R
B' R L' F R' U' R2
R U' R' B' L' F' U'
U' R' U B' L' F' U'
R' U2 R B' L' U' R'
U' R' B' L' F' U' B
R U2 R' B' L' U' R'
R2 U2 R2 B' L' U' R'
L' U2 D' B' U L R'
L' U2 D' B' U R' L
B' R2 L' F R2 U' R'
L2 U2 F B' U R' F'
R' U2 B' L' R U' R2
R' U2 B' R L' U' R2
R2 U2 B' L' R2 U' R
R2 U2 B' R2 L' U' R
L2 U2 B' F U R' F'
B' R2 F R2 U' R' F'
B' U L U' F L2 U'
L' D F U' L' R D
L' D F U' L' R D'
L' D F U' L' R D2
L' D F U' L' D R
L' D F U' L' D' R
L' D F U' L' D2 R
L' D F U' R L' D
L' D F U' R L' D'
L' D F U' R L' D2
