U' B U L U L
L' R U D2 L' F B
L' R U D2 L' B F
L' R U D2 B L' F
R2 L U D2 L F' B'
R2 L U D2 L B' F'
R2 L U D2 F' L B'
L' R U B D2 L' F
R2 L U F' D2 L B'
L' R D2 U L' F B
L' R D2 U L' B F
L' R D2 U B L' F
R2 L D2 U L F' B'
R2 L D2 U L B' F'
R2 L D2 U F' L B'
R L' U D2 L' F B
R L' U D2 L' B F
R L' U D2 B L' F
R L' U B D2 L' F
U2 L' R2 U' B' L' F'
R L' D2 U L' F B
R L' D2 U L' B F
R L' D2 U B L' F
U2 L' U B U2 L' B2
U2 L' U B U2 B2 L'
U2 L' U' B' L' D2 F2
U2 L' U' B' D2 L' F2
L R2 U D2 L F' B'
L R2 U D2 L B' F'
L R2 U D2 F' L B'
L R2 U F' D2 L B'
B2 L2 R D' F B R2
B2 L2 R D' B R2 F
B2 L2 R D' B F R2
B2 L2 R F D' B R2
L R2 D2 U L F' B'
L R2 D2 U L B' F'
L R2 D2 U F' L B'
B2 L2 R' D' R2 F B
B2 L2 R' D' R2 B F
U L2 U2 B U L U
B2 L2 D' R B R F
B2 L2 D' F R B R
R2 U L D2 L F' B'
R2 U L D2 L B' F'
R2 U L D2 F' L B'
R2 U L F' D2 L B'
B2 L2 F R D' B R2
B2 L2 F R' D' R2 B
R U L' D2 L' F B
R U L' D2 L' B F
R U L' D2 B L' F
B2 L2 F D' R B R
R U L' B D2 L' F
R2 U L2 R' B R F'
R U L2 R F' R' B
R2 U L2 F' R' B R
R U L2 B R F' R'
R U R L2 F' R' B
R U R F' L2 R' B
R U R F' R' L2 B
R U R F' R' B L2
R2 U R' L2 B R F'
R2 U R' B L2 R F'
R2 U R' B R L2 F'
R2 U R' B R F' L2
B2 R L2 D' F B R2
B2 R L2 D' B R2 F
B2 R L2 D' B F R2
B2 R L2 F D' B R2
R2 U F' L D2 L B'
R2 U F' L2 R' B R
R2 U F' R' L2 B R
R2 U F' R' B L2 R
R2 U F' R' B R L2
B R U B' U L2 B2
B R U B' U B2 L2
R U B L' D2 L' F
R U B L2 R F' R'
R U B R L2 F' R'
R U B R F' L2 R'
R U B R F' R' L2
B R U2 B L2 D' R2
B R B L2 D' R2 F
B R B L2 D' F R2
B R B L2 F D' R2
B R B' U B2 L2 F
B2 R' L2 D' R2 F B
B2 R' L2 D' R2 B F
L' U' B U L U L2
L' U' B U2 L' D' B2
L2 U' B U L U L'
B R' F' U B' U L2
U2 R2 L' U' B' L' F'
D R2 F2 R' U F B
D R2 F2 R' U B F
U' D B U L F2 U
U' D B U F2 L U
B U F' B' L' U L'
B U B' L' U L' B'
B U B' U L' B' L'
B U B' F' L' U L'
D2 U' B R2 U L U
D U' B U L F2 U
D U' B U F2 L U
F' U' B U L U L
F2 U' B U L U L
F U' B U L U L
U' D2 B R2 U L U
R2 F R U F2 L2 B'
R2 F R' U L2 F2 B
R2 F R' U L2 B F2
R2 F R' U F2 L2 B
R2 F R' U F2 B L2
R2 F R' U B L2 F2
R2 F R' U B F2 L2
U' F B U L U L
U' F' B U L U L
R' F2 R' U L2 F' B'
R' F2 R' U L2 B' F'
R2 F2 R' U F L2 B
R2 F2 R' U F B L2
R2 F2 R' U B F L2
D F2 U' B U L U
U' F2 B U L U L
U' B R U L U L
U' B R' U L U L
R B L2 R F' D R2
U' B R2 U L U L
R B R L2 F' D R2
U' B U L U L D
U' B U L U L D'
U' B U L U L D2
U' B U L U D L
U' B U L U D' L
U' B U L U D2 L
U' B U L D U L
U' B U L D' U L
U' B U L D2 U L
U' B U L F U L
U' B U L F' U L
U' B U L F2 U L
U' B U D L F2 U
U' B U D F2 L U
U' B U F L U L
U' B U F' L U L
U' B U F2 L U L
L' B U B' U L' B'
U' B U' D' B2 R' U'
U' B U' B2 R' U' L2
U' B U2 L' D' L' B2
U' B U2 L' D' B2 L'
U' B U2 L2 U' L' U
U' B D U L F2 U
U' B D U F2 L U
U' B D' U' B2 R' U'
U' B D2 R2 U L U
U' B F U L U L
U' B F' U L U L
U' B F2 U L U L
U2 B2 L' U' B' L' F
U B2 L2 F U R U'
