F' L' R F2 U R'
F' R L' F2 U R'
F U L' R U' L
F U R L' U' L
F' U' L' R F2 U
F' U' R L' F2 U
U' F U2 L' U' B'
U' F' R F2 U B
F' L R F2 L2 U R'
F L U L2 R U' L2
F L U R L2 U' L2
F' L U' L2 R F2 U
F' L U' R L2 F2 U
F' L U' R F2 L2 U
F' L' R U R' D' L2
F' L' R U D' L2 R'
F' L' R U D' R' L2
F' L' R D' U L2 R'
F' L' R D' U R' L2
F' L' R F2 U R' D
F' L' R F2 U R' D'
F' L' R F2 U R' D2
F' L' R F2 U D R'
F' L' R F2 U D' R'
F' L' R F2 U D2 R'
F' L' R F2 D U R'
F' L' R F2 D' U R'
F' L' R F2 D2 U R'
F' L' R2 F2 R' U R'
F' L' D' R U L2 R'
F' L' D' R U R' L2
U' L' F' R U B L
F' L' B R F2 U R'
F' L' B' R F2 U R'
F' L' B2 R F2 U R'
F' L2 R F2 L U R'
F L2 U L R U' L'
F L2 U R L U' L'
F' L2 U' L R F2 U
F' L2 U' R L F2 U
F' L2 U' R F2 L U
F' R L F2 L2 U R'
F' R L' U R' D' L2
F' R L' U D' L2 R'
F' R L' U D' L2 R'
F' R L' U D' R' L2
F' R L' D' U L2 R'
F' R L' D' U R' L2
F' R L' F2 U R' D
F' R L' F2 U R' D'
F' R L' F2 U R' D2
F' R L' F2 U D R'
F' R L' F2 U D' R'
F' R L' F2 U D2 R'
F' R L' F2 D U R'
F' R L' F2 D' U R'
F' R L' F2 D2 U R'
F' R L2 F2 L U R'
F' R D' L' U L' R'
F' R D' L' U R' L'
U' R F U2 L' U' B
F' R F2 U R' D B2
F' R F2 U2 R U' R2
L' U' F' R U L' B
L' U' F' R U B L'
F R' U2 L' R2 U' R'
F R' U2 R2 L' U' R'
F' R2 L' F2 R' U R'
F R2 U2 L' R' U' R'
F R2 U2 R' L' U' R'
U' R2 D' F L' U F
F U L' R U' L D
F U L' R U' L D'
F U L' R U' L D2
F U L' R U' D L
F U L' R U' D' L
F U L' R U' D2 L
F U L' R D U' L
F U L' R D' U' L
F U L' R D2 U' L
F U L' D R U' L
F U L' D' R U' L
F U L' D2 R U' L
D2 U L2 B' L U' B'
U' D R F U F2 B
U' D R F U B F2
F U R L' U' L D
F U R L' U' L D'
F U R L' U' L D2
F U R L' U' D L
F U R L' U' D' L
F U R L' U' D2 L
F U R L' D U' L
F U R L' D' U' L
F U R L' D2 U' L
F U R D L' U' L
F U R D' L' U' L
F U R D2 L' U' L
F U R B L' U' L
F U R B' L' U' L
F U R B2 L' U' L
U' D F R U F' B
U' D F R U B F'
F U D L' R U' L
F U D R L' U' L
F U D' L' R U' L
F U D' R L' U' L
F U D2 L' R U' L
F U D2 R L' U' L
F U B L' R U' L
F U B R L' U' L
F U B' L' R U' L
F U B' R L' U' L
F' U' L R F2 L2 U
F U B2 L' R U' L
F U B2 R L' U' L
F' U' L' R U D' L2
F' U' L' R D' U L2
F' U' L' R F2 U D
F' U' L' R F2 U D'
F' U' L' R F2 U D2
F' U' L' R F2 D U
F' U' L' R F2 D' U
F' U' L' R F2 D2 U
F' U' L' R' F2 R2 U
F' U' L' R2 F2 R' U
F' U' L' D' R U L2
F' U' L' F2 U2 L' U'
D U' R F U F2 B
D U' R F U B F2
F' U' L2 R F2 L U
F' U' R L F2 L2 U
F' U' R L' U D' L2
F' U' R L' D' U L2
F' U' R L' F2 U D
F' U' R L' F2 U D'
F' U' R L' F2 U D2
F' U' R L' F2 D U
F' U' R L' F2 D' U
F' U' R L' F2 D2 U
F' U' R L2 F2 L U
F' U' R D' L' U L'
F' U' R F2 U2 R U'
F' U' R' L' F2 R2 U
D U' F R U F' B
D U' F R U B F'
F' U' R2 L' F2 R' U
F' U' D' L' R U L'
F' U' D' R L' U L'
B' U' F U2 L' U' B'
B2 U' F U2 L' U' B'
B' U' F' R F2 U B
B2 U' F' R F2 U B
B U' F U2 L' U' B'
B U' F' R F2 U B
F' U' F2 U2 L' R U'
F' U' F2 U2 R L' U'
U D2 L2 B' L U' B'
F U2 L' R U L U2
F U2 R L' U L U2
L' F L' B' R U' R'
U' F R U2 L' U' B
L2 F U R B' L' U'
L2 F U B' L' R U'
L2 F U B' R L' U'
U' F U2 L' R U' B'
U' F U2 L' R' U' B'
U' F U2 L' R2 U' B'
U' F U2 L' U' D B'
U' F U2 L' U' D' B'
U' F U2 L' U' D2 B'
U' F U2 L' U' B' D
U' F U2 L' U' B' D'
U' F U2 L' U' B' D2
U' F U2 L' D U' B'
U' F U2 L' D' U' B'
U' F U2 L' D2 U' B'
U' F U2 R L' U' B'
U' F U2 R' L' U' B'
U' F U2 R2 L' U' B'
U' F U2 D L' U' B'
U' F U2 D' L' U' B'
U' F U2 D2 L' U' B'
R2 F U2 L' R U' R
R2 F U2 R L' U' R
U' F D U2 L' U' B'
R F U2 L' R U' R2
R F U2 R L' U' R2
U' F D' U2 L' U' B'
U' F D2 U2 L' U' B'
L2 F B' L' R U' R'
L2 F B' R L' U' R'
U' F' L R F2 U B
D' F' L D' L2 F B2
D' F' L D' L2 B2 F
F D U L' R U' L
U' F' L' R F2 U B
F D U R L' U' L
U' F' L2 R F2 U B
U' F' R L F2 U B
U' F' R L' F2 U B
U' F' R L2 F2 U B
L F' L' R F U R'
U' F' R U D' L2 B
U' F' R U D' B L2
U' F' R U B D' L2
R F' L' R F2 U R2
U' F' R D' U L2 B
U' F' R D' U B L2
U' F' R F2 L U B
U' F' R F2 L' U B
U' F' R F2 L2 U B
U' F' R F2 U D B
U' F' R F2 U D' B
U' F' R F2 U D2 B
U' F' R F2 U B D
U' F' R F2 U B D'
U' F' R F2 U B D2
U' F' R F2 D U B
U' F' R F2 D' U B
U' F' R F2 D2 U B
L F' R L' F U R'
R F' R L' F2 U R2
U' F' R2 F2 R' U B
U2 F' U R F2 U B
D' F' U' L' F2 U F'
F' D' L' R U L' R'
F' D' L' R U R' L'
L F' U' L' R F U
L F' U' R L' F U
U' F' D' R U L2 B
U' F' D' R U B L2
F' D' L2 U' L R U
F' D' L2 U' R L U
F' D' R L' U L' R'
F' D' R L' U R' L'
F' D' U' L' R U L'
F' D' U' R L' U L'
F D' U L' R U' L
F D' U R L' U' L
F D2 U L' R U' L
F D2 U R L' U' L
F' B L' R F2 U R'
F' B R L' F2 U R'
B' F U L' R U' L
B' F U R L' U' L
B2 F U L' R U' L
B2 F U R L' U' L
F' B U' L' R F2 U
F' B U' R L' F2 U
B F U L' R U' L
B F U R L' U' L
F B U L' R U' L
F B U R L' U' L
B' F' L' R F2 U R'
F' B' L' R F2 U R'
B2 F' L' R F2 U R'
B F' L' R F2 U R'
B' F' R L' F2 U R'
F' B' R L' F2 U R'
B2 F' R L' F2 U R'
B F' R L' F2 U R'
B' F' U' L' R F2 U
B' F' U' R L' F2 U
F' B' U' L' R F2 U
F' B' U' R L' F2 U
B2 F' U' L' R F2 U
B2 F' U' R L' F2 U
L2 B' F L' R U' R'
L2 B' F R L' U' R'
F B' U L' R U' L
F B' U R L' U' L
B F' U' L' R F2 U
B F' U' R L' F2 U
F' B2 L' R F2 U R'
F' B2 R L' F2 U R'
F' B2 U' L' R F2 U
F' B2 U' R L' F2 U
F B2 U L' R U' L
F B2 U R L' U' L
