D' L R' F2 B R
D' L R' B F2 R
D' L R2 F2 R B
D L D2 F2 R B'
D L D2 F2 B' R
D L D2 B' F2 R
D' L F2 R' B R2
D' R F' U2 L F'
D' R F' U2 F' L
D' R' L F2 B R
D' R' L B F2 R
D' R' U2 L F2 B
D' R' U2 L B F2
D' R' U2 F2 L B
D' R2 L F2 R B
U R2 U D L B'
U R2 D U L B'
U2 D L D2 F2 B'
U2 D L D2 B' F2
L D' R' F2 B R
L D' R' B F2 R
L D' R2 F2 R B
L D' F2 R' B R2
U2 D' F2 D2 L B'
D U2 L D2 F2 B'
D U2 L D2 B' F2
D' U2 F2 D2 L B'
D' B2 R' U2 F2 B
D' B2 R' U2 B F2
D B2 U2 B2 L B'
D B2 D2 R' U2 B
D L R D2 F2 R B'
D L R D2 F2 B' R
D L R D2 B' F2 R
D L R' D2 F2 R B'
D L R' D2 F2 B' R
D L R' D2 B' F2 R
D' L R' F2 D B R
D' L R' F2 D' B R
D' L R' F2 D2 B R
D' L R' F2 B R D
D' L R' F2 B R D'
D' L R' F2 B R D2
D' L R' F2 B D R
D' L R' F2 B D' R
D' L R' F2 B D2 R
D' L R' F2 B' R B2
D' L R' F2 B2 R B'
D' L R' B R F2 R
D' L R' B R' F2 R
D' L R' B R2 F2 R
D' L R' B F2 R D
D' L R' B F2 R D'
D' L R' B F2 R D2
D' L R' B F2 D R
D' L R' B F2 D' R
D' L R' B F2 D2 R
D' L R' B' F2 R B2
D' L R' B2 F2 R B'
D L R2 D2 F2 R B'
D L R2 D2 F2 B' R
D L R2 D2 B' F2 R
D' L R2 F2 R D B
D' L R2 F2 R D' B
D' L R2 F2 R D2 B
D' L R2 F2 R B D
D' L R2 F2 R B D'
D' L R2 F2 R B D2
D' L R2 F2 D R B
D' L R2 F2 D' R B
D' L R2 F2 D2 R B
D' L R2 F2 B R B
D' L R2 F2 B' R B
D' L R2 F2 B2 R B
D' L R2 B F2 R B
D' L R2 B' F2 R B
D' L R2 B2 F2 R B
D L U2 B2 L' U2 B
D L D B' D F2 R
F' L D' R' F2 B R
F' L D' R' B F2 R
U2 L D' R' B R F2
F' L D' R2 F2 R B
F2 L D' R' F2 B R
F2 L D' R' B F2 R
F2 L D' R2 F2 R B
F L D' R' F2 B R
