B' R U2 B'
R B' U2 B'
B' R U2 D B'
B' R U2 D' B'
B' R U2 D2 B'
B' R U2 B' D
B' R U2 B' D'
B' R U2 B' D2
B' R D U2 B'
B' R D' U2 B'
B' R D2 U2 B'
B' R F U2 B'
B' R F' U2 B'
B' R F2 U2 B'
D2 R F2 B' U2
D2 R B' F2 U2
R D2 F2 B' U2
R D2 B' F2 U2
B' D R U2 B'
R F B' U2 B'
B' D' R U2 B'
R F' B' U2 B'
B' D2 R U2 B'
D2 F2 B' U2 L'
R F2 B' U2 B'
R' B' R2 U2 B'
R2 B' U2 B' L
D2 B' R F2 U2
F2 B' U2 B' L'
R B' U2 D B'
R B' U2 D' B'
R B' U2 D2 B'
R B' U2 B' D
R B' U2 B' D'
R B' U2 B' D2
R B' D U2 B'
R B' D' U2 B'
R B' D' U2 B'
D2 B' F2 U2 L'
R B' D2 U2 B'
R B' F U2 B'
R B' F' U2 B'
R B' F2 U2 B'
B' F2 U2 B' L'
U2 L' F2 L' F B2
U2 L' F2 L' B2 F
U2 L' F2 B2 L' F
U2 L' B2 F2 L' F
B' L2 R F L2 U2
F2 L2 F L B2 R'
R U L2 U F B2
R U L2 U B2 F
U2 L2 F2 L' F' B2
U2 L2 F2 L' B2 F'
U2 L2 F2 B2 L' F'
R U D L2 U F
U2 L2 B2 F2 L' F'
B' R L2 F L2 U2
D R U L2 U F
B' R U' R U' B'
B' R U' R' U' B'
B' R U' R2 U' B'
B' R U2 R' B' R
B' R U2 R2 B' R2
B' R U2 D B' D
B' R U2 D B' D'
B' R U2 D B' D'
B' R U2 D B' D2
B' R U2 D' B' D
B' R U2 D' B' D'
B' R U2 D' B' D2
B' R U2 D2 B' D
B' R U2 D2 B' D'
B' R U2 D2 B' D2
B' R U2 B2 D B
B' R U2 B2 D' B
B' R U2 B2 D2 B
B' R D U2 B' D
B' R D U2 B' D'
B' R D U2 B' D2
B' R D F U2 B'
B' R D F' U2 B'
B' R D F2 U2 B'
D R D F2 B' U2
B' R D' U2 B' D
B' R D' U2 B' D'
B' R D' U2 B' D2
D R D B' F2 U2
B' R D' F U2 B'
B' R D' F' U2 B'
B' R D' F2 U2 B'
B' R D2 U2 B' D
B' R D2 U2 B' D'
B' R D2 U2 B' D2
D R D' B' U2 B'
B' R D2 F U2 B'
B' R D2 F' U2 B'
B' R D2 F2 U2 B'
D2 R D2 B' U2 B'
B' R F U2 D B'
B' R F U2 D B'
B' R F U2 D' B'
B' R F U2 D2 B'
B' R F U2 B' D
B' R F U2 B' D'
B' R F U2 B' D2
B' R F D U2 B'
B' R F D' U2 B'
B' R F D2 U2 B'
B' R F' U2 D B'
B' R F' U2 D' B'
B' R F' U2 D2 B'
B' R F' U2 B' D
B' R F' U2 B' D'
B' R F' U2 B' D2
B' R F' D U2 B'
B' R F' D' U2 B'
R U' L2 U' F B2
R U' L2 U' B2 F
B' R F' D2 U2 B'
B' R F2 U2 D B'
B' R F2 U2 D' B'
B' R F2 U2 D2 B'
B' R F2 U2 B' D
B' R F2 U2 B' D'
B' R F2 U2 B' D2
B' R F2 D U2 B'
B' R F2 D' U2 B'
B' R F2 D2 U2 B'
D2 R F2 D B' U2
D2 R F2 D' B' U2
D2 R F2 D2 B' U2
D2 R F2 B' U2 D
D2 R F2 B' U2 D'
D2 R F2 B' U2 D2
D2 R F2 B' D U2
D2 R F2 B' D' U2
D2 R F2 B' D2 U2
F2 R B' U2 B' L'
D' R B' U' R U'
D2 R B' U2 D2 B2
D2 R B' D2 U2 B2
D R B' U L2 U
D2 R B' F2 U2 D
D2 R B' F2 U2 D'
D2 R B' F2 U2 D2
D2 R B' F2 D U2
D2 R B' F2 D' U2
D2 R B' F2 D2 U2
D R B' U2 D' B2
D R B' D F2 U2
D R B' D' U2 B2
B' R' U2 D2 B' L2
B' R' U2 B' D2 L2
B' R' D2 U2 B' L2
R2 U2 L B2 L F
B' R' F R2 U2 B'
B' R' F' R2 U2 B'
R2 U2 L2 F B2 L
R2 U2 L2 F B2 L
R2 U2 L2 B2 F L
R U2 L2 F L2 B2
R U2 L2 F B2 L2
B' R' F2 R2 U2 B'
D2 R' F2 R2 B' U2
R U2 L2 B2 F L2
D2 R' F2 B' R2 U2
D2 R' B' R2 F2 U2
F2 R' B' U2 B' L'
D2 R' B' F2 R2 U2
R U2 R2 B2 R2 F'
B' R2 U2 B2 L B
B' R2 D R' U2 B'
R U2 B D2 F2 B
R U2 B D2 B F2
B' R2 D' R' U2 B'
B' R2 D2 R' U2 B'
R U2 B2 R2 F' R2
R U2 B2 U2 B U2
B' R2 F R' U2 B'
B' R2 F' R' U2 B'
B' R2 F2 R' U2 B'
B R2 F' R' B2 U2
D2 R2 F2 R' B' U2
B R2 F' B2 U2 L
F2 R2 B' U2 B' L'
U2 R2 B2 L R2 F'
U2 R2 B2 R2 L F'
U2 R2 B2 R2 F' L
R D U L2 U F
B R2 B2 F' U2 L
R D B' U L2 U
R D B' U2 D' B2
R D B' D F2 U2
R D B' D' U2 B2
B' U F2 U B' L'
R D' B' U' R2 U'
R D' B' U2 D B2
R D' B' D U2 B2
R D' B' D' F2 U2
R2 D2 R' F2 B' U2
R2 D2 R' B' F2 U2
R' D2 F2 U2 L2 F
R' D2 F2 B' U2 L2
F2 U2 L2 F L B2
R2 D2 F2 R' B' U2
F U2 L2 F L' B2
F U2 L2 F B2 L'
R' D2 B' F2 U2 L2
F U2 L2 B2 F L'
R D2 F2 D B' U2
R D2 F2 D' B' U2
R D2 F2 D2 B' U2
R D2 F2 B' U2 D
R D2 F2 B' U2 D'
R D2 F2 B' U2 D2
R D2 F2 B' D U2
R D2 F2 B' D' U2
R D2 F2 B' D2 U2
R D2 B' U2 D2 B2
R D2 B' D2 U2 B2
R D2 B' F2 U2 D
R D2 B' F2 U2 D'
R D2 B' F2 U2 D2
R D2 B' F2 D U2
R D2 B' F2 D' U2
R D2 B' F2 D2 U2
B U2 D2 F2 L' B
B U2 D2 F2 B L'
B U2 D2 B F2 L'
U2 F L2 F L' B2
U2 F L2 F B2 L'
U2 F L2 B2 F L'
B2 U2 B R U2 R'
B' U2 F2 B' L' F2
R' F R2 B' U2 B'
R2 F R' B' U2 B'
B' U2 B' U2 R U2
B' U2 B' F2 L' F2
B' D R U2 D B'
B' D R U2 D' B'
B' D R U2 D2 B'
B' D R U2 B' D
B' D R U2 B' D'
B' D R U2 B' D2
B' D R D U2 B'
B' D R D' U2 B'
B' D R D2 U2 B'
B' D R F U2 B'
B' D R F' U2 B'
B' D R F2 U2 B'
R' F B' R2 U2 B'
R2 F B' U2 B' L
R F D2 F2 B' U2
R F D2 B' F2 U2
R F B' U2 D B'
R F B' U2 D' B'
R F B' U2 D2 B'
R F B' U2 B' D
R F B' U2 B' D'
R F B' U2 B' D2
R F B' D U2 B'
R F B' D' U2 B'
R F B' D2 U2 B'
B' D F2 U2 B' L'
R' F' R2 B' U2 B'
B2 D B R U2 B'
R2 F' R' B' U2 B'
B' D' R U2 D B'
B' D' R U2 D' B'
B' D' R U2 D2 B'
B' D' R U2 B' D
B' D' R U2 B' D'
B' D' R U2 B' D2
B' D' R D U2 B'
B' D' R D' U2 B'
B' D' R D2 U2 B'
B' D' R F U2 B'
B' D' R F' U2 B'
B' D' R F2 U2 B'
R' F' B' R2 U2 B'
R2 F' B' U2 B' L
R F' D2 F2 B' U2
R F' D2 B' F2 U2
R F' B' U2 D B'
R F' B' U2 D' B'
R F' B' U2 D2 B'
R F' B' U2 B' D
R F' B' U2 B' D'
R F' B' U2 B' D2
R F' B' D U2 B'
R F' B' D' U2 B'
R F' B' D2 U2 B'
U2 F2 L2 F L B2
D2 F2 R B' U2 L'
