B' U2 L B2 U' B2
B U2 R' B2 U B2
U' B U2 R' B2 U
U B' U2 L B2 U'
B L U2 R' B2 U B2
U' L B' L F B2 U'
U' L B' L B2 F U'
B' L B2 U2 B2 U B2
B' L' U2 L2 B2 U' B2
B L' U2 R' B2 U B2
B' L' U2 B2 L2 U' B2
B' L2 U' L' B2 U' R'
D2 L2 U' F L' B U'
D2 L2 U' F B L' U'
D2 L2 U' B F L' U'
B' L2 U2 L' B2 U' B2
B L2 U2 R' B2 U B2
B' L2 U2 B2 L' U' B2
U' L2 D2 F L' B U'
U' L2 D2 F B L' U'
U' L2 D2 B F L' U'
U' L2 F B U2 R' U
U' L2 F B' L B2 U'
U' L2 B F U2 R' U
U' L2 B' F L B2 U'
R2 U D2 F' R B' U
R2 U D2 F' B' R U
R2 U D2 B' F' R U
R2 U F' B R' B2 U
R2 U F' B' U2 L U'
B' R U2 L B2 U' B2
B R U2 R2 B2 U B2
R2 U B F' R' B2 U
B R U2 B2 R2 U B2
R2 U B' F' U2 L U'
L2 U' D2 F L' B U'
L2 U' D2 F B L' U'
L2 U' D2 B F L' U'
L2 U' F B U2 R' U
L2 U' F B' L B2 U'
B' R' U2 L B2 U' B2
L2 U' B F U2 R' U
L2 U' B' F L B2 U'
U R' B R' F' B2 U
U R' B R' B2 F' U
B R' B2 U2 B2 U' B2
D2 R2 U F' R B' U
D2 R2 U F' B' R U
D2 R2 U B' F' R U
B R2 U R B2 U L
B' R2 U2 L B2 U' B2
B R2 U2 R B2 U B2
B R2 U2 B2 R U B2
U R2 D2 F' R B' U
U R2 D2 F' B' R U
U R2 D2 B' F' R U
U R2 F' B R' B2 U
U R2 F' B' U2 L U'
U R2 B F' R' B2 U
U R2 B' F' U2 L U'
B U R B2 R2 U L
D2 U R2 F' R B' U
B U R' F2 B2 U L'
D2 U R2 F' B' R U
B U R' B2 U' R U2
B U R' B2 F2 U L'
D2 U R2 B' F' R U
D2 U' L2 F L' B U'
D2 U' L2 F B L' U'
D2 U' L2 B F L' U'
B U B2 U2 L U' L'
B' U' L F2 B2 U' R
B' U' L B2 U L' U2
B' U' L B2 F2 U' R
B' U' L' B2 L2 U' R'
U' D2 L2 F L' B U'
U' D2 L2 F B L' U'
U' D2 L2 B F L' U'
B' U' B2 U2 R' U R
R2 D2 U F' R B' U
R2 D2 U F' B' R U
B' U2 L R B2 U' B2
B' U2 L R' B2 U' B2
R2 D2 U B' F' R U
B' U2 L R2 B2 U' B2
L2 D2 U' F L' B U'
L2 D2 U' F B L' U'
L2 D2 U' B F L' U'
B' U2 L B2 R U' B2
B' U2 L B2 R' U' B2
B' U2 L B2 R2 U' B2
B' U2 L B2 U' B2 D
B' U2 L B2 U' B2 D'
B' U2 L B2 U' B2 D2
B' U2 L B2 D' R2 U'
B U2 L R' B2 U B2
B' U2 L' B2 L2 U' B2
U D2 R2 F' R B' U
U D2 R2 F' B' R U
B U2 L' R' B2 U B2
U D2 R2 B' F' R U
B' U2 L2 B2 L' U' B2
B' U2 R L B2 U' B2
B U2 L2 R' B2 U B2
B' U2 R' L B2 U' B2
B' U2 R2 L B2 U' B2
B U2 R B2 R2 U B2
B U2 R' L B2 U B2
B U2 R' L' B2 U B2
B U2 R' L2 B2 U B2
B U2 R' B2 L U B2
B U2 R' B2 L' U B2
B U2 R' B2 L2 U B2
B U2 R' B2 U B2 D
B U2 R' B2 U B2 D'
B U2 R' B2 U B2 D2
B U2 R' B2 D L2 U
B U2 R2 B2 R U B2
B' U2 B2 U2 R' U B2
B U2 B2 U2 L U' B2
U' F B U2 R' B2 U
U F B' U2 L B2 U'
U' F' B U2 R' B2 U
U F' B' U2 L B2 U'
U' F2 B U2 R' B2 U
U' B L U2 R' B2 U
U F2 B' U2 L B2 U'
U' B L' U2 R' B2 U
U' B L2 U2 R' B2 U
U' B U' R D' R2 F2
U' B U' R D' F2 R2
U B R' B2 U D L2
U B R' B2 U2 B2 U'
U B R' B2 D U L2
U B R' B2 D2 F2 U
U' B U2 R B2 R2 U
R2 B U F' R' B2 U
U' B U2 R' U D' R2
U' B U2 R' D' U R2
U' B U2 R' B2 U D
U' B U2 R' B2 U D'
U' B U2 R' B2 U D2
U' B U2 R' B2 D U
U' B U2 R' B2 D' U
U' B U2 R' B2 D2 U
U' B U2 R2 B2 R U
U' B U2 D' R' U R'
U' B U2 B2 U2 L U'
U2 B U2 R' B2 U B
U' B D' U2 R' U R'
U' B D2 F2 U2 R' U
U' B F U2 R' B2 U
U' B F' U2 R' B2 U
U' B F2 U2 R' B2 U
U' B' L B2 U' D' R2
U' B' L B2 U2 B2 U
U' B' L B2 D' U' R2
U' B' L B2 D2 F2 U'
U B' R U2 L B2 U'
U B' R' U2 L B2 U'
U B' R2 U2 L B2 U'
U B' U L' D L2 F2
U B' U L' D F2 L2
L2 B' U' F L B2 U'
U2 B' U2 L B2 U' B'
U B' U2 L U' D L2
U B' U2 L D U' L2
U B' U2 L B2 U' D
U B' U2 L B2 U' D'
U B' U2 L B2 U' D2
U B' U2 L B2 D U'
U B' U2 L B2 D' U'
U B' U2 L B2 D2 U'
U B' U2 L' B2 L2 U'
U B' U2 L2 B2 L' U'
U B' U2 D L U' L
U B' U2 B2 U2 R' U
U B' D U2 L U' L
U B' D2 F2 U2 L U'
U B' F U2 L B2 U'
U B' F' U2 L B2 U'
U B' F2 U2 L B2 U'
