R' U2 F' R B U'
B2 L U2 F L' B' U
R' L F L' U D R2
R' L F L' U2 F2 U'
R' L F L' D U R2
R' L F L' D2 B2 U
L R F L' B R2 U
R L F L' B R2 U
R' L F U2 F2 R U'
R' L F D L' U R2
R' L F D2 L' B2 U
R' L F D2 B2 L' U
L R F B L' R2 U
L R F B R2 L' U
R L F B L' R2 U
R L F B R2 L' U
L R B R2 F L' U
R L B R2 F L' U
L R B F L' R2 U
L R B F R2 L' U
R L B F L' R2 U
R L B F R2 L' U
L' R' U2 F' R B' U'
R' L' U2 F' R B' U'
R' L' U2 F' B' R U'
L' R' U2 F' B' R U'
R' L' U2 B' F' R U'
L' R' U2 B' F' R U'
F L' R' U2 F' B' U'
F L' R' U2 B' F' U'
L R' F L' U D R2
L R' F L' U2 F2 U'
L R' F L' D U R2
L R' F L' D2 B2 U
L R' F U2 F2 R U'
L R' F D L' U R2
L R' F D2 L' B2 U
L R' F D2 B2 L' U
L U R' F L' U R
L U F L' R' U R2
L U F R' L' U R2
D R B R2 U B L
F R' L' U2 F' B' U'
F R' L' U2 B' F' U'
D R' U2 F' U' B L
U2 R' F L' F2 B' U
U2 R' F L' B' F2 U
L U2 R' F L' B' U
R' U2 F' R D B U'
R' U2 F' R D' B U'
R' U2 F' R D2 B U'
R' U2 F' R B U' D
R' U2 F' R B U' D'
R' U2 F' R B U' D2
R' U2 F' R B D U'
R' U2 F' R B D' U'
R' U2 F' R B D2 U'
L U2 F L' R' B' U
L U2 F R' L' B' U
R' U2 F' D R B U'
R' U2 F' D' R B U'
R' U2 F' D2 R B U'
R' U2 F' B R B U'
R' U2 F' B' R B U'
R' U2 F' B2 R B U'
R' U2 B F' R B U'
R' U2 B' F' R B U'
R' U2 B2 F' R B U'
F U2 L' R' F' B' U
F U2 L' R' B' F' U
F U2 R' L' F' B' U
F U2 R' L' B' F' U
R' F L F L2 B' U
R' F L' U2 F2 B' U'
R' F L' U2 B' F2 U'
U2 F L' R' F' B' U
U2 F L' R' B' F' U
L F L' R B R2 U
L F L' R' U2 F' U'
U2 F R' L' F' B' U
U2 F R' L' B' F' U
L F R L' B R2 U
L F R B L' R2 U
L F R B R2 L' U
L F R' L' U2 F' U'
R' F U2 F2 R B U'
R' F' R U2 R' F' U
R2 F' R F' L' B' U'
U2 F2 R' F' L' B' U
R B L R2 F L' U
R B L F L' R2 U
R B L F R2 L' U
R B R2 L F L' U
R' B U2 F' R B U'
R' B' U2 F' R B U'
R' B2 U2 F' R B U'
