F2 L2 U F B
F2 L2 U B F
D' U L2 F B
D' U L2 B F
U D' L2 F B
U D' L2 B F
F2 U B D2 F2
F2 U' B' U2 B2
L2 F2 U F' B
L2 F2 U B F'
D' L' U L' F B
D' L' U L' B F
D' L' U B L' F
F2 L2 U D F B
F2 L2 U D B F
F2 L2 U D' F B
F2 L2 U D' B F
F2 L2 U D2 F B
F2 L2 U D2 B F
F2 L2 U F D B
F2 L2 U F D' B
F2 L2 U F D2 B
F2 L2 U F B D
F2 L2 U F B D'
F2 L2 U F B D2
F2 L2 U B D F
F2 L2 U B D' F
F2 L2 U B D2 F
F2 L2 U B F D
F2 L2 U B F D'
F2 L2 U B F D2
F2 L2 D U F B
F2 L2 D U B F
F2 L2 D' U F B
F2 L2 D' U B F
U L2 D' F L2 B
U L2 D' F B L2
U L2 D' B F L2
F2 L2 D2 U F B
F2 L2 D2 U B F
F' L2 F' U F2 B
F' L2 F' U B F2
U L2 B D' F L2
L2 U D' F L2 B
L2 U D' F B L2
L2 U D' B F L2
L2 U B D' F L2
F2 R2 U' F' B' U2
F2 R2 U' B' F' U2
D' U L' B L' F
D' U L2 D F B
D' U L2 D B F
D' U L2 D' F B
D' U L2 D' B F
D' U L2 D2 F B
F2 U L2 F L2 B
D' U L2 D2 B F
F2 U L2 F B L2
D' U L2 F D B
D' U L2 F D' B
D' U L2 F D2 B
D' U L2 F B D
D' U L2 F B D'
D' U L2 F B D2
F2 U L2 B F L2
D' U L2 B D F
D' U L2 B D' F
D' U L2 B D2 F
D' U L2 B F D
D' U L2 B F D'
D' U L2 B F D2
U' D R2 F' B' U2
U' D R2 B' F' U2
D' U F L2 F B
D' U F L2 B F
F2 U D B D2 F2
D' U F' L2 F B
D' U F' L2 B F
F2 U D' B D2 F2
D' U F2 L2 F B
D' U F2 L2 B F
F2 U D2 B D2 F2
D' U B L2 D2 F2
F2 U F B D2 F2
U' D B' R2 U2 B2
F2 U F' B D2 F2
D U B D2 L2 F2
D U B D2 F2 L2
U D B D2 L2 F2
U D B D2 F2 L2
B' U F2 B U B
F2 U F2 B D2 F2
F2 U B U2 B2 U2
B' U B F2 U B
F2 U B D2 F2 D
F2 U B D2 F2 D'
F2 U B D2 F2 D2
F2 U B F D2 F2
F2 U B F' D2 F2
F2 U B F2 D2 F2
L2 D' U F L2 B
L2 D' U F B L2
L2 D' U B F L2
U D' L' B L' F
U D' L2 D F B
U D' L2 D B F
U D' L2 D' F B
U D' L2 D' B F
U D' L2 D2 F B
U D' L2 D2 B F
U D' L2 F D B
U D' L2 F D' B
U D' L2 F D2 B
U D' L2 F B D
U D' L2 F B D'
U D' L2 F B D2
U D' L2 B D F
U D' L2 B D' F
U D' L2 B D2 F
U D' L2 B F D
U D' L2 B F D'
U D' L2 B F D2
D U' R2 F' B' U2
D U' R2 B' F' U2
U D' F L2 F B
U D' F L2 B F
U D' F' L2 F B
U D' F' L2 B F
U D' F2 L2 F B
U D' F2 L2 B F
F2 U' D B' U2 B2
U' D' B' U2 L2 B2
U D' B L2 D2 F2
U' D' B' U2 B2 L2
F2 U' D' B' U2 B2
D' U' B' U2 L2 B2
D' U' B' U2 B2 L2
F2 U' D2 B' U2 B2
D U' B' R2 U2 B2
F2 U' F B' U2 B2
F2 U' F' B' U2 B2
F2 U' F2 B' U2 B2
F2 U' B' U2 B2 D
F2 U' B' U2 B2 D'
F2 U' B' U2 B2 D2
F2 U' B' D2 F2 U2
F2 U' B' F U2 B2
F2 U' B' F' U2 B2
F2 U' B' F2 U2 B2
F2 U2 L2 U' F B
F2 U2 L2 U' B F
D' F U L2 F B
D' F U L2 B F
F2 D L2 U F B
F2 D L2 U B F
F2 D U B D2 F2
F2 D U' B' U2 B2
D' F' U L2 F B
