D' L U2 B' U' R F'
D' L' R F' D' L2 B2
D' L' R F' D' B2 L2
D L' R F D' L2 B2
D L' R F D' B2 L2
D L' D' R F L' B2
D L' D' R F B2 L'
D L' D' R B2 F L'
D L' D' B2 R F L'
F L' F' D' R F' B2
F L' F' D' R B2 F'
F L' F' D' B2 R F'
L U R F D L' F
D' R L' F' D' L2 B2
D' R L' F' D' B2 L2
D R L' F D' L2 B2
D R L' F D' B2 L2
B2 R' U' L R2 F L'
B2 R' U' L F L' R2
B2 R' U' L F R2 L'
B2 R' U' R2 L F L'
R D L' D' F L' B2
R D L' D' F B2 L'
R D L' D' B2 F L'
R F D L' D' F B2
R F D L' D' B2 F
R F D L' F D' B2
B2 D R' B L U' R2
B' D' L B' R' U' R2
L B R' F U L' R2
L B R' F U R2 L'
