B' U R' B' U' R
B L R2 F' B2 U F
B L R2 B2 F' U F
U' L U D L2 B' R'
U' L D U L2 B' R'
B L' U' B2 L2 F U
B L' B2 L2 F U F'
D L2 U R F U' B
D L2 U F R U' B
D L2 U' L' U B' R'
L2 U R F B2 U' B'
L2 U R B2 F U' B'
D L2 B' U R' F U'
D L2 B' U F R' U'
L2 U F R B2 U' B'
L2 U F B2 R U' B
B' R U R2 B' U' R2
B' R U B' R2 U' R2
B' R U2 B' R2 U' F'
L2 U B2 R F U' B
L U B2 R U' B R'
L2 U B2 F R U' B
B' R D2 L2 F U F'
B' R B' R2 F' U' F
U R B2 R' U' B' R'
U R B2 R2 F' U' B'
U R B2 U' B' D' R2
U R B2 U2 B U B2
U R' B2 R2 F' U' B
B R2 L F' B2 U F
B R2 L B2 F' U F
B' R2 U B' R U' R'
B R2 U' L F' B2 U
B R2 U' L B2 F' U
B R2 U' F' L B2 U
B2 R2 D2 F' R U' F
B' U R' D B' U' R
B' U R' D' B' U' R
B' U R' D2 B' U' R
B' U R' B' U' R D
B' U R' B' U' R D'
B' U R' B' U' R D2
B' U R' B' U' D R
B' U R' B' U' D' R
B' U R' B' U' D2 R
B' U R' B' D U' R
B' U R' B' D' U' R
B' U R' B' D2 U' R
B' U R2 B' R U' R
B' U D R' B' U' R
B' U D' R' B' U' R
B' U D2 R' B' U' R
B' U F R' B' U' R
B' U F' R' B' U' R
U' D B' L' U B' L'
B' U F2 R' B' U' R
B U' L B2 U2 B' U'
B U' L' B2 L2 F U
D2 U' F2 B' L' U B'
D2 U' B' L' F2 U B'
D2 U' B' F2 L' U B'
D U' B' L' U B' L'
B2 U' B' L B2 U L'
B U' B2 U2 R' B' U'
U' D2 F2 B' L' U B'
B' U2 R B' R2 U' F'
U' D2 B' L' F2 U B'
B' U2 R' B' U B U2
U' D2 B' F2 L' U B'
B' D U R' B' U' R
B' D' U R' B' U' R
B D' R2 U' L F' U
B D' R2 U' F' L U
D2 F2 B L B2 U F2
D2 F2 B' U2 R' U' F2
B2 D2 R2 F' R U' F
B' D2 U R' B' U' R
D2 B L F2 B2 U F2
D2 B L B2 F2 U F2
D2 B L' D' L2 R2 B2
D2 B L' D' L2 B2 R2
D2 B L' D' R2 L2 B2
D2 B L' D' R2 B2 L2
D2 B L' D' B2 L2 R2
D2 B L' D' B2 R2 L2
D B L' D' L' R2 B2
D B L' D' L' B2 R2
D B L' D' R2 L' B2
D B L' D' R2 B2 L'
D B L' D' B2 L' R2
D B L' D' B2 R2 L'
D B L2 U' L' B2 U
D B L2 U' B2 L' U
D2 B U' L F2 B2 U
D2 B U' L B2 F2 U
D2 B U' F2 L B2 U
D2 B F2 L B2 U F2
U' B' L U' F R U2
U' B' L' U D' B' L
U' B' L' D' U B' L
U' B' L2 D F L' U
U' B' L2 F L U B'
D B' L2 U R' U' R
L2 B' R' F B' U' F'
D2 B' R2 F2 L' U F2
L2 B' R' B' F U' F'
R' B' U R' B' U' R
L2 B' U R' F B' U'
L2 B' U R' B' F U'
L2 B' U F R' B' U'
R2 B' U R' B' U' R
D B' U R' U' L2 R
D B' U R' U' R L2
U' B' U2 R B' U' B2
U' B' U2 B' R U' B
L B' U R' B' U' R'
R B' U R' B' U' R
B' F' U2 R' B' U' F
F' B' U2 R' B' U' F
F2 B' U2 R' B' U' F2
D2 B' F2 U2 R' U' F2
U B2 R U' D B R'
U B2 R D U' B R'
U B2 R' U F' L' U2
U B2 R2 D' F' R U'
U B2 R2 F' R' U' B
U B2 U2 L' B U B2
B' F2 U2 R' B' U' F2
U B2 U2 B L' U B'
