B L U' L' R' F'
B L U' R' L' F'
B L' U' L R' F'
B L' U' R' L F'
B L' U' R' F' L
B L2 U' L2 R' F'
B L2 U' R' L2 F'
B L2 U' R' F' L2
F' D L' F U' L
D2 F' L' U' L R
D2 F' L' U' R L
D F' L' F U' L
L2 B U' L2 R' F'
F' B L' U' L R'
F' B L' U' R' L
L2 B U' R' L2 F'
L2 B U' R' F' L2
L B U' L' R' F'
L B U' R' L' F'
B F' L' U' L R'
B F' L' U' R' L
D2 L U' L' R' F' R
B L U' L R' F' L2
B L U' L' R' D F'
B L U' L' R' D' F'
B L U' L' R' D2 F'
B L U' L' R' F' D
B L U' L' R' F' D'
B L U' L' R' F' D2
B L U' L' D R' F'
B L U' L' D' R' F'
B L U' L' D2 R' F'
B L U' L' F R' F'
B L U' L' F' R' F'
B L U' L' F2 R' F'
D2 L U' R' L' F' R
B L U' L2 R' F' L
B L U' R' L F' L2
B L U' R' L' D F'
B L U' R' L' D' F'
B L U' R' L' D2 F'
B L U' R' L' F' D
B L U' R' L' F' D'
B L U' R' L' F' D2
B L U' R' L2 F' L
B L U' R' D L' F'
B L U' R' D' L' F'
B L U' R' D2 L' F'
B L U' D L' R' F'
B L U' D R' L' F'
B L U' D' L' R' F'
B L U' D' R' L' F'
B L U' D2 L' R' F'
B L U' D2 R' L' F'
B L U' F R' F' L'
D L U2 B' R' U L'
B L D U' L' R' F'
B L D U' R' L' F'
B L D' U' L' R' F'
B L D' U' R' L' F'
B L D2 U' L' R' F'
B L D2 U' R' L' F'
F' L B L2 U' L R'
F' L B L2 U' R' L
B2 L B' U' L' R' F'
B2 L B' U' R' L' F'
B' L' U L2 U2 L' F
D2 L' U' L R' F' R
F' L' U' L B R' B'
D2 L' U' R' L F' R
D2 L' U' R' F' L R
D2 L' U' R' F' R L
B L' U' L R' D F'
B L' U' L R' D' F'
B L' U' L R' D2 F'
B L' U' L R' F' D
B L' U' L R' F' D'
B L' U' L R' F' D2
B L' U' L D R' F'
B L' U' L D' R' F'
B L' U' L D2 R' F'
B L' U' L F R' F'
B L' U' L F' R' F'
B L' U' L F2 R' F'
B L' U' L' R' F' L2
B L' U' R' L D F'
B L' U' R' L D' F'
B L' U' R' L D2 F'
B L' U' R' L F' D
B L' U' R' L F' D'
B L' U' R' L F' D2
B L' U' R' L' F' L2
B L' U' R' D L F'
B L' U' R' D F' L
B L' U' R' D' L F'
B L' U' R' D' F' L
B L' U' R' D2 L F'
B L' U' R' D2 F' L
B L' U' R' F L F2
B L' U' R' F' L D
B L' U' R' F' L D'
B L' U' R' F' L D2
B L' U' R' F' D L
B L' U' R' F' D' L
B L' U' R' F' D2 L
B L' U' D L R' F'
B L' U' D R' L F'
B L' U' D R' F' L
B L' U' D' L R' F'
B L' U' D' R' L F'
B L' U' D' R' F' L
F' L' U' B R' B' L
B L' U' D2 L R' F'
B L' U' D2 R' L F'
B L' U' D2 R' F' L
B L' U' F L R' F'
B L' U' F R' L F'
B L' U' F R' F' L
B L' U' F' L R' F'
B L' U' F' R' L F'
B L' U' F' R' F' L
B L' U' F2 L R' F'
B L' U' F2 R' L F'
B L' U' F2 R' F' L
B L' D U' L R' F'
B L' D U' R' L F'
B L' D U' R' F' L
B L' D' U' L R' F'
B L' D' U' R' L F'
B L' D' U' R' F' L
F' L' D2 F' U' L R
F' L' D2 F' U' R L
B L' D2 U' L R' F'
B L' D2 U' R' L F'
B L' D2 U' R' F' L
D L' F U2 R U L
D2 L' F' L' U' L2 R
D2 L' F' L' U' R L2
B L' F' L' U' L2 R'
B L' F' L' U' R' L2
D L' F' L' F2 U' L2
U L' B' L U' B U'
B' L2 U L' B' U2 L'
D2 L2 U' L2 R' F' R
D2 L2 U' R' L2 F' R
D2 L2 U' R' F' L2 R
D2 L2 U' R' F' R L2
B L2 U' L R' F' L
B L2 U' L2 R' D F'
B L2 U' L2 R' D' F'
B L2 U' L2 R' D2 F'
B L2 U' L2 R' F' D
B L2 U' L2 R' F' D'
B L2 U' L2 R' F' D2
B L2 U' L2 D R' F'
B L2 U' L2 D' R' F'
B L2 U' L2 D2 R' F'
B L2 U' L2 F R' F'
B L2 U' L2 F' R' F'
B L2 U' L2 F2 R' F'
B L2 U' R' L F' L
B L2 U' R' L2 D F'
B L2 U' R' L2 D' F'
B L2 U' R' L2 D2 F'
B L2 U' R' L2 F' D
B L2 U' R' L2 F' D'
B L2 U' R' L2 F' D2
B L2 U' R' F L2 F2
B L2 U' R' F' L2 D
B L2 U' R' F' L2 D'
B L2 U' R' F' L2 D2
B L2 U' F L2 R' F'
B L2 U' F R' L2 F'
B L2 U' F R' F' L2
B L2 U' F' L2 R' F'
B L2 U' F' R' L2 F'
B L2 U' F' R' F' L2
B L2 U' F2 L2 R' F'
B L2 U' F2 R' L2 F'
B L2 U' F2 R' F' L2
L' U L F R2 B R'
L' U L' B' L U2 L
L2 U L' B' L U2 L2
L U L' B' L U2 L'
D2 L2 F' L' U' L' R
D2 L2 F' L' U' R L'
B L2 F' L' U' L' R'
B L2 F' L' U' R' L'
B2 L2 B' U' L2 R' F'
B2 L2 B' U' R' L2 F'
B2 L2 B' U' R' F' L2
L2 U B U2 L2 R' F'
L2 U B U2 R' L2 F'
L2 U B U2 R' F' L2
L U B U2 L' R' F'
L U B U2 R' L' F'
L2 U B' L U2 F L
L U B' L U2 F L2
L' U' L R' D2 F' R
L' U' L D2 R' F' R
L' U' L B R' F' B'
L' U' L B R' B' F'
L U' L' R' D2 F' R
L U' L' D2 R' F' R
L2 U' L2 R' D2 F' R
L U' L' B R' F' B'
L U' L' B R' B' F'
D' R F' L' R' U' L
D' R F' R' L' U' L
L2 U' L2 D2 R' F' R
L2 U' L2 B R' F' B'
L2 U' L2 B R' B' F'
L' U' R' L D2 F' R
L2 U' R' L2 D2 F' R
L' U' R' D2 L F' R
L' U' R' D2 F' L R
L' U' R' D2 F' R L
L U' R' L' D2 F' R
L U' R' D2 L' F' R
L' U' D2 L R' F' R
L' U' D2 R' L F' R
L' U' D2 R' F' L R
L' U' D2 R' F' R L
L U' D2 L' R' F' R
L U' D2 R' L' F' R
B R' U L R U' F
B R' U R L U' F
L' U' B R' F' B' L
L' U' B R' B' L F'
L' U' B R' B' F' L
L2 U' B R' F' B' L2
L2 U' B R' B' L2 F'
L2 U' B R' B' F' L2
L U' B R' B' L' F'
B R' F' U L' U' B'
U' R' B U F' R' B'
L' D F' L' F U' L2
L D F' L' F U' L'
R' D' R F' L' U' L
U' D' R' B U F' B'
U' D' R' B U B' F'
D' U' R' B U F' B'
D' U' R' B U B' F'
F U' R B U R' B'
B U' R' F' U' F U
B U' R' F2 D' F L2
B U' F' R' F' D' L2
B U' F2 R' D' L2 F'
B U' F2 R' D' F' L2
B U' F2 D' L2 R' F'
B U' F2 D' R' L2 F'
B U' F2 D' R' F' L2
F U' B R U R2 B'
F U' B R U B' R2
L' D2 U' L R' F' R
L' D2 U' R' L F' R
L' D2 U' R' F' L R
L' D2 U' R' F' R L
L D2 U' L' R' F' R
L D2 U' R' L' F' R
L' D2 F' L' U' L2 R
L' D2 F' L' U' R L2
B D L U' L' R' F'
B D L U' R' L' F'
F' D L' D F U' L
F' D L' D' F U' L
F' D L' D2 F U' L
F' D L' F U' L D
F' D L' F U' L D'
F' D L' F U' L D2
F' D L' F U' D L
F' D L' F U' D' L
F' D L' F U' D2 L
F' D L' F D U' L
F' D L' F D' U' L
F' D L' F D2 U' L
B D L' U' L R' F'
B D L' U' R' L F'
B D L' U' R' F' L
B D L2 U' L2 R' F'
B D L2 U' R' L2 F'
B D L2 U' R' F' L2
D2 F' L' U' L R D
D2 F' L' U' L R D'
D2 F' L' U' L R D2
D2 F' L' U' L D R
D2 F' L' U' L D' R
D2 F' L' U' L D2 R
D2 F' L' U' R L D
D2 F' L' U' R L D'
D2 F' L' U' R L D2
D2 F' L' U' R D L
D2 F' L' U' R D' L
D2 F' L' U' R D2 L
D2 F' L' U' D L R
D2 F' L' U' D R L
D2 F' L' U' D' L R
D2 F' L' U' D' R L
D2 F' L' U' D2 L R
D2 F' L' U' D2 R L
D2 F' L' D U' L R
D2 F' L' D U' R L
D2 F' L' D' U' L R
D2 F' L' D' U' R L
D2 F' L' D2 U' L R
D2 F' L' D2 U' R L
L' F' L' B U' L2 R'
L' F' L' B U' R' L2
L2 F' L' B U' L' R'
L2 F' L' B U' R' L'
D F' L' D F U' L
D F' L' D' F U' L
D F' L' D2 F U' L
D F' L' F U' L D
D F' L' F U' L D'
D F' L' F U' L D2
D F' L' F U' D L
D F' L' F U' D' L
D F' L' F U' D2 L
D F' L' F D U' L
D F' L' F D' U' L
D F' L' F D2 U' L
D2 F' R U L' R' U'
D2 F' R U R' L' U'
B D F' L' U' L R'
B D F' L' U' R' L
F' D B L' F U' L
F D F2 L' F U' L
F' D B' L' F U' L
F' D B2 L' F U' L
D2 F' D L' U' L R
D2 F' D L' U' R L
B D' L U' L' R' F'
B D' L U' R' L' F'
L' F' D L' F U' L2
D2 F' D' L' U' L R
D2 F' D' L' U' R L
B D' L' U' L R' F'
B D' L' U' R' L F'
B D' L' U' R' F' L
D2 F' D2 L' U' L R
D2 F' D2 L' U' R L
D' F' D2 L' F U' L
B D' L2 U' L2 R' F'
B D' L2 U' R' L2 F'
B D' L2 U' R' F' L2
D2 F' B L' U' L R
D2 F' B L' U' R L
L2 F' B L' U' L' R'
L2 F' B L' U' R' L'
D2 F' B' L' U' L R
D2 F' B' L' U' R L
D F' B L' F U' L
D2 F' B2 L' U' L R
D2 F' B2 L' U' R L
D F' B' L' F U' L
D F' B2 L' F U' L
D F2 L' F L' U' L2
B D' F' L' U' L R'
B D' F' L' U' R' L
B D2 L U' L' R' F'
B D2 L U' R' L' F'
F' D2 L' F' U' L R
F' D2 L' F' U' R L
B D2 L' U' L R' F'
B D2 L' U' R' L F'
B D2 L' U' R' F' L
B D2 L2 U' L2 R' F'
B D2 L2 U' R' L2 F'
B D2 L2 U' R' F' L2
L2 B L U' L R' F'
L2 B L U' R' L F'
L2 B L U' R' F' L
L2 B L' U' L' R' F'
L2 B L' U' R' L' F'
L B L U' L2 R' F'
L B L U' R' L2 F'
L B L U' R' F' L2
U' B R U R2 F' B'
U' B R U R2 B' F'
B D2 F' L' U' L R'
B D2 F' L' U' R' L
L B L2 U' L R' F'
L B L2 U' R' L F'
L B L2 U' R' F' L
U' B R2 U R F' B'
U' B R2 U R B' F'
U' B R2 U B' R F'
L2 B U' L R' F' L
L2 B U' L2 R' D F'
L2 B U' L2 R' D' F'
L2 B U' L2 R' D2 F'
L2 B U' L2 R' F' D
L2 B U' L2 R' F' D'
L2 B U' L2 R' F' D2
L2 B U' L2 D R' F'
L2 B U' L2 D' R' F'
L2 B U' L2 D2 R' F'
L2 B U' L2 F R' F'
L2 B U' L2 F' R' F'
L2 B U' L2 F2 R' F'
L2 B U' R' L F' L
L2 B U' R' L2 D F'
L2 B U' R' L2 D' F'
L2 B U' R' L2 D2 F'
L2 B U' R' L2 F' D
L2 B U' R' L2 F' D'
L2 B U' R' L2 F' D2
L2 B U' R' F L2 F2
L2 B U' R' F' L2 D
L2 B U' R' F' L2 D'
L2 B U' R' F' L2 D2
L2 B U' F L2 R' F'
L2 B U' F R' L2 F'
L2 B U' F R' F' L2
L2 B U' F' L2 R' F'
L2 B U' F' R' L2 F'
L2 B U' F' R' F' L2
L2 B U' F2 L2 R' F'
L2 B U' F2 R' L2 F'
L2 B U' F2 R' F' L2
U2 B U2 L U' L' R'
U2 B U2 L U' R' L'
F' B L' U' L R' D
F' B L' U' L R' D'
F' B L' U' L R' D2
F' B L' U' L D R'
F' B L' U' L D' R'
F' B L' U' L D2 R'
F' B L' U' R' L D
F' B L' U' R' L D'
F' B L' U' R' L D2
F' B L' U' R' D L
F' B L' U' R' D' L
F' B L' U' R' D2 L
F' B L' U' D L R'
F' B L' U' D R' L
F' B L' U' D' L R'
F' B L' U' D' R' L
F' B L' U' D2 L R'
F' B L' U' D2 R' L
L B U' L R' F' L2
F' B L' D U' L R'
F' B L' D U' R' L
L B U' L' R' D F'
L B U' L' R' D' F'
L B U' L' R' D2 F'
L B U' L' R' F' D
L B U' L' R' F' D'
L B U' L' R' F' D2
F' B L' D' U' L R'
F' B L' D' U' R' L
L B U' L' D R' F'
L B U' L' D' R' F'
L B U' L' D2 R' F'
L B U' L' F R' F'
L B U' L' F' R' F'
L B U' L' F2 R' F'
L B U' L2 R' F' L
F' B L' D2 U' L R'
F' B L' D2 U' R' L
F' B L' F U' L R'
F' B L' F U' R' L
L B U' R' L F' L2
L B U' R' L' D F'
L B U' R' L' D' F'
L B U' R' L' D2 F'
L B U' R' L' F' D
L B U' R' L' F' D'
L B U' R' L' F' D2
L B U' R' L2 F' L
F' B L' F' U' L R'
F' B L' F' U' R' L
L B U' R' D L' F'
L B U' R' D' L' F'
L B U' R' D2 L' F'
F' B L' F2 U' L R'
F' B L' F2 U' R' L
L B U' D L' R' F'
L B U' D R' L' F'
L B U' D' L' R' F'
L B U' D' R' L' F'
L B U' D2 L' R' F'
L B U' D2 R' L' F'
L B U' F R' F' L'
L B D U' L' R' F'
L B D U' R' L' F'
F' B R' U L' R U'
F' B R' U R L' U'
L B D' U' L' R' F'
L B D' U' R' L' F'
D2 B F' L' U' L R
D2 B F' L' U' R L
F2 B R2 D R F' B2
F2 B R2 D R B2 F'
F2 B R2 D B2 R F'
L B D2 U' L' R' F'
L B D2 U' R' L' F'
L2 B F' L' U' L' R'
L2 B F' L' U' R' L'
D B F' L' F U' L
U2 B' L U L' R' U
U2 B' L U R' L' U
F' B D L' U' L R'
F' B D L' U' R' L
U B' L U' B U' F
F' B D' L' U' L R'
F' B D' L' U' R' L
F' B D2 L' U' L R'
F' B D2 L' U' R' L
U2 B' R' U' L R U2
U2 B' R' U' R L U2
B' F' L' U L2 U2 L'
B' F' L' U' D2 L R2
B' F' L' U' D2 R2 L
B' F' L' D F2 U' L
B' F' L' D2 U' L R2
B' F' L' D2 U' R2 L
F' B' L' U L2 U2 L'
F' B' L' U' D2 L R2
F' B' L' U' D2 R2 L
F' B' L' D F2 U' L
F' B' L' D2 U' L R2
F' B' L' D2 U' R2 L
L2 B' U L U2 F L
B F' L' U' L R' D
B F' L' U' L R' D'
B F' L' U' L R' D2
B F' L' U' L D R'
B F' L' U' L D' R'
B F' L' U' L D2 R'
B F' L' U' R' L D
B F' L' U' R' L D'
B F' L' U' R' L D2
B F' L' U' R' D L
B F' L' U' R' D' L
B F' L' U' R' D2 L
B F' L' U' D L R'
B F' L' U' D R' L
B F' L' U' D' L R'
B F' L' U' D' R' L
B F' L' U' D2 L R'
B F' L' U' D2 R' L
B F' L' D U' L R'
B F' L' D U' R' L
B F' L' D' U' L R'
B F' L' D' U' R' L
B F' L' D2 U' L R'
B F' L' D2 U' R' L
B F' L' F U' L R'
B F' L' F U' R' L
B F' L' F' U' L R'
B F' L' F' U' R' L
B F' L' F2 U' L R'
B F' L' F2 U' R' L
L B' U L U2 F L2
B F' R' U L' R U'
B F' R' U R L' U'
L2 B' D' B2 U' R' F'
D2 B' F' L' U' L R
D2 B' F' L' U' R L
D B' F' L' F U' L
B F' D L' U' L R'
B F' D L' U' R' L
B F' D' L' U' L R'
B F' D' L' U' R' L
B F' D2 L' U' L R'
B F' D2 L' U' R' L
B F2 R2 D R F' B2
B F2 R2 D R B2 F'
B F2 R2 D B2 R F'
D2 B2 F' L' U' L R
D2 B2 F' L' U' R L
D B2 F' L' F U' L
