B2 L F U' B L B'
L2 R' D F' U R B'
L2 R' D F' U B' R
R' L' F' B' L' U B'
L' R' F' B' L' U B'
R' L' B' L' F' U B'
L' R' B' L' F' U B'
R' L' B' F' L' U B'
L' R' B' F' L' U B'
R' L2 D F' U R B'
R' L2 D F' U B' R
R' U' F U2 R D' L2
R' U' F U2 D' L2 R
R' U' F U2 D' R L2
R' U' F D R2 U2 R'
R' U' F D' U2 L2 R
R' U' F D' U2 R L2
F' R' F' U' F' L' U2
F2 R' F' U B' R' B
F R' F' U' F U2 R
L2 D R' F' U R B'
L2 D R' F' U B' R
B U L2 B' R' F' L'
B U F R B L U2
L2 D2 R' F' B U B2
L2 D2 R' B F' U B2
U' F U R' F' U R2
R' F' L D' L2 B' U
R' F' L' D' B' L2 U
R' F' L' D2 B' U B'
R' F' L' B' U D2 B2
R' F' L' B' U' F2 U2
R' F' L' B' D' L2 U
R' F' L' B' D2 U B2
R' F' U D2 B' R' B'
R' F' U B D2 B2 R'
R' F' U B' R' D2 B2
R' F' U B' D2 R' B2
R' F' U' F' L' F' U2
R' F' D' L' B' L' U
R' F' D2 L' B' U B'
R' F' D2 U B' R' B'
R' F' D2 B' U B' R'
