D' L' B2 R2 F'
D' L R2 F L2 B2
D' L R2 F B2 L2
D' L R2 B2 F L2
D' L F L2 R2 B2
D' L F L2 B2 R2
D' L F R2 L2 B2
D' L F R2 B2 L2
D' L F B2 L2 R2
D' L F B2 R2 L2
D' L B2 R2 F L2
D' L B2 F L2 R2
D' L B2 F R2 L2
D2 L' D B2 R2 F'
D' L' F B2 R2 F'
D' L' F' B2 R2 F'
D' L' F2 B2 R2 F'
D' L' B2 R2 D F'
D' L' B2 R2 D' F'
D' L' B2 R2 D2 F'
D' L' B2 R2 F' D
D' L' B2 R2 F' D'
D' L' B2 R2 F' D2
D' L' B2 F R2 F'
D' L' B2 F' R2 F'
D' L' B2 F2 R2 F'
B2 L2 U L' F L2
D' R2 L F L2 B2
D' R2 L F B2 L2
D' R2 L B2 F L2
D' R2 B2 L F L2
R' D' L' B2 R2 F'
R2 D' L' B2 R2 F'
R D' L' B2 R2 F'
F2 D' R2 B2 L F
D' F2 R2 B2 L F
D' B2 L R2 F L2
D' B2 L F L2 R2
D' B2 L F R2 L2
U' B2 L2 U L F
D' B2 R2 L F L2
D' L R B2 R F L2
D' L R' F L2 R' B2
D' L R' F R' L2 B2
D' L R' F R' B2 L2
D' L R2 F L' B2 L'
D' L R2 F L2 B2 D
D' L R2 F L2 B2 D'
D' L R2 F L2 B2 D2
D' L R2 F B L2 B
D' L R2 F B2 L2 D
D' L R2 F B2 L2 D'
D' L R2 F B2 L2 D2
D' L R2 F' L2 F2 B2
D' L R2 F' L2 B2 F2
D' L R2 F' B2 L2 F2
D' L R2 F2 L2 F' B2
D' L R2 F2 L2 B2 F'
D2 L R2 F2 U' L2 F'
D2 L R2 F2 U' F' L2
D' L R2 F2 B2 L2 F'
D' L R2 B F L2 B
D' L R2 B2 F L2 D
D' L R2 B2 F L2 D'
D' L R2 B2 F L2 D2
D' L R2 B2 F' L2 F2
D' L R2 B2 F2 L2 F'
D' L U L2 B2 R2 F'
D' L U R2 F L2 B2
D' L U R2 F B2 L2
D' L U R2 B2 F L2
D' L U F L2 R2 B2
D' L U F L2 B2 R2
D' L U F R2 L2 B2
D' L U F R2 B2 L2
D' L U F B2 L2 R2
D' L U F B2 R2 L2
D' L U B2 R2 F L2
D' L U B2 F L2 R2
D' L U B2 F R2 L2
D' L U' L2 B2 R2 F'
D' L U' R2 F L2 B2
D' L U' R2 F B2 L2
D' L U' R2 B2 F L2
D' L U' F L2 R2 B2
D' L U' F L2 B2 R2
D' L U' F R2 L2 B2
D' L U' F R2 B2 L2
D' L U' F B2 L2 R2
D' L U' F B2 R2 L2
D' L U' B2 R2 F L2
D' L U' B2 F L2 R2
D' L U' B2 F R2 L2
D' L U2 L2 B2 R2 F'
D' L U2 R2 F L2 B2
D' L U2 R2 F B2 L2
D' L U2 R2 B2 F L2
D' L U2 F L2 R2 B2
D' L U2 F L2 B2 R2
D' L U2 F R2 L2 B2
D' L U2 F R2 B2 L2
D' L U2 F B2 L2 R2
D' L U2 F B2 R2 L2
D' L U2 B2 R2 F L2
D' L U2 B2 F L2 R2
D' L U2 B2 F R2 L2
B2 L D F2 L U F'
D' L F L' R2 B2 L'
D' L F L' B2 L' R2
D' L F L' B2 R2 L'
D' L F L2 R B2 R
F' L F L' D' R2 B2
F' L F L' D' B2 R2
D' L F L2 R2 B2 D
D' L F L2 R2 B2 D'
D' L F L2 R2 B2 D2
D' L F L2 B' R2 B'
D' L F L2 B2 R2 D
D' L F L2 B2 R2 D'
D' L F L2 B2 R2 D2
D' L F R L2 B2 R
D' L F R B2 L2 R
D' L F R B2 R L2
D' L F R2 L' B2 L'
D' L F R2 L2 B2 D
D' L F R2 L2 B2 D'
D' L F R2 L2 B2 D2
D' L F R2 B L2 B
D' L F R2 B2 L2 D
D' L F R2 B2 L2 D'
D' L F R2 B2 L2 D2
D' L F B L2 B R2
D' L F B' R2 B' L2
D' L F B2 L2 R2 D
D' L F B2 L2 R2 D'
D' L F B2 L2 R2 D2
D' L F B2 R2 L2 D
D' L F B2 R2 L2 D'
D' L F B2 R2 L2 D2
D L F B' L2 B' R'
D L F B2 L2 R' B'
D L F B2 R' L2 B'
B2 L F' L U L F2
B2 L F' L U F2 L
D' L F' L2 R2 F2 B2
D' L F' L2 R2 B2 F2
D' L F' L2 F2 R2 B2
D' L F' L2 F2 B2 R2
D' L F' L2 B2 R2 F2
D' L F' L2 B2 F2 R2
D' L F' R2 L2 F2 B2
D' L F' R2 L2 B2 F2
D' L F' R2 F2 L2 B2
D' L F' R2 F2 B2 L2
D' L F' R2 B2 L2 F2
D' L F' R2 B2 F2 L2
D' L F' B2 L2 R2 F2
D' L F' B2 L2 F2 R2
D' L F' B2 R2 L2 F2
D' L F' B2 R2 F2 L2
D L F2 L U2 L F'
D L F2 L U2 F' L
B2 L F2 L U L F'
B2 L F2 L U F' L
D' L F2 L2 F' R2 B2
D' L F2 L2 F' B2 R2
D' L F2 L2 B2 F' R2
D' L F2 R2 B2 L2 F
D' L F2 B2 L2 F' R2
D' L B F L2 B R2
D' L B' R2 F B' L2
D' L B' R2 B' F L2
D' L B' F R2 B' L2
D L B' F L2 B' R'
D' L B2 R' F L2 R'
D' L B2 R' F R' L2
D' L B2 R2 F L2 D
D' L B2 R2 F L2 D'
D' L B2 R2 F L2 D2
D' L B2 R2 F' L2 F2
D' L B2 R2 F2 L2 F'
D L B2 R' F L2 B'
D' L B2 F L2 R2 D
D' L B2 F L2 R2 D'
D' L B2 F L2 R2 D2
D' L B2 F R2 L2 D
D' L B2 F R2 L2 D'
D' L B2 F R2 L2 D2
D' L B2 F' L2 R2 F2
D' L B2 F' L2 F2 R2
D' L B2 F' R2 L2 F2
D' L B2 F' R2 F2 L2
D' L B2 F2 L2 F' R2
D L B2 F L2 R' B'
D L B2 F R' L2 B'
D' L' R B2 R2 F' R'
D' L' R2 U2 B' U2 B'
D' L' R2 B D2 F2 B
D' L' R2 B D2 B F2
D' L' R2 B2 R2 F' R2
D' L' R2 B2 U2 B U2
D' L' U2 B' U2 R2 B'
D' L' U2 B' U2 B' R2
D L' U2 F2 B' U2 R
D L' U2 B' L' F2 U2
D L' U2 B' F2 U2 R
D2 L' D F B2 R2 F'
D2 L' D F' B2 R2 F'
D2 L' D F2 B2 R2 F'
D2 L' D B2 R2 D F'
D2 L' D B2 R2 D' F'
D2 L' D B2 R2 D2 F'
D2 L' D B2 R2 F' D
D2 L' D B2 R2 F' D'
D2 L' D B2 R2 F' D2
D2 L' D B2 F R2 F'
D2 L' D B2 F' R2 F'
D2 L' D B2 F2 R2 F'
D' L' F B2 R2 D F'
D' L' F B2 R2 D' F'
D' L' F B2 R2 D2 F'
D' L' F B2 R2 F' D
D' L' F B2 R2 F' D'
D' L' F B2 R2 F' D2
D' L' F' B2 R2 D F'
D' L' F' B2 R2 D' F'
D' L' F' B2 R2 D2 F'
D' L' F' B2 R2 F' D
D' L' F' B2 R2 F' D'
D' L' F' B2 R2 F' D2
D' L' F2 B2 R2 D F'
D' L' F2 B2 R2 D' F'
D' L' F2 B2 R2 D2 F'
D' L' F2 B2 R2 F' D
D' L' F2 B2 R2 F' D'
D' L' F2 B2 R2 F' D2
D L' B D2 F2 R B2
D L' B D2 F2 B2 R
