L2 U R' U' F' U
B L2 B' U L' R'
B L2 B' U R' L'
U R' U' L2 F' U
U R' U' F' L2 U
L2 U2 F' U' L' R'
L2 U2 F' U' R' L'
R' L U' L R F U
U L R' U' L F' U
R' L U' R L F U
U L R' U' F' L U
U' L U F L U R'
L R' U' L R F U
L R' U' R L F U
U L' R' U' L' F' U
L2 R' B R U L R'
L2 R' B R U R' L
B L' B' L' U L' R'
B L' B' L' U R' L'
F' L2 U R' U' F' U
F2 L2 U R' U' F' U
F L2 U R' U' F' U
R' L2 B R U L R'
R' L2 B R U R' L
L2 R2 B R2 U L R'
L2 R2 B R2 U R' L
R2 L2 B R2 U L R'
R2 L2 B R2 U R' L
F' L2 U2 F' U' L' R'
F' L2 U2 F' U' R' L'
F2 L2 U2 F' U' L' R'
F2 L2 U2 F' U' R' L'
F L2 U2 F' U' L' R'
F L2 U2 F' U' R' L'
B L2 D B' U L' R'
B L2 D B' U R' L'
L2 U L R' U' F' U
B L2 D' B' U L' R'
B L2 D' B' U R' L'
L2 U L' R' U' F' U
B L2 D2 B' U L' R'
B L2 D2 B' U R' L'
L2 U L2 R' U' F' U
U L2 F U F' L' R'
U L2 F U F' R' L'
R U L2 R' F' U R'
L2 U R U B U' R2
L' U R' U' L' F' U
L2 U R' L U' F' U
L2 U R' L' U' F' U
L2 U R' L2 U' F' U
L2 U R' U' D F' U
L2 U R' U' D' F' U
L2 U R' U' D2 F' U
L2 U R' U' F' U D
L2 U R' U' F' U D'
L2 U R' U' F' U D2
L2 U R' U' F' D U
L2 U R' U' F' D' U
L2 U R' U' F' D2 U
B2 L2 F2 B' U L R
B2 L2 F2 B' U R L
L2 U R' D U' F' U
L2 U R' D' U' F' U
L U R' U' L F' U
L U R' U' F' L U
R U R' L2 F' U R'
L2 U R' D2 U' F' U
L2 U R' F D' L2 F'
L2 U R' F D' F' L2
B2 L2 B U' L' R' U2
B2 L2 B U' R' L' U2
B L2 B U L' D2 R2
R U R' F' L2 U R'
B L2 B U' L U2 L2
B2 L2 B' U L D2 R2
B2 L2 B' U' L' U2 L2
B L2 B' U L' R' D
B L2 B' U L' R' D'
B L2 B' U L' R' D2
B L2 B' U L' D R'
B L2 B' U L' D' R'
B L2 B' U L' D2 R'
B L2 B' U R' L' D
B L2 B' U R' L' D'
B L2 B' U R' L' D2
B L2 B' U R' D L'
B L2 B' U R' D' L'
B L2 B' U R' D2 L'
B L2 B' U D L' R'
B L2 B' U D R' L'
B L2 B' U D' L' R'
B L2 B' U D' R' L'
B L2 B' U D2 L' R'
B L2 B' U D2 R' L'
B L2 B' D U L' R'
B L2 B' D U R' L'
L2 U D R' U' F' U
B L2 B' D' U L' R'
B L2 B' D' U R' L'
B2 L2 B' F2 U L R
B2 L2 B' F2 U R L
B L2 B' D2 U L' R'
B L2 B' D2 U R' L'
L2 U D' R' U' F' U
L2 U D2 R' U' F' U
L2 U F' R' F D' L2
R' U' L R F L U
L2 U' L U F U R'
R' U' L2 D2 R F' U
R' U' R L F L U
U R' L U' L F' U
U R' L U' F' L U
U R' L' U' L' F' U
U R' U D2 R2 B U'
U R' U' L F' L U
U R' U' L2 D F' U
U R' U' L2 D' F' U
U R' U' L2 D2 F' U
U R' U' L2 F' U D
U R' U' L2 F' U D'
U R' U' L2 F' U D2
U R' U' L2 F' D U
U R' U' L2 F' D' U
U R' U' L2 F' D2 U
U R' U' D' F' U B2
U R' U' F L2 F2 U
U R' U' F' L2 U D
U R' U' F' L2 U D'
U R' U' F' L2 U D2
U R' U' F' L2 D U
U R' U' F' L2 D' U
U R' U' F' L2 D2 U
U R' U' F' U D' B2
U R' U' F' D' U B2
U R' D' U' F' U B2
U R' D' B2 U' F' U
U R' D2 U R2 B U'
U R' F D' L2 F' B2
U R' F D' L2 B2 F'
U R' F D' F' L2 B2
U R' F D' F' B2 L2
U R' F D' B2 L2 F'
U R' F D' B2 F' L2
U R' B U' L2 F' U
U R' B U' F' L2 U
L2 U2 D F' U' L' R'
L2 U2 D F' U' R' L'
U R' B' U' L2 F' U
U R' B' U' F' L2 U
L2 U2 D' F' U' L' R'
L2 U2 D' F' U' R' L'
U R' B2 U' L2 F' U
U R' B2 U' F' L2 U
L2 U2 D2 F' U' L' R'
L2 U2 D2 F' U' R' L'
L2 U2 F U R U2 R2
L2 U2 F U' R' D2 L2
L2 U2 F' U' L' R' D
L2 U2 F' U' L' R' D'
L2 U2 F' U' L' R' D2
L2 U2 F' U' L' D R'
L2 U2 F' U' L' D' R'
L2 U2 F' U' L' D2 R'
L2 U2 F' U' R' L' D
L2 U2 F' U' R' L' D'
L2 U2 F' U' R' L' D2
L2 U2 F' U' R' D L'
L2 U2 F' U' R' D' L'
L2 U2 F' U' R' D2 L'
