B' L R' F2 U' L'
B' R' L F2 U' L'
B' R' F2 L U' L2
B' U' L R' F2 U'
B' U' L F2 R' U'
B' U' R' L F2 U'
B' U' R' F2 L U'
B' U' F2 L R' U'
B' U' F2 R' L U'
B L R' U2 F2 U' L'
B' L R' F2 U' L' D
B' L R' F2 U' L' D'
B' L R' F2 U' L' D2
B' L R' F2 U' D L'
B' L R' F2 U' D' L'
B' L R' F2 U' D2 L'
B' L R' F2 D U' L'
B' L R' F2 D' U' L'
B' L R' F2 D2 U' L'
B' L R' F2 B U' L'
B' L R' F2 B' U' L'
B' L R' F2 B2 U' L'
B' L R' B F2 U' L'
B' L R' B' F2 U' L'
B' L R' B2 F2 U' L'
B' L U' R' F2 U' F2
B' L U' F2 R' U' F2
B' L F2 R' U R U2
D L B' U' R' U' R'
B' L' R' F2 L2 U' L
B' L' U' L2 R' F2 U'
B' L' U' L2 F2 R' U'
B' L' U' R' L2 F2 U'
B' L' U' R' F2 L2 U'
B' L' U' F2 L2 R' U'
B' L' U' F2 R' L2 U'
D' L2 U R U F' B
D' L2 U R U B F'
B' L2 U' L' R' F2 U'
B' L2 U' L' F2 R' U'
B' L2 U' R' L' F2 U'
B' R' L F2 U' L' D
B' R' L F2 U' L' D'
B' R' L F2 U' L' D2
B' R' L F2 U' D L'
B' R' L F2 U' D' L'
B' R' L F2 U' D2 L'
B' R' L F2 D U' L'
B' R' L F2 D' U' L'
B' R' L F2 D2 U' L'
B' R' L F2 B U' L'
B' R' L F2 B' U' L'
B' R' L F2 B2 U' L'
B R' L U2 F2 U' L'
B' R' L B F2 U' L'
B' R' L B' F2 U' L'
B' R' L B2 F2 U' L'
B' R' L' F2 L2 U' L
B' R' F' L F' U' L'
B' R' F2 L U' L2 D
B' R' F2 L U' L2 D'
B' R' F2 L U' L2 D2
B' R' F2 L D' B2 U'
B' R' F2 L B U' L2
B' R' F2 L B' U' L2
B' R' F2 L B2 U' L2
B' R' F2 U' L' D F2
B' R' F2 D L U' L2
B' R' F2 D' L U' L2
B' R' F2 D2 L U' L2
B U L R' U D R2
B U L R' U2 F2 U'
B U L R' D U R2
B U L R' D2 B2 U
B U L D R' U R'
U' D L' U' R2 F B'
U' D L' U' R2 B' F
U' D L' U' F R2 B'
U' D L' U' F B' R2
U' D L' U' B' R2 F
U' D L' U' B' F R2
B U L D2 R' B2 U
B U R' L U D R2
B U R' L U2 F2 U'
B U R' L D U R2
B U R' L D2 B2 U
B U R' D L U R2
B U R' D2 L B2 U
F' U R2 B R' U B
B U D L R' U R'
B U D R' L U R'
B' U D2 B2 L R' U
B' U D2 B2 R' L U
B U D2 L R' B2 U
B U D2 R' L B2 U
D U' L' U' R2 F B'
D U' L' U' R2 B' F
D U' L' U' F R2 B'
D U' L' U' F B' R2
D U' L' U' B' R2 F
D U' L' U' B' F R2
B' U' L R F2 R2 U'
B' U' L R' U' D R2
B' U' L R' D U' R2
B' U' L R' F2 U' D
B' U' L R' F2 U' D'
B' U' L R' F2 U' D2
B' U' L R' F2 D U'
B' U' L R' F2 D' U'
B' U' L R' F2 D2 U'
B' U' L D R' U' R'
B' U' L F R' F U'
B' U' L F2 R' U' D
B' U' L F2 R' U' D'
B' U' L F2 R' U' D2
B' U' L F2 R' D U'
B' U' L F2 R' D' U'
B' U' L F2 R' D2 U'
B' U' L F2 D R' U'
B' U' L F2 D' R' U'
B' U' L F2 D2 R' U'
B' U' L' R' F2 L2 U'
B' U' L' F2 L2 R' U'
B' U' L' F2 R' L2 U'
B' U' R L F2 R2 U'
B' U' R F2 L R2 U'
B' U' R F2 R2 L U'
B' U' R' L U' D R2
B' U' R' L D U' R2
B' U' R' L F2 U' D
B' U' R' L F2 U' D'
B' U' R' L F2 U' D2
B' U' R' L F2 D U'
B' U' R' L F2 D' U'
B' U' R' L F2 D2 U'
B' U' R' L' F2 L2 U'
B' U' R' D L U' R2
B' U' R' F' L F' U'
B' U' R' F2 L U' D
B' U' R' F2 L U' D'
B' U' R' F2 L U' D2
B' U' R' F2 L D U'
B' U' R' F2 L D' U'
B' U' R' F2 L D2 U'
B' U' R' F2 D L U'
B' U' R' F2 D' L U'
B' U' R' F2 D2 L U'
B' U' D L R' U' R'
B' U' D R' L U' R'
B' U' F R' F L U'
B' U' F' L F' R' U'
F U' D2 F L' U' B'
B' U' F2 L R' U' D
B' U' F2 L R' U' D'
B' U' F2 L R' U' D2
B' U' F2 L R' D U'
B' U' F2 L R' D' U'
B' U' F2 L R' D2 U'
B' U' F2 L D R' U'
B' U' F2 L D' R' U'
B' U' F2 L D2 R' U'
B' U' F2 R' L U' D
B' U' F2 R' L U' D'
B' U' F2 R' L U' D2
B' U' F2 R' L D U'
B' U' F2 R' L D' U'
B' U' F2 R' L D2 U'
B' U' F2 R' D L U'
B' U' F2 R' D' L U'
B' U' F2 R' D2 L U'
B' U' F2 D L R' U'
B' U' F2 D R' L U'
B' U' F2 D' L R' U'
B' U' F2 D' R' L U'
B' U' F2 D2 L R' U'
B' U' F2 D2 R' L U'
B U' F2 U2 L R' U
B U' F2 U2 R' L U
B' U2 R' F2 L U' L'
B' U2 F2 L R' U' L'
B' U2 F2 R' L U' L'
U' F D2 F L' U' B'
B' D U' L R' U' R'
B' D U' R' L U' R'
B D U L R' U R'
B D U R' L U R'
D2 F' U R B2 U B'
D2 F' U B2 R U B
B' D' L2 U' L' R' U'
B' D' L2 U' R' L' U'
B D' L2 U L' R' U
B D' L2 U R' L' U
R' F2 U' D L' F B'
R' F2 U' D L' B' F
U' F2 D L' U' F B'
U' F2 D L' U' B' F
R' F2 D U' L' F B'
R' F2 D U' L' B' F
R' F2 B' L R' U' L2
R' F2 B' R' L U' L2
B' D2 U B2 L R' U
B' D2 U B2 R' L U
B D2 U L R' B2 U
B D2 U R' L B2 U
F D2 U' F L' U' B'
U B R' U D R2 B
U B R' D U R2 B
B' F U' R' F L U'
L' B' L R' F2 U' L'
B' F U' F L R' U'
B' F U' F R' L U'
R' B' L F2 R' U' L'
L2 B' L R' F2 U' L'
F2 B U2 L R' U L'
F2 B U2 R' L U L'
L B' L R' F2 U' L'
L' B' R' L F2 U' L'
L2 B' R' L F2 U' L'
L' B' R' F2 L U' L2
L2 B' R' F2 L U' L2
F2 B' L R' U R U2
L B' R' L F2 U' L'
L B' R' F2 L U' L2
L' B' U' L R' F2 U'
L' B' U' L F2 R' U'
L' B' U' R' L F2 U'
L' B' U' R' F2 L U'
L2 B' U' L R' F2 U'
L2 B' U' L F2 R' U'
L' B' U' F2 L R' U'
L' B' U' F2 R' L U'
L2 B' U' R' L F2 U'
L2 B' U' R' F2 L U'
L2 B' U' F2 L R' U'
L2 B' U' F2 R' L U'
L B' U' L R' F2 U'
L B' U' L F2 R' U'
L B' U' R' L F2 U'
L B' U' R' F2 L U'
F2 B' R' L U R U2
L B' U' F2 L R' U'
L B' U' F2 R' L U'
B' F' U' L F' R' U'
F' B' U' L F' R' U'
B' F' U' F' L R' U'
B' F' U' F' R' L U'
F2 B' U' L R' U' R
F2 B' U' R' L U' R
F' B' U' F' L R' U'
F' B' U' F' R' L U'
R' B' F2 L R' U' L2
R' B' F2 R' L U' L2
F B' U' R' F L U'
F B' U' F L R' U'
F B' U' F R' L U'
B' F2 L R' U R U2
B' F2 R' L U R U2
B' F2 U' L R' U' R
B' F2 U' R' L U' R
B F2 U2 L R' U L'
B F2 U2 R' L U L'
