L' R F' U' L2 B
L' R F' U' B L2
R L' F' U' L2 B
R L' F' U' B L2
L D R F2 B R'
L D R B R' F2
L D R B F2 R'
L D F2 R B R'
L R U L2 F' U' B
R L U L2 F' U' B
L R U F' L2 U' B
D L R B R' D F2
D L R B D R' F2
D L R B D F2 R'
R L U F' L2 U' B
D2 L U L2 F R U'
L' R D' F' B2 U' B'
L' R D' B2 F' U' B'
F' L D R F' B R'
F' L D R B F' R'
U2 L D F2 R2 B R'
L R F D F2 B R2
L R F D B R2 F2
L R F D B F2 R2
R L F D F2 B R2
R L F D B R2 F2
R L F D B F2 R2
L R F B D R2 F2
L R F B D F2 R2
R L F B D R2 F2
R L F B D F2 R2
L R F' L2 U' L2 B
L R F' L2 U' B L2
R L F' L2 U' L2 B
R L F' L2 U' B L2
L' R F' U' L' B L'
L' R F' U' L2 D B
L' R F' U' L2 D' B
L' R F' U' L2 D2 B
L' R F' U' L2 B D
L' R F' U' L2 B D'
L' R F' U' L2 B D2
L' R F' U' B L2 D
L' R F' U' B L2 D'
L' R F' U' B L2 D2
L' R F' U' B' L2 B2
L' R F' D' B2 U' B'
L' R F' B' U' L2 B2
L' R F' B' U' B2 L2
L' R F' B2 U' B' L2
D' L F D F2 R B
L R B U L2 F' U'
L R B U F' L2 U'
R L B U L2 F' U'
R L B U F' L2 U'
D' L F' R D F2 B
D' L F' R D B F2
D' L F' R B D F2
L R B F D R2 F2
L R B F D F2 R2
R L B F D R2 F2
R L B F D F2 R2
D' L F' D R F2 B
D' L F' D R B F2
L' R B' F' U' L2 B2
L' R B' F' U' B2 L2
L' R B2 F' U' B' L2
R2 L' U' L2 B' R' B
R2 L' U' B' L2 R' B
R2 L' U' B' R' L2 B
R2 L' U' B' R' B L2
D L' R U' L2 B R'
D L' R U' B L2 R'
D L' R U' B R' L2
D2 L' R F U' L2 B
D2 L' R F U' B L2
U2 L' R F' U' B' L2
U2 L' R2 U' B' L2 R'
U2 L' R2 U' B' R' L2
R L' D' F' B2 U' B'
R L' D' B2 F' U' B'
R L' F' U' L' B L'
R L' F' U' L2 D B
R L' F' U' L2 D' B
R L' F' U' L2 D2 B
R L' F' U' L2 B D
R L' F' U' L2 B D'
R L' F' U' L2 B D2
R L' F' U' B L2 D
R L' F' U' B L2 D'
R L' F' U' B L2 D2
R L' F' U' B' L2 B2
R L' F' D' B2 U' B'
R L' F' B' U' L2 B2
R L' F' B' U' B2 L2
R L' F' B2 U' B' L2
D2 L' F R U' L2 B
D2 L' F R U' B L2
R L' B' F' U' L2 B2
R L' B' F' U' B2 L2
U L' F R F' U' L2
R L' B2 F' U' B' L2
L' R2 U' L2 B' R' B
L' R2 U' B' L2 R' B
L' R2 U' B' R' L2 B
L' R2 U' B' R' B L2
R U L' F' U' L2 B
R U L' F' U' B L2
L U L2 F R F' U'
D R L B R' D F2
D R L B D R' F2
D R L B D F2 R'
D2 R L' F U' L2 B
D2 R L' F U' B L2
D R L' U' L2 B R'
D R L' U' B L2 R'
D R L' U' B R' L2
U2 R L' F' U' B' L2
L U F L2 R F' U'
L U F R L2 F' U'
L U F R F' L2 U'
F2 R U2 F' U' L B
R U' L' F' U' L2 B
R U' L' F' U' B L2
F R F' L' U' L2 B
F R F' L' U' B L2
R U2 L' F' U' L2 B
R U2 L' F' U' B L2
U2 R2 L' U' B' L2 R'
U2 R2 L' U' B' R' L2
R D L' F' U' L2 B
R D L' F' U' B L2
L D R F B R' F
L D R F2 B R' D
L D R F2 B R' D'
L D R F2 B R' D2
L D R F2 B D R'
L D R F2 B D' R'
L D R F2 B D2 R'
L D R B R F2 R2
L D R B R' F2 D
L D R B R' F2 D'
L D R B R' F2 D2
L D R B F R' F
L D R B F2 R' D
L D R B F2 R' D'
L D R B F2 R' D2
L D R B F2 D R'
L D R B F2 D' R'
L D R B F2 D2 R'
L D R2 F2 R' B R'
L D R2 F2 B R' B
L D R2 B R' F2 B
L D R2 B R' B F2
L D R2 B F2 R' B
D2 U L' F R U' L2
L D F R F B R'
L D F R B R' F
L D F R B F R'
L D F' R B R' F'
L D F' D2 F' R B
L D F2 R B R' D
L D F2 R B R' D'
L D F2 R B R' D2
L D F2 R B D R'
L D F2 R B D' R'
L D F2 R B D2 R'
L D F2 R2 B R' B
L D F2 B R B R2
L D B R F2 B R2
L D B R B R2 F2
L D B R B F2 R2
L D B F2 R B R2
R D' L' F' U' L2 B
R D' L' F' U' B L2
L D' R D2 F2 B R'
L D' R D2 B R' F2
L D' R D2 B F2 R'
L D' R B R2 F' R
L D' F D2 F2 R B
L D' F' R D2 F2 B
L D' F' R D2 B F2
L D' F' D2 R F2 B
L D' F' D2 R B F2
