U' L2 F L' R B2
U' L2 F L' B2 R
U' L2 F R L' B2
U' L2 F R B2 L'
U' L2 F B2 L' R
U' L2 F B2 R L'
U' L2 B2 F L' R
U' L2 B2 F R L'
B' L U' F R U' L'
U' L B2 L F L' R
U' L B2 L F R L'
U' L' F L' R F B2
U' L' F L' R B2 F
U' L' F L' B2 R F
U' L' F R L' F B2
U' L' F R L' B2 F
U' L' F R B2 L' F
U' L' F B2 L' R F
U' L' F B2 R L' F
U' L' B2 L' F L' R
U' L' B2 L' F R L'
U' L' B2 F L' R F
U' L' B2 F R L' F
U' L2 R F L' R B2
U' L2 R F L' B2 R
U' L2 R F R L' B2
U' L2 R F R B2 L'
U' L2 R F B2 L' R
U' L2 R F B2 R L'
U' L2 R B2 F L' R
U' L2 R B2 F R L'
U' L2 R' F L' R B2
U' L2 R' F L' B2 R
U' L2 R' F R L' B2
U' L2 R' F R B2 L'
U' L2 R' F B2 L' R
U' L2 R' F B2 R L'
U' L2 R' B2 F L' R
U' L2 R' B2 F R L'
U' L2 R2 F L' R B2
U' L2 R2 F L' B2 R
U' L2 R2 F R L' B2
U' L2 R2 F R B2 L'
U' L2 R2 F B2 L' R
U' L2 R2 F B2 R L'
U' L2 R2 B2 F L' R
U' L2 R2 B2 F R L'
U2 L2 U F L' R B2
U2 L2 U F L' B2 R
U2 L2 U F R L' B2
U2 L2 U F R B2 L'
U2 L2 U F B2 L' R
U2 L2 U F B2 R L'
U2 L2 U B2 F L' R
U2 L2 U B2 F R L'
U L2 U2 F L' R B2
U L2 U2 F L' B2 R
U L2 U2 F R L' B2
U L2 U2 F R B2 L'
U L2 U2 F B2 L' R
U L2 U2 F B2 R L'
U L2 U2 B2 F L' R
U L2 U2 B2 F R L'
U' L2 F L R B2 L2
U' L2 F L B2 L2 R
U' L2 F L B2 R L2
U' L2 F L' R B2 D
U' L2 F L' R B2 D'
U' L2 F L' R B2 D2
U' L2 F L' R' B2 R2
U' L2 F L' B' R B'
U' L2 F L' B2 R D
U' L2 F L' B2 R D'
U' L2 F L' B2 R D2
U' L2 F L' B2 D R
U' L2 F L' B2 D' R
U' L2 F L' B2 D2 R
U' L2 F R L B2 L2
U' L2 F R L' B2 D
U' L2 F R L' B2 D'
U' L2 F R L' B2 D2
U' L2 F R B L' B
U' L2 F R B2 L' D
U' L2 F R B2 L' D'
U' L2 F R B2 L' D2
U' L2 F R B2 D L'
U' L2 F R B2 D' L'
U' L2 F R B2 D2 L'
U' L2 F R' L' B2 R2
U' L2 F R' B2 L' R2
U' L2 F R' B2 R2 L'
U L2 F L' B' R' B'
U' L2 F B L' B R
U' L2 F B' R B' L'
U' L2 F B2 L' R D
U' L2 F B2 L' R D'
U' L2 F B2 L' R D2
U' L2 F B2 L' D R
U' L2 F B2 L' D' R
U' L2 F B2 L' D2 R
U' L2 F B2 R L' D
U' L2 F B2 R L' D'
U' L2 F B2 R L' D2
U' L2 F B2 R D L'
U' L2 F B2 R D' L'
U' L2 F B2 R D2 L'
U' L2 F B2 D L' R
U' L2 F B2 D R L'
U' L2 F B2 D' L' R
U' L2 F B2 D' R L'
U' L2 F B2 D2 L' R
U' L2 F B2 D2 R L'
U L2 F B' R' B' L'
U' L2 B F L' B R
U' L2 B' F R B' L'
U L2 B' R' F B' L'
U L2 B' R' B' F L'
U' L2 B2 R F L' R
U' L2 B2 R F R L'
U' L2 B2 R' F L' R
U' L2 B2 R' F R L'
U' L2 B2 R2 F L' R
U' L2 B2 R2 F R L'
U L2 B' F R' B' L'
U' L2 B2 F L' R D
U' L2 B2 F L' R D'
U' L2 B2 F L' R D2
U' L2 B2 F L' D R
U' L2 B2 F L' D' R
U' L2 B2 F L' D2 R
U' L2 B2 F R L' D
U' L2 B2 F R L' D'
U' L2 B2 F R L' D2
U' L2 B2 F R D L'
U' L2 B2 F R D' L'
U' L2 B2 F R D2 L'
U' L2 B2 F D L' R
U' L2 B2 F D R L'
U' L2 B2 F D' L' R
U' L2 B2 F D' R L'
U' L2 B2 F D2 L' R
U' L2 B2 F D2 R L'
U' R L2 F L' R B2
U' R L2 F L' B2 R
U' R L2 F R L' B2
U' R L2 F R B2 L'
U' R L2 F B2 L' R
U' R L2 F B2 R L'
U' R L2 B2 F L' R
U' R L2 B2 F R L'
R' U' L2 F L' R B2
R' U' L2 F L' B2 R
R' U' L2 F R L' B2
R' U' L2 F R B2 L'
R' U' L2 F B2 L' R
R' U' L2 F B2 R L'
R' U' L2 B2 F L' R
R' U' L2 B2 F R L'
R2 U' L2 F L' R B2
R2 U' L2 F L' B2 R
R2 U' L2 F R L' B2
R2 U' L2 F R B2 L'
R2 U' L2 F B2 L' R
R2 U' L2 F B2 R L'
R U' L2 F L' R B2
R U' L2 F L' B2 R
R U' L2 F R L' B2
R U' L2 F R B2 L'
R U' L2 F B2 L' R
R U' L2 F B2 R L'
R2 U' L2 B2 F L' R
R2 U' L2 B2 F R L'
R U' L2 B2 F L' R
R U' L2 B2 F R L'
U' R' L2 F L' R B2
U' R' L2 F L' B2 R
U' R' L2 F R L' B2
U' R' L2 F R B2 L'
U' R' L2 F B2 L' R
U' R' L2 F B2 R L'
U' R' L2 B2 F L' R
U' R' L2 B2 F R L'
U' R2 L2 F L' R B2
U' R2 L2 F L' B2 R
U' R2 L2 F R L' B2
U' R2 L2 F R B2 L'
U' R2 L2 F B2 L' R
U' R2 L2 F B2 R L'
U' R2 L2 B2 F L' R
U' R2 L2 B2 F R L'
F' U R B' U2 R' B'
D2 U F2 B' U2 L R'
D2 U F2 B' U2 R' L
D2 U B' F2 U2 L R'
D2 U B' F2 U2 R' L
F' U B' R U2 R2 B'
F' U B' R U2 B' R2
F U B' U2 R' B' L'
F' U' R B' U2 B' R'
F U' L2 F L R B2
F U' L2 F L B2 R
F U' L2 F R L B2
B' U' F U' R B' L'
B' U' F U' B' L' R
B' U' F U' B' R L'
F' U' B' R U2 B' R'
F U' B' U2 B' L' R'
F U' B' U2 B' R' L'
U D2 F2 B' U2 L R'
U D2 F2 B' U2 R' L
U D2 B' F2 U2 L R'
U D2 B' F2 U2 R' L
U' F L' B2 D2 R F'
U' F L2 R F L B2
L2 F L' U F U' B2
L F L U' F L2 B2
L F L U' F B2 L2
L F L U' B2 F L2
L2 F L' B2 U F U'
U' F R L2 F L B2
U' F R' B2 L' R2 F'
U' F R' B2 R2 L' F'
U' F B' U2 R B' L'
U' F B' U2 B' L' R
U' F B' U2 B' R L'
L2 F B D' L' B R'
L2 F B D' B L' R'
L2 F B D' B R' L'
L' F B' U B' L' F
U' F B2 L' R2 F' R'
U' F B2 R D2 L' F
U' F B2 R2 L' F' R'
L2 F B2 L' U F U'
U F B' U2 R' B' L'
U F' R B' U2 R' B'
U F' B' R U2 R2 B'
U F' B' R U2 B' R2
U' F2 B2 R2 F' L' R
U' F2 B2 R2 F' R L'
L2 F2 B2 D F' L' R
L2 F2 B2 D F' R L'
B F L' B D' R2 F'
F B L' B D' R2 F'
L2 B F D' L' B R'
L2 B F D' B L' R'
L2 B F D' B R' L'
U' B' L2 F U2 L' R
U' B' L2 F U2 R L'
U B' L2 F U2 L' R'
U B' L2 F U2 R' L'
L' B' U F B' L' F
L' B' U B' L' F L'
L' B' U B' F L' F
U' B' U2 D2 B' L R'
U' B' U2 D2 B' R' L
U B' U2 R' D2 B' L
U B' U2 D2 R' B' L
U' B' D2 U2 B' L R'
U' B' D2 U2 B' R' L
U' B' F U2 R B' L'
U' B' F U2 B' L' R
U' B' F U2 B' R L'
L' B' F U B' L' F
U B' D2 U2 R' B' L
U B' F U2 R' B' L'
U B' F' R U2 R2 B'
U B' F' R U2 B' R2
U' B2 R F L' R F'
U' B2 R F R L' F'
U' B2 R2 F L' R F2
U' B2 R2 F R L' F2
U' B2 F L' R2 F' R'
U' B2 F R D2 L' F
U' B2 F R2 L' F' R'
L2 B2 F L' U F U'
U' B2 F2 R2 F' L' R
U' B2 F2 R2 F' R L'
L2 B2 F2 D F' L' R
L2 B2 F2 D F' R L'
