B' L' B' U' R' B
R' L U' L2 B' U' B2
R2 L U' L2 B' R' U'
L' R D2 B' U' R2 B
L R F' D R2 U2 F2
L R F' D' B2 U2 L2
R L F' D R2 U2 F2
R L F' D' B2 U2 L2
L' R B' U L2 F' U2
L' R B' U F' L2 U2
L' R B' U' D2 R2 B
L' R B' D2 U' R2 B
L R' U' L2 B' U' B2
B2 L' R B' U' R2 B
R' L' D F2 B' U' B2
L' R' D F2 B' U' B2
R' L' D B' F2 U' B2
L' R' D B' F2 U' B2
B' L' R' B' U' R' B2
B L' R' B' U' B2 R'
R' L' D2 B' U' R2 B2
R' L' D2 B' U' B2 R2
L' R' D2 B' U' R2 B2
L' R' D2 B' U' B2 R2
R L' D2 B' U' R2 B
B2 L' U' R' B D L2
R' L' B' U L2 U2 B2
L' R' B' U L2 U2 B2
R' L' B' U' B2 D2 R2
L' R' B' U' B2 D2 R2
R L' B' U L2 F' U2
R L' B' U F' L2 U2
R L' B' U' D2 R2 B
R L' B' D2 U' R2 B
B' L' F B' U' R' B
B' L' F' B' U' R' B
L R2 U' L2 B' R' U'
B' L' F2 B' U' R' B
B' L' B' R U' R2 B
D2 L' B' U L2 U2 B'
D2 L' B' U F L2 U2
B2 L' B' R' U' B R'
B' L' B' U' R' D B
B' L' B' U' R' D' B
B' L' B' U' R' D2 B
B' L' B' U' R' B D
B' L' B' U' R' B D'
B' L' B' U' R' B D2
B2 L' B' U' R' B R'
B2 L' B' U' B R' B
B' L' B' F U' R' B
B L' B' U' B2 R' B
B' L' B' F' U' R' B
B' L' B' F2 U' R' B
B2 R L' B' U' R2 B
F2 R U' L F' U2 L'
F2 R U' F' L U2 L2
L U' L2 R' B' U' B2
L U' L2 B' R' U' B
L U' R' L2 B' U' B2
B' R' L' B' U' R' B2
B R' L' B' U' B2 R'
L' D F2 B R' B2 U'
L' D F2 B' U2 L U
L' D B R' F2 B2 U'
L' D B R' B2 F2 U'
L' D B F2 R' B2 U'
B2 U R' B L D F2
L' D B' F2 U2 L U
L D' B2 U F L' U
F U' B2 R' F' L' B
F U' B2 R' F' B L'
F U' B2 R' B F' L'
B2 U2 L' U' R' B L
B2 F U R' B L F
B2 F U' R' F' L' B
B2 F U' R' F' B L'
B2 F U' R' B F' L'
R' B' L' B' U' R' B'
L' B' R U L2 F' U2
L' B' R U F' L2 U2
L' B' R U' D2 R2 B
L' B' R D2 U' R2 B
L' B' R' U L2 U2 B
L' B' R' U' D2 B R2
L' B' R' U' B D2 R2
L' B' R' D F2 U' B
L' B' R' D2 U' B R2
L' B' U' R D2 R2 B
L' B' U' R' D2 B R2
L' B' U' R' B D2 R2
U2 B2 L' U' R' B L
B2 F2 R U R2 B L
F2 B2 R U R2 B L
L' B2 D F2 B R' U'
L' B2 D B R' F2 U'
L' B2 D B F2 R' U'
F B2 U R' B L F
F B2 U' R' F' L' B
F B2 U' R' F' B L'
F B2 U' R' B F' L'
