B R' D L2 F' U'
B R' D F' L2 U'
B R' D2 F' U' F'
B R' F' U B2 U2
B R' F' U' D2 F2
B R' F' D L2 U'
B R' F' D2 U' F2
B D L2 R' F' U'
B D R' L2 F' U'
B D R' F' L2 U'
B D2 R' F' U' F'
L2 B R' F' U' F2
B L R' D L2 F' U'
B L R' D F' L2 U'
B L R' D2 F' U' F'
B L R' F' U B2 U2
B L R' F' U' D2 F2
B L R' F' D L2 U'
B L R' F' D2 U' F2
B L D L2 R' F' U'
B L D R' L2 F' U'
B L D R' F' L2 U'
B L D2 R' F' U' F'
B L' R' D L2 F' U'
B L' R' D F' L2 U'
B L' R' D2 F' U' F'
B L' R' F' U B2 U2
B L' R' F' U' D2 F2
B L' R' F' D L2 U'
B L' R' F' D2 U' F2
B L' D L2 R' F' U'
B L' D R' L2 F' U'
B L' D R' F' L2 U'
B L' D2 R' F' U' F'
B L2 R' D L2 F' U'
B L2 R' D F' L2 U'
B L2 R' D2 F' U' F'
B L2 R' F' U B2 U2
B L2 R' F' U' D2 F2
B L2 R' F' D L2 U'
B L2 R' F' D2 U' F2
B L2 D L2 R' F' U'
B L2 D R' L2 F' U'
B L2 D R' F' L2 U'
B L2 D2 R' F' U' F'
F' L2 B R' F' U' F2
F2 L2 B R' F' U' F2
F L2 B R' F' U' F2
B R' L D L2 F' U'
B R' L D F' L2 U'
B R' L D2 F' U' F'
B R' L F' U B2 U2
B R' L F' U' D2 F2
B R' L F' D L2 U'
B R' L F' D2 U' F2
B R' L' D L2 F' U'
B R' L' D F' L2 U'
B R' L' D2 F' U' F'
B R' L' F' U B2 U2
B R' L' F' U' D2 F2
B R' L' F' D L2 U'
B R' L' F' D2 U' F2
B R' L2 D L2 F' U'
B R' L2 D F' L2 U'
B R' L2 D2 F' U' F'
B R' L2 F' U B2 U2
B R' L2 F' U' D2 F2
B R' L2 F' D L2 U'
B R' L2 F' D2 U' F2
B R' U B2 U' F' U'
B' R' U' F' B2 R' U'
B' R' U' B2 F' R' U'
B R' U2 D' R2 B U
B R' D L F' L U'
B R' D L2 D F' U'
B R' D L2 D' F' U'
B R' D L2 D2 F' U'
B R' D L2 F' U' D
B R' D L2 F' U' D'
B R' D L2 F' U' D2
B R' D L2 F' D U'
B R' D L2 F' D' U'
B R' D L2 F' D2 U'
B R' D F L2 F2 U'
B R' D F' L2 U' D
B R' D F' L2 U' D'
B R' D F' L2 U' D2
B R' D F' L2 D U'
B R' D F' L2 D' U'
B R' D F' L2 D2 U'
B R' D F' U' D F2
B R' D F' D U' F2
B R' D' U2 R2 B U
B R' D' F' U' D' F2
B R' D' F' U2 R2 U
B R' D' F' D' U' F2
B R' D' F' D2 L2 U'
B R' D2 L F' U' F'
B R' D2 L' F' U' F'
B R' D2 L2 F' U' F'
B R' D2 F' L U' F'
B R' D2 F' L' U' F'
B R' D2 F' L2 U' F'
B R' D2 F' U' D F'
B R' D2 F' U' D' F'
B R' D2 F' U' D2 F'
B R' D2 F' U' F' D
B R' D2 F' U' F' D'
B R' D2 F' U' F' D2
B R' D2 F' D U' F'
B R' D2 F' D' U' F'
B R' D2 F' D2 U' F'
B R' F D L2 U' R2
B R' F' L U B2 U2
B R' F' L U' D2 F2
B R' F' L D L2 U'
B R' F' L D2 U' F2
B R' F' L' U B2 U2
B R' F' L' U' D2 F2
B R' F' L' D L2 U'
B R' F' L' D2 U' F2
B R' F' L2 U B2 U2
B R' F' L2 U' D2 F2
B R' F' L2 D L2 U'
B R' F' L2 D2 U' F2
B R' F' U B2 U2 D
B R' F' U B2 U2 D'
B R' F' U B2 U2 D2
B R' F' U B2 D U2
B R' F' U B2 D' U2
B R' F' U B2 D2 U2
B R' F' U' D2 F2 D
B R' F' U' D2 F2 D'
B R' F' U' D2 F2 D2
B R' F' U' F D2 F2
B R' F' U' F' D2 F2
B R' F' U' F2 D2 F2
B2 R' F' B' R' U' F'
B R' F' U2 D' R2 U
B R' F' D L2 U' D
B R' F' D L2 U' D'
B R' F' D L2 U' D2
B R' F' D L2 D U'
B R' F' D L2 D' U'
B R' F' D L2 D2 U'
B R' F' D' U2 R2 U
B R' F' D2 L U' F2
B R' F' D2 L' U' F2
B R' F' D2 L2 U' F2
B R' F' D2 U' F2 D
B R' F' D2 U' F2 D'
B R' F' D2 U' F2 D2
B R' F2 D F L2 U'
B R' F2 D2 F U' F
B2 R' B' F' R' U' F'
L2 U2 B R' U' F R
B D L R' F' L U'
B D L2 R' D F' U'
B D L2 R' D' F' U'
B D L2 R' D2 F' U'
B D L2 R' F' U' D
B D L2 R' F' U' D'
B D L2 R' F' U' D2
B D L2 R' F' D U'
B D L2 R' F' D' U'
B D L2 R' F' D2 U'
B D L2 D R' F' U'
B D L2 D' R' F' U'
B D L2 D2 R' F' U'
B D L2 F R' F' U'
B D L2 F' R' F' U'
B D L2 F2 R' F' U'
B D R' L F' L U'
B D R' L2 D F' U'
B D R' L2 D' F' U'
B D R' L2 D2 F' U'
B D R' L2 F' U' D
B D R' L2 F' U' D'
B D R' L2 F' U' D2
B D R' L2 F' D U'
B D R' L2 F' D' U'
B D R' L2 F' D2 U'
L2 F B R' F' U' F
B D R' D F' U' F'
B D R' F L2 F2 U'
B D R' F' L2 U' D
B D R' F' L2 U' D'
B D R' F' L2 U' D2
B D R' F' L2 D U'
B D R' F' L2 D' U'
B D R' F' L2 D2 U'
B D R' F' U' D F2
