D L' R' F L B
D L' F L R' B
D L' F R' L B
D R' L' F L B
D R' B L' F L
L D L' R' F B
L D L' R' B F
D R2 D2 R F' B
D R2 D2 R B F'
L D L' F R' B
L D R' L' F B
L D R' L' B F
L D R' B L' F
D' L R B' L' F' R2
F' L R' D L' F B2
F' L R' D L' B2 F
F' L R' D B2 L' F
D' L R' B' L' D2 F2
D L R' B L' D2 F2
D' L R' B' D2 L' F2
D L R' B D2 L' F2
D2 L D' L' R' F B
D2 L D' L' R' B F
D2 L D' L' F R' B
D2 L D' R' L' F B
D2 L D' R' L' B F
D2 L D' R' B L' F
D' L D2 R' B' L' F
D L' R' D F L B
D L' R' D' F L B
D L' R' D2 F L B
D L' R' F L D B
D L' R' F L D' B
D L' R' F L D2 B
D L' R' F L B D
D L' R' F L B D'
D L' R' F L B D2
D L' R' F L' B L2
D L' R' F L2 B L'
D L' R' F D L B
D L' R' F D' L B
D L' R' F D2 L B
D L' R' F' L F2 B
D L' R' F' L B F2
D L' R' F2 L F' B
D L' R' F2 L B F'
R2 L' D' L R F' B'
R2 L' D' L R B' F'
R2 L' D' L B' R F'
D L' R' B D2 F L'
R2 L' D' R L F' B'
R2 L' D' R L B' F'
R2 L' D' R F' L B'
D L' U R' F L B
D L' U F L R' B
D L' U F R' L B
D L' U' R' F L B
D L' U' F L R' B
D L' U' F R' L B
D L' U2 R' F L B
D L' U2 F L R' B
D L' U2 F R' L B
D L' D2 R' F L B'
D L' D2 F L R' B'
D L' D2 F R' L B'
D L' F L R' D B
D L' F L R' D' B
D L' F L R' D2 B
D L' F L R' B D
D L' F L R' B D'
D L' F L R' B D2
D L' F L' R' B L2
D L' F L2 R' B L'
D L' F R' L D B
D L' F R' L D' B
D L' F R' L D2 B
D L' F R' L B D
D L' F R' L B D'
D L' F R' L B D2
D L' F R' L' B L2
D L' F R' L2 B L'
D L' F R' D L B
D L' F R' D' L B
D L' F R' D2 L B
D L' F D2 L R' B'
D L' F D2 R' L B'
D L' F' L R' F2 B
D L' F' L R' B F2
D L' F' L F2 R' B
D L' F' R' L F2 B
D L' F' R' L B F2
D L' F' R' F2 L B
D L' F2 L F' R' B
L' R2 D' L R F' B'
L' R2 D' L R B' F'
L' R2 D' L B' R F'
L' R2 D' R L F' B'
L' R2 D' R L B' F'
L' R2 D' R F' L B'
D L2 R' B L F L
D L2 U2 L2 R' F' B
D L2 U2 L2 R' B F'
D L2 U2 R' L2 F' B
D L2 U2 R' L2 B F'
D L2 U2 R' F' L2 B
D L2 U2 R' F' B L2
D L2 U2 R' B L2 F'
D L2 U2 R' B F' L2
L U D L' R' F B
L U D L' R' B F
L U D L' F R' B
L U D R' L' F B
L U D R' L' B F
L U D R' B L' F
D' R L B' L' F' R2
D' R F' L R2 B' L'
D' R F' L B' L' R2
D' R F' L B' R2 L'
D' R F' R' D2 R' B
D' R F' R2 L B' L'
F' R B' L U' L' R2
F' R B' L U' R2 L'
L U' D L' R' F B
L U' D L' R' B F
L U' D L' F R' B
L U' D R' L' F B
L U' D R' L' B F
L U' D R' B L' F
F' R' L D L' F B2
F' R' L D L' B2 F
F' R' L D B2 L' F
D' R' L B' L' D2 F2
D' R' L B' D2 L' F2
D R' L B L' D2 F2
D R' L B D2 L' F2
D R' L' D F L B
D R' L' D' F L B
D R' L' D2 F L B
D R' L' F L D B
D R' L' F L D' B
D R' L' F L D2 B
D R' L' F L B D
D R' L' F L B D'
D R' L' F L B D2
D R' L' F L' B L2
D R' L' F L2 B L'
D R' L' F D L B
D R' L' F D' L B
D R' L' F D2 L B
D R' L' F' L F2 B
D R' L' F' L B F2
D R' L' F2 L F' B
D R' L' F2 L B F'
D R' L' B D2 F L'
D R' L2 B L F L
D R' U L' U' F B
D R' U L' U' B F
D R' U' L' U F B
D R' U' L' U B F
F R' U' D L' U F
F' R' D L' F L B2
F' R' D B2 L' F L
F R' D U' L' U F
D R' D' B U' R' U
D R' D2 R F' R' B
D R' D2 B R F' R'
D R' F L' F L B
D R' F B L' F L
D R' F' L' F L B
D R' F' B L' F L
D R' F2 L' F L B
D R' F2 B L' F L
D R' B L' D F L
D R' B L' D' F L
D R' B L' D2 F L
D R' B L' F L D
D R' B L' F L D'
D R' B L' F L D2
D R' B L' F D L
D R' B L' F D' L
D R' B L' F D2 L
D R' B L' F' L F2
D R' B L' F2 L F'
D R' B R' D2 R F'
D R' B U L' U' F
D R' B D2 R F' R'
F R' B U' L' R' U
F R' B U' R' L' U
F' R' B' U L R2 U'
F' R' B' U R2 L U'
D R' B F L' F L
D R' B F' L' F L
D R' B F2 L' F L
D R' B' L' F L B2
L U2 D L' R' F B
L U2 D L' R' B F
L U2 D L' F R' B
L U2 D R' L' F B
D R' B2 L' F L B'
L U2 D R' L' B F
L U2 D R' B L' F
F' R2 D' R D F' B2
F' R2 D' R D B2 F'
F' R2 D' R F' D B2
L' D L R' B D2 F2
D' R2 D2 R' F' B R2
D' R2 D2 R' B F' R2
L' D L' R' F L2 B
L' D L' R' F B L2
L' D L' R' B F L2
R' D L' D2 F L B'
R' D L' F D2 L B'
D R2 D2 R D F' B
D R2 D2 R D B F'
D R2 D2 R D' F' B
D R2 D2 R D' B F'
D R2 D2 R D2 F' B
D R2 D2 R D2 B F'
D R2 D2 R F' D B
D R2 D2 R F' D' B
D R2 D2 R F' D2 B
D R2 D2 R F' B D
D R2 D2 R F' B D'
D R2 D2 R F' B D2
D R2 D2 R B D F'
D R2 D2 R B D' F'
D R2 D2 R B D2 F'
D R2 D2 R B F' D
D R2 D2 R B F' D'
D R2 D2 R B F' D2
L' D L' F L2 R' B
L' D L' F R' L2 B
L' D L' F R' B L2
D R2 D2 B R F' B
D R2 D2 B R B F'
D R2 D2 B' R F' B
D R2 D2 B' R B F'
D R2 D2 B2 R F' B
D R2 D2 B2 R B F'
L D L' R' D F B
L D L' R' D B F
L D L' R' D' F B
L D L' R' D' B F
L D L' R' D2 F B
L D L' R' D2 B F
L D L' R' F D B
L D L' R' F D' B
L D L' R' F D2 B
L D L' R' F B D
L D L' R' F B D'
L D L' R' F B D2
L D L' R' B D F
L D L' R' B D' F
L D L' R' B D2 F
L D L' R' B F D
L D L' R' B F D'
L D L' R' B F D2
L D L' F R' D B
L D L' F R' D' B
L D L' F R' D2 B
L D L' F R' B D
L D L' F R' B D'
L D L' F R' B D2
L D L' F' R' F2 B
L D L' F' R' B F2
L' D R' L B D2 F2
L' D R' L' F L2 B
L' D R' L' F B L2
L' D R' L' B F L2
R' D R' D2 B R F'
R' D R' B D2 R F'
L D R' L' D F B
L D R' L' D B F
L D R' L' D' F B
L D R' L' D' B F
L D R' L' D2 F B
L D R' L' D2 B F
L D R' L' F D B
L D R' L' F D' B
L D R' L' F D2 B
L D R' L' F B D
L D R' L' F B D'
L D R' L' F B D2
L D R' L' B D F
L D R' L' B D' F
L D R' L' B D2 F
L D R' L' B F D
L D R' L' B F D'
L D R' L' B F D2
L D R' B L' D F
L D R' B L' D' F
L D R' B L' D2 F
L D R' B L' F D
L D R' B L' F D'
L D R' B L' F D2
D R2 B D2 R F' B
D R2 B D2 R B F'
L D R' B' L' F B2
L D R' B' L' B2 F
D R2 B' D2 R F' B
D R2 B' D2 R B F'
L D U L' R' F B
L D U L' R' B F
L D U L' F R' B
L D U R' L' F B
L D U R' L' B F
L D U R' B L' F
D R2 B2 D2 R F' B
D R2 B2 D2 R B F'
L D U' L' R' F B
L D U' L' R' B F
L D U' L' F R' B
L D U' R' L' F B
L D U' R' L' B F
L D U' R' B L' F
U' D L' U R' F B
U' D L' U R' B F
U' D L' U F R' B
L D U2 L' R' F B
L D U2 L' R' B F
L D U2 L' F R' B
L D U2 R' L' F B
L D U2 R' L' B F
L D U2 R' B L' F
U2 D L' U2 R' F B
U2 D L' U2 R' B F
U2 D L' U2 F R' B
D U L' U' R' F B
D U L' U' R' B F
D U L' U' F R' B
U D L' U' R' F B
U D L' U' R' B F
U D L' U' F R' B
U2 D L2 U2 R' F' B
U2 D L2 U2 R' B F'
U2 D R' F2 L' F B
U2 D R' F2 L' B F
U2 D R' F2 B L' F
U2 D R' B F2 L' F
F' U D' R U' F' R2
L' D' L R F' R2 B'
L' D' L R F' B' R2
L' D' L R B' F' R2
L' D' L R' B' D2 F2
R' D' L D2 B' L' F
R' D' L B' D2 L' F
R2 D' L R B' L' F'
R2 D' L B' L' R F'
R2 D' L B' R L' F'
L' D' R L F' R2 B'
L' D' R L F' B' R2
L' D' R L B' F' R2
R' D' R D2 F' R' B
R' D' R F' D2 R' B
L' D' R F' L R2 B'
L' D' R F' L B' R2
L' D' R F' R2 L B'
R2 D' R L B' L' F'
L' D' R' L B' D2 F2
R2 D' R F' L B' L'
R2 D' R2 D2 R' F' B
R2 D' R2 D2 R' B F'
D U' L' U R' F B
D U' L' U R' B F
D U' L' U F R' B
F U' D L' U R' F
F U' D L' U F R'
D U2 L' U2 R' F B
D U2 L' U2 R' B F
D U2 L' U2 F R' B
D U2 L2 U2 R' F' B
D U2 L2 U2 R' B F'
D U2 R' F2 L' F B
D U2 R' F2 L' B F
D U2 R' F2 B L' F
D U2 R' B F2 L' F
D F L' R' F L B
D F L' F L R' B
D F L' F R' L B
D F R' L' F L B
D F R' B L' F L
D F R2 D2 R F' B
D F R2 D2 R B F'
R' F U' D L' U F
R' F D U' L' U F
F D L' U R' F L
F D L' U F L R'
F D L' U F R' L
R' F B U' L' R' U
R' F B U' R' L' U
F D R' U' L' U F
F D U' L' U R' F
F D U' L' U F R'
D F' L' R' F L B
D F' L' F L R' B
D F' L' F R' L B
D F' R' L' F L B
D F' R' B L' F L
R' F' U D' R U' F'
D F' R2 D2 R F' B
