F2 L' R2 B' U B'
R2 L' F2 B' U B'
R2 L' B' F2 U B'
F2 L' B' R2 U B'
L' R2 F2 B' U B'
L' R2 B' F2 U B'
F2 R2 L' B' U B'
F2 R2 U B' R' B'
B' R2 F2 U B' R'
F2 R2 B' U B' R'
R2 F2 L' B' U B'
L' F2 R2 B' U B'
L F2 R2 B U B
R2 F2 U B' R' B'
L' F2 B' R2 U B'
R2 F2 B' U B' R'
L' B' R2 F2 U B'
F2 B' R2 U B' R'
L' B' F2 R2 U B'
R2 B' F2 U B' R'
B' F2 R2 U B' R'
F2 L R2 U2 F U' B2
F2 L R2 D L2 B' U
D' L R2 F U' F L
B2 L U' F2 R2 B U
R2 L F2 U2 F' U' B2
D' L F R2 U' F L
L' R B' R F2 U B'
B2 L F2 R2 B U B'
F2 L' R B' R U B'
F2 L' R2 D B' L2 U
B2 L' R2 F2 B' U B
F2 L' R2 B' U D B'
F2 L' R2 B' U D' B'
F2 L' R2 B' U D2 B'
F2 L' R2 B' U B' D
F2 L' R2 B' U B' D'
F2 L' R2 B' U B' D2
F2 L' R2 B' D U B'
F2 L' R2 B' D' U B'
F2 L' R2 B' D2 U B'
B2 L' R2 B' F2 U B
B2 L' U' R2 F2 B' U
B2 L' U' R2 B' F2 U
B2 L' U' F2 R2 B' U
B2 L' U' F2 B' R2 U
B2 L' U' B' R2 F2 U
B2 L' U' B' F2 R2 U
R' L' F2 R' B' U B'
L' R' F2 R' B' U B'
R2 L' F2 D B' L2 U
F2 L' D B' L2 U F
R2 L' F2 B' U D B'
R2 L' F2 B' U D' B'
R2 L' F2 B' U D2 B'
R2 L' F2 B' U B' D
R2 L' F2 B' U B' D'
R2 L' F2 B' U B' D2
R2 L' F2 B' D U B'
R2 L' F2 B' D' U B'
R2 L' F2 B' D2 U B'
R L' B' R F2 U B'
R2 L' B' U D' B' L2
R2 L' B' U B' D' L2
R2 L' B' D' U B' L2
R2 L' B' F2 U D B'
R2 L' B' F2 U D' B'
R2 L' B' F2 U D2 B'
R2 L' B' F2 U B' D
R2 L' B' F2 U B' D'
R2 L' B' F2 U B' D2
R2 L' B' F2 D U B'
R2 L' B' F2 D' U B'
R2 L' B' F2 D2 U B'
F' L' F' R2 B' U B'
F' L' F' B' R2 U B'
B2 L' F2 R2 B' U B
B L' F2 B' R2 U B2
B L' B D' L2 R2 F2
B L' B D' L2 F2 R2
B L' B D' R2 L2 F2
B L' B D' R2 F2 L2
B L' B D' F2 L2 R2
B L' B D' F2 R2 L2
F2 L' B' R2 U D B'
F2 L' B' R2 U D' B'
F2 L' B' R2 U D2 B'
F2 L' B' R2 U B' D
F2 L' B' R2 U B' D'
F2 L' B' R2 U B' D2
F2 L' B' R2 D U B'
F2 L' B' R2 D' U B'
F2 L' B' R2 D2 U B'
F2 L' B' U D' F2 B'
F2 L' B' U D' B' F2
F2 L' B' U B' D' F2
B L' B' R2 F2 U B2
F2 L' B' D' U F2 B'
F2 L' B' D' U B' F2
F' L' B' F' R2 U B'
B L' B' F2 R2 U B2
L2 R2 F2 L B' U B'
R2 L2 F2 L B' U B'
L' R2 F2 D B' L2 U
L' R2 F2 B' U D B'
L' R2 F2 B' U D' B'
L' R2 F2 B' U D2 B'
L' R2 F2 B' U B' D
L' R2 F2 B' U B' D'
L' R2 F2 B' U B' D2
L' R2 F2 B' D U B'
L' R2 F2 B' D' U B'
L' R2 F2 B' D2 U B'
L R2 F2 U2 F' U' B2
L' R2 B' U D' B' L2
L' R2 B' U B' D' L2
L' R2 B' D' U B' L2
L' R2 B' F2 U D B'
L' R2 B' F2 U D' B'
L' R2 B' F2 U D2 B'
L' R2 B' F2 U B' D
L' R2 B' F2 U B' D'
L' R2 B' F2 U B' D2
L' R2 B' F2 D U B'
L' R2 B' F2 D' U B'
L' R2 B' F2 D2 U B'
B L2 D' L2 F2 B R'
B L2 D' L2 B R' F2
B L2 D' L2 B F2 R'
B L2 D' F2 L2 B R'
B L2 D' F2 B L2 R'
B L2 D' F2 B R' L2
B L2 D' F2 B R' L2
B L2 D' B L2 R' F2
B L2 D' B L2 F2 R'
B L2 D' B R' L2 F2
B L2 D' B R' F2 L2
B L2 D' B F2 L2 R'
B L2 D' B F2 R' L2
D' L2 F' D F' R B2
D' L2 F' D F' B2 R
D' L2 F' D B2 F' R
L' U R2 F2 B' U B'
L' U R2 B' F2 U B'
F2 R L' B' R U B'
L' U F2 R2 B' U B'
L' U F2 B' R2 U B'
L U F2 R2 B U B
L' U B' R2 F2 U B'
R2 U B' R' D' B' L2
R2 U B' R' B' D' L2
L' U B' F2 R2 U B'
R2 U B' D' R' B' L2
L' U' R2 F2 B' U B'
L' U' R2 B' F2 U B'
F2 R B' R U B' R'
L' U' F2 R2 B' U B'
L' U' F2 B' R2 U B'
L U' F2 R2 B U B
L' U' B' R2 F2 U B'
L' U' B' F2 R2 U B'
B' R' F2 R' U B' R'
R U2 R F2 B U B
R U2 R B F2 U B
L' U2 R2 F2 B' U B'
L' U2 R2 B' F2 U B'
D' R2 L F U' F L
F2 R2 L U2 F U' B2
F2 R2 L D L2 B' U
F2 R2 L' D B' L2 U
B2 R2 L' F2 B' U B
B2 R2 L' B' F2 U B
F2 R2 L' B' U D B'
F2 R2 L' B' U D' B'
F2 R2 L' B' U D2 B'
F2 R2 L' B' U B' D
F2 R2 L' B' U B' D'
F2 R2 L' B' U B' D2
F2 R2 L' B' D U B'
F2 R2 L' B' D' U B'
F2 R2 L' B' D2 U B'
B' R2 U D' B' L2 R'
B' R2 U D' B' R' L2
F2 R2 U R B' R' B'
F2 R2 U R' B' R' B'
F2 R2 U R2 B' R' B'
B' R2 U B' R' D' L2
L' U2 F2 R2 B' U B'
B' R2 U B' D' L2 R'
B' R2 U B' D' R' L2
D' R2 U' L2 F R F
F2 R2 U B' R B' R2
F2 R2 U B' R' D B'
F2 R2 U B' R' D' B'
F2 R2 U B' R' D2 B'
F2 R2 U B' R' B' D
F2 R2 U B' R' B' D'
F2 R2 U B' R' B' D2
F2 R2 U B' R2 B' R
F2 R2 U B' D R' B'
F2 R2 U B' D' R' B'
F2 R2 U B' D2 R' B'
L' U2 F2 B' R2 U B'
D' R2 U' F R F L2
F2 R2 U' F U2 R B2
F2 R2 U' F U2 B2 R
L U2 F2 R2 B U B
F2 R2 U' F' L' U2 B2
F2 R2 U2 R' F' U' B2
L' U2 B' R2 F2 U B'
F2 R2 D L' B' L' U
L' U2 B' F2 R2 U B'
B' R2 D' U B' L2 R'
B' R2 D' U B' R' L2
D' R2 F U' F L2 R
D' R2 F U' F R L2
F R2 F L' B' U B'
F R2 F U B' R' B'
F R2 F B' U B' R'
B2 R2 F2 L' B' U B
B' R2 F2 U R B' R'
B' R2 F2 U R' B' R'
B' R2 F2 U R2 B' R'
B' R2 F2 U D B' R'
B' R2 F2 U D' B' R'
B' R2 F2 U D2 B' R'
B' R2 F2 U B' R' D
B' R2 F2 U B' R' D'
B' R2 F2 U B' R' D2
B' R2 F2 U B' D R'
B' R2 F2 U B' D' R'
B' R2 F2 U B' D2 R'
B' R2 F2 D U B' R'
B' R2 F2 D' U B' R'
B' R2 F2 D2 U B' R'
B2 R2 F2 B U B' R'
B R2 F2 U' F U2 R
F2 R2 B L' B' U B2
F2 R2 B U B' R' B2
U R2 F2 B' U R' B'
B2 R2 B F2 U B' R'
F2 R2 B' U R B' R'
F2 R2 B' U R' B' R'
F2 R2 B' U R2 B' R'
F2 R2 B' U D B' R'
F2 R2 B' U D' B' R'
F2 R2 B' U D2 B' R'
F2 R2 B' U B' R' D
F2 R2 B' U B' R' D'
F2 R2 B' U B' R' D2
F2 R2 B' U B' D R'
F2 R2 B' U B' D' R'
F2 R2 B' U B' D2 R'
F2 R2 B' D U B' R'
F2 R2 B' D' U B' R'
F2 R2 B' D2 U B' R'
F2 R2 B2 L' B' U B
F R2 B' F U B' R'
U R2 B' F2 U R' B'
B' U D' F2 B' L2 R'
B' U D' F2 B' R' L2
B' U D' B' L2 R' F2
B' U D' B' L2 F2 R'
B' U D' B' R' L2 F2
B' U D' B' R' F2 L2
B' U D' B' F2 L2 R'
B' U D' B' F2 R' L2
B U D' B L2 F2 R
B' U B' D' L2 R' F2
B' U B' D' L2 F2 R'
B' U B' D' R' L2 F2
B U B D' L2 F2 R
B' U B' D' R' F2 L2
B' U B' D' F2 L2 R'
B' U B' D' F2 R' L2
F2 U B' D' R' F2 B'
F2 U B' D' R' B' F2
F2 U B' D' F2 R' B'
F2 U B' D' F2 R' B'
L D' R2 F U' F L2
L D' F R2 U' F L2
F U' R2 F U R B2
F U' R2 F U B2 R
B2 U' F R2 F U R'
F U' F R2 U R' B2
L D2 F L2 B2 U' B
L D2 F B2 L2 U' B'
L D2 B2 F L2 U' B'
D' F R2 U' F L2 R
D' F R2 U' F R L2
U' F R2 F U R' B2
L' F R2 F B' U B'
L' F R2 B' F U B'
L F U2 R2 F U B2
L F U2 F R2 U B2
L' F B' R2 F U B'
D' F' L2 D F' R B2
D' F' L2 D F' B2 R
D' F' L2 D B2 F' R
R2 F' L' F' B' U B'
R2 F' L' B' F' U B'
B2 D' L2 F' D F' R
B D' L2 F2 D' B R'
B' D' U F2 B' L2 R'
B' D' U F2 B' R' L2
B' D' U B' L2 R' F2
B' D' U B' L2 F2 R'
B' D' U B' R' L2 F2
B' D' U B' R' F2 L2
B' D' U B' F2 L2 R'
B' D' U B' F2 R' L2
L2 F2 L R2 B' U B'
R' F2 L' R' B' U B'
B D' U B L2 F2 R
R2 F2 L U2 F U' B2
R2 F2 L D L2 B' U
L2 F2 L B' R2 U B'
L F2 L R2 B U B
R2 F2 L' D B' L2 U
R2 F2 L' B' U D B'
R2 F2 L' B' U D' B'
R2 F2 L' B' U D2 B'
R2 F2 L' B' U B' D
R2 F2 L' B' U B' D'
R2 F2 L' B' U B' D2
R2 F2 L' B' D U B'
R2 F2 L' B' D' U B'
R2 F2 L' B' D2 U B'
B2 D' F' L2 D F' R
L F2 L' R2 B U B
R' F2 R' L' B' U B'
L' F2 R B' R U B'
R' F2 R' U B' R' B'
L F2 L2 R2 B U B
R' F2 R' B' U B' R'
B D' F2 L2 D' B R'
L' F2 R2 D B' L2 U
L2 F2 R2 L B' U B'
L' F2 R2 B' U D B'
L' F2 R2 B' U D' B'
L' F2 R2 B' U D2 B'
L' F2 R2 B' U B' D
L' F2 R2 B' U B' D'
L' F2 R2 B' U B' D2
L' F2 R2 B' D U B'
L' F2 R2 B' D' U B'
L' F2 R2 B' D2 U B'
L F2 R2 L B U B
L F2 R2 L' B U B
L F2 R2 L2 B U B
L F2 R2 D L2 B U
L F2 R2 D B L2 U
R2 F2 U R B' R' B'
R2 F2 U R' B' R' B'
R2 F2 U R2 B' R' B'
L F2 R2 B L U B
L F2 R2 B L' U B
L F2 R2 B L2 U B
L F2 R2 B U D B
L F2 R2 B U D' B
L F2 R2 B U D2 B
L F2 R2 B U B D
L F2 R2 B U B D'
L F2 R2 B U B D2
