U L B' U L' B2
U L B' U B2 L'
U2 L' F U' F' B
U2 L' F U' B F'
L' U2 F U' F' B
L' U2 F U' B F'
F2 U2 D' L2 B R'
F2 U2 D' B L2 R'
F2 U2 D' B R' L2
F2 D R2 F' U2 R
F2 D' U2 L2 B R'
F2 D' U2 B L2 R'
F2 D' U2 B R' L2
F2 D' B L2 R' F
F2 D' B L2 F R'
F2 D' B R' L2 F
L B' R2 U F' B2
L B' R2 U B2 F'
L B' U' B U2 B
B' L R2 B' U F' B'
B' L R2 B' U B' F'
U L U L' D' B R'
F2 L U F2 B' U B2
F L U F' B' U B2
F2 L U B' F2 U B2
U L U B L' D' R2
U L U B D' L' R2
U L U B D' R2 L'
F L U B' F' U B2
F2 L U2 B D' L2 R2
F2 L U2 B D' R2 L2
U L D B' U L' B2
U L D B' U B2 L'
R2 L F' U F B' U
R2 L F' U B' F U
U L D' B' U L' B2
U L D' B' U B2 L'
U L D2 B' U L' B2
U L D2 B' U B2 L'
R2 L B' R2 U F' B
R2 L B' R2 U B F'
R2 L B' U' F' B U2
R2 L B' U' B F' U2
F2 L B D' L2 R2 F
F2 L B D' L2 F R2
F2 L B D' R2 L2 F
B L B' L U F B
B L B' L U B F
U L B' L U L2 B2
U L B' L U B2 L2
U L B' L2 U L B2
B' L B' U D2 F2 B'
B' L B' U D2 B' F2
B' L B' U' B2 U2 B
U L B' U L B2 L2
U L B' U L' B2 D
U L B' U L' B2 D'
U L B' U L' B2 D2
B' L B' D' R2 U B'
U L B' U B L' B
U L B' U B2 L' D
U L B' U B2 L' D'
U L B' U B2 L' D2
U L B' U B2 D L'
U L B' U B2 D' L'
U L B' U B2 D2 L'
B' L B' D2 U F2 B'
B' L B' D2 U B' F2
U L B' D L2 U L
U L' U L D' B R'
U' L' U' F L U' B
U L' U2 F U' L B
U2 L' D F U' F' B
U2 L' D F U' B F'
U2 L' D' F U' F' B
U2 L' D' F U' B F'
U2 L' D2 F U' F' B
U2 L' D2 F U' B F'
U2 L' F L U' F' B
U2 L' F L U' B F'
U2 L' F L' U' F' B
U2 L' F L' U' B F'
U2 L' F L2 U' F' B
U2 L' F L2 U' B F'
U2 L' F U' D F' B
U2 L' F U' D B F'
U2 L' F U' D' F' B
U2 L' F U' D' B F'
U2 L' F U' D2 F' B
U2 L' F U' D2 B F'
U2 L' F U' F' D B
U2 L' F U' F' D' B
U2 L' F U' F' D2 B
U2 L' F U' F' B D
U2 L' F U' F' B D'
U2 L' F U' F' B D2
U2 L' F U' B D F'
U2 L' F U' B D' F'
U2 L' F U' B D2 F'
U2 L' F U' B F' D
U2 L' F U' B F' D'
U2 L' F U' B F' D2
U2 L' F D U' F' B
U2 L' F D U' B F'
U2 L' F D' U' F' B
U2 L' F D' U' B F'
U2 L' F D2 U' F' B
U2 L' F D2 U' B F'
U2 L' B U F B' U'
U2 L' B U B' F U'
L R2 F' U F B' U
L R2 F' U B' F U
U L2 U L2 B' R' B2
U L2 U B' L2 R' B2
U L2 U B' R' L2 B2
U L2 U B' R' B2 L2
B2 L2 U' F B2 U2 R
B2 L2 U' B2 F U2 R
U L2 U' B L2 F R
L R2 B' R2 U F' B
L R2 B' R2 U B F'
L R2 B' U' F' B U2
L R2 B' U' B F' U2
R' U L B' U L' B'
L' U L2 B' U L2 B2
L' U L2 B' U B2 L2
U2 L2 F' U' F B R
U2 L2 F' U' B F R
U2 L2 B U B' U' R'
B L2 B U F B' R'
B L2 B U B' R' F
B L2 B U B' F R'
R2 U R2 D' F2 B R'
R2 U R2 D' B R' F2
R2 U R2 D' B F2 R'
U L2 B2 U B' L2 R'
U L2 B2 U B' R' L2
L' U B U F U' F'
L U B R2 D' R2 F2
L U B R2 D' F2 R2
L U B D' R2 D' F2
L U B' L U L' B2
L U B' L U B2 L'
L U B' L' U L B2
L U B' L2 U L2 B2
L U B' L2 U B2 L2
L U B' U B2 D L2
L U B' D L2 U L2
R' U2 L' F U' F' B'
R' U2 L' F U' B' F'
L U2 L2 F U' F' B
L U2 L2 F U' B F'
L' U2 D F U' F' B
L' U2 D F U' B F'
L' U2 D' F U' F' B
L' U2 D' F U' B F'
L' U2 D2 F U' F' B
L' U2 D2 F U' B F'
B' R2 L B' U F' B'
B' R2 L B' U B' F'
L' U2 F L U' F' B
L' U2 F L U' B F'
L' U2 F L' U' F' B
L' U2 F L' U' B F'
L' U2 F L2 U' F' B
L' U2 F L2 U' B F'
L' U2 F U' D F' B
L' U2 F U' D B F'
L' U2 F U' D' F' B
L' U2 F U' D' B F'
L' U2 F U' D2 F' B
L' U2 F U' D2 B F'
L' U2 F U' F' D B
L' U2 F U' F' D' B
L' U2 F U' F' D2 B
L' U2 F U' F' B D
L' U2 F U' F' B D'
L' U2 F U' F' B D2
L' U2 F U' B D F'
L' U2 F U' B D' F'
L' U2 F U' B D2 F'
L' U2 F U' B F' D
L' U2 F U' B F' D'
L' U2 F U' B F' D2
L' U2 F D U' F' B
L' U2 F D U' B F'
L' U2 F D' U' F' B
L' U2 F D' U' B F'
L' U2 F D2 U' F' B
L' U2 F D2 U' B F'
B' R2 U B2 D F' R
L' U2 B U F B' U'
L' U2 B U B' F U'
B' R2 D L2 U F' R
F2 R2 D F' R2 U2 R'
U R2 D' R2 F2 B R'
U R2 D' R2 B R' F2
U R2 D' R2 B F2 R'
D2 R2 F' U F U R
D' U L U L' B R'
D' U L U B L' R'
