U L R2 F U' L2
R2 L F U' L2 R
R2 L F U' R L2
U L F R2 U' L2
L R2 F U' L2 R
L R2 F U' R L2
U R2 L F U' L2
L' D F R F B2
L' D F R B2 F
L' D F B2 R F
L' D B2 F R F
L F R2 U' L2 R'
L F R2 U' R' L2
L' F D R F2 B2
L' F D R B2 F2
L' F D B2 R F2
B D L' F R B2
B D L' F B2 R
B D L' B2 F R
L' F' D F2 R B2
L' F' D F2 B2 R
L' F' D B2 F2 R
B D B2 L' F R
U' L R' F' R' U' L2
U L R' F R' U' L2
U L R2 D' F B2 U'
U L R2 D' B2 F U'
U L R2 F U' L2 D
U L R2 F U' L2 D'
U L R2 F U' L2 D2
F L R2 F' U' L' R'
F L R2 F' U' R' L'
U L R2 F D' B2 U'
U L R2 F B U' L2
U L R2 F B' U' L2
U L R2 F B2 U' L2
U2 L R2 B' U' L2 R'
U2 L R2 B' U' R' L2
U L R2 B F U' L2
U L R2 B' F U' L2
U L R2 B2 F U' L2
R2 L U2 B' U L2 R'
R2 L U2 B' U R' L2
R2 L D' F B2 U' R
R2 L D' B2 F U' R
R' L F R' U' L2 R2
R' L F R' U' R2 L2
R2 L F U' L2 R D
R2 L F U' L2 R D'
R2 L F U' L2 R D2
R2 L F U' L2 D R
R2 L F U' L2 D' R
R2 L F U' L2 D2 R
R2 L F U' R L2 D
R2 L F U' R L2 D'
R2 L F U' R L2 D2
R2 L F D' B2 U' R
R2 L F B U' L2 R
R2 L F B U' R L2
R2 L F B' U' L2 R
R2 L F B' U' R L2
R2 L F B2 U' L2 R
R2 L F B2 U' R L2
R2 L F' U L' U2 L'
D' L F U' L2 R B'
D' L F U' L2 B' R
D' L F U' R L2 B'
D L F U' L2 R B2
D L F U' L2 B2 R
D L F U' R L2 B2
D L F U' R B2 L2
D L F U' B2 L2 R
D L F U' B2 R L2
U L F R2 U' L2 D
U L F R2 U' L2 D'
U L F R2 U' L2 D2
U L F R2 D' B2 U'
U L F R2 B U' L2
U L F R2 B' U' L2
U L F R2 B2 U' L2
U L F U' L2 D B2
U L F B R2 U' L2
U L F B' R2 U' L2
U L F B2 R2 U' L2
R2 L B F U' L2 R
R2 L B F U' R L2
D L F' U' L2 B2 R'
U L F' R2 F2 U' L2
R2 L B' F U' L2 R
R2 L B' F U' R L2
R2 L B2 F U' L2 R
R2 L B2 F U' R L2
U L B R2 F U' L2
U L B F R2 U' L2
U2 L B' R2 U' L2 R
U2 L B' R2 U' R L2
U L B' R2 F U' L2
U L B' F R2 U' L2
U L B2 R2 F U' L2
U L B2 F R2 U' L2
U L' U L2 R2 F U'
U L' U L2 F R2 U'
U L' U R2 L2 F U'
R' L' F R D F2 B2
R' L' F R D B2 F2
L' R' F R D F2 B2
L' R' F R D B2 F2
R2 L' F L2 U' L2 R
R2 L' F L2 U' R L2
L R' F R' U' L2 R2
L R' F R' U' R2 L2
U2 L' D F2 B' R' B'
U2 L' D B' R' F2 B'
U2 L' D B' R' B' F2
U2 L' D B' F2 R' B'
D L' F R B2 D F2
D L' F B2 R D F2
D L' F B2 D R F2
D L' F' B2 D F2 R
U2 L' B D F2 B2 R'
U2 L' B D B2 R' F2
U2 L' B D B2 F2 R'
L R2 U2 B' U L2 R'
L R2 U2 B' U R' L2
U2 L' B' D R' F2 B2
U2 L' B' D R' B2 F2
U2 L' B' D F2 R' B2
L R2 D' F B2 U' R
D L' B2 D F R F
D L' B2 F R D F2
D L' B2 F D R F2
D L' B2 F' D F2 R
L R2 D' B2 F U' R
